"System Name","PWSID","Est. Loan Amount","Points","Rank","Population","Project Description","Est. Date to Close Loan"
"City of Opelousas","1097010","10500000","50","","16500","*The purpose of the proposed project is to upgrade the existing 3 MGD WTP to treat high levels of iron and manganese. The system's raw water wells contain high levels of iron and manganese. Iron and manganese levels exceed the secondary maximum containment levels as established by the EPA. Accordingly, this project is proposed under the Emerging Containments program of DWRLF*","September-24"
"Town of Many","1085016","5400000","48","","4575","The majority of the Town of Many water supply comes from its surface water treatment plant which takes raw water from the Hurricane Creek outfall into Toledo Bend. Because of its location in the creek outfall, the turbidity of the water spikes after rain events, and manganese levels as high as 1.7 mg/L have been recorded. The intake does not have thecapability of varying the elevation that water is taken from, so droughts and low lake level are also problematic. To improve the quality of source water, construction of a new intake is proposed where Bayou La Nana connects to the lake, preferably close to the river channel so as to provide the most flexibility for depth of water. A new raw water pumping station will be built, and water will be pumped through a new raw water transmission main from the intake/pumping station to the current treatment plant. The new transmission piping will also allow for the existing asbestos cement transmission main to be abandoned.te surface water intake.","September-24"
"Creston Water System, Inc.","1069003","1310000","43","","660","*The purpose of the proposed project is to construct improvements to the Creston Water System, Inc. to resolve ongoing deficiencies. The project includes select distribution system replacement, ground storage tank, booster station, electrical & control upgrades, iron/manganese treatment system, generators, site work, site piping and related work. The system's raw water wells contain high levels of iron and manganese. Iron and manganese levels exceed the secondary maximum containment levels as established by the EPA. Accordingly, this project is proposed under the BIL Emerging Containments program of DWRLF*","November-24"
"Bastrop Water System, Inc.","1067003","4150000","37","","18105","The proposed project includes construction of 2 production well, chlorination systems, emergency power, transmission mains, aeration systems, site work, site piping and related work. . Due to the high concentrations of manganese and a complete lack of treatment at the Ogden Facility, use of the wells has ceased. All production occurs at the Donaldson Facility.","July-24"
"City of Lake Charles-Southwest WTP","1019029","1300000","21","","85000","Southwest WTP - Chemical Feed upgrade/replacement Proposed project will include upgrade and replacement existing chemical feed The chemical feed system is essential to address iron and manganese treatment. The project is submitting for Emerging Contaminant funding from BIL to address manganese treatment.","March-24"
"City of Lake Charles-George West WTP","1019029","1300000","21","","85000","George West WTP - Chemical Feed upgrade/replacement Proposed project will include upgrade and replacement existing chemical feed The chemical feed system is essential to address iron and manganese treatment. The project is submitting for Emerging Contaminant funding from BIL to address manganese treatment.","March-24"
"St. Bernard Parish","1087001","5000000","20","","46694","Replacement of existing aged and deteriorated cast iron water line segments in the St. Bernard Parish water distribution system to minimize the ability of Naegleria Fowleri developing within the water system.","June-24"
"City of Carencro","1055005","6600000","16","","10485","*The proposed project will include the construction and installation of approximately 4,600 linear feet of water line and two water wells to supply water to Hector Connoly Water Treatment plant from 105 E Musique Road along Rue Coupe Civique and Hector Conly Road. The system's raw water wells contain high levels of iron and manganese. Iron and manganese levels exceed the secondary maximum containment levels as established by the EPA. Accordingly, this project is proposed under the Emerging Containments program of DWRLF*","November-24"
"Buckeye Water District No. 50, Inc Loan 3","1079004","3630000","11","","11955","The lower pressure plane consist of two (2) wells (Wells 1 and 5) that produce manganese .The proposed project includes a new production well in higher plane, adding a new entry point to the system and installing 6"" wter main to complete the loop of the two sides.","July-24"
"City of Bossier City","1015004","550000","10","","75585","Pilot study on nanofiltration membrane system in series with a Greensand filtration system to determine if water quality improves by removel of manganese and total organics.","March-24"
"Northwest Allen Parish Water District","1003003","2125000","9","","1692","Install 2 greens sand type filters, filter housing buildings, backwash lagoons at the water district's 2 well sites for manganese removal.","March-24"
"Town of Walker","1063017","2301125","5","","13530","The proposed project is for manganese filtration system to be installed at Well #4 that has elevated manganese levels. The project is submitted for BIL Emerging Contaminants funds to address manganese treatment.","April-24"
"French Settlement Water Company, Inc.","1063028","2750000","4","","2676","Installation of greensand filter banks at the Firestation and Simoneaux well sites to remove manganese. The project is submitted for BIL Emerging Contaminants funds to address manganese treatment.","August-24"
