Rank,Points,Project Title,Project Number,Benefited Population,Problem Description,Project Description,Applicant Name,County,Leg District,Cong District,W/S,PFA,Public/Private,System Size,Disadvantaged,Special Flag,Start Date,End Date,Total Cost ($),Green Cost ($),CD Code,Audit,Plan,Green Type,Design Date,Project Type,Compliance,PWSID,PFAS/EC,LSL,Total Cost ($),MDE Requested Funding ($)
1,125,ROOP'S MEADOW SPRING WATER TREATMENT FACILITY,DW0035,2055,ROOP'S MEADOW SPRING OFFLINE DUE TO GWUDI NONCOMPLIANCE. REQUIRES TREATMENT TO BRING INTO COMPLIANCE.,CONSTRUCT WATER TREATMENT FACILITY FOR SOURCE WATER FROM ROOP'S MEADOW SPRING,"GARY P. DYE JR., TOWN OF NEW WINDSOR",Carroll,05,2,Y,Y,PUBLIC,Small,0,,09/01/2024,06/30/2025,"$2,376,000",$0,1,,,,05/01/2023,TREATMENT,,MD0060008,,,"2,376,000","2,376,000"
2,125,RISING SUN PLUMPTON PARK ZOO,DW0046,3500,MULTIPLE NITRATE MCL VIOLATIONS,"INSTALL APPROX 3,150 LF 8-IN WATER LINE TO PLUMPTON ZOO PARK","CALVIN A BONENBERGER JR, TOWN OF RISING SUN",Cecil,35B,1,N,Y,PUBLIC,Small,0,,07/01/2024,,"$747,500",$0,1,,,,,TRANSMISSION/DISTRIBUTION,Y,MD0070021,,,"747,565","671,565"
3,115,HAMPSTEAD PFAS TREATMENT/CENTRALIZATION PROJECT,DW0033,7180,HIGH PFAS CONCENTRATIONS. WELLS 24 & 25 TAKEN OUT OF SERVICE.,DESIGN AND CONSTRUCTION OF 4 WATER TREATMENT FACILITIES FOR DILUTION AND/OR GRANULAR ACTIVATED CARBON TREATMENT FOR PFAS,"TAMMI LEDLEY, TOWN OF HAMPSTEAD",Carroll,42C,2,Y,Y,PUBLIC,Small,0,PFAS/EC,07/01/2024,03/31/2026,"$19,787,500",$0,1,Y,Y,,06/01/2023,TREATMENT,,MD0060003,Y,,"19,787,500","19,500,000"
4,105,BRIERCREST APARTMENTS WATER SERVICE,DW0122,60,CONTAMINATED DRINKING WATER SOURCE SERVING 24 APARTMENT UNITS,CONSTRUCT 94 LF OF 8-IN WATER MAIN TO CONNECT APARTMENTS TO FREDERICK CO CAMBRIDGE FARMS WATER SYSTEM,"RODNEY WINEBRENNER, FREDERICK CO MD",Frederick,46,,Y,2,PUBLIC,Large,0,PFAS/EC,10/01/2023,12/31/2023,"$121,100",$0,1,,,,01/01/2023,TRANSMISSION/DISTRIBUTION,,MD0100004,Y,,"121,178","121,178"
5,100,SPRINGVIEW AND GILBERT MOBILE HOME PARKS WATER SERVICE,DW0121,150,MOBILE HOME PARKS WITH PFAS CONTAMINATION EACH SERVED BY SINGLE WELL TO BE CONNECTED TO PUBLIC WATER,"DESIGN AND CONSTRUCT APX 2,700 LF OF 8-IN WATER MAIN TO CONNECT TO FREDERICK CO NEW DESIGN WATER SYS","RODNEY WINEBRENNER, FREDERICK COUNTY",Frederick,03,8,Y,Y,PUBLIC,Large,0,PFAS/EC,02/01/2024,11/30/2024,"$1,195,000",$0,1,,,,04/01/2023,TRANSMISSION/DISTRIBUTION,,MD0100030,Y,,"1,195,000","1,195,000"
6,100,CHESTERTOWN WTP UPGRADE 2023,DW0062,5900,"CONTAMINANTS IN WELL WATER, DAMAGE TO ELECTRICAL DISTRIB BLDG, AND SHALLOW WELLS SUBJECT TO WATER INTRUSION","INSTALL TREATMENT FOR PFAS, RELOCATE ELECTRICAL DISTRIB BLDG, REHAB SHALLOW WELLS","ROBERT SIPES, TOWN OF CHESTERTOWN",Kent,36,1,Y,2,PUBLIC,Small,0,PFAS/EC,04/01/2024,04/30/2025,"$7,825,000","$1,600,000",1,Y,,G,12/01/2021,TREATMENT,,MD0140002,Y,,"7,825,000","7,825,000"
7,100,NORTH EAST WATER QUALITY IMPROVEMENTS - TREATMENT AT ROLLING MILL WTP,DW0044,10738,PAC IS MESSY AND HIGHLY COMBUSTIBLE,INSTALL A PERMANENT POWDER ACTIVATED CARBON (PAC) STORAGE AND FEED SYSTEM AT ROLLING MILL WTP,"MELISSA MACKENZIE, TOWN OF NORTH EAST",Cecil,35B,1,Y,Y,PUBLIC,Small,1,,11/01/2023,06/30/2024,"$250,000",$0,1,,,,01/01/2023,TREATMENT,Y,MD0070016,,,"250,000","172,950"
8,100,NORTH EAST WATER QUALITY IMPROVEMENTS - TREATMENT AT LESLIE WTP,DW0043,10963,PAC IS MESSY AND HIGHLY COMBUSTIBLE,INSTALL A PERMANENT POWDER ACTIVATED CARBON (PAC) STORAGE AND FEED SYSTEM AT LESLIE WTP,"MELISSA MACKENZIE, TOWN OF NORTH EAST",Cecil,35B,1,Y,Y,PUBLIC,Small,1,,11/01/2023,06/30/2024,"$330,000",$0,1,,,,01/01/2023,TREATMENT,Y,MD0070016,,,"330,000","250,033"
9,100,NAYLOR MILL MHP WATER SYSTEM EXTENSION AND PFAS REMEDIATION,DW0098,39233,ELEVATED PFAS LEVELS AT NAYLOR MILL MHP,EXTEND SALISBURY WATER SYSTEM TO NAYLOR MILL MHP TO PROVIDE WATER BELOW EPA HAL,"CORI CAMERON, CITY OF SALISBURY",Wicomico,37A,1,Y,5,PRIVATE,Large,0,PFAS/EC,10/01/2024,04/30/2025,"$5,079,100",$0,1,Y,Y,,09/01/2023,TRANSMISSION/DISTRIBUTION,,MD0220004,Y,,"5,079,189","4,874,910"
10,95,PFAS PFOA MITIGATION WOODBINE VILLAGE MHP,DW0034,130,PFAS PRESENT IN ALL 5 SUPPLY WELLS,TREAT WATER SUPPLY FROM EACH WELL WITH GRANULAR ACTIVATED CARBON TO REMOVE/REMEDIATE PFAS CONTAMINATION,"JIANSUN DONG, WOODBINE VILLAGE LLC",Carroll,05,3,Y,2,PRIVATE,Small,0,PFAS/EC,01/01/2024,12/31/2024,"$750,000",$0,1,,Y,,06/01/2023,TREATMENT,,MD0060203,Y,,"750,000","750,000"
11,95,NEWBURG DRIVE WATER MAIN REPLACEMENT,DW0074,518,"58+ YEAR OLD CAST IRON MAINS WITH TUBERCULATION, WATER DISCOLORATION. FREQUENT BREAKS - EJ",REPLACE/REHAB 1.62 MI OF SMALL DIA (4-IN TO 12-IN) WATER MAINS,"CAVILLE STANBURY-WOOLERY, WASHINGTON SUBURBAN SANITARY COMMISSION",Prince George's,22,4,Y,Y,PUBLIC,Large,1,,08/01/2024,02/28/2026,"$5,773,000",$0,1,Y,Y,,04/01/2018,TRANSMISSION/DISTRIBUTION,,MD0150005,,,"5,773,000","5,773,000"
12,95,CITY OF ABERDEEN WATER TREATMENT PLANT-PFAS,DW0060,19200,EXISTENCE OF SEVERAL REGULATED AND UNREGULATED CONTAMINANTS IN DRINKING WATER INCL PFAS - EJ,CONSTRUCT PFAS TREATMENT WITH GAC ABSORPTION AND MANGANESE GREENSAND FILTRATION,"KYLE TORSTER, CITY OF ABERDEEN",Harford,34A,1,Y,Y,PUBLIC,Large,0,PFAS/EC,08/01/2024,01/31/2026,"$13,972,000",$0,1,,,,03/01/2023,TREATMENT,,MD0120001,Y,,"13,972,000","13,972,000"
13,90,KARLA LANE WATER MAIN REPLACEMENT,DW0073,253,"80+ YEAR OLD CAST IRON MAINS WITH TUBERCULATION, WATER DISCOLORATION. FREQUENT BREAKS - EJ",REPLACE/REHAB 1.47 MI OF SMALL DIA (4-IN TO 8-IN) WATER MAINS,"CAVILLE STANBURY-WOOLERY, WASHINGTON SUBURBAN SANITARY COMMISSION",Prince George's,26,4,Y,Y,PUBLIC,Large,1,,08/01/2024,08/31/2026,"$5,280,000",$0,1,Y,Y,,03/01/2020,TRANSMISSION/DISTRIBUTION,,MD0150005,,,"5,280,000","5,280,000"
14,90,VILLAGE IN THE WOODS WATER MAIN REPLACEMENT,DW0075,560,"CAST IRON MAINS WITH TUBERCULATION, WATER DISCOLORATION. FREQUENT BREAKS BEYOND EXPECTED LIFE - EJ",REPLACE/REHAB 2.71 MI OF UNDERSIZED SMALL DIA (< 16-IN) WATER MAINS,"CAVILLE STANBURY-WOOLERY, WASHINGTON SUBURBAN SANITARY COMMISSION",Prince George's,REG,4,Y,Y,PUBLIC,Large,1,,10/01/2024,09/30/2025,"$9,623,000",$0,1,Y,Y,,01/01/2019,TRANSMISSION/DISTRIBUTION,,MD0150005,,,"9,623,000","9,623,000"
