call_label,severity,field,issue,suggestion
1_col_names,ERROR,Comprehensive_List,Column name mismatch: 'Rank' vs expected 'Project Rank',Rename 'Rank' to 'Project Rank'
1_col_names,ERROR,Comprehensive_List,Column name mismatch: 'Points' vs expected 'Project Score',Rename 'Points' to 'Project Score'
1_col_names,ERROR,Comprehensive_List,Column name mismatch: 'Project Title' vs expected 'Project Name',Rename 'Project Title' to 'Project Name' or clarify mapping
1_col_names,WARNING,Comprehensive_List,Duplicate 'Total Cost ($)' columns detected at positions 20 and 32; unclear which is correct,Remove duplicate column or clarify which represents 'Project Cost'
1_col_names,ERROR,Comprehensive_List,Missing expected column 'Geographic Reference' - data dictionary specifies extraction from 'Applicant Name/County',Create 'Geographic Reference' column or use existing 'County' column
1_col_names,ERROR,Comprehensive_List,Missing expected column 'Project ID' - data dictionary defines this field,Add 'Project ID' column (currently marked as 'No Information' in dictionary)
1_col_names,ERROR,Comprehensive_List,Missing expected column 'Requesting Amount' - data dictionary requires extraction from 'MDE Requested Funding',Rename 'MDE Requested Funding ($)' to 'Requesting Amount' or clarify mapping
1_col_names,ERROR,Comprehensive_List,Missing expected column 'Funding Amount' - should be extracted from Fundable List,Add 'Funding Amount' column (will be populated from Fundable_List join)
1_col_names,ERROR,Comprehensive_List,Missing expected column 'Principal Forgiveness' - should be calculated from Fundable List,Add 'Principal Forgiveness' column (will be calculated from Fundable_List)
1_col_names,ERROR,Comprehensive_List,Missing expected column 'Expecting Funding?' - should be derived from Fundable List presence,Add 'Expecting Funding?' column (will be derived from Fundable_List join)
1_col_names,ERROR,Comprehensive_List,Missing expected column 'Borrower' - data dictionary requires extraction from 'Applicant Name/County',Clarify if 'Applicant Name' serves as 'Borrower' or create separate column
1_col_names,WARNING,Comprehensive_List,Column name case mismatch: 'Benefited Population' vs expected 'Population',Rename 'Benefited Population' to 'Population' for consistency
1_col_names,WARNING,Comprehensive_List,Column name case mismatch: 'Problem Description' - data dictionary uses 'Project Description',Clarify if 'Problem Description' maps to 'Project Description' or if both are needed
1_col_names,WARNING,Comprehensive_List,Column name case mismatch: 'Disadvantaged' vs expected case consistency,Rename to 'Disadvantaged?' to match data dictionary definition
1_col_names,ERROR,Fundable_List,Column name case mismatch: 'APPLICANT' vs expected 'Borrower',Rename 'APPLICANT' to 'Borrower' or clarify mapping
1_col_names,ERROR,Fundable_List,Column name case mismatch: 'PROJECT NAME' vs expected 'Project Name',Rename 'PROJECT NAME' to 'Project Name'
1_col_names,ERROR,Fundable_List,Column name mismatch: 'TOTAL FUNDING' vs expected 'Funding Amount',Rename 'TOTAL FUNDING' to 'Funding Amount'
1_col_names,WARNING,Fundable_List,Column name case mismatch: 'PRIORITY RANK' vs expected 'Project Rank',Rename 'PRIORITY RANK' to 'Project Rank'
