"Project
Number",Applicant Name,County,Project Description,"Disadvantaged
Status",Population,Total Priority Points,Cost per Population Served,"Total Project
Costs","Lead Service
Line Costs","EC Related
Costs",DWSRF Traditional Loan,DWSRF Traditional PF,BIL DWSRF Supplemental Loan,BIL DWSRF Supplemental PF,BIL DWSRF Emerging Contaminants PF,ARPA Grant,DWI Grant,BIL DWSRF LSLR Loan,BIL DWSRF LSLR PF,LSLR + WM ARPA (new)
7710-01,Battle Creek,Calhoun,"WTP, LSLR, well",Overburdened,52000,95,473,24575000,2600000,,,,10961500,11013500,,,,1326000,1274000,
7756-01,City of Ironwood,Gogebic,"Watermain, LSLR",Significantly Overburdened,5045,95,2185,11021000,2044266,,,,,,,7123734,1853000,,,2044266
7741-01,City of Highland Park,Wayne,"Watermain, LSLR",Significantly Overburdened,8977,95,2117,19000000,1900000,,,,,,,17100000,,,,1900000
7846-01,City of Mt. Clemens,Macomb,"GLWA Connection, LSLR",Overburdened,17580,95,2392,42050000,660000,,21713400,,,12527080,,7149520,,336600,323400,
7686-01,Muskegon Heights,Muskegon,"WTP, watermain, LSLR, looping",Significantly Overburdened,9917,95,2160,21420000,6360000,,1420000,,,,,13640000,,,,6360000
7842-01,City of West Branch,Ogemaw,"Watermain, LSLR, looping, tower, new connection, well",Significantly Overburdened,2139,95,8415,18000000,500000,,,,,,,17500000,,,,500000
7549-01,City of St. Louis,Gratiot,"Watermain, LSLR, valves",Significantly Overburdened,1956,95,12014,23500000,120000,,3500000,,,,,20000000,,,,
7838-01,Whittemore,Iosco,"WTP, wells, tower, watermain",Significantly Overburdened,416,95,29639,12330000,,,,,,,,12330000,,,,
7784-01,Grand Rapids (City),Kent,"Watermain, LSLR, looping",Overburdened,202100,90,73,14775000,8000000,,3307500,3467500,,,,,,4080000,3920000,
7497-01,Owosso,Shiawassee,"Watermain, LSLR, WTP",Overburdened,27890,90,125,3490000,250000,,1617500,,,,,1622500,,127500,122500,
7501-01,City of Wakefield,Gogebic,LSLR,Overburdened,1850,90,189,350000,350000,,,,,,,4000,,176460,169540,
7774-01,Oakland County (Pontiac),Oakland,"Watermain, LSLR",Significantly Overburdened,63398,90,400,25365000,2644040,,4016540,,,,,,,1348460,1295580,18704420
7639-01,Inkster,yne,"Watermain, LSLR",Significantly Overburdened,25369,90,430,10905000,1600000,,,,,,,,,,,10905000
7629-01,Lincoln Park,yne,"Watermain, LSLR",Significantly Overburdened,38144,90,498,18985000,6940980,,,,,,,,,,,18985000
7743-01,City of Hamtramck,yne,"Watermain, LSLR",Significantly Overburdened,28190,90,533,15035000,5505300,,,,,,,,,,,15035000
7736-01,Jackson,Jackson,"WTP, watermain",Overburdened,31309,90,558,17460000,,,8730000,,,,,8730000,,,,
7832-01,City of Muskegon,Muskegon,"WTP, watermain, LSLR, looping",Overburdened,38300,90,681,26085000,10000000,,7942500,,,,,8142500,,5100000,4900000,
7750-01,City of Melvindale,Wayne,"Watermain, LSLR",Significantly Overburdened,12739,90,724,9225000,3000000,,,,,,,7929420,,,,1295580
7738-01,City of Ecorse,Wayne,"Watermain, LSLR",Significantly Overburdened,9512,90,796,7575000,278640,,,,,,,7575000,,,,
7841-01,City of Ithaca,Gratiot,"Watermain, LSLR",Overburdened,3098,90,836,2590000,13580,,1225742,,,,,1228458,,69258,66542,
7705-01,Charter Twp. of Union,Isabella,"Watermain, LSLR, new source, WTP",Significantly Overburdened,11699,90,939,10985000,1466000,,,,,,,10514266,,,,470734
7671-01,Springfield,Calhoun,"Watermain, LSLR",Overburdened,5292,90,1349,7140000,75000,,3531750,,,,,3533250,,38250,36750,
7744-01,City of Escanaba,Delta,"Watermain, LSLR, tank",Significantly Overburdened,13659,90,1464,20000000,10509200,,,,,,,20000000,,,,
7588-01,Croswell,Sanilac,"Watermain, LSLR",Overburdened,2422,90,3055,7400000,840000,,3271600,,,,,3288400,,428400,411600,
7708-01,City of Ishpeming,Marquette,"Watermain, LSLR, looping, tank",Overburdened,6470,90,3085,19960200,170000,,9893400,,,,,9896800,,86700,83300,
7664-01,Reed City,Osceola,"Watermain, LSLR, well, tank, meters",Overburdened,2490,90,3996,9950000,2142000,,3882580,,,,,3925420,,1092420,1049580,
7600-01,City of Corunna,Shiawassee,"Water system, LSLR",Overburdened,3046,90,4859,14800000,720500,,7032545,,,,,7046955,,367455,353045,
7852-01,City of Marine City,St. Clair,"Watermain, LSLR, WTP, storage, intake",Overburdened,4652,90,5589,26000000,3276000,,11329240,,,,,11394760,,1670760,1605240,
7745-01,City of Bessemer,Gogebic,"Watermain, LSLR, tank",Overburdened,1900,90,5992,11385000,350000,,5514000,,,,,5521000,,178500,171500,
7856-01,Village of Capac,St. Clair,"Watermain, LSLR, wells, tank, WTP, meters",Overburdened,1983,90,6107,12110000,150000,,5978500,,,,,5981500,,76500,73500,
7806-01,City of Scottville,Mason,"Watermain, LSLR, tank",Significantly Overburdened,1356,90,6413,8696400,375000,,,,,,,8696400,,,,
7616-01,Bessemer Township,Gogebic,"Watermain, looping, LSLR",Overburdened,1176,90,6892,8105000,1742500,,3163825,,,,,3198675,,888675,853825,
7837-01,Standish Township*,Arenac,Watermain extension,Overburdened,600,90,10055,6033058,,,,,3016529,,,3016529,,,,
7703-01,City of Alma,Gratiot,"Watermain, LSLR, meters, tank",Overburdened,1233,90,15783,19460000,1040000,,1097639,,779291,,,9220400,,530400,509600,
