System Name,MDH 2024 PPL Rank,MDH 2024 PPL Points,Project Description,Project Number,Population,Est. Const Start,Estimated Project Cost,Estimated DWRF Loan,"Estimated
DWRF
Emerging
Contaminant
PF Grant
NOT FINAL
(1)","Estimated
DWRF
Disadvantgd
Community
Principal
Forgiveness
NOT FINAL
(2","Estimated
WIF Grant
NOT FINAL
(3",State or Federal Appropriation,Other Funds,IUP Status
Westbrook,2,30,Treatment - New RO Plant for Nitrite,1170005-2,900,Nov-23,"6,890,100","2,378,550",-,"4,511,550",-,-,-,23 Carryover
Tower,10,25,Treatment - Plant Improvements,1690051-2,500,Nov-23,"5,600,000","887,629",-,"1,337,371",-,-,"3,375,000",20 Carryover
Pine River,17,20,Treatment - Manganese New Plant,1110019-6,960,Oct-23,"3,702,332","406,557","1,851,166","1,444,609",-,-,-,"23 Carryover,EC"
Clearbrook,22,20,Treatment - Manganese Plant & Well,1150003-3,671,Jun-23,"4,080,998",-,"2,040,499",-,-,"4,500,000",-,"23 Carryover,EC"
Glenville,41,20,Treatment - Gross Alpha TP & Wells,1240010-1,670,Oct-23,"5,213,601","1,784,106",-,-,"3,429,495",-,-,22 Carryover
Aurora,115,15,Consolidation - E Mesabi Joint Water Sys,1690002-6,"2,225",Apr-24,"27,166,202","8,166,202",-,-,"5,000,000","14,000,000",-,23 Carryover
Sebeka,161,12,Watermain - Repl & Loop - Phase 1,1800002-10,777,Jul-23,"1,450,280","310,562",-,"1,139,718",-,-,-,23 Carryover
Dawson,162,12,Treatment - Plant Rehab,1370003-6,"1,540",Apr-24,"1,232,500","263,044",-,-,"969,456",-,-,21 Carryover
Two Harbors,169,12,Treatment - Repl Chlorine Contact Tank,1380005-4,"3,613",Sep-23,"8,742,361","3,742,361",-,"5,000,000",-,-,-,20 Carryover
Madison,173,12,Watermain - NW Area Loop,1370004-5,"1,647",May-23,"1,025,018","205,004",-,-,"820,014",-,-,23 Carryover
International Falls,182,12,Treatment - Plant Rehab,1360002-1,"5,816",Jun-23,"11,660,000","11,660,000",-,-,-,-,-,23 Carryover
Silver Bay,208,12,Treatment - Plant Improvements,1380003-11,"1,610",Jan-24,"7,950,000","7,950,000",-,-,-,-,-,23 Carryover
Le Sueur,220,12,Watermain - New Booster Station & Wtrmn,1400010-9,"4,174",Aug-24,"2,200,000","2,200,000",-,-,-,-,-,22 Carryover
South Saint Paul,227,12,Treatment - New Radium/Mn/Fe Plant,1190020-3,"20,637",Sep-23,"9,986,235","9,986,235",-,-,-,-,-,23 Carryover
Zimmerman,228,12,Treatment - New Pressure Filter Plant,1710006-8,"5,657",Mar-23,"8,956,854","8,956,854",-,-,-,-,-,23 Carryover
Zimmerman,243,11,Storage - New 0.4 MG Tower,1710006-9,"5,657",Jun-23,"1,834,536","1,834,536",-,-,-,-,-,23 Carryover
Appleton,285,10,Watermain - Water Distribution Imprvmnts,1760001-2,"1,339",May-23,"8,950,000","3,950,000",-,-,"5,000,000",-,-,22 Carryover
