call_label,severity,field,issue,suggestion
1_col_names,WARNING,Geographic Reference,Column not found in any data file. Data dictionary defines this as a standardized category but no corresponding column exists.,Add Geographic Reference column or confirm it is intentionally omitted per note 'No information'
1_col_names,WARNING,Borrower,"Data dictionary maps to 'Project' column, but standardized category is named 'Borrower'. Column naming is inconsistent with dashboard standards.",Rename 'Project' column to 'Borrower' or clarify if 'Project' serves dual purpose
1_col_names,WARNING,PWSID,Column not found in any data file. Data dictionary defines this as a standardized category but notes 'No information' available.,Confirm intentional omission or add PWSID column if data becomes available
1_col_names,WARNING,Project ID,Column not found in any data file. Data dictionary defines this as a standardized category but notes 'No information' available.,Confirm intentional omission or add Project ID column if data becomes available
1_col_names,WARNING,Project Name,Column not found in any data file. Data dictionary defines this as a standardized category but notes 'No information' available.,Confirm intentional omission or add Project Name column if data becomes available
1_col_names,INFO,Project Type,Column not found in data files. Data dictionary defines classification rules but no explicit column exists in source data.,This field must be derived/assigned based on source document and project description rules defined in data standardization section
1_col_names,WARNING,Project Cost,Column not found in any data file. Data dictionary defines this as a standardized category but notes 'No information' available.,Confirm intentional omission or add Project Cost column if data becomes available
1_col_names,WARNING,Funding Amount,Column not found in any data file. Data dictionary defines this as a standardized category but notes 'No information' available.,Confirm intentional omission or add Funding Amount column if data becomes available
1_col_names,INFO,Zip Code,Column exists in all data files but is not defined in the standardized categories section of the data dictionary.,Add Zip Code to the data dictionary's standardized categories section or clarify its relationship to Geographic Reference
1_col_names,INFO,Statewide Cum. $,Column exists in all data files but is not defined in the standardized categories section of the data dictionary.,Add Statewide Cum. $ to the data dictionary with definition and purpose
1_col_names,WARNING,Disadvantaged,"Data dictionary maps to derived field 'Eligible PF Amount > $0' rather than explicit column, but Eligible PF Amount column exists. Mapping methodology should be clearly documented in data processing.",Confirm that Eligible PF Amount column will be used to derive Disadvantaged status in data processing pipeline
2_types_nulls,ERROR,Eligible PF Amount,"Column type is 'character' but should be 'numeric' for financial amounts. Inconsistent across files: PPL_MS_FFY2023_EC2_doc5_raw_curated.csv and PPlaL_MS_FFY2023_EC2_doc5_raw_curated.csv have 'logical' type with 100% NA, violating the expected numeric data type.","Convert all Eligible PF Amount columns to numeric type. Remove currency symbols and commas. For files with 100% NA, verify whether this represents intentional 'no information' per dictionary (EC IUP-2 has 'No information available') or data collection error."
2_types_nulls,ERROR,Loan Amount Requested,Column type is 'character' but should be 'numeric' for financial amounts. Contains currency formatting ($) that prevents numeric operations.,"Convert to numeric type by removing '$' and ',' characters."
2_types_nulls,ERROR,Statewide Cum. $,Column type is 'character' but should be 'numeric' for financial amounts. Contains currency formatting that prevents numeric operations.,"Convert to numeric type by removing '$' and ',' characters."
2_types_nulls,WARNING,Zip Code,"Range [10001, 39744] in PPL_MS_FFY2023_BASE_doc1_raw_curated.csv includes values outside Mississippi zip codes (10001 is New York). Mississippi zip codes typically range from 38601-39776.",Validate zip code values. Investigate and correct any out-of-state zip codes.
2_types_nulls,WARNING,Priority Points,"Range [7, 18098] in PPL_MS_FFY2023_BASE_doc1_raw_curated.csv shows extremely wide variation. Range [102, 26250] in PPL_MS_FFY2023_LSLR1_doc2_raw_curated.csv is substantially higher. Range [0, 7626] in PPlaL_MS_FFY2023_BASE_doc1_raw_curated.csv is much lower. This suggests different scoring systems across document types but is not clearly explained in the dictionary.","Clarify in documentation whether different Priority Points ranges are expected for different document types (Priority List vs. Planning List) and project types (Base, LSLR, EC)."
2_types_nulls,WARNING,Service Area Population,Range includes 0 (in PPL_MS_FFY2023_LSLR1_doc2_raw_curated.csv). Zero population for a water system project is logically implausible.,Investigate records with Service Area Population = 0. These may be data entry errors or header rows that were not properly filtered.
2_types_nulls,WARNING,"Project Description, Eligible PF Amount","11.4% NA rate in PPL_MS_FFY2023_BASE_doc1_raw_curated.csv and 4.3% NA rate in PPL_MS_FFY2023_LSLR1_doc2_raw_curated.csv correlate with category header rows (e.g., 'Category III: Primary Drinking Water Standards Projects'). These appear to be section dividers rather than actual project records.","Remove category header rows during data cleaning. They should not be included in the dataset as they are structural elements of the PDF, not project data."
2_types_nulls,WARNING,Eligible PF Amount,"PPL_MS_FFY2023_LSLR2_doc3_raw_curated.csv shows all values as '$0.00' (1 distinct value with 16.7% NA). Dictionary states 'No information' for LSLR IUPs regarding Principal Forgiveness, but actual data shows $0.00 rather than NA/null.",Clarify whether '$0.00' represents 'no principal forgiveness available' (which is data) or 'no information' (which should be NA). Ensure consistency with dictionary interpretation.
2_types_nulls,INFO,Eligible PF Amount,"PPL_MS_FFY2023_EC1_doc4_raw_curated.csv and PPL_MS_FFY2023_EC2_doc5_raw_curated.csv have inconsistent NA handling for Eligible PF Amount. EC1 has 50% NA (character type with values), EC2 has 100% NA (logical type). Dictionary states 'No information available for SFY24 EC IUP-2'.","Verify whether EC2's 100% NA is intentional per dictionary. If so, document this expected difference in data preparation notes."
2_types_nulls,INFO,"Project, Project Description","Multiple files contain category header rows (e.g., 'Category III: Primary Drinking Water Standards Projects') as separate records with all numeric and financial fields as NA. These are structural elements from PDF formatting, not actual projects.",Document the data cleaning process that removes these header rows. Verify they have been removed from final analysis datasets to avoid miscount of projects.
3_script_logic,ERROR,principal_forgiveness,"The logic for assigning principal_forgiveness uses row positions before the 'Funding Line--' row as a proxy for 'above the funding line,' but this is computed on the combined_list which includes rows from ALL source files (Base, LSLR, EC). The dict specifies that eligible_pf_amount should be used only for projects above the Funding Line on the SFY24 Base/IIJA Gen Supp PPL, and 'No Information' should be used for EC and LSLR IUPs. The current logic incorrectly applies eligible_pf_amount to LSLR and EC rows that happen to appear before any funding line row in the combined dataset.","Filter or condition the principal_forgiveness assignment to only apply eligible_pf_amount when source_file == 'Base' and the row is above the funding line. For LSLR and EC rows, always assign 'No Information' regardless of row position."
3_script_logic,ERROR,disadvantaged,"The dict states 'No information available for SFY24 EC IUP-2' for DAC status. The script currently handles only Planning list EC rows as 'No Information' (source_list == 'Planning' & source_file == 'EC'), but it should specifically flag SFY24 EC IUP-2 (iup_number == '2' & source_file == 'EC') as 'No Information' regardless of whether they are on the Priority or Planning list. EC IUP-1 rows could potentially be evaluated.","Change the disadvantaged condition to: source_file == 'EC' & iup_number == '2' ~ 'No Information', and handle EC IUP-1 separately based on available data. Also ensure LSLR rows are handled per dictionary guidance."
3_script_logic,ERROR,project_rank,"The dict states projects are ranked by the order they appear on the PPL or Planning List. The script groups by source_list only (Priority or Planning) and assigns row_number() within that group, but does not further group by source_file and iup_number. This means projects from Base, LSLR, and EC files are all ranked together within the same source_list group, producing incorrect ranks that mix different lists.","Group by source_list, source_file, and iup_number together when computing project_rank, so each distinct list gets its own sequential rank. E.g., dplyr::group_by(source_list, source_file, iup_number)."
3_script_logic,ERROR,expecting_funding,"The 'Yes' condition for expecting_funding uses the same row_id-based funding line logic as principal_forgiveness, which suffers from the same cross-file contamination issue. Additionally, the dict says Planning list projects are 'No' for expecting_funding, but the script's .default = 'No' would catch Planning list Base rows correctly only if the LSLR/EC condition is checked first. However, Planning list LSLR/EC rows would be caught by the source_file %in% c('LSLR','EC') condition and assigned 'No Information' correctly. The main risk is Base rows above the funding line being misidentified due to mixed row_ids.","Separate the funding line detection per source_file and iup_number group before combining, or filter and tag 'above funding line' rows per individual file prior to binding rows together."
3_script_logic,WARNING,disadvantaged,"The dict specifies that for SFY24 LSLR IUP-1 and IUP-2 there is also 'No information' for disadvantaged status, but the script does not explicitly handle LSLR rows. LSLR rows with a null or zero eligible_pf_amount would fall to the .default = 'No' case, which may be incorrect.","Add a condition: source_file == 'LSLR' ~ 'No Information' to the disadvantaged case_when, consistent with the dict's statement that no PF information is available for LSLR IUPs."
3_script_logic,WARNING,principal_forgiveness,"After the Funding Line-- rows are filtered out with dplyr::filter(!stringr::str_detect(project, 'Funding Line--')), the row_id values computed before the filter no longer align with the post-filter data. The principal_forgiveness and expecting_funding assignments use row_id computed on the pre-filter dataset but the filter happens after, so if any re-indexing occurs this could cause subtle mismatches. The logic is fragile and depends on the Funding Line-- rows still being present when row_id is computed.","Ensure that row_id is assigned and all funding-line-dependent logic is completed before the filter step removes the Funding Line-- rows. The current ordering does maintain this, but it should be explicitly documented and tested to avoid future breakage."
3_script_logic,WARNING,requested_amount,"The dict specifies the source column is 'Loan Amount Requested' for the Base IUP and 'Loan Amount Request' for LSLR and EC IUPs (slightly different column names). After janitor::clean_names() these may become different snake_case column names (e.g., loan_amount_requested vs loan_amount_request). The script only references loan_amount_requested uniformly, which may produce NAs for LSLR and EC files if their column cleans to a different name.","Check the actual cleaned column names from each file type and use coalesce or rename to handle both variants, e.g., dplyr::mutate(requested_amount = clean_numeric_string(dplyr::coalesce(loan_amount_requested, loan_amount_request)))."
