SRF#,Applicant,County,2024 IUP Listed Cost,BIL-GS Grant Award FFY24 IUP,BIL-GS 0% Loan Award FFY24 IUP
18846,Richfield Springs (V),Otsego,"$20,680,000.00","$4,318,937.00",$0.00
19102,Odessa (V),Schuyler,"$10,251,410.00","$708,392.00",$0.00
19529,Mayville (V),Chautauqua,"$9,640,540.00","$5,000,000.00",$0.00
19517,Turin (V),Lewis,"$6,952,500.00","$4,866,750.00",$0.00
19538,Chautauqua (T),Chautauqua,"$9,591,360.00","$5,000,000.00","$4,591,360.00"
18923,New Berlin (V),Chenango,"$15,397,000.00","$5,000,000.00","$7,397,000.00"
19154,Watertown (C),Jefferson,"$51,500,000.00","$5,000,000.00","$14,000,000.00"
19571,Ovid (V),Seneca,"$4,438,167.00","$3,106,717.00","$1,331,450.00"
19244,Salamanca (C),Cattaraugus,"$28,040,556.00","$5,000,000.00","$14,000,000.00"
19547,Akron (V),Erie,"$6,500,000.00","$4,550,000.00","$1,950,000.00"
19567,Troy (C),Rensselaer,"$16,070,000.00","$5,000,000.00","$4,285,860.00"
18958,Otego (V),Otsego,"$6,899,315.00","$954,521.00",$0.00
19510,Lorraine (T),Jefferson,"$4,435,000.00","$3,081,433.00",$0.00
