Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total
17299,Albany,RAVENA VILLAGE,Ravena (V),"Source, WTP, Storage, and Distribution Improvements., Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Storage, Upgrade Distribution System",4500,0,1080,0
18535,Albany,WATERVLIET CITY,Watervliet (C),"Water System Improvements., Upgrade Water Treatment Plant, Upgrade Transmission",9889,0,80,0
18903,Albany,ALBANY CITY,Albany MWFA,"2022 Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station",101082,0,70,0
18523,Albany,ALBANY CITY,Albany MWFA,"Feura Bush WTP Upgrades., Upgrade Water Treatment Plant, Upgrade Storage",101082,0,65,0
17548,Albany,MENANDS VILLAGE,Menands (V),"Upgrade Pump Station, Upgrade Distribution System",3900,6936000,60,6936000
18659,Albany,WESTERLO WD 1,Westerlo (T),"Aeration for DBP treatment at well sources, Upgrade Water Treatment Plant",265,200000,55,7136000
18984,Albany,COHOES CITY,Cohoes (C),"Phase 2 WTP Upgrades., Upgrade Water Treatment Plant",15550,9738811,45,16874811
18572,Albany,COHOES CITY,Cohoes (C),"WTP Improvements Phase I., Upgrade Water Treatment Plant",15550,9609256,45,26484067
19155,Albany,RAVENA (V),Ravena (V),"Phase 2 Water System Improvements, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System",3500,7650840,40,34134907
19558,Albany,ALBANY (C),Albany MWFA,"Rensselaer Lake Dam Safety Improvements, Upgrade Other Expenses, Upgrade Other (OT)",98000,1954888,40,36089795
19127,Albany,ALBANY (C),Albany MWFA,"Basic Creek Reservoir Dam Safety Improvements, Upgrade Surface Water Source",101082,7822850,40,43912645
19157,Albany,ALBANY (C),Albany MWFA,"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station",101082,8642193,40,52554838
19456,Albany,ALBANY (C),Albany (C),"Lead service line replacement., Upgrade Distribution System",7725,12864426,40,65419264
18333,Albany,MENANDS VILLAGE,Menands (V),"South End Water System Improvements., Upgrade Distribution System",3900,0,35,65419264
19554,Albany,ALBANY (C),Albany MWFA,"Water main replacement and upgrade of associated appurtenances., Upgrade Distribution System",98617,7604722,35,73023986
19059,Albany,GUILDERLAND (T),Guilderland (T),"Greensand Groundwater Filtration system., Upgrade Water Treatment Plant",27546,5005050,35,78029036
18807,Albany,LATHAM WATER DISTRICT,Colonie (T),"River Road Storage and Mohawk View WTP Mixing Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System",78500,6230000,30,84259036
19443,Albany,RAVENA (V),Ravena (V),"Lead service line inventory., Upgrade Distribution System",3271,345050,25,84604086
19152,Albany,BETHLEHEM WD NO 1 - NEW SALEM SYSTEM,Bethlehem (T),"NYS Route 85 Transmission Main Replacement, Upgrade Transmission",31000,6695000,20,91299086
19341,Albany,BETHLEHEM WD NO 1 - NEW SALEM SYSTEM,Bethlehem (T),"Rehabilitation of 3.0 MG Storage Tank, Upgrade Storage",31000,2500000,15,93799086
19150,Albany,BETHLEHEM WD NO 1 - NEW SALEM SYSTEM,Bethlehem (T),"Elevated Water Storage Tank Replacement, Upgrade Storage",31000,3900000,15,97699086
18824,Allegany,HUME WATER DISTRICT,Hume (T),"Sanford Springs Consolidation and System Upgrades., Extend Distribution System, Upgrade Distribution System, New System Consolidation",620,600000,1160,98299086
18358,Allegany,ANDOVER (V),Andover (V),"Source (GWUDI Springs), Distribution, & Storage Improvements., New Water Treatment Plant, Upgrade Transmission, Upgrade Distribution System, New System Consolidation",2500,2547345,1135,100846431
19051,Allegany,SCIO WATER DISTRICT,Scio (T),"Water Storage Tank Replacement and Water System Improvements, Upgrade Storage, Upgrade Distribution System",900,2550000,90,103396431
18896,Allegany,CUBA (V),Cuba (V),"Water main replacement and improvements to well site and storage tanks., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",1500,7373770,60,110770201
19213,Allegany,WELLSVILLE (V),Wellsville (V),"Village-Wide Watermain Replacement, Upgrade Distribution System",900,5166480,60,115936681
18622,Allegany,ALFRED VILLAGE WATER SUPPLY,Alfred (V),"Upgrade Transmission, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System",3500,0,55,115936681
18856,Allegany,WELLSVILLE VILLAGE PUBLIC WATER,Wellsville (V),"Replacement of WTP pumps and controls, meters, and aged water mains., Upgrade Water Treatment Plant, Upgrade Distribution System",5700,1596912,55,117533593
19552,Allegany,FRIENDSHIP (T),Friendship (T),"Distribution, Source and Treatment Upgrades, Upgrade Ground Water Source, Upgrade Distribution System",1400,12450000,45,129983593
19531,Allegany,ANGELICA (V),Angelica (V),"Replacement of WM and New Water District, Upgrade Distribution System",713,3932160,40,133915753
19551,Allegany,ALMOND (V),Almond (V),"Mill St. & Maple Ridge Water Main Improvements Project, Upgrade Distribution System",690,1025000,25,134940753
18369,Allegany,ALMOND VILLAGE PUBLIC WATER,Almond (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",600,922000,20,135862753
18941,Broome,VILLAGE OF ENDICOTT,Endicott (V),"New Source Development to Address Fe/Mn/1,4-dioxane., New Ground Water Source",46000,7310218,120,143172971
18681,Broome,ENDICOTT (V),Endicott (V),"Well No. 32 treatment for iron, manganese, and 1,4-dioxane., Upgrade Water Treatment Plant",46000,18473853,80,161646824
18544,Broome,PORT DICKINSON (V),Port Dickinson (V),"Replace Aged Water Mains Chenango St. and Rochelle Rd., Upgrade Distribution System",1699,2810116,45,164456940
18576,Broome,"BINGHAMTON, CITY OF",Binghamton (C),"Harding Avenue Water Tank Replacement., Upgrade Storage",47600,1273080,40,165730020
18610,Broome,VESTAL CONSOLIDATED W.D. #1,Vestal (T),"Old Vestal & Burn Hill Rd Watermain., Upgrade Distribution System",20950,1652683,35,167382703
18256,Broome,CHENANGO CONSOLIDATED WD #1,Chenango (T),"New well and appurtenances as redundancy for Northgate Well., New Ground Water Source",9200,2519195,30,169901898
18748,Broome,BINGHAMTON (T) CONSOLIDATED WD,Binghamton (T),"Powers Road Storage Tank Replacement., New Storage",2600,939393,25,170841291
18842,Cattaraugus,SOUTH DAYTON VILLAGE,South Dayton (V),"Source and distribution upgrades., Upgrade Ground Water Source, Upgrade Distribution System",661,0,1120,170841291
18574,Cattaraugus,ELLICOTTVILLE (T) & (V),Ellicottville (T),"Upgrade Wells, Pump Stations, and Storage., Upgrade Ground Water Source, Upgrade Storage, Upgrade Pump Station",900,0,1100,170841291
18907,Cattaraugus,LITTLE VALLEY VILLAGE,Little Valley (V),"Installation of wells, main replacement, and WTP improvements., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",1188,5950000,135,176791291
19244,Cattaraugus,SALAMANCA (C),Salamanca (C),"Abandon Existing WTP, New Well Source, New Pump Building., Upgrade Water Treatment Plant",6150,28040556,90,204831847
18843,Cattaraugus,PORTVILLE VILLAGE,Portville (V),"Well, treatment, storage, and distribution upgrades., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",1040,5408530,85,210240377
18813,Cattaraugus,FRANKLINVILLE VILLAGE,Franklinville (V),"South and North Wellhouse Improvements & Howard Street Water Main Replacement., Upgrade Ground Water Source, Upgrade Distribution System",1760,6000000,60,216240377
19026,Cattaraugus,OLEAN (C),Olean (C),"WTP Upgrades and Structural Rehabilitation, Upgrade Water Treatment Plant",13937,4801500,45,221041877
18025,Cattaraugus,SALAMANCA CITY,Salamanca (C),Upgrade Distribution System,7000,1688000,30,222729877
19060,Cattaraugus,ALLEGANY VILLAGE,Allegany (V),"2021 Water Meter Upgrades, Upgrade Other Expenses, Upgrade Other (OT)",1900,163915,25,222893792
19201,Cayuga,CAYUGA COUNTY W&S AUTHORITY,Cayuga County W&S Authority,"Regional Water District Project, New Water Treatment Plant, Upgrade Transmission, New Storage, New Pump Station, Upgrade Distribution System, New System Consolidation, New Water District",42653,54882970,125,277776762
18564,Cayuga,AURORA (V) NEW SYSTEM,Aurora (V),"New WTP, New Transmission, New Inter-Connection",700,10370000,105,288146762
18128,Cayuga,PROPOSED WD #2,Sterling (T),"Water District #2., Extend Distribution System",500,6669393,80,294816155
19411,Cayuga,AUBURN (C),Auburn (C),"Lead Service Line Inventory., Upgrade Distribution System",43000,917988,70,295734142
18905,Cayuga,AUBURN,Auburn (C),"Comprehensive upgrades to City of Auburn Water Filtration Plant, Upgrade Water Treatment Plant",29788,9866370,70,305600512
19133,Cayuga,WEEDSPORT (V),Weedsport (V),"Water Systems Improvements, Upgrade Storage, Upgrade Distribution System",1945,22008000,55,327608512
19074,Cayuga,WD NO. 11,Brutus (T),"Water District No. 11, New Water District",116,1430000,50,329038512
19073,Cayuga,WD NO. 10,Brutus (T),"Water District No. 10, New Water District",90,1100000,50,330138512
18924,Cayuga,"CCWSA PHASE 1A:AUR, FLEM, SPRING",Cayuga County W&S Authority,"Main extension on Honoco Rd., New Distribution System",180,7130744,50,337269256
19199,Cayuga,THROOP (T) WD #2,Throop (T),"Water District #2 - Centerport, Reyer, and Sine Rd., New Water District",66,1069400,45,338338656
18182,Cayuga,SENNETT WD #6,Sennett (T),"Upgrade Other Expenses, Upgrade Storage, Upgrade Distribution System, Upgrade Other (OT)",60,4142100,40,342480756
19210,Cayuga,AUBURN,Auburn (C),"Raw Water Transmission Main Replacement, Upgrade Transmission",29788,12300000,40,354780756
