EPIC Project ID,Entity,Project,Estimated Loan Amount,SDWIS Population,PWS ID,County,Loan Type,Estimated Award Date,Rate,District Office
1,Adams County Regional Water District,ARPA Water System Improvements,"$2,120,600.00","6,500",OH0100012,Adams,Construction,23-Sep,REG,SEDO
2,Adams County Regional Water District,Winchester Industrial Park Water System Improvements,"$2,434,000.00","25,000",OH0100012,Adams,Construction,23-Oct,STD,SEDO
3,Addyston,"Distribution, LSL, and Transmission Main Replacement","$790,995.00",884,OH3100012,Hamilton,Design,24-Jun,PLN/DES,SWDO
4,Addyston,"Distribution, LSL, and Transmission Main Replacement","$10,532,785.00",900,OH3100012,Hamilton,Construction,24-May,SML/LSL,SWDO
5,Addyston,Sekitan Avenue Watermain and LSL Replacement,"$1,313,708.00",900,OH3100012,Hamilton,Construction,24-May,SML/LSL,SWDO
6,Akron,Archwood Pumping Station Improvement,"$1,804,650.00","280,000",OH7700011,Summit,Construction,23-Sep,STD,NEDO
7,Akron,Brittain Road Reservoir Replacement Construction,"$30,000,000.00","280,000",OH7700011,Summit,Construction,24-Jan,STD,NEDO
8,Akron,Copley Township Water Main Extension for Regionalization,"$1,250,000.00","280,000",OH7700011,Summit,Construction,24-Jan,DIS/REG,NEDO
9,Akron,Fluoride and Hydrochloric Acid Feed System Replacement,"$913,250.00","280,000",OH7700011,Summit,Construction,23-Dec,STD,NEDO
10,Akron,Hawkins Ave (S) Water Main Extension,"$324,600.00","280,000",OH7700011,Summit,Construction,24-Feb,STD,NEDO
11,Akron,Lead Service Line Replacement 2024,"$10,000,000.00","280,000",OH7700011,Summit,Construction,24-Mar,LSL,NEDO
12,Akron,Lead Service Line Replacement Program 2023,"$5,000,000.00","280,000",OH7700011,Summit,Construction,23-Sep,LSL,NEDO
13,Akron,NSSM Arborwood Dr Water Main Replacement,"$223,000.00","280,000",OH7700011,Summit,Construction,24-Feb,STD,NEDO
14,Akron,NSSM Hudson Aurora Rd Herrick Park Dr Water Main Extension,"$768,100.00","280,000",OH7700011,Summit,Construction,24-Apr,STD,NEDO
15,Akron,Portage Lakes Water Main Extension,"$5,300,960.00","280,000",OH7700011,Summit,Construction,24-Mar,DIS/REG,NEDO
16,Akron,Pump Ball Valve & Limitorque Manual Valve Replacement,"$5,668,000.00","280,000",OH7700011,Summit,Construction,24-Apr,STD,NEDO
17,Akron,Quayle Pumping Station Improvements,"$1,107,300.00","280,000",OH7700011,Summit,Construction,24-Jun,STD,NEDO
18,Akron,Raw Water Intake Valve Replacement & Repair ph 1,"$350,000.00","280,000",OH7700011,Summit,Construction,24-Mar,STD,NEDO
19,Akron,US 224 Waterloo Rd Water Main Extension,"$1,851,000.00","280,000",OH7700011,Summit,Construction,24-Apr,STD,NEDO
20,Akron,Water Main Replacement Program 2024,"$3,000,000.00","280,000",OH7700011,Summit,Construction,24-Mar,STD,NEDO
21,Akron,Water Plant Water Main Upgrade,"$190,000.00","280,000",OH7700011,Summit,Construction,23-Oct,STD,NEDO
22,Albany,Meter Replacement,"$79,191.00",901,OH0500003,Athens,Construction,23-Oct,SML,SEDO
23,Amanda,New Well No. 6,"$35,000.00",737,OH2300012,Fairfield,Design,23-Sep,PLN/DES,CDO
24,Amanda,New Well No. 6,"$276,500.00",737,OH2300012,Fairfield,Construction,24-Jun,SML,CDO
25,Ansonia,Water Tower Replacement,"$90,000.00","1,126",OH1900012,Darke,Design,23-Sep,PLN/DES,SWDO
26,Ansonia,Water Tower Replacement,"$1,387,000.00","1,126",OH1900012,Darke,Construction,24-Apr,SML,SWDO
27,Aqua Ohio Inc.,Lead Service Line Replacement in Ashtabula,"$810,000.00","39,838",OH0400711,Ashtabula,Construction,24-Mar,LSL,NEDO
28,Aqua Ohio Inc.,Marion Lead Service Line Replacement,"$36,840,000.00","46,320",OH5100414,Marion,Construction,23-Sep,LSL,NWDO
29,Aqua Ohio Inc.,Struthers Lead Service Line Replacement,"$170,000.00","58,551",OH5001611,Mahoning,Construction,23-Sep,LSL,NEDO
30,Aqua Ohio Inc.,Tiffin Lead Service Line Replacement,"$20,650,000.00","20,035",OH7400614,Seneca,Construction,23-Oct,LSL,NWDO
31,Arcanum,Water Tower Replacement,"$10,000.00","2,110",OH1900112,Darke,Planning,23-Sep,PLN/DES,SWDO
32,Arcanum,Water Tower Replacement,"$70,000.00","2,100",OH1900112,Darke,Design,23-Oct,PLN/DES,SWDO
33,Ashley,Waterline Replacement Phase 2,"$2,848,093.00","1,286",OH2100011,Delaware,Construction,23-Oct,SML,CDO
34,Ashtabula County,Harpersfield Water Tower,"$3,300,000.00","98,622",OH0400803,Ashtabula,Construction,23-Dec,STD,NEDO
35,Ashtabula County,Lenox New Lyme Waterline Extension,"$174,000.00","14,200",OH0400803,Ashtabula,Design,23-Sep,PLN/DES,NEDO
36,Ashtabula County,Lenox New Lyme Waterline Extension,"$1,744,600.00","13,972",OH0400803,Ashtabula,Construction,23-Dec,DIS/REG,NEDO
37,Ashtabula County,Northeast Regional Waterline Extension,"$10,432,000.00","14,200",OH0400803,Ashtabula,Construction,24-Jun,DIS/REG,NEDO
38,Ashtabula County,S River Road Waterline Extension,"$1,792,000.00","14,200",OH0400803,Ashtabula,Construction,23-Sep,DIS/REG,NEDO
39,Ashtabula County,SR 307 and College Street Waterline Replacement,"$1,192,369.00","14,200",OH0400803,Ashtabula,Construction,23-Sep,STD,NEDO
40,Ashtabula County,Water Storage Tank Improvements,"$1,300,000.00","14,200",OH0400803,Ashtabula,Construction,23-Aug,STD,NEDO
41,Attica,Regionalization with Willard,"$15,000.00","1,148",OH7400011,Seneca,Planning,23-Aug,PLN/DES,NWDO
42,Attica,Regionalization with Willard,"$135,000.00","1,148",OH7400011,Seneca,Design,24-Jan,PLN/DES,NWDO
43,Baltic,Brickyard Road Water and Sewer Replacement,"$42,000.00",959,OH7900112,Tuscarawas,Design,23-Aug,PLN/DES,SEDO
44,Baltic,Brickyard Road Water and Sewer Replacement,"$583,000.00",959,OH7900112,Tuscarawas,Construction,23-Oct,SML,SEDO
45,Beaver,2023 Waterline Replacement,"$52,900.00",434,OH6600012,Pike,Design,23-Aug,PLN/DES,SEDO
46,Beaver,2023 Waterline Replacement,"$799,750.00",434,OH6600012,Pike,Construction,24-Apr,DIS,SEDO
47,Beaverdam,Prospect Street Water Main Replacement,"$304,370.00",311,OH0200012,Allen,Construction,24-Jan,SML,NWDO
48,Belmont County,Water Transmission System Improvements,"$6,700,000.00","44,000",OH0700412,Belmont,Construction,23-Aug,REG,SEDO
49,Belpre,2.5 MG Water Storage Tank,"$146,045.00","6,421",OH8400012,Washington,Design,23-Aug,PLN/DES,SEDO
50,Belpre,2.5 MG Water Storage Tank,"$4,534,807.00","7,051",OH8400012,Washington,Construction,24-Jan,SML,SEDO
51,Belpre,"Little Hocking 8"" Emergency WM Connecter and Booster PS","$143,910.00","6,387",OH8400012,Washington,Design,23-Aug,PLN/DES,SEDO
52,Belpre,"Little Hocking 8"" EmergencyWM Connecter and Booster PS","$1,349,510.00","6,421",OH8400012,Washington,Construction,23-Dec,SML,SEDO
53,Belpre,Water Tank Supply Main and Various WM Replacements,"$100,400.00","6,387",OH8400012,Washington,Design,23-Aug,PLN/DES,SEDO
54,Belpre,Water Tank Supply Main and Various WM Replacements,"$1,212,564.00","6,421",OH8400012,Washington,Construction,23-Dec,SML/LSL,SEDO
55,Beverly,Tank Replacement,"$1,120,900.00","1,229",OH8400112,Washington,Construction,23-Sep,SML,SEDO
56,Beverly,Water System Imps PFAS/PFOS Treatment,"$181,600.00","1,520",OH8400112,Washington,Design,23-Aug,EC,SEDO
57,Blanchester,Reservoir 3 Improvements,"$2,337,315.00","4,243",OH1400111,Clinton,Construction,24-Jun,SML,SWDO
58,Blanchester,Vine Street Water Tower Rehabilitation,"$45,000.00","4,243",OH1400111,Clinton,Design,23-Oct,PLN/DES,SWDO
59,Blanchester,Vine Street Water Tower Rehabilitation,"$695,000.00","4,243",OH1400111,Clinton,Construction,24-Jun,SML,SWDO
60,Bloomingburg,Bloomingburg Water Treatment Plant Replacement,"$578,500.00",867,OH2400012,Fayette,Design,23-Sep,PLN/DES,CDO
61,Bloomingburg,Bloomingburg Water Treatment Plant Replacement,"$5,589,560.00",919,OH2400012,Fayette,Construction,24-Jan,SML,CDO
62,Bowerston,Lead Service Line Replacement Project,"$325,000.00",437,OH3400112,Harrison,Construction,23-Sep,LSL,SEDO
