Entity,Project,PWS ID,SDWIS Population,County,Estimated Loan Amount,Loan Type,Estimated Award Date,Rate,District Office
Adams County Regional Water District,ARPA Water System Improvements,OH0100012,"6,500",Adams,"$2,120,600 ",Construction,23-Sep,REG,SEDO
Adams County Regional Water District,Winchester Industrial Park Water System Improvements,OH0100012,"25,000",Adams,"$2,434,000 ",Construction,23-Oct,STD,SEDO
Addyston,"Distribution, LSL, and Transmission Main Replacement",OH3100012,884,Hamilton,"$790,995 ",Design,24-Jun,PLN/DES,SWDO
Addyston,"Distribution, LSL, and Transmission Main Replacement",OH3100012,900,Hamilton,"$10,532,785 ",Construction,24-May,SML/LSL,SWDO
Addyston,Sekitan Avenue Watermain and LSL Replacement,OH3100012,900,Hamilton,"$1,313,708 ",Construction,24-May,SML/LSL,SWDO
Akron,Archwood Pumping Station Improvement,OH7700011,"280,000",Summit,"$1,804,650 ",Construction,23-Sep,STD,NEDO
Akron,Brittain Road Reservoir Replacement Construction,OH7700011,"280,000",Summit,"$30,000,000 ",Construction,24-Jan,STD,NEDO
Akron,Copley Township Water Main Extension for Regionalization,OH7700011,"280,000",Summit,"$1,250,000 ",Construction,24-Jan,DIS/REG,NEDO
Akron,Fluoride and Hydrochloric Acid Feed System Replacement,OH7700011,"280,000",Summit,"$913,250 ",Construction,23-Dec,STD,NEDO
Akron,Hawkins Ave (S) Water Main Extension,OH7700011,"280,000",Summit,"$324,600 ",Construction,24-Feb,STD,NEDO
Akron,Lead Service Line Replacement 2024,OH7700011,"280,000",Summit,"$10,000,000 ",Construction,24-Mar,LSL,NEDO
Akron,Lead Service Line Replacement Program 2023,OH7700011,"280,000",Summit,"$5,000,000 ",Construction,23-Sep,LSL,NEDO
Akron,NSSM Arborwood Dr Water Main Replacement,OH7700011,"280,000",Summit,"$223,000 ",Construction,24-Feb,STD,NEDO
Akron,NSSM Hudson Aurora Rd Herrick Park Dr Water Main Extension,OH7700011,"280,000",Summit,"$768,100 ",Construction,24-Apr,STD,NEDO
Akron,Portage Lakes Water Main Extension,OH7700011,"280,000",Summit,"$5,300,960 ",Construction,24-Mar,DIS/REG,NEDO
Akron,Pump Ball Valve & Limitorque Manual Valve Replacement,OH7700011,"280,000",Summit,"$5,668,000 ",Construction,24-Apr,STD,NEDO
Akron,Quayle Pumping Station Improvements,OH7700011,"280,000",Summit,"$1,107,300 ",Construction,24-Jun,STD,NEDO
Akron,Raw Water Intake Valve Replacement & Repair ph 1,OH7700011,"280,000",Summit,"$350,000 ",Construction,24-Mar,STD,NEDO
Akron,US 224 Waterloo Rd Water Main Extension,OH7700011,"280,000",Summit,"$1,851,000 ",Construction,24-Apr,STD,NEDO
Akron,Water Main Replacement Program 2024,OH7700011,"280,000",Summit,"$3,000,000 ",Construction,24-Mar,STD,NEDO
Akron,Water Plant Water Main Upgrade,OH7700011,"280,000",Summit,"$190,000 ",Construction,23-Oct,STD,NEDO
Albany,Meter Replacement,OH0500003,901,Athens,"$79,191 ",Construction,23-Oct,SML,SEDO
Amanda,New Well No. 6,OH2300012,737,Fairfield,"$35,000 ",Design,23-Sep,PLN/DES,CDO
Amanda,New Well No. 6,OH2300012,737,Fairfield,"$276,500 ",Construction,24-Jun,SML,CDO
Ansonia,Water Tower Replacement,OH1900012,"1,126",Darke,"$90,000 ",Design,23-Sep,PLN/DES,SWDO
Ansonia,Water Tower Replacement,OH1900012,"1,126",Darke,"$1,387,000 ",Construction,24-Apr,SML,SWDO
Aqua Ohio Inc.,Lead Service Line Replacement in Ashtabula,OH0400711,"39,838",Ashtabula,"$810,000 ",Construction,24-Mar,LSL,NEDO
Aqua Ohio Inc.,Marion Lead Service Line Replacement,OH5100414,"46,320",Marion,"$36,840,000 ",Construction,23-Sep,LSL,NWDO
Aqua Ohio Inc.,Struthers Lead Service Line Replacement,OH5001611,"58,551",Mahoning,"$170,000 ",Construction,23-Sep,LSL,NEDO
Aqua Ohio Inc.,Tiffin Lead Service Line Replacement,OH7400614,"20,035",Seneca,"$20,650,000 ",Construction,23-Oct,LSL,NWDO
Arcanum,Water Tower Replacement,OH1900112,"2,110",Darke,"$10,000 ",Planning,23-Sep,PLN/DES,SWDO
Arcanum,Water Tower Replacement,OH1900112,"2,100",Darke,"$70,000 ",Design,23-Oct,PLN/DES,SWDO
Ashley,Waterline Replacement Phase 2,OH2100011,"1,286",Delaware,"$2,848,093 ",Construction,23-Oct,SML,CDO
Ashtabula County,Harpersfield Water Tower,OH0400803,"98,622",Ashtabula,"$3,300,000 ",Construction,23-Dec,STD,NEDO
Ashtabula County,Lenox New Lyme Waterline Extension,OH0400803,"14,200",Ashtabula,"$174,000 ",Design,23-Sep,PLN/DES,NEDO
Ashtabula County,Lenox New Lyme Waterline Extension,OH0400803,"13,972",Ashtabula,"$1,744,600 ",Construction,23-Dec,DIS/REG,NEDO
Ashtabula County,Northeast Regional Waterline Extension,OH0400803,"14,200",Ashtabula,"$10,432,000 ",Construction,24-Jun,DIS/REG,NEDO
Ashtabula County,S River Road Waterline Extension,OH0400803,"14,200",Ashtabula,"$1,792,000 ",Construction,23-Sep,DIS/REG,NEDO
Ashtabula County,SR 307 and College Street Waterline Replacement,OH0400803,"14,200",Ashtabula,"$1,192,369 ",Construction,23-Sep,STD,NEDO
Ashtabula County,Water Storage Tank Improvements,OH0400803,"14,200",Ashtabula,"$1,300,000 ",Construction,23-Aug,STD,NEDO
Attica,Regionalization with Willard,OH7400011,"1,148",Seneca,"$15,000 ",Planning,23-Aug,PLN/DES,NWDO
Attica,Regionalization with Willard,OH7400011,"1,148",Seneca,"$135,000 ",Design,24-Jan,PLN/DES,NWDO
Baltic,Brickyard Road Water and Sewer Replacement,OH7900112,959,Tuscarawas,"$42,000 ",Design,23-Aug,PLN/DES,SEDO
Baltic,Brickyard Road Water and Sewer Replacement,OH7900112,959,Tuscarawas,"$583,000 ",Construction,23-Oct,SML,SEDO
Beaver,2023 Waterline Replacement,OH6600012,434,Pike,"$52,900 ",Design,23-Aug,PLN/DES,SEDO
Beaver,2023 Waterline Replacement,OH6600012,434,Pike,"$799,750 ",Construction,24-Apr,DIS,SEDO
Beaverdam,Prospect Street Water Main Replacement,OH0200012,311,Allen,"$304,370 ",Construction,24-Jan,SML,NWDO
Belmont County,Water Transmission System Improvements,OH0700412,"44,000",Belmont,"$6,700,000 ",Construction,23-Aug,REG,SEDO
Belpre,2.5 MG Water Storage Tank,OH8400012,"6,421",Washington,"$146,045 ",Design,23-Aug,PLN/DES,SEDO
Belpre,2.5 MG Water Storage Tank,OH8400012,"7,051",Washington,"$4,534,807 ",Construction,24-Jan,SML,SEDO
Belpre,"Little Hocking 8"" Emergency WM Connecter and Booster PS",OH8400012,"6,387",Washington,"$143,910 ",Design,23-Aug,PLN/DES,SEDO
Belpre,"Little Hocking 8"" EmergencyWM Connecter and Booster PS",OH8400012,"6,421",Washington,"$1,349,510 ",Construction,23-Dec,SML,SEDO
Belpre,Water Tank Supply Main and Various WM Replacements,OH8400012,"6,387",Washington,"$100,400 ",Design,23-Aug,PLN/DES,SEDO
Belpre,Water Tank Supply Main and Various WM Replacements,OH8400012,"6,421",Washington,"$1,212,564 ",Construction,23-Dec,SML/LSL,SEDO
Beverly,Tank Replacement,OH8400112,"1,229",Washington,"$1,120,900 ",Construction,23-Sep,SML,SEDO
Beverly,Water System Imps PFAS/PFOS Treatment,OH8400112,"1,520",Washington,"$181,600 ",Design,23-Aug,EC,SEDO
Blanchester,Reservoir 3 Improvements,OH1400111,"4,243",Clinton,"$2,337,315 ",Construction,24-Jun,SML,SWDO
Blanchester,Vine Street Water Tower Rehabilitation,OH1400111,"4,243",Clinton,"$45,000 ",Design,23-Oct,PLN/DES,SWDO
Blanchester,Vine Street Water Tower Rehabilitation,OH1400111,"4,243",Clinton,"$695,000 ",Construction,24-Jun,SML,SWDO
Bloomingburg,Bloomingburg Water Treatment Plant Replacement,OH2400012,867,Fayette,"$578,500 ",Design,23-Sep,PLN/DES,CDO
Bloomingburg,Bloomingburg Water Treatment Plant Replacement,OH2400012,919,Fayette,"$5,589,560 ",Construction,24-Jan,SML,CDO
Bowerston,Lead Service Line Replacement Project,OH3400112,437,Harrison,"$325,000 ",Construction,23-Sep,LSL,SEDO
Bowerston,New Water Treatment Plant and Raw Water Improvements Project,OH3400112,437,Harrison,"$6,000,000 ",Construction,23-Oct,DIS,SEDO
Bowling Green,Low Service Pump Station #1 Improvements HAB,OH8700311,"31,529",Wood,"$3,100,000 ",Construction,24-Jan,STD/HAB,NWDO
Bowling Green,RO Calcium Contactor,OH8700311,"31,578",Wood,"$2,250,000 ",Construction,24-Mar,STD,NWDO
Bowling Green,South College Drive Waterline Improvements,OH8700311,"31,578",Wood,"$1,700,000 ",Construction,24-Feb,STD,NWDO
Bowling Green,South Main Street Waterline Improvements,OH8700311,"31,578",Wood,"$2,200,000 ",Construction,23-Dec,STD,NWDO
Bowling Green,The Village Subdivision Waterline Improvements,OH8700311,"31,578",Wood,"$2,400,000 ",Construction,23-Oct,STD,NWDO
Bradner,East & Evans Waterline Replacement,OH8700412,"1,152",Wood,"$55,100 ",Design,23-Oct,PLN/DES,NWDO
Bradner,East & Evans Waterline Replacement,OH8700412,985,Wood,"$495,831 ",Construction,24-Feb,SML,NWDO
Bremen,Water Meter Replacement,OH2300212,"1,425",Fairfield,"$561,700 ",Construction,24-May,SML,CDO
Bridgeport,Well Field Abandonment - EC,OH0700612,"1,579",Belmont,"$47,250 ",Construction,24-Feb,EC,SEDO
Brilliant,Water and Sewer District 2022-2023 Waterline Replacement,OH4100412,"2,100",Jefferson,"$2,593,050 ",Construction,24-Apr,DIS,SEDO
Brookville,Wolf Creek Street Waterline Replacement,OH5700203,"5,919",Montgomery,"$1,492,271 ",Construction,23-Dec,SML,SWDO
Brown County Rural Water Association,Wahlsburg Tank,OH0802012,"22,000",Brown,"$7,500,000 ",Construction,23-Sep,STD,SWDO
Buckeye Lake,First Street Water Line Improvements,OH4564712,100,Licking,"$352,000 ",Construction,24-Jan,REG,CDO
Buckeye Water District,SR 45 Water Transmission Main,OH1502911,"10,300",Columbiana,"$6,239,238 ",Construction,23-Oct,REG,NEDO
Burr Oak Regional Water District,Morgan County- Bishopville Expansion,OH0501311,761,Athens,"$1,615,780 ",Construction,24-Jun,DIS/REG,SEDO
Butler,Water / Wastewater Improvements 2022,OH7000412,939,Richland,"$290,500 ",Construction,23-Oct,SML,NWDO
Cadiz,Lead Service Line Replacement Project,OH3400214,"3,165",Harrison,"$975,000 ",Construction,23-Aug,LSL,SEDO
Cadiz,Phase II Water System Improvements,OH3400214,"3,268",Harrison,"$2,565,000 ",Construction,23-Aug,SML,SEDO
Caldwell,WTP & Raw Water Supply and Distribution (E Tank),OH6100011,"2,334",Noble,"$18,484,000 ",Construction,23-Dec,DIS/EC,SEDO
Cambridge,Raw Water System Improvements,OH3000111,"29,000",Guernsey,"$17,821,000 ",Construction,24-Mar,STD,SEDO
Camden,Water/Wastewater Improvements 2022,OH6800112,"1,989",Preble,"$1,526,400 ",Construction,23-Oct,SML,SWDO
Canton,Canton Water Dept. Service Center Shop Renovations,OH7608112,"107,500",Stark,"$10,900,000 ",Construction,23-Aug,STD,NEDO
Catawba,Water System Improvements,OH1200312,242,Clark,"$13,400 ",Planning,23-Aug,PLN/DES,SWDO
Catawba,Water System Improvements,OH1200312,242,Clark,"$950,000 ",Construction,24-Jun,SML,SWDO
Chagrin Falls,Maple Street Waterline Replacement,OH1800212,"4,032",Cuyahoga,"$1,250,000 ",Construction,23-Dec,SML,NEDO
Chagrin Falls,Walnut Street Water Line Replacement,OH1800212,"5,000",Cuyahoga,"$1,100,000 ",Construction,23-Oct,SML,NEDO
Chesterhill,Water System Improvements PFAS,OH5800112,823,Morgan,"$146,200 ",Design,23-Aug,EC,SEDO
Chillicothe,Booster Station and Tank Construction,OH7199112,"21,725",Ross,"$1,750,000 ",Construction,24-Jan,STD,SEDO
Cincinnati,Apple - Hanfield Area Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,307,000 ",Construction,23-Dec,STD/LSL,SWDO
Cincinnati,"Branch Only- Beech, Eighth, St. Lawrence LSL",OH3102612,"750,200",Hamilton,"$1,650,000 ",Construction,24-May,LSL,SWDO
Cincinnati,"Branch Only- Jonathan, Ruth, Woodburn LSL",OH3102612,"750,200",Hamilton,"$1,210,000 ",Construction,24-May,LSL,SWDO
Cincinnati,Burch - Shaw Area Water Main Replacement,OH3102612,"450,200",Hamilton,"$2,422,000 ",Construction,24-May,STD/LSL,SWDO
Cincinnati,Cappel - Hermosa Area Waterline Replacement,OH3102612,"301,394",Hamilton,"$3,796,710 ",Construction,23-Aug,STD/LSL,SWDO
Cincinnati,Carson - Fairbanks Area Waterline Replacement,OH3102612,"301,394",Hamilton,"$2,485,000 ",Construction,23-Dec,STD/LSL,SWDO
Cincinnati,CUF McMicken - Enslin Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,985,486 ",Construction,23-Oct,STD/LSL,SWDO
Cincinnati,Fairview - Probasco Area Water Main Replacement,OH3102612,"302,687",Hamilton,"$3,965,365 ",Construction,23-Aug,STD/LSL,SWDO
Cincinnati,Fire Flow Collection Waterline Replacement,OH3102612,"750,200",Hamilton,"$2,913,000 ",Construction,24-Apr,STD/LSL,SWDO
Cincinnati,Hyde Park Area Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,569,543 ",Construction,23-Dec,STD/LSL,SWDO
Cincinnati,McMillan - Calhoun Area Water Main Replacement,OH3102612,"301,394",Hamilton,"$1,782,000 ",Construction,24-Mar,STD/LSL,SWDO
Circleville,2.0 MGD Reverse Osmosis Membrane Treatment Plant,OH6500412,"13,986",Pickaway,"$2,662,000 ",Design,23-Sep,EC,CDO
Cleveland,CWD 2022 LSLR Special Cases,OH1801212,"1,308,955",Cuyahoga,"$5,460,000 ",Construction,23-Sep,LSL,NEDO
Cleveland,CWD LSLR 2023-1,OH1801212,"1,308,955",Cuyahoga,"$3,535,630 ",Construction,23-Dec,LSL,NEDO
Cleveland,CWD LSLR 2023-10 Supplies,OH1801212,"1,308,955",Cuyahoga,"$2,768,165 ",Construction,23-Oct,LSL,NEDO
Cleveland,CWD LSLR 2023-2,OH1801212,"1,308,955",Cuyahoga,"$3,535,630 ",Construction,23-Dec,LSL,NEDO
Cleveland,CWD LSLR 2023-3,OH1801212,"1,308,955",Cuyahoga,"$3,535,630 ",Construction,23-Dec,LSL,NEDO
Cleveland,CWD LSLR 2023-4,OH1801212,"1,308,955",Cuyahoga,"$3,535,630 ",Construction,23-Dec,LSL,NEDO
Cleveland,CWD LSLR 2023-5,OH1801212,"1,308,955",Cuyahoga,"$3,535,630 ",Construction,23-Dec,LSL,NEDO
