EPIC Project ID,Entity,Project,Estimated Loan Amount,PWS ID,County,Estimated Principal Forgiveness,Loan Type,Estimated Award Date,Project Score,Readiness To Proceed,Rate,District Office
36,Ashtabula County,Lenox New Lyme Waterline Extension,"$1,744,600.00",OH0400803,Ashtabula,See DIS List,Construction,23-Dec,16,1,DIS/REG,NEDO
466,Trumbull County,State Road Water Regionalization Project,"$5,141,000.00",OH7804303,Trumbull,See DIS List,Construction,24-May,11,3,DIS/REG,NEDO
167,Coshocton,Warsaw Waterline Replacement,"$10,940,000.00",OH1600012,Coshocton,See DIS List,Construction,23-Oct,11,3,DIS/REG,SEDO
363,Muskingum County,Maysville Connection and WTP Upgrade,"$7,163,900.00",OH6000412,Muskingum,See DIS List,Construction,24-Apr,10,1,DIS/REG,SEDO
381,Northwestern Water & Sewer District,Eastwood Local School District Regional Waterline,"$2,200,000.00",OH8752812,Wood,BYPASS 1,Construction,24-Apr,10,1,REG,NWDO
8,Akron,Copley Township Water Main Extension for Regionalization,"$1,250,000.00",OH7700011,Summit,BYPASS,Construction,24-Jan,9,3,DIS/REG,NEDO
38,Ashtabula County,S River Road Waterline Extension,"$1,792,000.00",OH0400803,Ashtabula,See DIS List,Construction,23-Sep,9,3,DIS/REG,NEDO
15,Akron,Portage Lakes Water Main Extension,"$5,300,960.00",OH7700011,Summit,See DIS List,Construction,24-Mar,7,3,DIS/REG,NEDO
37,Ashtabula County,Northeast Regional Waterline Extension,"$10,432,000.00",OH0400803,Ashtabula,BYPASS,Construction,24-Jun,7,3,DIS/REG,NEDO
403,Pike Water Inc,Green Ridge Waterline Extension,"$2,229,660.00",OH6602412,Pike,See DIS List,Construction,23-Oct,6,5,DIS/REG,SEDO
236,Hecla Water Association,Macedonia Hill Water Main Extension & Booster Station,"$3,294,000.00",OH4401612,Lawrence,See DIS List,Construction,23-Oct,6,5,DIS/REG,SEDO
376,Noble County Water Authority,Waterline Extension & Interconnect Final Phase,"$4,030,680.00",OH6100503,Noble,See DIS List,Construction,23-Dec,6,4,DIS/REG,SEDO
362,Muskingum County,Claysville Rd to Hardy Rd Water Main Ext,"$344,900.00",OH6000412,Muskingum,BYPASS,Construction,24-Apr,6,3,DIS/REG,SEDO
274,Kenton,France Lake Campground Water Extension,"$536,800.00",OH3300612,Hardin,"$268,400.00",Construction,24-Mar,6,3,DIS/REG,NWDO
365,Muskingum County,Sunflower Rd and Getz Rd Water Main Extension,"$591,400.00",OH6000412,Muskingum,BYPASS,Construction,24-Mar,6,3,DIS/REG,SEDO
