epic_merge_id,APPLICANT NAME,REGION,DEP PROJECT RATING,STREET ADDRESS,CITY,COUNTY,PWSID,PROJRANK,FUND SOURCE,PROJECT COST,MTGDATE,PROJECT TYPE,PROJ. DESCRIPTION,PROB. DESCRIPTION,POPULATION,PV RATING,GREEN PROJECT,GREEN CATEGORY,BUSINESS CASE,GREEN AMOUNT
1,PITTSBURGH WATER & SEWER AUTHORITY - 2023 PWSA NEIGHBORHOOD LSL REPLAC,V,92,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,1,DWSRF,"$13,354,750",1/12/2023,LSL,"Pittsburgh Water and Sewer Authority estimates that the project will work at 1,200 homes and replace 600 public and 388 private lead service lines.","PWSA’s goal is to remove all lead service lines by 2026. Neighborhoods are selected based on a prioritization formula developed by PWSA in consultation with their Community Lead Response Advisory Committee (CLRAC). On a census track basis, the formula considers 1) the number of children under 6 years of age and women of child bearing age, 2) blood lead level data from County Health Department, 3) the number of lead and unknown service lines in PWSA’s inventory and 4) income level. Once the prioritization model is run for the PWSA water service area, Level 5 (highest priority) are selected first, and then Level 4 Neighborhoods follow. For this project, neighborhoods within an Environmental Justice Area (as defined by the Pennsylvania Department of Environmental Protection) are further prioritized, and the Level 4 and 5 Neighborhoods are further ranked by income.","520,000",127,No,N/A,N/A,$0
2,PITTSBURGH WATER & SEWER AUTHORITY - 2022 SMALL DIA. MAIN REPL. (LSL),III,91,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,2,DWSRF,"$7,836,396",10/19/2022,"DS, LSL","Project includes service lines replacement for approximately 752 customers, including an estimated 382 public lead service lines and 477 private lead service lines. Some customers will require both public and private side replacement while others will only receive either public or private replacement based upon where the lead is located.","Water mains in Pittsburgh Water and Sewer Authority’s distribution system have been prioritized for replacement based on a number of risk-factors, including the prioritization of undersized mains, and mains with a history of breaks. Replacement of these mains will reduce the frequency of water main breaks, which will minimize the risk to public health caused by the resulting potential exposure to infectious diseases and will reduce the impact of unplanned water outages and street closures required due to emergency repairs. The replacement of older, leak prone mains will also provide for more efficient management of water resources by reducing the amount of treated water that is lost from the system. Furthermore, the additional volume of water that will be able to be delivered to areas with inadequate flow will reduce restrictions on development within the affected areas. The water main replacement work will occur within the City of Pittsburgh and will benefit the existing population within the area and provide improved opportunities for future development.","370,000",126,No,N/A,N/A,$0
3,NORTHERN CAMBRIA MA- MILLER HOLLOW TREATMENT FACILITY & SOURCE IMP,V,75,1202 PHILADELPHIA AVE.,NORTHERN CAMBRIA,CAMBRIA,4110003,3,DWSRF,"$11,739,155",7/20/2022,"SRC, TREAT","Proposed project is for the permitting and construction of an upgraded Miller Hollow Treatment Plant, to provide continuous filtration and disinfection. The new treatment plant will include a microfiltration membrane filter to meet filtration requirements followed by a reverse osmosis membrane filter for sulfate removal. The treatment plant will include pretreatment chemical feed systems, as well as chemical feed systems for filter maintenance and disinfection. Treatment systems will be installed for the neutralization of wastewater generated during the cleaning process. Along with the new plant, the project will also include a new intake structure for the Miller Hollow Mine source. A new raw water pump station will also be constructed along with the necessary transmission main.","Northern Cambria Municipal Authority currently owns and operates a public water supply system in Susquehanna Township, Northern Cambria Borough, and Spangler Borough, Cambria County. A water source for the Authority, the Miller Hollow Mine source, is designated as a GUDI (groundwater under direct influence of surface water). All GUDI sources, within 48 months of the source being determined GUDI, must be treated via continuous filtration and disinfection. The Miller Hollow Mine source currently only receives disinfection via sodium hypochlorite, and also has sulfate levels exceeding the secondary maximum contaminant level (MCL). To resolve these issues, the Department has entered into a Consent Order and Agreement with Northern Cambria Municipal Authority to design, permit, and operate additional treatment facilities for the Miller Hollow Mine source.","4,500",102,No,N/A,N/A,$0
4,BENTON MUNICIPAL WATER AND SEWER AUTHORITY,IV,75,P O BOX P,BENTON,COLUMBIA,4190014,4,DWSRF,"$2,300,000",1/12/2023,TREAT,"Proposed project consists of two (2) phases that ultimately will ensure that water treatment plant (WTP) is capable of automatic shutdown before any non-compliant water reaches the distribution system. Phase 1 – Instrumentation and control improvements to enable WTP to alarm and shutdown automatically based on pre-determined turbidity and residual chlorine setpoints. Phase 2 – Installation of a second water storage tank downstream of the existing finished water storage tank and relocation of entry point to a meter vault between the two water storage tanks. In this arrangement, all water that reaches the second tank would be compliant and can be isolated from the WTP without depressurizing the distribution system.","The BMWSA recently entered into a Consent Order and Agreement (COA) with the PA Department of Environmental Protection (DEP) to address deficiencies in monitoring and automatic shutdown provisions identified during the 2018 Filter Plant Performance Evaluation (FPPE). A Corrective Action Plan (CAP) was submitted on January 29, 2021 that identified the improvements necessary to bring BMWSA into compliance on an interim and final basis.","1,100",94,No,N/A,N/A,$0
5,PITTSBURGH WATER & SEWER AUTHORITY - 2022 SMALL DIA. MAIN(NON-LEAD),III,56,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,5,DWSRF,"$75,529,516",10/19/2022,DS,"Project includes replacement of approximately 63,000 feet (12 miles) of 8-inch and 12-inch waterlines. Existing pipes are older, leak-prone and undersized mains.","Water mains in Pittsburgh Water and Sewer Authority’s distribution system have been prioritized for replacement based on a number of risk-factors, including the prioritization of undersized mains, and mains with a history of breaks. Replacement of these mains will reduce the frequency of water main breaks, which will minimize the risk to public health caused by the resulting potential exposure to infectious diseases and will reduce the impact of unplanned water outages and street closures required due to emergency repairs. The replacement of older, leak prone mains will also provide for more efficient management of water resources by reducing the amount of treated water that is lost from the system. Furthermore, the additional volume of water that will be able to be delivered to areas with inadequate flow will reduce restrictions on development within the affected areas. The water main replacement work will occur within the City of Pittsburgh and will benefit the existing population within the area and provide improved opportunities for future development.","370,000",87,No,N/A,N/A,$0
6,CRESSON TWP MA - MUNSTER WATER SYSTEM EXTENSION,VI,52,740 PORTAGE ROAD,CRESSON,CAMBRIA,4110038,6,DWSRF,"$1,850,000",4/19/2023,DS,"Cresson Township Municipal Authority (Authority) currently owns and operates a public water system in Cresson Township, Cambria County serving approximately 657 residential, 26 commercial, and 12 institutional customers. The Authority intends to use Pennsylvania Infrastructure Investment Authority funds to construct a water system extension project to serve certain existing residences and businesses along Admiral Peary Highway in Munster and Cresson Townships. The lack of a water distribution system provides inadequate fire protection due to distance from water mains and limited capacity of existing water storage. Furthermore, existing individual wells have quantity and quality limitations. These problems are to be addressed by constructing approximately 18,500 linear feet of 8-inch diameter main from the Authority’s system to provide water service to serve 51 new customers and add 26 new fire hydrants and 1,000 gallon per minute of fire flow. This water main diameter will allow all anticipated routine water draws to occur without materially affecting system pressure.","The properties in the proposed project area are served by individual wells. There are 15 wells that are contaminated with coliforms (two containing E. Coli). The project will also replace the Keystone Restaurant/Truck Stop water system (PWS ID No. 4110837) and serve other commercial establishments. Nearly all wells are negatively impacted by malfunctioning on-lot disposal systems. These problems are caused by poor soil conditions, the age of the systems, existing lot sizes, and steep slopes. Project will eliminate individual wells and supply potable water to the service area.","2,500",77,No,N/A,N/A,$0
7,SCHUYLKILL COUNTY MUNICIPAL AUTHORITY - POTTSVILLE WATER MAIN REPL. 2023,II,47,221 S CENTRE STREET,POTTSVILLE,SCHUYLKILL,3540038,7,DWSRF,"$3,441,200",4/19/2023,DS,"SCMA has proposed a distribution system replacement project to address high unaccounted for water losses (37.41%), mitigate leaks, improve fire protection and pressures, and improve service to existing customers as the lines (1900s) are aging, leaking and in need of replacement. The project includes replacement of approximately 6,900 linear feet of old 6-inch cast iron water mains with lead joints along West Railroad Street and North Centre Street; Fairview Street; West Race Street; and Pierce Street in the City of Pottsville, Schuylkill County. The new 6-inch/8-inch DI water main replacements will include replacement of fire hydrants, valves, and all necessary associated appurtenances. The project will include engineering design, bid, and construction phase services; construction costs related to water main replacement; and related costs. Proposed improvements will enhance SCMA’s ability to operate and maintain the system and increase the reliability of service.","The Schuylkill County Municipal Authority (SCMA) has proposed a distribution system replacement project to address high unaccounted for water losses (37.41%), mitigate leaks, improve fire protection, and improve service to existing customers as the waterlines (1900s) are aging, leaking and in need of replacement. The project includes replacement of approximately 6,900 linear feet of old 6-inch cast iron water mains with lead joints along West Railroad Street and North Centre Street; Fairview Street; West Race Street; and Pierce Street in the City of Pottsville, Schuylkill County. The new 6-inch/8-inch DI water main replacements will include replacement of fire hydrants, valves, and all necessary associated appurtenances. The project will include engineering design, bid, and construction phase services; construction costs related to water main replacement; and related costs.","31,850",62,No,N/A,N/A,$0
8,AQUA PENNSYLVANIA - LEAD AND GALVANIZED SERVICE LINE REPL. WEST CHESTER,I,45,762 LANCASTER AVE,BRYN MAWR,CHESTER,1150098,8,DWSRF,"$6,000,000",1/12/2023,LSL,Aqua PA proposes to replace 450 lead and galvanized service lines identified in the Aqua West Chester service area. Replacement of the lines will continue Aqua's compliance with the Lead and Copper Rule.,Aqua PA has identified 450 lead and galvanized service lines located in 5 municipalities within the Aqua West Chester service area. Identification of these water lines was found through field observation and tap records.,"33,918",60,No,N/A,N/A,$0
9,CITY OF PHILADELPHIA - 2024 LINEAR ASSETS - WATER,I,45,1101 MARKET STREET,PHILADELPHIA,PHILADELPHIA,1510001,9,DWSRF,"$31,125,965",4/19/2023,"DS,","The City of Philadelphia is proposing to replace water mains and service line connections within 16 sections of the city, overall, installing approximately 55,000 feet of piping.","The Philadelphia Water Department is owned and operated by the City of Philadelphia. The Water Department has experienced frequent watermain leaks and breaks throughout its distribution system. Water loss has been on an increase over the past few years, bringing current water loss to 17%. Many of the aging waterlines within the system are nearly 100 years old, beyond its useful life and in need of replacement.","1,600,0",60,No,N/A,N/A,$0
10,WEST VIEW WATER AUTHORITY - LEAD SERVICE LINE REPLACEMENT - PHASE 2,V,45,210 PERRY HIGHWAY,PITTSBURGH,ALLEGHENY,5020043,10,DWSRF,"$8,000,000",1/12/2023,"LSL, DS, METERS","This project is the second phase of West View Water Authority's ongoing lead service line replacement plan. The plan for this project is to provide full replacement of approximately 750 lead service lines which will include the installation of approximately 28,000 linear feet of 1-inch copper pipe, 400 corporation stops, 500 expansion tanks, 700 curb boxes and valves, and 700 water meters and associated appurtenances. The project will also include site restoration of roads, sidewalks, landscaping, driveways, walls, steps, and other items necessary to return the site to pre-construction conditions.","West View Water Authority has a large number of services lines that are at least partially constructed of lead pipe. Lead is a serious health issue and lead pipes are one of the biggest sources of lead in a water system. The project will eliminate lead pipe for approximately 750 service lines. It is expected that the 750 service lines replaced will be lead on either the private side or the public side, or on both sides. Replacement of the services lines will include both the public and private side, as necessary to eliminate lead and galvanized piping.","200,000",80,No,N/A,N/A,$0
