"LSLPriorityScore3",Municipality,"ProjectNumber",Project Description,"ProjectManager",CME,"Total RequestedCosts inApplication","SubsidizedLoan Rate","Estimated LoanAmount",Requested Private Side Project Costs,Private Side Total PF Points,Private Side PF Estimate,Requested Remaining Project Costs,Remaining Costs Total PF Points,Remaining Costs Total PF Points,Remaining Costs Eligible PF%,Remaining Costs PF Estimate,General PF Estimate,Total PF Awarded
299,"GREEN BAY, CITY OF1",5331-31,Census Tract,Leja,Hannes,"$550,000.00",0.25%,$-,"$550,000.00",150,100%,"$550,000.00",$-,90,20%,$-,,"$         5 50,000"
291,"EDGERTON, CITY OF1",4800-08,Municipal,Surillo,Zettl,"$2,143,097.00",0.25%,"$1,743,114.00","$785,180.00",55,25%,"$196,295.00","$      1 ,357,917",75,15%,"$         2 03,688",,"$         3 99,983"
290,"MANITOWOC, CITY OF1",5191-18,Census Tracts 5 & 7,Cassidy,Hannes,"$1,360,000.00",0.25%,"$680,000.00","$1,360,000.00",70,50%,"$680,000.00",$-,80,20%,$-,,"$         6 80,000"
288,"MILWAUKEE, CITY OF1",4851-45,Census Tract,Atkinson,Binder,"$10,400,000.00",0.25%,"$2,373,750.00","$5,125,000.00",230,100%,"$5,125,000.00","$      5 ,275,000",195,55%,"$      2 ,901,250",,"$      8 ,026,250"
284,"APPLETON, CITY OF1",4755-05,Census Tract,Cassidy,Hannes,"$611,302.00",0.25%,$-,"$611,302.00",220,100%,"$611,302.00",$-,170,50%,$-,,"$         6 11,302"
283,"ASHLAND, CITY OF1",4759-28,Census Tract,Sweeney,Andruczyk,"$108,884.00",0.25%,$-,"$108,884.00",210,100%,"$108,884.00",$-,165,45%,$-,,"$         1 08,884"
272,"WAUSAU, CITY OF1",4930-14,Census Tract,Brietzman,Andruczyk,"$5,790,028.00",0.25%,"$2,148,950.00","$4,514,676.00",115,75%,"$3,386,007.00","$      1 ,275,352",90,20%,"$         2 55,071",,"$      3 ,641,078"
270,"ELKHORN, CITY OF1",5525-05,Census Tract,Mills,Binder,"$211,291.00",0.25%,"$178,237.00","$66,108.00",80,50%,"$33,054.00","$         1 45,183",25,0%,$-,,"$           3 3,054"
269,"RACINE, CITY OF1",4887-16,Municipal,Bolitho,Binder,"$3,275,000.00",0.25%,"$969,375.00","$1,512,500.00",160,100%,"$1,512,500.00","$      1 ,762,500",160,45%,"$         7 93,125",,"$      2 ,305,625"
268,"KENOSHA, CITY OF1",4825-08,"Census Tracts 9, 10, 11, 12, 16 & 18",Brietzman,Binder,"$2,640,000.00",0.25%,$-,"$2,640,000.00",220,100%,"$2,640,000.00",$-,80,20%,$-,,"$      2 ,640,000"
266,"MANITOWOC, CITY OF1",5191-17,Census Tracts 6 & 8,Cassidy,Hannes,"$4,208,000.00",0.25%,"$1,052,000.00","$4,208,000.00",120,75%,"$3,156,000.00",$-,80,20%,$-,,"$      3 ,156,000"
266,"PLATTEVILLE, CITY OF1",4881-10,Municipal,Surillo,Zettl,"$125,400.00",0.25%,"$31,350.00","$125,400.00",115,75%,"$94,050.00",$-,115,30%,$-,,"$           9 4,050"
