Loan Applicant,L17#,Project Description,Facility No,"Estimated
Construction Start Date",Requested Loan Amount
Atlanta,TBD,"Improve treatment plant, water distribution system, and water storage.",IL1070050,2025-03-17 0:00:00,3900000
Bellmont,7061,Paint inside and outside water tower.,IL1850100,2024-09-16 0:00:00,372000
Blue Island,7009,Watermain replacement.,IL0310240,2024-10-30 0:00:00,12048714
"Central Lake County Joint Action Water
Agency",TBD,Lake Zurich will join CLCJAWA water system to eliminate radium.,IL0971070,2026-06-01 0:00:00,90000000
"Central Lake County
Joint Action Water Agency",5186,"Construct a second 54"" raw water intake extending 5,000' into Lake Michigan.",IL0971070,2026-06-30 0:00:00,21000000
Channahon,7123,Construct a 1 MG above ground reservoir.,1970200,2026-09-01 0:00:00,6930100
Channahon,7138,"Construct a primary and secondary delivery site (Lake Michigan) receiving stations and
pump station.",IL1970200,2028-09-01 0:00:00,10534800
Chester,TBD,"Replace valves, paint filter piping, and replace bolts and gaskets on filter piping at the treatment plant.",IL1570100,2025-07-01 0:00:00,1350000
Chester,TBD,"Paint and repair Grade School 500,000 gal storage tank and Red Dot 100,000 gal storage
tank.",IL1570100,2025-07-01 0:00:00,1340000
Chester,TBD,"Replace 4,770' of 8"" watermain, 400' of 6"" watermain and 50' of 4"" watermain.",IL1570100,2025-07-01 0:00:00,1334000
Chicago,TBD,Upsize infrastructure for proposed development at the former U.S. Steel site.,IL0316000,2025-03-01 0:00:00,16500000
"Clark-Edgar Rural
Water District",TBD,Redundancy project.,IL0230100,2025-05-15 0:00:00,775500
"Clear Water Service
Corp.",TBD,Construct 9 miles of watermain extension to connect Cook Mills to Clear Water's system.,IL0295100,2024-05-01 0:00:00,2000000
Clinton,TBD,"Replace 200,000 gallon elevated storage tank with new 300,000 tank and treatment plant
improvements.",IL0390050,2025-07-01 0:00:00,5612000
Clinton,TBD,"Replace 2,100' of watermain.",IL0390050,2026-07-01 0:00:00,4825000
Collinsville,6911,Replace meters and meter system with Advanced Meter Infrastructure (AMI) system.,IL1194280,2024-09-16 0:00:00,10652542
"Country View Ests
MHP",TBD,Drill new back up well and pump.,IL0195625,,85000
Crete,7089,"Construct 3,850' of 8"" and 10"" watermain and service lines.",IL1970300,2024-04-01 0:00:00,1192736
"Curran Gardner Townships Public
Water District",6294,"Install 12"" raw water main directionally bored under the Sangamon River and purchase a backup generator.",IL1675350,2025-01-02 0:00:00,1679000
Dalton City,TBD,Paint and rehab elevated storage tank.,IL1390150,2025-02-03 0:00:00,400000
Donnellson,TBD,"Replace 15,200' of 6"" watermain, hydrants, meters, service lines and valves.",IL0054360,2024-02-28 0:00:00,182500
Edwardsville,TBD,Add storage capacity and rehab tratment plant.,IL1190250,2025-09-01 0:00:00,20000000
Elmhurst,TBD,"Rehab the north, south and west reservoirs and north and south booster stations.",IL0430350,2025-10-15 0:00:00,18000000
Essex,TBD,"Construct treatment plant, elevated water tower and sitribution system to get off private
well.",,2024-07-01 0:00:00,9500000
Eureka,TBD,"Improve treatment plant, watermains and service lines.",IL2030200,2025-05-20 0:00:00,3500000
Evanston,5393,Line and replace watermain.,IL0310810,2025-05-16 0:00:00,860000
Fairbury,7094,Rehab treatment plant.,IL1050350,2025-08-15 0:00:00,6900000
