Loan Applicant,Project Description,L17#,"Estimated
Construction Start Date",Requested Loan Amount,Facility No
Aqua Illinois Inc.,Replacement of lead service lines.,6970,2025-03-17 0:00:00,13001300,IL0915030
Aqua Illinois Inc.,Replacement of lead service lines.,6963,2025-03-17 0:00:00,5383000,IL1970750
Aqua Illinois Inc.,Replacement of lead service lines.,6964,2025-03-17 0:00:00,21156567,IL1835120
Aqua Illinois Inc.,Replacement of lead service lines.,6969,2025-03-17 0:00:00,9044100,IL0315350
Berkeley,Replacement of 228 lead service lines.,7035,2026-03-15 0:00:00,3992000,IL0310180
Berkeley,Replacement of 228 lead service lines.,7036,2027-03-15 0:00:00,3980000,IL0310180
Berkeley,Replacement of 107 lead service lines.,7037,2028-03-15 0:00:00,1878000,IL0310180
Bloomington,Replacement of 400 lead service lines.,TBD,2025-03-01 0:00:00,4000000,IL1130200
Blue Island,Replacement of lead service lines.,6985,2025-03-30 0:00:00,5801400,IL0310240
Decatur,"Replacment of 1899 lead and galvanized service
lines over 5 years.",7055,2025-08-04 0:00:00,20136463,IL1150150
DePue,Replacement of lead service lines.,TBD,2026-04-01 0:00:00,1949540,IL0110300
Dwight,Replacement of lead service lines.,TBD,2025-04-01 0:00:00,2500000,
East Moline,Replacement of lead service lines.,6995,2024-12-01 0:00:00,3940000,IL1610250
Elmhurst,Replacement of lead service lines.,6944,2024-06-05 0:00:00,2000000,IL0430350
Eureka,Replacement of 160 lead service lines.,TBD,2025-05-20 0:00:00,1600000,IL2030200
Ford Heights,Replacement of lead service lines.,TBD,2025-03-30 0:00:00,5000000,IL0310720
Gardner,Replacement of 90 lead service lines.,TBD,2025-04-01 0:00:00,900000,IL0630400
Harvey,Replacement of lead service lines.,6979,2024-09-10 0:00:00,7345800,IL0311110
Jacksonville,Replacementof 245 lead service lines.,7166,2026-10-01 0:00:00,3971408,IL1370200
Jacksonville,Replacement of 254 lead service lines.,7167,2027-10-01 0:00:00,3854633,IL1370200
Jacksonville,Replacement of 234 lead service lines.,7168,2028-10-01 0:00:00,3491900,IL1370200
Jacksonville,Replacement of 258 lead service lines.,7169,2029-10-01 0:00:00,3827850,IL1370200
Jacksonville,Replacement of 224 lead service lines.,7170,2030-10-01 0:00:00,3357883,IL1370200
Kincaid,Replacement of lead service lines.,TBD,2026-04-20 0:00:00,1300000,IL0210250
Maywood,Replacement of lead service lines.,TBD,2025-03-30 0:00:00,5000000,IL0311830
Morris,Replacement of lead service lines.,7086,2025-05-01 0:00:00,13250000,IL0630300
Mount Olive,Replacementof lead service lines.,6241,2025-10-01 0:00:00,5000000,IL1170700
North Chicago,Replacement of lead service lines.,TBD,2025-07-01 0:00:00,11640000,IL0971250
Oak Lawn,Replacment of 410 lead service lines.,3938,2025-03-01 0:00:00,3999558,IL0312220
Oak Lawn,Replacement of 410 lead service lines.,3939,2026-03-01 0:00:00,3999558,IL0312220
Oak Lawn,Replacementof 410 lead service lines.,3940,2027-03-01 0:00:00,3999558,IL0312220
Oak Lawn,Replacement of 410 lead service lines.,3941,2028-03-01 0:00:00,3999558,IL0312220
Oak Lawn,Replacement of 579 lead service lines.,3942,2029-03-01 0:00:00,5648157,IL0312220
Oregon,Replacement of 300 lead service lines.,7126,2024-10-01 0:00:00,4271000,IL1410400
Pana,Replacement of 431 lead service lines.,7047,2024-10-01 0:00:00,4175000,IL0210500
Pana,Replacement of 381 lead service lines.,7048,2025-10-01 0:00:00,3668000,IL0210500
Pana,Replacement of 391 lead service lines.,7049,2026-10-01 0:00:00,3754000,IL0210500
Pana,Replacement of 405 lead service lines.,7050,2027-10-01 0:00:00,3919000,IL0210500
Paris,Replacement of lead service lines.,TBD,2024-11-30 0:00:00,2800000,IL0450300
Phoenix,Replacement of lead service lines.,TBD,2025-03-30 0:00:00,5000000,IL0312490
Richmond,Replacement of lead service lines.,TBD,2027-04-01 0:00:00,2330000,IL1110750
Rock Island,Replacement of 400 lead service lines.,TBD,2025-03-01 0:00:00,4000000,IL1610650
Savanna,Replacement of lead service lines.,TBD,2025-07-01 0:00:00,2500000,IL0150250
South Wilmington,Replacement of 50 lead service lines.,TBD,2025-04-01 0:00:00,500000,IL0630650
St. Charles,Replacement of 265 lead service lines.,5905,2025-01-01 0:00:00,4000000,IL0894830
Stickney,Replacement of lead service lines.,TBD,2025-03-30 0:00:00,5000000,IL0313000
White Hall,Replacement of 89 lead service lines.,7165,2024-09-02 0:00:00,784000,IL0610400
Wilmington,Replacement of 375 lead service lines.,TBD,2025-04-01 0:00:00,3750000,IL1971100
Wyanet,Replacement of 190 lead service lines.,6572,2025-03-01 0:00:00,2314053,IL0111150
