Loan Applicant,L17#,Project Description,Estimated Construction Start Date,Requested Loan Amount,Facility No.,Loan Priority Score,Service Population,Principal Forgiveness Reserved,Loan Funding Reserved
Rockford,7046,Replacement of 381 lead service lines (Phase 7),12/1/24,4000000,IL2010300,410,148655,3027000,0
Chicago,5858,Replacement of 200 lead service lines,3/1/25,2000000,IL0316000,400,2665039,2000000,0
Chicago,5860,Replacement of 200 lead service lines,3/1/25,2000000,IL0316000,390,2665039,2000000,0
Chicago,5859,Replacement of 200 lead service lines,3/1/25,2000000,IL0316000,390,2665039,2000000,0
Chicago,7150,Replacement of 200 lead service lines,3/1/25,2000000,IL0316000,375,2665039,2000000,0
Chicago,5857,Replacement of 200 lead service lines,3/1/25,2000000,IL0316000,375,2665039,2000000,0
Chicago,7148,Replacement of 200 lead service lines,3/1/25,2000000,IL0316000,360,2665039,2000000,0
Dolton,6393,Replacement of 500 lead service lines,12/1/24,9000000,IL0310690,355,21426,3027000,0
Springfield,6235,Replacement of 400 lead service lines,8/19/24,3600000,IL1671200,355,147000,3027000,0
Evanston,5993,Replacement of 500 lead service lines,3/1/25,5000000,IL0310810,340,78110,3027000,0
Chicago,7149,Replacement of 200 lead service lines,3/1/25,2000000,IL0316000,320,2665039,2000000,0
Moline,4464,Replacement of 600 lead service lines,12/1/24,10000000,IL1610450,320,44500,3027000,0
Aurora,6016,Replacement of lead service lines (Year 2),9/1/24,4000000,IL0894070,315,180542,3027000,0
Waukegan,6211,Replacement of 600 lead service lines,12/1/24,10000000,IL0971900,315,89321,3027000,0
Hazel Crest,7113,Replacement of 600 lead service lines (Phase 3),12/1/24,10000000,IL0311170,310,14000,3027000,0
Rockdale,6778,Replacement of 54 lead service lines,3/28/25,1147400,IL1970850,300,2012,0,1147400
Calumet Park,7002,Replacement of 200 lead service lines,12/1/24,4000000,IL0310420,295,7025,3027000,0
Freeport,5922,Replacement of 400 lead service lines,10/1/24,4000000,IL1770200,290,23973,3027000,0
Monmouth,6325,Replacement of 275 lead service lines,11/30/24,2747000,IL1870150,285,8650,2747000,0
Lansing,6202,Replacement of 600 lead service lines,12/1/24,10000000,IL0311590,280,27657,3027000,0
South Holland,6219,Replacement of 400 lead service lines,12/1/24,7000000,IL0312970,280,21465,3027000,0
Elgin,5873,Replacement of 870 lead service lines,3/31/25,15000000,IL0894380,275,117094,3027000,0
Midlothian,4236,Replacement of 400 lead service lines,12/1/24,7000000,IL0311920,275,14325,3027000,0
Forest Park,6160,Replacement of 327 lead service lines,6/1/24,2755000,IL0310900,265,14339,2755000,0
Forest Park,7101,Replacement of 325 lead service lines,1/1/25,3000000,IL0310900,265,14339,3000000,0
Summit,6951,Replacement of 230 lead service lines,9/10/24,4554000,IL0310060,260,10875,3027000,0
Hillsboro,7096,Replacement of 74 lead service lines,11/30/24,931000,IL1350300,245,5825,931000,0
Joliet,6079,Replacement of 560 lead service lines,2/28/25,4480000,IL1970450,245,150372,3027000,0
Posen,6990,Replacement of 246 lead service lines,9/10/24,4797000,IL0312520,245,5632,3027000,0
South Chicago Heights,6922,Replacement of 600 lead service lines,12/1/24,10000000,IL0312940,245,4026,3027000,0
Steger,6337,Replacement of 600 lead service lines,12/1/24,10000000,IL0314860,245,9584,3027000,0
Peoria Heights,6332,Replacement of 222 lead service lines,11/30/24,2223000,IL1434750,240,5785,2223000,0
Canton,6094,Replacement of 375 lead service lines,5/1/24,4000000,IL0570250,235,16500,3027000,0
Crete,7160,Replacement of 350 lead service lines,12/1/24,6000000,IL1970300,235,8407,3027000,0
Evergreen Park,6764,Replacement of 600 lead service lines,12/1/24,10000000,IL0310840,230,19943,0,10000000
Marshall,3485,Replacement of 300 lead service lines,11/30/24,2800000,IL0230100,230,7800,2800000,0
Buda,7010,Replacement of 97 lead service lines,3/1/25,1512000,IL0010100,225,482,1512000,0
Burnham,6984,Replacement of 460 lead service lines,9/10/24,9108000,IL0310360,225,3989,3027000,0
Cicero,6956,Replacement of 472 lead service lines,9/10/24,9345600,IL0310510,225,85000,3027000,0
Berwyn,6316,Replacement of 600 lead service lines,12/1/24,10000000,IL0310210,220,58000,3027000,0
Palatine,6227,Replacement of 300 lead service lines,12/1/24,5000000,IL0312340,220,67908,3027000,0
Schiller Park,6361,Replacement of 500 lead service lines,12/1/24,9000000,IL0312850,215,11709,3027000,0
Carlinville,7100,Replacement of 83 lead service lines,11/30/24,881000,IL1170150,205,5576,881000,0
DeKalb,6266,Replacement of 200 lead service lines,3/28/25,3748400,IL0370100,195,45000,3027000,0
Niles,6401,Replacement of 150 lead service lines,3/1/25,4000000,IL0312010,190,28938,0,4000000
South Pekin,7190,Replace lead service lines,1/1/25,2145602,IL1790650,190,1093,2145602,0
Lanark,6561,Replacement of 400 lead service lines,11/1/24,3000000,IL0150100,180,1504,0,3000000
Kincaid,6060,Replacement of lead service lines,1/15/25,2800000,IL0210250,175,1727,2800000,0
Lincolnwood,7139,Replacement of 77 lead service lines,6/1/24,634000,IL0311650,175,13463,0,634000
Delavan,6546,Replacement of 50 lead service lines,6/1/24,522500,IL1790150,170,1774,0,522500
Highland Park,3784,Replacement of 600 lead service lines,12/1/24,10000000,IL0970500,160,30176,0,10000000
Brookfield,6368,Replacement of 600 lead service lines,10/15/24,10000000,IL0310330,155,18520,0,10000000
Elmwood Park,6166,Replacement of 450 lead service lines,11/1/24,4000000,IL0310780,155,23945,0,4000000
Harwood Heights,6281,Replacement of 300 lead service lines,12/1/24,5000000,IL0311140,155,9065,0,5000000
LaGrange,6547,Replacement of 246 lead service lines,3/1/25,4006000,IL0311530,155,16321,0,4006000
Riverside,6168,Replacement of 500 lead service lines,2/1/25,4000000,IL0318670,155,9266,0,4000000
Genoa,6374,Replacement of 196 lead service lines,11/1/24,2700000,IL0370150,150,5298,0,2700000
Norridge,6330,Replacement of 100 lead service lines,12/1/24,2000000,IL0312040,145,15251,0,2000000
Batavia,6058,Replacement of 500 lead service lines,3/31/25,7000000,IL0894130,140,26098,0,7000000
Carpentersville,6751,Replacement of 45 lead service lines,3/28/25,1000000,IL0890200,135,37983,0,1000000
Fox Lake,6245,Replacement of lead service lines (Phase 2),3/1/25,4740750,IL0970200,135,10739,3027000,0
Arlington Heights,6158,Replacement of 500 lead service lines,3/28/25,4000000,IL0314030,125,79000,0,4000000
Crystal Lake,6129,Replacement of 275 lead service lines,12/15/24,4000000,IL1110150,120,40269,0,4000000
Hennepin Public Water,6591,Replacement of 333 lead service lines,3/1/25,1389000,IL1555100,115,769,0,1389000
Plainfield,6809,Replacement of 25 lead service lines,3/15/25,390000,IL1970800,115,47226,0,390000
Western Springs,3761,Replacement of 42 lead service lines,8/1/24,705000,IL0313180,110,13629,0,705000
Lemont,6912,Replacement of 35 lead service lines,3/1/25,560000,IL0311620,105,17629,0,560000
