Loan Applicant,L17#,Project Description,Facility No.,Estimated Construction Start Date,Requested Loan Amount, Population,Loan Priority Score
Carmi,6798,"Phase 2: Construct new 200,000-gallon ground storage tank, replace 1,800' of watermain, valves, and hydrants",IL1930100,2/1/25,2300000,4762,250
Geneva,6747,"Replace watermain, service lines, valves, and hydrants",IL0890350,9/17/24,5100000,21393,250
Powers Water Company,6583,"Install second well, raw watermain, valves, and a generator",IL00895550,11/30/24,1300000,214,250
Rockford,5691,Demolish and replace current drinking water reservoir,IL2010300,5/1/24,12608200,145609,250
Sycamore,7017,Replace watermain and service lines along the Somonauk St.,IL0370550,12/1/24,5750000,17897,250
Curran Gardner Townships Public Water,6540,Rehab three water storage facilities,IL1675350,9/2/24,1585000,8824,245
Chicago Heights,6014,Rehab and paint the interior and exterior of 1 MG elevated water tank and 2 MG ground storage tank,IL0310450,5/1/24,2500000,26465,240
East Dubuque,6365,Looping watermains,850100,11/1/24,595824,1704,240
Fox Lake,7141,Construct a new iron filtration plant at Well #8 site,970200,1/1/25,4705000,10849,240
Fox Lake,7140,Construct a new iron filtration plant at Well #9 site,970200,1/1/25,10300000,10849,240
Fox Lake,7173,Install a Granular Activated Carbon filter system at Well #4 site,970200,1/1/25,4200000,10849,240
Fox Lake,6376,Drill new Well #8 to replace the capacity of existing Well #4,970200,1/1/25,600000,10849,240
Fox Lake,6375,Drill new Well #9 to replace the capacity of existing Well #4,970200,1/1/25,600000,10849,240
Watseka,5979,Replace watermain,IL0750900,3/1/25,1500000,4556,240
Westmont,6958,Extend water service to Liberty Park subdivision,IL0430950,9/1/24,6058000,24266,240
Downers Grove,6104,"Phase 2: Demolish and replace Well House #9 and #12, rehab 1 MG elevated storage tank, and install 6,700' of watermain",IL0430300,9/6/24,5000000,50247,235
Bensenville,3489,Rehab and paint Belmont Ave and Church Rd Water Towers,434140,9/1/24,1850000,18813,230
Fulton,4297,"Repaint elevated storage tank and construct 6,940' of 6"" and 12"" watermain",IL1950250,3/1/25,2522000,3579,230
Grand Tower,5673,"Replace 32,000' of watermains, 40 hydrants, 50 valves, and 200 meters",IL0770400,8/1/24,3488855,476,230
Elliott,6743,Upgrade treatment plant and construct a tower,IL0530050,3/15/25,212500,274,225
Pana,6978,"Replace 8,600' of 14"" watermain with 16"" watermain",IL0210500,3/1/25,1192600,5199,225
Kincaid,6059,"Phase 1: Replace 7,720' of watermains",IL0210250,1/15/25,2500000,1727,215
Oreana,6024,Replace watermains and service lines,IL1150450,10/30/24,1243375,837,215
Yates City,6115,"Construct a new 75,000-gallon storage tank and demolish the existing ground tank",IL0950700,6/30/24,1200000,624,215
Neoga,6590,"Replace 9,420' of watermain, hydrants, meters, and service lines",IL0350150,4/30/24,532727,1379,210
Plainfield,6808,"Old Town South Utility Improvements: Replace 11,100' of watermain",IL1970800,3/15/25,4570000,47226,210
St. Anne,6070,"Construct new 6"", 8"", and 10"" watermains",IL0910700,9/1/24,3020000,1209,210
