Loan Applicant,L17#,Project Description,Facility No.,Estimated Construction Start Date,Requested Loan Amount,Estimated Loan Amount,Principal Forgiveness Reserved,Population,Loan Priority Score
Shorewood,7108,Construct water transmission main,IL1975080,8/1/24,6620000,6620000,0,18186,435
Shorewood,1354,Construct a potable water receiving station/ground storage,IL1975080,9/1/24,23460000,23460000,0,18186,435
Maryville,6746,Replace and loop watermain,IL1190750,10/1/24,640000,640000,0,7900,400
Decatur,2292,"Electrical improvements at the South treatment plant building, raw water pump station and nitrate removal facility",IL1150150,12/1/24,21000000,21000000,0,70500,395
Yates City,6114,Construct a new well,IL0905700,6/1/24,1100000,1100000,781000,624,390
South Pekin,7189,"New distribution system including watermains, valves, hydrants, and meters to eliminate manganese out of the system",IL1790650,1/1/25,6126719,6126719,4349970,973,360
United City of Yorkville,6788,Construct north receiving station and tank to receive Lake Michigan supply from DuPage Water Commission,IL0930250,3/1/25,14241000,14241000,0,23143,360
United City of Yorkville,6789,Replace watermain,IL0930250,3/1/25,4236000,4236000,0,23143,360
Mason City,6008,Construct new storage tank,1250350,11/18/24,4300000,4300000,3053000,2019,340
Waukegan,3790,Phase 1: Watermain replacement,IL0971900,2/1/25,2121000,2121000,0,87976,340
Quincy,5752,Phase 3: Rehab treatment plant and high service pump station,IL0010650,11/11/24,8500000,8500000,0,42000,335
Chicago,5652,Replace 16 miles of watermains,IL0316000,8/19/24,119350182,35000000,0,2665039,325
Crest Hill,6384,"Phase 1: Line 4,000' of watermain",IL1970250,2/3/25,4000000,4000000,2840000,21169,325
Evanston,6577,Replace electrical equipment at treatment plant,IL0310810,1/27/25,18710463,18710463,0,488000,320
Montgomery,6800,Replace watermains,IL0894690,3/1/25,19917706,19917706,0,28596,320
Oak Lawn,7114,"Bid Package 5: Construct a 60"" transmission main from Marion Ave to the Cat-Sag Channel.",IL0312220,4/15/24,46100000,35000000,0,328836,315
Rockdale,6776,"Replace 5,000' of watermain with 8” watermain",1970850,3/28/25,2818200,2818200,2000922,1976,315
Freeport,5463,Construct Well #12 and treatment facility for well.,IL1770200,12/1/24,14000000,6705000,5000000,23973,310
Carlinville,4334,"Construct new 8"" watermain, valves, and service lines",IL1170150,12/2/24,1295000,1295000,919450,5576,305
Ewing-Ina Water Commission,6380,"Install control valves at all three towers, and motor-actuated plug valves in climate controled buildings and new SCADA.",IL0555350,4/11/24,694093,694093,492806,2261,300
Hoopeston,7007,Replace watermain along Market Street and a portion of Honeywell Ave,IL1830450,8/30/24,767600,767600,544996,4915,300
