APPLICANT,COUNTY,PROJECT NAME ,PROJECT NUMBER,TOTAL FUNDING,"DWSRF BASE
LOAN","DWSRF BASE
PF","BIL GENERAL
LOAN","BIL GENERAL
PF",BIL PFAS/EC,"BIL LSL
LOAN","BIL LSL
PF","SCORING
POINTS","CONST.
START","SYSTEM
SIZE",OWNERSHIP,"DAC
COMMUNITY","PROJECT
TYPE",COMMENTS
"CITY OF FRUITLAND, MD",WICOMICO,FRUITLAND WTP PFAS UPGRADES ,DW0042,"$5,317,662",,,,"$5,317,662",,,,155,12/01/2025,SMALL,PUBLIC,YES,TREATMENT,Interest only in DWSRF BIL PFAS/EC funding (or equivalent).
SOMERSET COUNTY SANITARY DISTRICT,SOMERSET,PRINCESS ANNE WATER SUPPLY AND TREATMENT IMPROVEMENTS ,DW0003,"$6,590,200","$750,000",,"$1,795,100","$4,045,100",,,,115,12/01/2025,SMALL,PUBLIC,YES,TREATMENT,
TOWN OF MANCHESTER,CARROLL,MANCHESTER WATER TREATMENT PLANT IMPROVEMENTS ,DW0024,"$6,504,000",,,,,"$6,504,000",,,115,12/01/2025,SMALL,PUBLIC,NO,TREATMENT,
TOWN OF MT AIRY,CARROLL,TOWN OF MT AIRY TWIN ARCH MOBILE HOME PARK WATER SUPPLY PROJECT ,DW0026,"$173,700",,"$173,700",,,,,,115,10/01/2025,SMALL,PUBLIC,NO,TRANSMISSION & DISTRIBUTION,
TOWN OF UNION BRIDGE,CARROLL,TOWN OF UNION BRIDGE PFAS EMERGING CONTAMINANT REMEDIATION ,DW0028,"$126,000",,,,,"$126,000",,,110,06/01/2025,SMALL,PUBLIC,YES,TRANSMISSION & DISTRIBUTION,Funds in addition to prior IUP.
CITY OF TANEYTOWN,CARROLL,TANEYTOWN WELL 11 & 12 PFAS FILTER INSTALLATION ,DW0029,"$1,565,950",,,,,"$1,565,950",,,105,03/01/2025,SMALL,PUBLIC,NO,TREATMENT,
POCOMOKE CITY,WORCESTER,POCOMOKE CITY CIPP LINING MARKET STREET MAINS PHASE 2) ,DW0050,"$1,250,000",,,,"$1,250,000",,,,100,11/01/2025,SMALL,PUBLIC,YES,TRANSMISSION & DISTRIBUTION,Loan unwanted.
TOWN OF MOUNT AIRY,CARROLL,TOWN OF MT AIRY WATER STATION 2 & 5 PFAS REMEDIATION PROJECT ,DW0027,"$4,163,000",,,,,"$4,163,000",,,100,04/01/2025,SMALL,PUBLIC,NO,TREATMENT,
TOWN OF POOLESVILLE,MONTGOMERY,TOWN OF POOLESVILLE - WELL #2 AND #3 PFAS TREATMENT ,DW0075,"$700,000",,"$700,000",,,,,,99,04/01/2025,SMALL,PUBLIC,NO,TREATMENT,
WOODBINE VILLAGE LLC,CARROLL,WOODBINE VILLAGE PFOS/PFAS MITIGATION ,DW0030,"$80,000",,"$80,000",,,,,,95,04/01/2025,SMALL,PRIVATE,NO,TREATMENT,Funds in addition to prior IUP.
TOWN OF MYERSVILLE,FREDERICK,MYERSVILLE ASHLEY WELL PFAS FILTER INSTALLATION ,DW0038,"$879,450",,"$879,450",,,,,,94,01/01/2025,SMALL,PUBLIC,NO,TREATMENT,
WASHINGTON SUBURBAN SANITARY COMMISSION,PRINCE GEORGE'S,BR7273A22 KENT VILLAGE WATER MAIN REPLACEMENT ,DW0063,"$9,274,646","$3,068,661",,"$3,887,323","$2,318,662",,,,90,08/01/2025,LARGE,PUBLIC,YES,TRANSMISSION & DISTRIBUTION,
TOWN OF POOLESVILLE,MONTGOMERY,WESTERLY SUB-DIVISION WATER LINE REPLACEMENT POOLESVILLE ,DW0076,"$2,880,000","$1,440,000",,"$1,440,000",,,,,90,07/01/2025,SMALL,PUBLIC,NO,TRANSMISSION & DISTRIBUTION,
EASTON UTILITIES,TALBOT,EASTON UTILITIES WELL NO.14 ,DW0010,"$2,445,000","$916,875",,"$916,875","$611,250",,,,90,06/01/2025,LARGE,PUBLIC,YES,SOURCE,
CITY OF ROCKVILLE,MONTGOMERY,ROCKVILLE DAC (TRACT 7011.02) WATER MAIN REHAB AND IMPROVEMENT ,DW0059,"$3,220,000","$1,207,500",,"$1,207,500","$805,000",,,,90,12/30/2025,LARGE,PUBLIC,YES,TRANSMISSION & DISTRIBUTION,
WASHINGTON SUBURBAN SANITARY COMMISSION,PRINCE GEORGE'S,PICKERING CIRCLE WATER MAIN REPLACEMENT ,DW0065,"$4,277,050","$1,603,893",,"$1,603,894","$1,069,263",,,,85,11/01/2024,LARGE,PRIVATE,YES,TRANSMISSION & DISTRIBUTION,
WASHINGTON SUBURBAN SANITARY COMMISSION,PRINCE GEORGE'S,FURMAN PKWY WATER MAIN REPLACEMENT ,DW0064,"$11,508,489","$7,364,498",,"$1,266,869","$2,877,122",,,,85,08/01/2025,LARGE,PUBLIC,YES,TRANSMISSION & DISTRIBUTION,
WASHINGTON SUBURBAN SANITARY COMMISSION,PRINCE GEORGE'S,ALEXANDRIA DRIVE WATER MAIN REPLACEMENT ,DW0090,"$5,295,886","$3,971,914",,,"$1,323,972",,,,85,09/01/2025,LARGE,PUBLIC,YES,TRANSMISSION & DISTRIBUTION,
BURGESS AND COMMISSIONERS OF MIDDLETOWN,FREDERICK,BROOKRIDGE WATER TREATMENT PLANT PFAS REMOVAL ,DW0001,"$925,000",,"$925,000",,,,,,85,03/01/2025,SMALL,PUBLIC,NO,TREATMENT,Interest only in DWSRF BIL PFAS/EC funding (or equivalent).
TOWN OF THURMONT,FREDERICK,WELL 7 & 8 PFAS FILTER INSTALLATION - TOWN OF THURMONT ,DW0081,"$2,717,000","$388,540","$1,986,520",,,"$341,940",,,84,03/01/2025,SMALL,PUBLIC,NO,STORAGE,
ALLEGANY COUNTY COMMISSIONERS,ALLEGANY,DEHAVEN/MASON ROAD WATER PROJECT ,DW0015,"$1,725,000","$431,250",,"$431,250","$862,500",,,,80,07/01/2024,SMALL,PUBLIC,YES,TRANSMISSION & DISTRIBUTION,
WASHINGTON SUBURBAN SANITARY COMMISSION,PRINCE GEORGE'S,ROLLING ACRES WATER MAIN REPLACEMENT ,DW0067,"$4,237,500","$1,585,428",,"$2,118,750","$533,322",,,,80,08/01/2025,LARGE,PUBLIC,YES,TRANSMISSION & DISTRIBUTION,
WASHINGTON SUBURBAN SANITARY COMMISSION,PRINCE GEORGE'S,LARKWOOD WATER MAIN REPLACEMENT ,DW0062,"$8,926,953","$3,963,476",,"$4,463,477","$500,000",,,,80,09/01/2025,LARGE,PUBLIC,YES,TRANSMISSION & DISTRIBUTION,
WASHINGTON SUBURBAN SANITARY COMMISSION,WSSC,ANNAPOLIS ROAD TRANSMISSION WATER MAIN REPLACEMENT PHASE 1 ,DW0040,"$7,817,350","$7,384,968",,,"$432,382",,,,75,09/01/2025,LARGE,PUBLIC,YES,TRANSMISSION & DISTRIBUTION,SRF and/or BIL funding fully allocated to higher ranking projects.
WASHINGTON SUBURBAN SANITARY COMMISSION,PRINCE GEORGE'S,WELDON DRIVE WATER MAIN REPLACEMENT ,DW0068,"$5,018,781","$1,882,043",,"$1,882,043","$1,254,695",,,,75,08/01/2025,LARGE,PUBLIC,YES,TRANSMISSION & DISTRIBUTION,
MARYLAND ENVIRONMENTAL SERVICE,HARFORD,DARLINGTON WTP PFAS REMOVAL ,DW0089,"$400,000","$400,000",,,,,,,75,11/01/2025,SMALL,PUBLIC,NO,TREATMENT,Interest only in DWSRF BIL PFAS/EC funding (or equivalent).
TOWN OF BERLIN,WORCESTER,BERLIN LEAD SERVICE LINE REPLACEMENT PHASE 1 ,DW0048,"$542,253",,,,,,"$135,563","$406,690",65,11/01/2025,SMALL,PUBLIC,YES,TRANSMISSION & DISTRIBUTION,Funds in addition to prior IUP
TOWN OF SNOW HILL,WORCESTER,SNOW HILL LEAD SERVICE LINE INVENTORY ,DW0053,"$168,546",,,,,,"$42,136","$126,410",60,03/01/2023,SMALL,PUBLIC,YES,TRANSMISSION & DISTRIBUTION,
