System Name,"MDH
 2025
 PPL
 Rank","MDH
 2025
 PPL
 Points",Project Description,"Project
 Number",Population,"Est.
 Const
 Start","Estimated
 Total Project
 Cost","Estimated
 Project Cost
 PRIVATE
 (1)","Estimated
 Project Cost
 PUBLIC
 (2)","Estimated
 DWRF LSL
 PF Grant
 (3)","Estimated
 DWRF LSL
 Loan
 (4)","Estimated
 State LSL
 Grant
 (5)",IUP Status
PART A - FUNDABLE: Carryover Projects From Prior IUPs - Lead Service Lines,,,,,,,,,,,,,
Rich Prairie Sewer and Wate,14,20,Other - LSL Replacement,1490004-6,"1,500",Jun-24,"265,000","265,000",-,"265,000",-,-,24 Carryover
Little Falls,32,20,Other - LSL Replacement-4th Street,1490002-10,"9,049",May-24,"472,500","296,250","176,250","296,250","176,250","176,250",24 Carryover
Princeton,35,20,Other - LSL Replacement,1480008-8,"4,753",May-24,"600,000","300,000","300,000","300,000","300,000","300,000",23 Carryover
Chisholm,39,20,Other - LSL Replacement,1690007-4,"4,784",May-25,"446,550","223,275","223,275","223,275","223,275","223,275",24 Carryover
Browerville,40,20,Other - LSL Replacement,1770002-8,920,May-24,"275,000","137,500","137,500","137,500","137,500","137,500",24 Carryover
Wells,42,20,Other - LSL Replacement,1220010-5,"2,283",Jun-24,"72,325","36,162","36,163","36,162","36,163","36,163",24 Carryover
Hibbing,55,20,Other - LSL Replacement Phase 2,1690022-13,"16,224",Jun-24,"600,000","299,999","300,001","299,999","300,001","300,001",24 Carryover
Albert Lea,57,20,Other - LSL Replacement 2024,1240001-4,"18,433",Jul-24,"1,610,595","579,814","1,030,781","579,814","1,030,781","1,030,781",24 Carryover
International Falls,61,20,Other - LSL Replacement,1360002-4,"5,859",May-24,"3,143,400","1,571,699","1,571,701","1,571,699","1,571,701","1,571,701",24 Carryover
Winnebago,62,20,Other - LSL Replacement - Cleveland Ave.,1220011-7,"1,253",Mar-24,"120,000","60,000","60,000","60,000","60,000","60,000",24 Carryover
Saint Cloud,67,20,Other - LSL Repl (Pantown Neighborhood),1730027-27,"54,937",May-24,"141,760","141,760",-,"141,760",-,-,24 Carryover
Wabasha,79,20,Other - LSL Replacement,1790013-6,"2,477",Jul-24,"138,630","69,314","69,316","69,314","69,316","69,316",24 Carryover
Atwater,84,20,Other - LSL Replacement,1340001-11,"1,136",Jun-24,"243,000","121,500","121,500","121,500","121,500","121,500",24 Carryover
Duluth,85,20,Other - LSL Repl Phase 5,1690011-17,"86,711",Apr-24,"3,876,000","1,938,000","1,938,000","1,938,000","1,938,000","1,938,000",24 Carryover
Duluth,86,20,Other - LSL Repl Phase 6,1690011-18,"86,711",May-24,"338,000","338,000",-,"338,000",-,-,24 Carryover
Duluth,87,20,Other - LSL Repl Phase 7,1690011-19,"86,711",Oct-24,"4,235,000","3,811,500","423,500","3,811,500","423,500","423,500",24 Carryover
Duluth,88,20,Other - LSL Repl Phase 8,1690011-20,"86,711",Oct-24,"5,160,000","4,644,000","516,000","4,644,000","516,000","516,000",24 Carryover
Saint Paul Reg Water Servic,97,20,Other - LSL Replacement Phase 3,1620026-25,"308,806",Jul-24,"15,000,000","7,500,000","7,500,000","7,500,000","7,500,000","7,500,000",23 Carryover
Sauk Rapids,98,20,Other - LSL Repl Along 2nd Ave. South,1050004-6,"13,830",May-24,"594,092","594,092",-,"594,092",-,-,24 Carryover
Moorhead,107,20,Other - LSL Replacement Phase 1,1140008-9,"43,409",Jun-24,"201,235","201,235",-,"201,235",-,-,24 Carryover
Minneapolis,128,20,Other - LSL Replacement Streets Year 1,1270024-14,"424,536",Apr-24,"360,000","252,973",-,"252,973","107,027","107,027",24 Carryover
Minneapolis,132,20,Other - LSL Repl Green Zones Year 1,1270024-18,"424,536",Apr-24,"5,166,000","4,978,400",-,"4,978,400","187,600","187,600",24 Carryover
Anoka,137,20,Other - LSL Replacement (2000-14 Street),1020001-3,"17,749",Feb-24,"925,831","925,831",-,"925,831",-,-,24 Carryover
Minneapolis,143,20,Other - LSL Repl (Leaking LSL 2024),1270024-22,"425,091",Apr-24,"1,820,000","1,820,000",-,"1,820,000",-,-,24 Carryover
Northfield,179,15,Other - LSL Replacements,1660010-3,"20,374",May-24,"256,250","230,625","25,625","230,625","25,625","25,625",24 Carryover
Saint Cloud,527,10,Other - LSL Replacement Wilson Ave,1730027-10,"40,112",Aug-23,"10,625","10,625",-,"10,625",-,-,23 Carryover
Saint Cloud,528,10,Other - LSL Replacement Germain St,1730027-12,"40,112",Jul-23,"8,355","8,355",-,"8,355",-,-,23 Carryover
Duluth,587,10,Other - LSL Repl - Phase 1,1690011-12,"85,915",Apr-24,"4,657,238","2,095,757","2,561,481","2,095,757","2,561,481","2,561,481",23 Carryover
Duluth,588,10,Other - LSL Repl - Phase 2,1690011-14,"85,852",Apr-24,"3,472,358","1,875,073","1,597,285","1,875,073","1,597,285","1,597,285",23 Carryover
