System Name,"MDH
 2025
 PPL
 Rank","MDH
 2025
 PPL
 Points",Project Description,"Project
 Number",Population,"Est.
 Const
 Start","Estimated
 Project Cost","Estimated
 DWRF Loan","Estimated
 DWRF
 Emerging
 Contaminant
 PF Grant
 NOT FINAL
 (1)","Estimated
 DWRF
 Disadvantgd
 Community
 Principal
 Forgiveness
 NOT FINAL
 (2)","Estimated
 WIF Grant
 NOT FINAL
 (3)","State or
 Federal
 Appropriation",Other Funds,IUP Status
"PART C - Projects not eligible at this time (Referred to RD, outside 2025 IUP timeframe, or below historic fundable range)",,,,,,,,,,,,,,
Waite Park,64,20,Treatment - PFAS Removal,1730039-5,"8,290",May-26,"19,246,000",-,,,,-,-,2026 Project
Middle River,164,15,"Source - New Well, Pumphouse & Sealing",1450006-2,309,May-25,"325,000",-,,,,-,-,Refer to RD
Brooten,171,15,Source - Replace Wells #1 & #,1730005-5,550,Nov-25,"704,550",-,,,,-,"600,000",Refer to RD
Foley,174,15,Treatment - Manganese Treatment Plant,1050001-4,"2,712",May-27,"13,325,500",-,,,,-,-,2027 project
Lafayette,182,15,Treatment - Plant Addition,1520002-1,545,Apr-25,"2,779,210",-,,,,"1 ,000,000",-,Refer to RD
Nielsville,201,13,Other - Connect to North Dakota ECRWD,1600012-6,82,Jul-25,"2,064,343",-,,,,-,"600,000",Refer to RD
Kettle River,209,13,Source - New Well,1090008-1,117,Jun-25,"392,000",-,,,,-,"600,000",Refer to RD
Halstad,211,13,Other - Connect to ECRW,1540003-3,622,Jul-25,"3,456,275",-,,,,-,"600,000",Refer to RD
Beardsley,212,13,Source - New Well & Sealing,1060002-4,195,Jul-25,"735,100",-,,,,-,-,Refer to RD
McGregor,231,12,Treatment - Wellhouse Rehab,1010016-1,446,Jun-25,"1,410,000",-,,,,-,"600,000",Refer to RD
Roscoe,245,12,Source - New Well & Wellhouse,1730043-1,104,May-25,"2,295,000",-,,,,-,-,Refer to RD
Buffalo Lake,254,12,Treatment - Plant Rehab & New Well,1650003-5,653,Oct-24,"1,674,000",-,,,,-,-,Refer to RD
Kettle River,268,12,Treatment - TP Rehab,1090008-2,117,Jun-25,"686,000",-,,,,-,-,Refer to RD
Bellingham,269,12,Treatment - New Plant,1370001-1,168,Jun-25,"4,180,000",-,,,,-,-,Refer to RD
Beardsley,285,12,Watermain - Replace & Loop,1060002-2,195,Jul-25,"5,904,400",-,,,,-,-,Refer to RD
