Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total
19814,Albany,RENSSELAERVILLE WATER DISTRICT,Rensselaerville (T),"Replacement of the WTP due to DBP violations and poor water quality, Upgrade Water Treatment Plant",200,2551786,145,2551786
18915,Onondaga,CARDIFF WATER DISTRICT,LaFayette (T),"Cardiff Water District Improvements and Consolidation Project, New Storage, New Inter-Connection",70,4894000,135,7445786
19541,Onondaga,ROUTE 11A WATER DISTRICT,Tully (T),"Route 11A WD Improvements and Consolidation Project, Upgrade Water District",26,2747000,120,10192786
19796,Oswego,TOWN OF SCHROEPPEL SOUTH WD,Schroeppel (T),"New South Water District, New Water District",8049,25450000,115,35642786
19760,Lewis,CROGHAN (V),Croghan (V),"Water System Improvements Project, Upgrade Transmission, Upgrade Distribution System, New Water District",900,10197000,110,45839786
19741,Westchester,SCOTTS CORNER WD,Pound Ridge (T),"Creation of the Scotts Corners WD to serve area with private wells contaminated by PFAS, New Water District",114,10907000,110,56746786
19781,Cattaraugus,CATTARAUGUS (V),Cattaraugus (V),"New Well Source, Replace WM, Valves and Controls, New Ground Water Source, Upgrade Distribution System",1185,10788220,105,67535006
19828,Washington,ARGYLE (V),Argyle (V),"Upgrade Source, Rehab Storage, Upgrade Distribution, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",725,14800000,105,82335006
19140,Jefferson,WATERTOWN WD #3 & #4,Watertown (T),"System Water Looping to address disinfection byproducts and consolidate Northland Estates and Pine Meadows PWS, Upgrade Distribution System",660,10135200,105,92470206
19830,Clinton,PERU (T),Peru (T),"Upgrade Water Treatment Plant, New Ground Water Source, New Storage",6772,9400000,100,101870206
17978,Jefferson,NORTHEAST WATER DISTRICT,Watertown (T),"New Northeast Water District, New Water District",550,8085000,100,109955206
19525,Chautauqua,CLYMER (T),Clymer (T),"New Well, New Storage Tank, and Replacement of WM, New Ground Water Source, Upgrade Distribution System",545,10707880,100,120663086
19182,Oneida,TRENTON (T),Trenton (T),"Hamlet of Barneveld distribution and storage improvements and MVWA connection, Upgrade Storage, Upgrade Distribution System",300,11113000,100,131776086
19521,Lewis,PORT LEYDEN (V),Port Leyden (V),"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System",704,10197000,95,141973086
18756,Lewis,CONSTABLEVILLE (V),Constableville (V),"Watermain replacement, raw water transmission main replacement, spring storage basin repair/upgrades, Upgrade Transmission, Upgrade Distribution System",310,13600000,95,155573086
18670,Nassau,HEMPSTEAD (V),Hempstead (V),"1,4-dioxane and PFAS removal at Clinton Street Plant, Upgrade Water Treatment Plant, Upgrade Storage",56000,53266504,90,208839590
19552,Allegany,FRIENDSHIP (T),Friendship (T),"Distribution, Source and Treatment Upgrades, Upgrade Ground Water Source, Upgrade Distribution System",1400,12450000,90,221289590
19802,Lewis,LYONSDALE (T),Lyonsdale (T),"Replacement and extension of Lyonsdale (T) Water District No. 1, New Water District",783,5871000,90,227160590
19785,Chautauqua,ELLICOTT (T),Ellicott (T),"Extend Water Service Area in Fluvanna, Upgrade Distribution System",635,10300000,90,237460590
18854,Seneca,WILLARD WD,Romulus (T),"Willard WD Distribution Improvements, Upgrade Distribution System",372,2659853,90,240120443
19798,Oneida,VIENNA FAR EAST WATER DISTRICT,Vienna (T),"New Far East Water District, New Water District",162,9925000,90,250045443
18126,Jefferson,BROWNVILLE (V),Brownville (V),"Replace Severely Aged Distribution Mains and Tank, New Storage, Upgrade Distribution System",2200,18948500,85,268993943
18681,Broome,ENDICOTT (V),Endicott (V),"Well No. 32 treatment for iron, manganese, and 1,4-dioxane, Upgrade Water Treatment Plant",46000,18473853,80,287467796
18825,Lewis,COPENHAGEN (V),Copenhagen (V),"Interconnection with Carthage / West Carthage - Source Capacity, Upgrade Water Treatment Plant",723,6264300,80,293732096
19750,Dutchess,QUAKER HILL WATER SYSTEM,DCWWA,"Quaker Hill WS Interconnection with Hyde Park Regional WS to resolve PFAS contamination at Quaker Hill, New Pump Station, New Inter-Connection",350,21875700,80,315607796
18839,Tompkins,NEWFIELD WATER DISTRICT,Newfield (T),"Phase 1 - Replacement of aged and undersized asbestos water main along Main Street & New GW Source, New Ground Water Source, Upgrade Distribution System",2300,7119751,75,322727547
19780,Chautauqua,CASSADAGA (V),Cassadaga (V),"New Well, Replace WM, Upgrade Telemetry, New Ground Water Source, Upgrade Distribution System",1500,8836370,75,331563917
19752,Allegany,BELMONT (V),Belmont (V),"Improvements on Well Source, Water Treatment Plant and Watermains, Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Distribution System",1324,8712667,75,340276584
18853,Jefferson,HOUNSFIELD WSA #8,Hounsfield (T),"Water Service Area #8 to serve an area currently on individual wells, New Water District",1250,13162370,75,353438954
18406,Wyoming,WARSAW (V),Warsaw (V),"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System",4200,12100000,70,365538954
