DWSRF #	Applicant	County	2025 IUP Cost	2025 IUP BGS Grant Award	2025 IUP BGS 0% Award
19804	Barre (T) WD #10	Orleans	2708000	15735	
18126	Brownville (V)	Jefferson	18948500	2000000	13948500
19780	Cassadaga (V)	Chautauqua	8836370		1748007
18756	Constableville (V)	Lewis	13600000	5000000	
18825	Copenhagen (V)	Lewis	6264300	3724410	1879290
18681	Endicott (V)	Broome	18473853		13473853
19802	Lyonsdale (T)	Lewis	5871000	4109700	
19774	Massena (T) Border WD	St.Lawrence	11330000	5000000	
19151	Morristown (T) WD	St.Lawrence	10145500	5000000	
18839	Newfield (T)	Tompkins	7119751	711975	
19170	Pawling (V)	Dutchess	4000000	1519600	
19521	Port Leyden (V)	Lewis	10197000	5000000	
18704	Potsdam (T) Rt 56 WD	St.Lawrence	7441000	2510700	
18854	Romulus (T) Willard WD	Seneca	3832382	1092850	
18531	Saranac Lake (V)	Franklin	22635000		14000000
19796	Schroeppel (T) South WD	Oswego	25450000	5000000	14000000
19541	Tully (T) Rt 11A WD	Onondaga	2747000	1922900	
19798	Vienna (T)	Oneida	9925000	5000000	
17978	Watertown (T) Northeast WD	Jefferson	8085000	5000000	
