Project,Project County,System Name/Borrower,Description,Population,Project Cost,Score,Cumulative Total,DAC
19595,NEW YORK CITY,NY City,Lead Service Line Replacement (Area G). Upgrade Distribution System,59637,11354131,40,11354131,Yes
19320,NEW YORK CITY,NY City,Lead service line replacement (Area E). Upgrade Distribution System,37749,14411320,40,25765451,Yes
19881,ONEIDA,MOHAWK VALLEY WATER AUTH,Lead service line replacement. Upgrade Distribution System,35000,12740000,40,38505451,Yes
19318,NEW YORK CITY,NY City,Lead service line replacement (Area C). Upgrade Distribution System,24872,5686580,40,44192031,Yes
19319,NEW YORK CITY,NY City,Lead service line replacement (Area D). Upgrade Distribution System,15929,9780120,40,53972151,Yes
19321,NEW YORK CITY,NY City,Lead service line replacement (Area F). Upgrade Distribution System,15168,8365970,40,62338121,Yes
19806,MONROE,ROCHESTER (C),"Lead Service Line Replacement, Upgrade Distribution System",12000,24000000,40,86338121,Yes
19436,FULTON,GLOVERSVILLE (C) WATER WORKS,Lead service line replacement. Upgrade Distribution System,4723,12209763,40,98547884,Yes
19807,NIAGARA,LOCKPORT (C),"Lead Service Line Replacement, Upgrade Distribution System",4150,20477044,40,119024928,Yes
19636,SULLIVAN,VILLAGE OF LIBERTY,Lead Service Line Inventory. Upgrade Distribution System,3900,845609,40,119870537,Yes
19784,DUTCHESS,POUGHKEEPSIE (C),"Lead Service Line Replacement (Zone 2, Round 1). Upgrade Distribution System",3169,11800339,40,131670876,Yes
19604,DUTCHESS,POUGHKEEPSIE (C),Lead Service Line Replacement (Phase 3). Upgrade Distribution System,2980,9336373,40,141007249,Yes
19621,ERIE,BUFFALO (C),"Lead Service Line Replacement, Upgrade Distribution System",2800,11516000,40,152523249,Yes
19437,ONEIDA,BOONVILLE (V),Lead service line inventory. Upgrade Distribution System,2500,762000,40,153285249,Yes
19876,WASHINGTON,WHITEHALL (V),Lead service line inventory. Upgrade Distribution System,2400,1134110,40,154419359,Yes
19640,MONTGOMERY,CANAJOHARIE (V),Lead service line inventory. Upgrade Distribution System,2300,558962,40,154978321,Yes
19789,DUTCHESS,POUGHKEEPSIE (C),"Lead Service Line Replacement (Zone 3, Round 1). Upgrade Distribution System",2180,9584438,40,164562759,Yes
19592,SULLIVAN,LIBERTY (T),Lead Service Line Inventory. Upgrade Distribution System,2100,569094,40,165131853,Yes
