Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,emmali_notes
17299,Albany,RAVENA VILLAGE / Ravena (V),"Source, WTP, Storage, and Distribution Improvements., Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Storage, Upgrade Distribution System","4,500",$0.00,1080,$0.00,
18903,Albany,ALBANY (C) / Albany MWFA,"2022 Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station","98,000",$0.00,1070,$0.00,
19609,Albany,ALBANY (C) / Albany MWFA,"Lead service line inventory., Upgrade Distribution System","100,000",$0.00,1040,$0.00,
19814,Albany,RENSSELAERVILLE WATER DISTRICT / Rensselaerville (T),"Replacement of the WTP due to DBP violations and poor water quality., Upgrade Water Treatment Plant",200,"$2,551,786.00",145,"$2,551,786.00",
18535,Albany,WATERVLIET (C) / Watervliet (C),"Water System Improvements., Upgrade Water Treatment Plant, Upgrade Transmission","10,450",$0.00,80,"$2,551,786.00",
18523,Albany,ALBANY (C) / Albany MWFA,"Feura Bush WTP Upgrades., Upgrade Water Treatment Plant, Upgrade Storage","98,000",$0.00,65,"$2,551,786.00",
19720,Albany,BETHLEHEM (T) / Bethlehem (T),"Clapper Road Trans. Main , Upgrade Transmission","35,000","$1,038,856.00",55,"$3,590,642.00",
19821,Albany,GREEN ISLAND (V) / Green Island (V),"Upgrades to Water Treatment Plant., Upgrade Water Treatment Plant","3,500","$9,888,000.00",55,"$13,478,642.00",
18572,Albany,COHOES CITY / Cohoes (C),"WTP Improvements Phase I., Upgrade Water Treatment Plant","15,550","$9,609,256.00",45,"$23,087,898.00",
18984,Albany,COHOES CITY / Cohoes (C),"Phase 2 WTP Upgrades., Upgrade Water Treatment Plant","15,550","$9,738,811.00",45,"$32,826,709.00",
19155,Albany,RAVENA (V) / Ravena (V),"Phase 2 Water System Improvements, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","3,271","$7,428,000.00",40,"$40,254,709.00",
19157,Albany,ALBANY (C) / Albany MWFA,"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station","101,082","$9,746,301.00",40,"$50,001,010.00",
19456,Albany,ALBANY (C) / Albany MWFA,"Lead service line replacement., Upgrade Distribution System","7,725","$12,864,426.00",40,"$62,865,436.00",
19558,Albany,ALBANY (C) / Albany MWFA,"Rensselaer Lake Dam Safety Improvements, Upgrade Surface Water Source","98,000","$8,003,000.00",40,"$70,868,436.00",
19730,Albany,WATERVLIET (C) / Watervliet,"Lead service line inventory., Upgrade Distribution System","10,265","$515,000.00",40,"$71,383,436.00",
19607,Albany,WATERVLIET (C) / Watervliet (C),"Lead service line replacement., Upgrade Distribution System",120,"$518,000.00",40,"$71,901,436.00",
19127,Albany,ALBANY (C) / Albany MWFA,"Basic Creek Reservoir Dam Safety Improvements, Upgrade Surface Water Source","101,082","$8,605,000.00",40,"$80,506,436.00",
19059,Albany,GUILDERLAND (T) / Guilderland (T),"Greensand Groundwater Filtration system. , Upgrade Water Treatment Plant","36,862","$6,599,000.00",35,"$87,105,436.00",
18333,Albany,MENANDS VILLAGE / Menands (V),"South End Water Systen Improvements., Upgrade Distribution System","3,900",$0.00,35,"$87,105,436.00",
19554,Albany,ALBANY (C) / Albany MWFA,"Water main replacement and upgrade of associated appurtenances., Upgrade Distribution System","100,000","$7,628,722.00",35,"$94,734,158.00",
19783,Albany,GREEN ISLAND (V) / Green Island (V),"Install treatment to remove PFAS, Upgrade Water Treatment Plant","3,500","$1,009,400.00",30,"$95,743,558.00",
19878,Albany,COHOES (C) / Cohoes (C),"Lead service line inventory., Upgrade Distribution System","16,883","$140,288.00",30,"$95,883,846.00",
19443,Albany,RAVENA (V) / Ravena (V),"Lead service line inventory., Upgrade Distribution System","3,271","$345,050.00",25,"$96,228,896.00",
19152,Albany,BETHLEHEM WD NO 1 - NEW SALEM SYSTEM / Bethlehem (T),"NYS Route 85 Transmission Main Replacement, Upgrade Transmission","31,000","$6,695,000.00",20,"$102,923,896.00",
19341,Albany,BETHLEHEM WD NO 1 - NEW SALEM SYSTEM / Bethlehem (T),"Rehabilitation of 3.0 MG Storage Tank, Upgrade Storage","31,000","$2,500,000.00",15,"$105,423,896.00",
19880,Albany,LATHAM WATER DISTRICT / Colonie (T),"Lead service line inventory., Upgrade Distribution System","85,590","$2,039,679.00",15,"$107,463,575.00",
19150,Albany,BETHLEHEM WD NO 1 - NEW SALEM SYSTEM / Bethlehem (T),"Elevated Water Storage Tank Replacement, Upgrade Storage","31,000","$3,900,000.00",15,"$111,363,575.00",
18358,Allegany,ANDOVER (V) / Andover (V),"Source (GWUDI Springs), Distribution, & Storage Improvements, New Water Treatment Plant, Upgrade Transmission, Upgrade Distribution System, New System Consolidation","2,500","$3,155,000.00",1135,"$114,518,575.00",
19552,Allegany,FRIENDSHIP (T) / Friendship (T),"Distribution, Source and Treatment Upgrades, Upgrade Ground Water Source, Upgrade Distribution System","1,400","$12,450,000.00",90,"$126,968,575.00",
19051,Allegany,SCIO WATER DISTRICT / Scio (T),"Water Storage Tank Replacement and Water System Improvements, Upgrade Storage, Upgrade Distribution System",900,"$2,550,000.00",90,"$129,518,575.00",
19752,Allegany,BELMONT (V) / Belmont (V),"Improvements on Well Source, Water Treatment Plant and Watermains, Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Distribution System","1,324","$8,712,667.00",75,"$138,231,242.00",
19788,Allegany,WISCOY-ROSSBURG WD / Hume (T),"New Wiscoy-Rossburg Water District, New Water District",235,"$6,946,320.00",70,"$145,177,562.00",
