epic_project_id,Entity,Project,PWS ID,County,SDC-EC Grant*,Project Type
132,Circleville,2.0 MGD Reverse Osmosis Membrane Treatment Plant,OH6500412,Pickaway,2662000,Design
SDC1,Beverly,Water System Imp PFAS/PFOS Treatment,OH8400112,WASHINGTON,181600,Design
93,Caldwell,"WTP, Raw Water Supply and Distr (East Tank)",OH6100011,NOBLE,10000000,Construction
109,Chesterhill,Water System Imp-PFAS/PFOS Treatment,OH5800112,MORGAN,146200,Design
478,Tri-County Rural W And S District,Water System Imp - PFAS/PFOS Treatment,OH8403112,WASHINGTON,162200,Design
SDC2,Oxford,WTP Membrane Softening Imp,OH0902312,BUTLER,2400000,Design
383,New Richmond,PFAS Evaluation and Treatment,OH1301212,CLERMONT,200000,Design
30,Aqua Ohio,Mansfield Water Treatment Plant Design,OH7001612,RICHLAND,650000,Design
443,Putnam Community Water Assoc.,PFAS Well Mitigation,OH8400712,WASHINGTON,40000,Design
421,Phillipsburg,Drinking Water PFAS Remediation,OH5702112,MONTGOMERY,888500,Design
506,Wilmington,WTP PFAS Treatment,OH1401211,CLINTON,1000000,Design
491,Warren County,Ion Exchange Treatment at R.A. Rennker WTP,OH8301512,WARREN,4000000,Construction
