EPIC Project ID,Entity,Project,PWS ID,County,Estimated Loan Amount,Estimated LSL Portion of the Project,Loan Type,Estimated Award Date,Rate,District Office
4,Addyston,"Distribution, LSL, and Transmission Main Replacement",OH3100012,HAMILTON,"$10,728,381 ","$1,715,625 ",Construction,25-Jun,SML/LSL PF,SWDO
5,Addyston,Sekitan Avenue Watermain and LSL Replacement,OH3100012,HAMILTON,"$1,345,942 ","$281,250 ",Construction,25-Jun,SML/LSL PF,SWDO
20,Akron,Lead Service Line Replacement Program 2025,OH7700011,SUMMIT,"$12,000,000 ","$12,000,000 ",Construction,24-Jul,LSL PF,NEDO
19,Akron,Water Main Replacement Program 2024,OH7700011,SUMMIT,"$5,472,350 ","$408,700 ",Construction,24-Jul,STD/LSL PF,NEDO
20,Akron,Lead Service Line Replacement Program 2025,OH7700011,SUMMIT,"$12,000,000 ","$12,000,000 ",Construction,24-Aug,LSL PF,NEDO
50,Bainbridge,Waterline Replacement Project,OH7100012,ROSS,"$4,830,148 ","$966,725 ",Construction,25-Mar,SML/LSL PF,SEDO
55,Belpre,Water Tank Supply Main and Various WM Replacements,OH8400012,WASHINGTON,"$1,212,564 ","$389,180 ",Construction,24-Dec,SML/LSL PF,SEDO
70,Bowerston,Distribution System and Meter Replacement,OH3400112,HARRISON,"$2,000,000 ","$329,388 ",Construction,24-Jul,SML/LSL PF,SEDO
69,Bowerston,Lead Service Line Replacement,OH3400112,HARRISON,"$329,388 ","$329,388 ",Construction,24-Jul,LSL PF,SEDO
89,Cadiz,Phase II Water System Improvements,OH3400214,HARRISON,"$5,845,000 ","$725,500 ",Construction,24-Jul,DIS/LSL PF,SEDO
90,Cadiz,Lead Service Line Replacement Project,OH3400214,HARRISON,"$950,000 ","$950,000 ",Construction,24-Aug,LSL PF,SEDO
95,Cambridge,Lead Service Line Replacement - Phase 2,OH3000111,GUERNSEY,"$499,960 ","$499,960 ",Construction,25-Apr,LSL PF,SEDO
113,Cincinnati,Burch - Shaw Area Water Main Replacement,OH3102612,HAMILTON,"$2,772,572 ","$870,000 ",Construction,25-May,STD/LSL PF,SWDO
114,Cincinnati,Erie - Kendall Area Water Main Replacement,OH3102612,HAMILTON,"$2,910,982 ","$975,000 ",Construction,24-Dec,STD/LSL PF,SWDO
115,Cincinnati,"Branch Only- Beech, Eighth, St. Lawrence LSL",OH3102612,HAMILTON,"$1,816,307 ","$1,816,307 ",Construction,24-Dec,STD/LSL PF,SWDO
127,Cincinnati,Fire Flow 23 Water Main Replacement,OH3102612,HAMILTON,"$3,474,200 ","$935,000 ",Construction,25-Jan,STD/LSL PF,SWDO
126,Cincinnati,Lyon - Wheeler Area Water Main Replacement,OH3102612,HAMILTON,"$2,994,900 ","$1,115,000 ",Construction,25-Feb,STD/LSL PF,SWDO
121,Cincinnati,Monastery - Mt. Adams Water Main Replacement,OH3102612,HAMILTON,"$4,835,650 ","$1,070,000 ",Construction,25-Mar,STD/LSL PF,SWDO
122,Cincinnati,MLK - Lakewood Area Water Main Replacement,OH3102612,HAMILTON,"$2,485,156 ","$285,000 ",Construction,25-Mar,STD/LSL PF,SWDO
129,Cincinnati,Baker - Beechcrest Water Main Replacement,OH3102612,HAMILTON,"$1,456,500 ","$135,000 ",Construction,25-Mar,STD/LSL PF,SWDO
124,Cincinnati,McHenry - Wooster Area Water Main Replacement,OH3102612,HAMILTON,"$4,944,400 ","$535,000 ",Construction,25-Apr,STD/LSL PF,SWDO
119,Cincinnati,Southern Hawthorne Water Main Replacement,OH3102612,HAMILTON,"$2,186,800 ","$70,000 ",Construction,25-Apr,STD/LSL PF,SWDO
112,Cincinnati,McMillan - Calhoun Area Water Main Replacement,OH3102612,HAMILTON,"$2,772,572 ","$870,000 ",Construction,25-May,STD/LSL PF,SWDO
116,Cincinnati,"Branch Only- Jonathan, Ruth, Woodburn LSL",OH3102612,HAMILTON,"$1,065,191 ","$1,065,191 ",Construction,25-May,STD/LSL PF,SWDO
133,Circleville,Court Street Waterline Replacement,OH6500412,PICKAWAY,"$1,978,000 ","$393,925 ",Construction,25-May,SML/LSL PF,CDO
147,Cleveland,CWD LSLR Year 3-11 SC-1 CA Reimbursement,OH1801212,CUYAHOGA,"$7,537,500 ","$7,537,500 ",Construction,24-Aug,LSL PF,NEDO
148,Cleveland,CWD LSLR Year 3-12 SC-2 LSLR Staff Support,OH1801212,CUYAHOGA,"$12,607,873 ","$12,607,873 ",Construction,24-Sep,LSL PF,NEDO
137,Cleveland,CWD LSLR Year 3-1,OH1801212,CUYAHOGA,"$11,362,781 ","$11,362,781 ",Construction,24-Dec,LSL PF,NEDO
138,Cleveland,CWD LSLR Year 3-2,OH1801212,CUYAHOGA,"$11,362,781 ","$11,362,781 ",Construction,24-Dec,LSL PF,NEDO
139,Cleveland,CWD LSLR Year 3-3,OH1801212,CUYAHOGA,"$11,362,781 ","$11,362,781 ",Construction,24-Dec,LSL PF,NEDO
155,Cleveland,CWD LSLR Year 3-19 Supplies - Copper & Brass 1,OH1801212,CUYAHOGA,"$2,144,133 ","$2,144,133 ",Construction,24-Dec,LSL PF,NEDO
153,Cleveland,CWD LSLR Year 3-17 Supplies - Curb Boxes & Bases 1,OH1801212,CUYAHOGA,"$1,117,935 ","$1,117,935 ",Construction,24-Dec,LSL PF,NEDO
