EPIC Project ID,Entity,Project,PWS ID,Population,County,Estimated Loan Amount,Estimated Principal Forgiveness,Loan Type,Estimated Award Date,Project Score,Readiness to Proceed,Rate,District Office
279,Jefferson Co W And S District,Warren Water Line Connection,OH4100803,4018,JEFFERSON,"$1,750,000 ",REG List,Construction,25-Jun,14,1,DIS/REG,SEDO
443,Putnam Community Water Association,PFAS Well Mitigation,OH8400712,2744,WASHINGTON,"$40,000 ",EC List,Design,25-Jan,13,0,PLN/DES,SEDO
442,Putnam Community Water Association,PFAS Well Mitigation,OH8400712,2744,WASHINGTON,"$911,000 ",EC List,Construction,25-Jun,13,0,DIS/EC,SEDO
34,Ashtabula County Water System,Lenox New Lyme Waterline Extension,OH0400803,13972,ASHTABULA,"$1,744,600 ",REG List,Construction,24-Jul,11,3,DIS/REG,NEDO
483,Upper Sandusky,Crawford Waterline Extension,OH8800511,6698,WYANDOT,"$295,000 ",REG List,Design,24-Oct,10,1,PLN/DES,NWDO
484,Upper Sandusky,Crawford Waterline Extension,OH8800511,6698,WYANDOT,"$2,830,000 ",REG List,Construction,25-Jun,10,1,DIS/REG,NWDO
265,Holgate,Regionalization Project,OH3500512,1150,HENRY,"$1,517,500 ",REG List,Design,24-Sep,10,0,PLN/DES,NWDO
266,Holgate,Regionalization Project,OH3500512,1150,HENRY,"$15,100,000 ",REG List,Construction,25-Jun,10,0,DIS/REG,NWDO
387,Newport Water and Sewer District,Connect to Village of Matamoras,OH8400612,1582,WASHINGTON,"$279,800 ",EC List,Design,25-Jun,10,0,PLN/DES,SEDO
388,Newport Water and Sewer District,Connect to Village of Matamoras,OH8400612,1582,WASHINGTON,"$3,530,000 ",EC List,Construction,25-Jun,10,0,DIS/REG/EC,SEDO
515,York Township Water Authority,Arman Hill Waterline Replacement,OH0701703,481,BELMONT,"$3,636,050 ",1818025,Construction,25-Feb,9,3,DIS,SEDO
428,Pomeroy,Breezy Heights Tank Proposed Wells,OH5300212,1800,MEIGS,"$467,000 ",467000,Design,24-Aug,9,2,PLN/DES,SEDO
427,Pomeroy,Breezy Heights Tank Proposed Wells,OH5300212,1800,MEIGS,"$2,814,800 ",Bypass 1,Construction,24-Sep,9,2,DIS/LSL,SEDO
59,Beverly,PFAS Treatment,OH8400112,1900,WASHINGTON,"$2,398,400 ",EC List,Construction,25-Jan,9,0,DIS/EC,SEDO
421,Phillipsburg,PFAS Remediation Project,OH5702112,490,MONTGOMERY,"$839,000 ",EC List,Design,24-Aug,9,0,PLN/DES,SWDO
223,Fayette,Water Distribution System Replacement - Phase 2,OH2600412,1340,FULTON,"$3,167,500 ",1441250,Construction,24-Oct,8,5,DIS/LSL,NWDO
