call_label,severity,field,issue,suggestion
1_col_names,ERROR,Priority Points+,Column name mismatch: Data dictionary defines 'Project Score' but file contains 'Priority Points+' with unexplained '+' suffix,Rename to 'Project Score' or document the meaning of the '+' suffix
1_col_names,ERROR,ATPI,Extra/unexpected column 'ATPI' not defined in data dictionary,Add definition to data dictionary or remove column if not needed
1_col_names,ERROR,PWSID Number,Column name mismatch: Data dictionary defines 'PWSID' but file contains 'PWSID Number',Rename to 'PWSID' to match data dictionary
1_col_names,WARNING,Estimated Amount for Green Project Subsidy,Extra/unexpected column not defined in data dictionary,Add definition to data dictionary if this is an intentional column
1_col_names,WARNING,Amount for Disadvantaged Communities Principal Forgiveness,Extra/unexpected column not defined in data dictionary; differs from 'Principal Forgiveness' definition,Clarify relationship to 'Principal Forgiveness' in data dictionary
1_col_names,WARNING,Estimated Amount for Small Systems Principal Forgiveness,Extra/unexpected column not defined in data dictionary; differs from 'Principal Forgiveness' definition,Clarify relationship to 'Principal Forgiveness' in data dictionary
1_col_names,WARNING,Anticipated Interest Rate (%),Extra/unexpected column not defined in data dictionary,Add definition to data dictionary if this is an intentional column
1_col_names,WARNING,Expected Term Years,Extra/unexpected column not defined in data dictionary,Add definition to data dictionary if this is an intentional column
1_col_names,WARNING,Expected Loan Award Date mm/yy,Extra/unexpected column not defined in data dictionary,Add definition to data dictionary if this is an intentional column
1_col_names,WARNING,Proposed Construction Start,Extra/unexpected column not defined in data dictionary,Add definition to data dictionary if this is an intentional column
1_col_names,WARNING,Proposed Construction Completion,Extra/unexpected column not defined in data dictionary,Add definition to data dictionary if this is an intentional column
1_col_names,ERROR,NA,"Missing defined columns: 'Project ID', 'Project Name', 'Project Type', 'Requested Amount', 'Funding Amount', 'Disadvantaged' not found in file",Add these columns to the data file or update data dictionary if columns are truly not applicable
2_types_nulls,ERROR,Pop. Served,"Column is character type but should be numeric according to data dictionary (Population: Number of individuals). Contains formatted numbers with commas (e.g., '19,792').",Convert to numeric by removing commas and parsing as integer
2_types_nulls,ERROR,Total Project Amount,"Column is character type but should be numeric according to data dictionary (Project Cost). Contains dollar signs and formatted strings (e.g., '$6,150,000').","Convert to numeric by removing '$' and commas, then parse as currency/numeric"
2_types_nulls,ERROR,Estimated Amount for Green Project Subsidy,"Column is character type but should be numeric. Contains mixed formats: currency values, whitespace strings ('$                               -'), and NA values. 4.7% null rate.","Standardize to numeric: convert '$' formatted values to numbers, convert whitespace/dashes to NA, ensure consistent null representation"
2_types_nulls,ERROR,Amount for Disadvantaged Communities Principal Forgiveness,Column is character type but should be numeric. Contains mixed formats: currency values and whitespace strings ('$                          -'). 1.6% null rate with inconsistent null representation.,"Standardize to numeric: convert '$' formatted values to numbers, convert whitespace/dashes to NA"
2_types_nulls,ERROR,Estimated Amount for Small Systems Principal Forgiveness,Column is character type but should be numeric. Contains mixed formats: currency values and whitespace strings. 3.1% null rate with inconsistent null representation.,"Standardize to numeric: convert '$' formatted values to numbers, convert whitespace/dashes to NA"
2_types_nulls,WARNING,Rank Order,64.1% NA rate for Rank Order. Dictionary states ranks should be present for projects above the 'ranking line' but absent for projects below. This high NA rate suggests either data quality issue or expected per design.,"Verify this aligns with the 23 ranked projects vs 41 unranked projects noted in dictionary. If expected, document this clearly"
2_types_nulls,WARNING,Priority Points+,64.1% NA rate correlates with Rank Order NAs. Should only have values for ranked projects (top 23). This appears consistent with design.,Verify against Rank Order column - NAs should match exactly if this is by design
2_types_nulls,WARNING,Expected Loan Award Date mm/yy,"Column contains mixed date formats (e.g., '12/2/2024', '1/1/2025', '11/1/2024'). Header suggests 'mm/yy' format but actual values are 'mm/dd/yyyy'.",Standardize to consistent date format and convert to proper date type; clarify if mm/yy or mm/dd/yyyy is correct
2_types_nulls,WARNING,Proposed Construction Start,7.8% NA rate with 'N/A' string values appearing in character column instead of true NA. Character type should be date.,"Convert to proper date type, standardize NA representation, and replace 'N/A' string with true NA"
2_types_nulls,WARNING,Proposed Construction Completion,7.8% NA rate. Character type should be date format. May contain 'N/A' or other string representations of missing values.,Convert to proper date type and standardize NA representation
