Rank,Points,Entity,PIF No.,PWS ID No.,"Population
Served",Project Name,Project Description,"Requested
Phase(s)","Total Project
Cost"
1,62.99,Goliad,16050,TX0880001,"1,624","City of Goliad
LSLR 2024","The project will consist of digging on both sides of the
meter for from water main tap to the meter from meter to
the house service lines, evaluating the materials,
classifying logging if, lead ,galvanized, copper, pvc, or poly
tubing After making sure it is approved material, (a)
document in the file in LSLR survey packet files and cover
up dig site,(b) If material needs to be replace, do so with
approved AWWA material or document that it needs to be
changed out, file it in the LSLR survey report packet, and
replace identified non-conforming services per TCEQ and
guidelines.",PDC,"$530,000.00"
2,60.43,Cotulla,16051,TX1420001,"3,996","Lead Service
Line Inventory
and Replacement","The City of Cotulla aims to complete the service line
inventory and replace lead service lines in the area. This
project includes finishing the inventory and replacing the
galvanized and lead service lines in the system.",PDC,"$398,000.00"
3,51.81,Lower Valley WD,16052,TX0710154,"64,332","Lead Service
Line
Replacement
Project","The District proposes to hire one (1) temporary staff
person to continue inventory, catalogue, and identify lead
service lines in private properties.  Staff will submit for
plumbing permits to replace lines that have been
identified.  The District will contract with a third-party
vendor to replace those lines that have been identified.
This vendor will replace lines from the water meter to the
homes to be compliant. The project will include the
installation of any service lines, plumbing fixtures and
appurtenances needed to fulfill TCEQ’s requirements on
the resident’s property. The District will task an inspector
that will make sure that the work is completed to the
resident’s satisfaction and submit a final report for each
property that was worked on.",PDC,"$570,000.00"
4,54.54,Beaumont,16053,TX1230001,"54,359","Lead Service
Line Inventory
and Replacement","The City of Beaumont aims to complete this service line
inventory and replace lead and galvanized service lines
requiring replacement in the area. This project includes
finishing the inventory and replacing the galvanized and
lead service lines in the defined project area. The project
will also conduct public outreach for awareness.",PDC,"$7,602,000.00"
5,54.68,"Pine Village Public Utility
District",16054,TX1010901,"3,516","Lead Service
Line Inventory
and
Replacement
Program","The majority of the District’s utilities date back to the early
1970s. Therefore, the maintenance and upkeep of the
District’s assets is critical to ensure quality and reliable
service to its constituents. The proposed project is
comprised of two phases which includes the 1) lead
service line inventory and replacement plan, and 2) lead
service line replacement. The inventory and replacement
plan will identify and include both the public and private
sides of the water service lines. Additionally, the inventory
and replacement plans will identify possible changes to
