Rank,Points,Entity,PWS ID,Population,Project Description,"Requested
Phase(s)","Emerging
Contaminants","Total Project
Cost"
1,255,"New Horizons Ranch
and Center, Inc.",TX1670009,100,"The Entity currently owns and operates a water treatment facility
that utilizes free chlorine to treat raw water from Meadows Lake
which sources its water from the Pecan Bayou. The Entity has
performed testing on its drinking water sources and has
detected the presence of several PFAS substances. This project
will be to provide a new drinking water source via City of
Goldthwaite’s (TX1670001) water system. This project will
consist of the construction of approximately 43,000 linear feet of
a supply line, valves, boring, and all associated incidentals. The
supply line will route to the Entity’s existing GST. In addition to
the supply line, this project includes replacing the Entity’s
pressure tank, high-service pumps (2), electrical improvements,
and chemical feed improvements to return the Entity’s system to
TCEQ compliance. This project will also include improvements
to the City of Goldthwaite’s distribution facilities to supply
drinking water to New Horizons. The Entity qualifies for very
small system principal forgiveness funding and also submitted a
SFY2026 PIF through the regular DWSRF program for this
project.",PDC,PFAS,"$3,004,025.00"
2,235,Sharyland WSC,TX1080033,"97,990","Sharyland Water Supply Corporation (SWSC) owns and
operates three water treatment plants, WTP #1, WTP #2, and
WTP #3. SWSC’s WTP #1 is rated to treat 6 MGD, while WTP
#2 and #3 are both rated to treat 8 MGD each (total of 22 MGD)
of surface water diverted from the Rio Grande River. The water
from the Rio Grande River is conveyed to SWSC’s facilities via
a series of open channel irrigation canals. The Rio Grande River
is an impaired waterbody from a water quality standpoint and
the existing raw water delivery system to the treatment facilities
facilitates the further degradation of water quality prior to
treatment. Recent sampling revealed the presence of several
emerging contaminants in SWSC’s water, including PFOS,
PFOA, and PFHxS. The intent of this project is to equip SWSC’s
existing plants with additional treatment capabilities to remove
the identified emerging contaminants. Specifically, this project
will include the design and construction of new Granular
Activated Carbon (GAC) treatment systems for removal of these
contaminants.",PDC,"PFOS, PFOA,
PFHxS","$40,900,000.00"
3,232,Manville WSC,TX2270033,"91,023","MWSC is a non-profit water supply corporation and was
selected for monitoring as part of the Fifth Unregulated
Contaminant Monitoring Rule (UCMR 5). UCMR 5 results
showed elevated levels of per- and polyfluoroalkyl substances
(PFAS) and lithium. The proposed project would include the
planning, design, and construction of treatment and associated
infrastructure sized to remediate and remove PFAS from the13
active drinking water wells and two (2) additional future wells.",PDC,"PFAS, Lithium","$38,940,000.00"
4,230,Fort Worth,TX2200012,"1,001,741","This project will construct a per- and polyfluoroalkyl substances
(PFAS) treatment at the City’s South Holly municipal water
treatment facility. This treatment will reduce the PFAS levels
below the Maximum Contaminant Level in the potable water
supply. The City will use Granular Activated Carbon (GAC)
adsorption to reduce the PFAS levels. GAC adsorption is
recognized as a best available technology to reduce the PFAS
levels in potable water.",C,"PFOA, PFOS,
PFHxS","$150,000,000.00"
5,230,Dallas Water Utilities,TX0570004,"2,679,042",PDC,"PFOA, PFOS,
PFHxS, PFNA,
HFPO-DA","$333,000,000.00",
6,225,Parker County SUD,TX1840079,"4,113","The proposed project includes the use of reverse osmosis (RO)
and granular activated carbon (GAC) technologies to prepare
for the new PFAS limits initiated by EPA in Spring 2024. Given
the introduction of PFAS into source waters from wastewater
effluent discharge, PCSUD is implementing RO and GAC
technologies to be prepared to reduce emerging contaminants
from its source water.",PDC,PFAS,"$77,980,000.00"
7,215,"East Rio Hondo
WSC",TX0310093,"34,536","East Rio Hondo Water Supply Corporation (ERHWSC) owns
and operates the Martha Ann Simpson Water Treatment Plant
(MASWTP). MASWTP is rated to treat 8 MGD of surface water
diverted from the Rio Grande River and conveyed to the facility
via a series of open channel resacas and canals. Recent
sampling revealed the presence of two emerging contaminants
in ERHWSC’s raw water; PFOS and lithium. The intent of this
project is to equip the MASWTP with additional treatment
capabilities to remove the currently identified emerging
contaminants as well as those that may be present in the future.
Secondary/future goals for this project include implementing
brackish groundwater at the MASWTP for both blending and
alternative water supply purposes. The conceptual design for
this project includes a new, 8 MGD reverse osmosis treatment
system for removal of both PFOS and lithium. The current
conceptual design utilizes brackish groundwater for blending to
achieve downstream concentration goals. Future ratios of
potential blending and implementation of additional brackish
groundwater will be contingent on future raw surface water
contaminant concentrations and disposal permit limitations.
Additional improvements include pretreatment filtration and
posttreatment systems, clean-in-place system, electrical,
mechanical, and piping improvements, an injection well for
concentrate disposal, two brackish groundwater wells, backup
generators, and new building.",PDC,"PFOS, Lithium","$55,474,839.53"
8,215,"East Rio Hondo
WSC",TX0310093,"34,536","East Rio Hondo Water Supply Corporation (ERHWSC) owns
and operates the Nelson Road Water Treatment Plant
(NRWTP). NRWTP is rated to treat 3.2 MGD of surface water
diverted from the Rio Grande River and conveyed to the facility
via a series of open channel resacas and canals. Recent
sampling revealed the presence of two emerging contaminants
in ERHWSC’s raw water; PFOS and lithium. The intent of this
project is to equip the NRWTP with additional treatment
capabilities to remove the currently identified emerging
contaminants as well as those that may be present in the future.
Secondary/future goals for this project include implementing
brackish groundwater at the NRWTP for both blending and
alternative water supply purposes. The conceptual design for
this project includes a new, 3.2 MGD reverse osmosis treatment
system for removal of both PFOS and lithium. The current
conceptual design utilizes brackish groundwater for blending to
achieve downstream concentration goals. Future ratios of
potential blending and implementation of additional brackish
groundwater will be contingent on future raw surface water
contaminant concentrations and disposal permit limitations.
Additional improvements include pretreatment filtration and
posttreatment systems, clean-in-place system, electrical,
mechanical, and piping improvements, an injection well for
concentrate disposal, a brackish groundwater well, backup
generator, and new building.",PDC,"PFOS, Lithium","$28,349,420.84"
9,207,"Baytown Area Water
Authority",TX1011742,"129,317","BAWA conducted multiple sampling and testing events
throughout 2023-2024. The results confirmed the presence of
regulated PFAS compounds, including PFOA, PFOS, PFHxS,
PFNA, and PFBS, in the finished water. Analysis indicated an
average PFOS concentration exceeding the 4 ng/L enforceable
Maximum Contaminant Level (MCL) set by the USEPA. PFOA
was detected slightly below the 4 ng/L enforceable MCL, while
PFHxS, PFNA, and PFBS were present but remained within
compliance limits. With the April 2029 compliance deadline
approaching, BAWA is preparing to design, construct, and
commission a treatment system to ensure regulatory compliance
for PFAS removal before enforcement begins. BAWA plans to
explore an Ion Exchange resin system at both the BAWA Fritz
Lanham SWTP and BAWA East SWTP to effectively adsorb
and remove PFAS chemicals from the finished water. Design
will include researching different treatment options with both
capital and life cycle costs evaluations. This initiative aims to
meet federal regulatory requirements and ensure the delivery of
safe drinking water to the community.",PDC,"PFAS, PFOS,
PFOA","$71,885,000.00"
10,190,Sandbranch WSC,,240,"The Sandbranch Development & WSC would enter into a
wholesale water purchase agreement with the City of
Seagoville. Securing funding will allow them to continue with
their design efforts to propose an interconnect, negotiate the
agreement with Seagoville, receive TCEQ approval for plans
and specs, obtain a CCN to serve the area, and deliver first-time
service to the deserving folks in Sandbranch. Please review the
additional attachments for historical context on developments to
securing safe and clean water and sanitation access in
Sandbranch in the 1980's. There has been extensive work on
the community's part to formalize as a Water Supply
Corporation and in the face of adversity, they have worked
through bureaucratic obstacles to perform necessary planning
work for water and wastewater connections. Also attached are
water quality reports and support letters from Dallas County
Judge Clay Jenkins, Senator Johnson for District 16, and
Representative Rose for District 110 highlighting the need for
significant investment.",PADC,Naphthalene,"$9,851,900.00"
11,185,Johnson County SUD,TX1260018,"65,427","and granular activated carbon (GAC) technologies to prepare
for the new PFAS limits initiated by EPA in Spring 2024. Given
the introduction of PFAS into source waters from wastewater
effluent discharge, JCSUD is implementing RO and GAC
technologies to be prepared to reduce emerging contaminants
from its source water. JCSUD is proposing a new Reverse
Osmosis Water Treatment Plant (RO WTP). JCSUD has
historically relied on a combination of groundwater and surface
water supplies. However, with the rapidly declining capacity and
quality of local shallow, freshwater groundwater aquifers due to
overdevelopment of the groundwater supply by residential and
commercial developers over the past 30 years, current and
future water demands will need to rely on surface water supplies
and/or deeper, brackish groundwater supplies. Additionally, the",PDC,PFAS,"$215,111,000.00"
12,180,Canyon Park WSC,TX1870034,453,"This project will include a new water treatment plant and a new
water well that will be deeper and potentially not have
contaminants in the water.",PDC,Lithium,"$4,200,000.00"
13,105,Grandview,TX1260004,"2,004","The City of Grandview has been made aware of recent elevated
concerns regarding PFAS contaminants within the City’s ETJ
due to a past PFAS contamination from agriculture biosolids. As
a result, the City has tested each of their groundwater source
wells and the results warrant continued monitoring and addition
of some more specific testing, such as for Lithium.",P,"PFAS, Lithium","$105,000.00"
14,100,Goldthwaite,TX1670001,"1,733","The City of Goldthwaite has performed testing on its drinking
water sources. Results have shown evidence of several different
PFAS substances. The City is requesting planning funding
which will be used to study the PFAS substances present and
determine the best course of action towards treating these
substances in the drinking water supply.",P,PFAS,"$75,000.00"
15,80,Laredo,TX2400001,"255,949","Quarterly UCMFR sampling tests conducted in 2023 at two
water treatment plants, Jefferson WTP and El Pico WTP, in the
City of Laredo revealed the presence of Lithium and PFBA
contaminants in their primary water supply. This contamination
poses a risk to site groundwater contamination and migration to
surrounding surface water bodies. To prevent further
contamination, the proposed project will be used to support
planning, additional testing and monitoring, and the
development of a treatment action plan to address these
contaminants effectively.",P,"PFAS, Lithium","$782,500.00"
