"SelfScore1",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME,"FederalEquivalency2"
541,GOODMAN SD #1,4811-02,Install GAC Treatment System at WTP,"$2,300,000",NE,Hannes,No
478,"RHINELANDER, CITY OF",5288-15,Add Treatment at Well #7 for PFAS (EC),"$5,500,000",NO,Andruczyk,Yes
452,"CLINTON, VILLAGE OF",4982-05,Treat Well #3,"$1,000,000",SC,Zettl,No
408,"OSHKOSH, CITY OF",4874-16,Replace Underground Storage Tank & Pumping Stations,"$32,329,500",NE,Hannes,Yes
402,"FAIRCHILD, VILLAGE OF",5053-03,Construct Well #3,"$1,200,000",WC,Cameron,No
400,"KAUKAUNA, CITY OF",5120-17,New Water Treatment Plant,"$15,000,000",NE,Hannes,Yes
400,"KAUKAUNA, CITY OF",5120-18,Well 9 Treatment Equipment & Transmission Main,"$15,000,000",NE,Hannes,Yes
398,"RIPON, CITY OF",5289-22,Upgrade System-Wide SCADA,"$375,000",NE,Hannes,No
388,"NEW AUBURN, VILLAGE OF",5202-11,Upgrade Well #1,"$115,000",WC,Cameron,No
388,"NEW AUBURN, VILLAGE OF",5202-12,Upgrade Well #2,"$115,000",WC,Cameron,No
387,"ADAMS, CITY OF",5310-05,Treat Well #4 for PFAS (EC),"$5,202,600",WC,Cameron,Yes
381,"MENASHA, CITY OF",4845-23,Install Raw Water Intake for WTP,"$8,000,000",NE,Hannes,Yes
378,"RIB MOUNTAIN, VILLAGE OF",5590-05,"Install Permanent Treatment for PFAS, Iron and Manganese (EC","$14,711,850",WC,Andruczyk,No
366,"BANGOR, VILLAGE OF",5145-06,"Construct Well /House 3, Con.Main, Treatment; Abandon Well 1","$2,650,000",WC,Cameron,No
350,"AUGUSTA, CITY OF",5186-10,Abandon Well #7; Construct Well #11,"$105,000",WC,Cameron,No
342,"DANE, VILLAGE OF",5332-03,Rehab/Upgrade Well #2,"$1,250,000",SC,Zettl,No
330,"WAUSAU, CITY OF",4930-19,Construct GAC Treatment System for PFAs (EC),"$20,000,000",WC,Andruczyk,Yes
330,"WAUSAU, CITY OF",4930-25,Final Treatment for PFAs using Ion Exchange (EC),"$20,000,000",WC,Andruczyk,Yes
330,"RIB MOUNTAIN, VILLAGE OF",5590-03,Install Temporary Treatment for PFAs at Well #1 (EC),"$653,961",WC,Andruczyk,Yes
330,"WAUSAU, CITY OF",4930-20,Interim Treatment for PFAs (EC),"$20,000,000",WC,Andruczyk,Yes
308,"WESTON, VILLAGE OF",4935-04,Treat Well #3 and Well #4 for PFAs (EC),"$2,500,000",WC,Andruczyk,Yes
279,"LA CROSSE, CITY OF",5406-06,Replace Well #23 (EC),"$12,600,000",WC,Cameron,Yes
279,"LA CROSSE, CITY OF",5406-03,Treatment at Well #23 (EC),"$19,000,000",WC,Cameron,Yes
264,"MONTICELLO, VILLAGE OF",4853-06,Construct Well #4,"$2,000,000",SC,Zettl,No
261,"ADAMS, CITY OF",5310-04,Construct Well #6; Replace Well #4 (EC),"$5,000,000",WC,Cameron,Yes
261,"MARSHFIELD, CITY OF",5364-09,"South Wellfield-Temporary Treatment for PFAs, Wells 4, 5, 6, & 25 (EC)","$1,586,834",WC,Cameron,Yes
261,"ADAMS, CITY OF",5310-06,Treat Well #4 for PFAS- Temporary (EC),"$1,900,000",WC,Cameron,Yes
257,"MARSHFIELD, CITY OF",5364-07,Wildwood Wellfield Replacement: Replace Wells 8 & 10 (EC),"$5,500,000",WC,Cameron,Yes
255,"MAIDEN ROCK, VILLAGE OF",5606-03,Treat Well 2 for Radium/ Wellhouse Expansion,"$750,000",WC,Cameron,No
219,"MADISON, CITY OF (SDW)",4837-09,Treat Well #15 for PFAS (EC),"$5,900,000",SC,Zettl,Yes
216,"CAMPBELL, TOWN OF",4778-03,Construct New Water System Concept 3: Joint System with Onalaska,"$50,500,000",WC,Cameron,No
215,"ELKHORN, CITY OF",5525-11,BIL SFY25 LSL Program,"$900,000",SE,Binder,Yes
203,"LA CROSSE, CITY OF",5406-07,Replace Well #24 (EC),"$12,600,000",WC,Cameron,Yes
203,"LA CROSSE, CITY OF",5406-04,Treatment at Well #24 (EC),"$19,000,000",WC,Cameron,Yes
202,"ELKHORN, CITY OF",5525-13,Replace WM on Centralia St (Devendorf to CTH HH),"$2,775,770",SE,Binder,No
194,"ELKHORN, CITY OF",5525-12,Replace WM on Centralia St (I-43),"$488,800",SE,Binder,No
174,"CAMPBELL, TOWN OF",4778-02,"New Water System, Concept 2: Joint Water System with LaX","$39,000,000",WC,Cameron,No
174,"STANLEY, CITY OF",4913-07,Rehab Central WTP,"$6,086,760",WC,Cameron,No
174,"STANLEY, CITY OF",4913-08,Rehab Well #3,"$6,086,760",WC,Cameron,No
169,"LA CROSSE, CITY OF",5406-08,Replace Well #26 (EC),"$12,600,000",WC,Cameron,Yes
169,"LA CROSSE, CITY OF",5406-05,Treatment at Well #26 (EC),"$19,000,000",WC,Cameron,Yes
168,"CAMPBELL, TOWN OF",4778-01,"Construct New Water System, Concept 1: Independent System","$64,000,000",WC,Cameron,No
168,"RIPON, CITY OF",5289-21,Construct Well #10,"$10,000,000",NE,Hannes,No
153,"PULASKI, VILLAGE OF",5373-08,Construct Connection to Green Bay Water Utility,"$15,500,000",NE,Hannes,No
147,LAONA SD #1,5529-04,Construct Well #2,"$2,500,000",NO,Andruczyk,No
147,LAONA SD #1,5529-03,Rehab Well #1,"$2,500,000",NO,Andruczyk,No
139,"TWO RIVERS, CITY OF",4920-54,Replace Watermains on Roosevelt Ave,"$2,000,000",NE,Hannes,No
139,"TWO RIVERS, CITY OF",4920-53,System-Wide WM Replacement,"$2,000,000",NE,Hannes,No
139,"MAYVILLE, CITY OF",5443-15,Well #2 Treatment Upgrades,"$3,000,000",SC,Zettl,No
139,"MAYVILLE, CITY OF",5443-17,Well #5 Treatment Upgrades,"$3,000,000",SC,Zettl,No
136,"READSTOWN, VILLAGE OF",5523-07,Construct New Well #2,"$1,000,000",WC,Cameron,No
136,WIOTA SD #1,5442-04,Construct Well #3,"$1,250,000",SC,Zettl,No
136,"DARLINGTON, CITY OF",5387-04,Construct Well #4,"$968,000",SC,Zettl,No
135,"TWO RIVERS, CITY OF",4920-52,BIL SFY25 LSL Program,"$1,500,000",NE,Hannes,Yes
135,"TWO RIVERS, CITY OF",4920-51,BIL SFY25 LSL Program-- CT,"$1,500,000",NE,Hannes,Yes
135,"MANITOWOC, CITY OF",5191-19,BIL SFY25 LSL Program-- CT 5,"$5,574,800",NE,Hannes,Yes
134,"CAMBRIDGE, VILLAGE OF",5055-05,"Well 3 rehab, treatment","$5,607,947",SC,Zettl,No
132,SEXTONVILLE SD,4898-02,"Construct Well, Transmission Main & Generator","$1,500,000",SC,Zettl,No
132,"RIPON, CITY OF",5289-06,"Upgrade well #8 filtration, building, pumps, SCADA","$2,750,000",NE,Hannes,No
131,"KAUKAUNA, CITY OF",5120-19,BIL SFY25 LSL Program,"$1,200,000",NE,Hannes,Yes
131,"KAUKAUNA, CITY OF",5120-16,"Replace WMs on Kaukauna, Brothers, Division, Oviatt, Tobacnoir Streets","$1,200,000",NE,Hannes,Yes
130,"BELOIT, CITY OF",5471-09,Construct New Well to replace Well 9,"$5,000,000",SC,Zettl,Yes
130,"BELOIT, CITY OF",5471-07,Treat Well #9 for Radium,"$5,000,000",SC,Zettl,Yes
128,"RHINELANDER, CITY OF",5288-19,Construct Well #9 (EC),"$2,500,000",NO,Andruczyk,No
126,"SUAMICO, VILLAGE OF",5392-05,Construct New Well #5,"$8,090,000",NE,Hannes,No
126,"NECEDAH, VILLAGE OF",5201-03,Construct Well #5,"$4,025,000",WC,Cameron,No
125,"GREEN BAY, CITY OF",5331-32,BIL SFY25 LSL Program,"$500,000",NE,Hannes,Yes
125,"EDGERTON, CITY OF",4800-10,BIL SFY25 LSL Program,"$1,000,000",SC,Zettl,Yes
124,"BROWNTOWN, VILLAGE OF",5056-03,Rehab Water Tower,"$400,000",SC,Zettl,No
122,"BARABOO, CITY OF",4762-07,BIL SFY25 LSL Program,"$1,000,001",SC,Zettl,Yes
122,"ROTHSCHILD, VILLAGE OF",4896-13,Construct Treatment Facility for PFAs (EC),"$6,300,000",WC,Andruczyk,Yes
122,"FOUNTAIN CITY, CITY OF",5116-01,"Construct Well #2, Wellhouse, Pump, SCADA, Transmission WM","$1,380,000",WC,Cameron,No
120,"WATERTOWN, CITY OF",5439-08,BIL SFY25 LSL Program,"$11,189,000",SC,Zettl,Yes
120,"WATERTOWN, CITY OF",5439-07,BIL SFY25 LSL Program-- CT 1002 &9 620,"$4,781,000",SC,Zettl,Yes
120,"GRANTSBURG, VILLAGE OF",5377-10,Treat Well #1 for Mn,"$6,000,000",NO,Cameron,No
117,"MARKESAN, CITY OF",5122-11,BIL SFY25 LSL Program,"$585,000",NE,Hannes,Yes
117,"MARKESAN, CITY OF",5122-10,Replace WM on S. Bridge & W. Millard Streets,"$585,000",NE,Hannes,No
116,"CURTISS, VILLAGE OF",4792-08,"Construct Well #14, Well House, Pump, SCADA","$4,370,000",WC,Cameron,No
116,"AVOCA, VILLAGE OF",4761-04,"Construct Well/House 3, Piping, Chem Addition, Standby Power","$968,000",SC,Zettl,No
114,"CHETEK, CITY OF",4781-07,Replace Water Tower,"$4,258,300",NO,Andruczyk,No
112,"RACINE, CITY OF",4887-22,BIL SFY25 LSL Program,"$5,000,000",SE,Binder,Yes
112,"BLOOMINGTON, VILLAGE OF",5065-04,Construct Well  #2 and Appurtenances,"$968,000",SC,Zettl,No
