"PriorityScore","FinancialNeedPoints3","ProjectPoints4",Program,Municipality,"ProjectNumber",Project Description,Region,County,"ProjectManager",CME,Population,"MHI(<$57,967)","SubsidizedLoan Rate","RequestedProject Costs","Estimated LoanAmount","Total PFPoints","EligiblePF %","BIL-EC PFEstimate5","General PFEstimate","Total EstimatedPF"
389.25,38.25,351,BASE,"CUMBERLAND, CITY OF",4791-10,Construct Well #6,NO,Barron,Leizinger,Andruczyk,"2,243","$42,760.00",33%,"$1,571,129.00","$549,895.00",255,65%,$                     -,"$1,021,234.00","$1,021,234.00"
334.75,9.75,325,EC,"PEWAUKEE, VILLAGE OF1",5250-08,Temporary PFAS Treatment at Well #6 (EC),SE,Waukesha,Pope,Binder,"8,159","$60,202.00",55%,"$1,008,997.00","$504,498.00",65,10%,"$504,499.00",$                     -,"$504,499.00"
156.5,16.5,140,EC,"CAMPBELL, TOWN OF1",4778-04,"New Water System, Phase 1 (EC)",WC,La Crosse,Atkinson,Cameron,"4,232","$59,574.00",55%,"$972,998.00","$486,499.00",110,30%,"$486,499.00",$                     -,"$486,499.00"
111.5,4.5,107,BASE,"ALTOONA, CITY OF",5209-09,Water System Consolidation: Concept 2,WC,Eau Claire,Balgooyen,Cameron,"9,320","$77,002.00",55%,"$3,043,950.00","$3,043,950.00",30,0%,$                     -,$                     -,$                     -
100.5,34.5,66,BASE,"NECEDAH, VILLAGE OF2",5201-03,Construct Well #5,WC,Juneau,Noreika,Cameron,940,"$47,986.00",33%,"$2,804,821.00","$1,204,821.00",230,60%,$                     -,"$1,600,000.00","$1,600,000.00"
91.5,31.5,60,BASE,"COLEMAN, VILLAGE OF",4788-05,Recoat/Repair Elevated Storage Tank,NE,Marinette,Higgins,Hannes,719,"$47,788.00",33%,"$793,000.00","$317,200.00",210,60%,$                     -,"$475,800.00","$475,800.00"
90.75,27.75,63,BASE,"FREDERIC, VILLAGE OF2",5541-03,Replace WMs on Wisconsin Ave,NO,Polk,Batchelor,Andruczyk,"1,132","$50,250.00",33%,"$3,373,175.00","$1,773,175.00",185,55%,$                     -,"$1,600,000.00","$1,600,000.00"
87.75,15.75,72,BASE,"CLINTON, VILLAGE OF",4982-05,Treat Well #3,SC,Rock,Atkinson,Zettl,"2,239","$66,950.00",55%,"$700,300.00","$525,225.00",105,25%,$                     -,"$175,075.00","$175,075.00"
86.25,29.25,57,BASE,"MILWAUKEE, CITY OF1,2",4851-46,"Replace WMs, System-Wide",SE,Milwaukee,Atkinson,Binder,"575,722","$49,733.00",55%,"$8,015,662.00","$6,415,662.00",195,55%,$                     -,"$1,600,000.00","$1,600,000.00"
85.5,31.5,54,BASE,"NIAGARA, CITY OF",4862-08,Rehab 200k Gallon Storage Tank,NE,Marinette,Batchelor,Hannes,"1,563","$51,667.00",33%,"$587,650.00","$235,060.00",210,60%,$                     -,"$352,590.00","$352,590.00"
84.5,40.5,44,BASE,"MERRILLAN, VILLAGE OF",5445-03,"Replace WMs on Mill, Hayden, & Center Streets",WC,Jackson,Jimenez,Cameron,557,"$50,000.00",33%,"$1,097,895.00","$384,263.00",270,65%,$                     -,"$713,632.00","$713,632.00"
84,6,78,BASE,"ELKHORN, CITY OF",5525-09,Increase Capacity - Lakeland WTP,SE,Walworth,Mills,Binder,"10,286","$72,958.00",55%,"$1,223,853.00","$1,223,853.00",40,0%,$                     -,$                     -,$                     -
82.5,40.5,42,BASE,"GRATIOT, VILLAGE OF",5197-07,Replace WM on Noble St,SC,Lafayette,Boelkow,Zettl,221,"$37,500.00",33%,"$2,365,275.00","$827,846.00",270,65%,$                     -,"$1,537,429.00","$1,537,429.00"
82.5,13.5,69,BASE,"TWO RIVERS, CITY OF",4920-53,"WM Replacement, Multiple Locations",NE,Manitowoc,Aerts,Hannes,"11,150","$56,236.00",55%,"$536,780.00","$429,424.00",90,20%,$                     -,"$107,356.00","$107,356.00"
81.5,22.5,59,EC,"MEDFORD, CITY OF1",4844-03,Construct Well #14 (EC),NO,Taylor,Pope,Andruczyk,"4,377","$54,107.00",33%,"$2,000,000.00","$1,000,000.00",150,40%,"$1,000,000.00",$                     -,"$1,000,000.00"
80.5,28.5,52,BASE,"ASHLAND, CITY OF2",4759-22,"Replace Watermain on STH 13, between 2nd and 11th Street",NO,Ashland,Sweeney,Andruczyk,"7,769","$47,239.00",33%,"$1,472,700.00","$662,715.00",190,55%,$                     -,"$809,985.00","$809,985.00"
78.5,31.5,47,BASE,"BARRON, CITY OF",5473-09,"Watermain Replacement on La Salle Ave, between Mill and 7th",NO,Barron,Patek,Andruczyk,"3,661","$47,297.00",33%,"$1,134,302.00","$453,721.00",210,60%,$                     -,"$680,581.00","$680,581.00"
75.75,42.75,33,BASE,"PATCH GROVE, VILLAGE OF",5534-02,Replace WMs on College and Main Streets,SC,Grant,Boelkow,Zettl,194,"$45,250.00",33%,"$557,130.00","$194,996.00",285,65%,$                     -,"$362,135.00","$362,135.00"
73.75,27.75,46,BASE,"RHINELANDER, CITY OF2",5288-18,"Replace WM on Messner, Rose, Evergreen Streets, Lakeshore Dr",NO,Oneida,Leizinger,Andruczyk,"8,158","$47,730.00",33%,"$3,798,271.00","$2,198,271.00",185,55%,$                     -,"$1,600,000.00","$1,600,000.00"
73.5,28.5,45,BASE,"ASHLAND, CITY OF2",4759-26,Replace WMs on Prentice Ave,NO,Ashland,Sweeney,Andruczyk,"7,769","$47,239.00",33%,"$996,912.00","$448,610.00",190,55%,$                     -,"$548,302.00","$548,302.00"
73.5,25.5,48,BASE,"NEW AUBURN, VILLAGE OF",5202-09,Replace Watermain on North St,WC,Chippewa,Batchelor,Cameron,567,"$63,125.00",55%,"$1,258,078.00","$629,039.00",170,50%,$                     -,"$629,039.00","$629,039.00"
72,24,48,BASE,"LUCK, VILLAGE OF",5486-08,Replace WM on STH 48,NO,Polk,Maka,Andruczyk,"1,078","$64,250.00",55%,"$1,251,468.00","$688,307.00",160,45%,$                     -,"$563,161.00","$563,161.00"
71.25,29.25,42,BASE,"SHULLSBURG, CITY OF",5493-07,"Replace WMs on Henry, Lafayette, & Ringold Streets",SC,Lafayette,Mills,Zettl,"1,175","$60,179.00",55%,"$1,512,110.00","$680,450.00",195,55%,$                     -,"$831,661.00","$831,661.00"
70.5,13.5,57,BASE,"PULASKI, VILLAGE OF2",5373-08,Construct Connection to Green Bay Water Utility,NE,Brown,Jimenez,Hannes,"4,040","$65,906.00",55%,"$16,000,000.00","$14,400,000.00",90,20%,$                     -,"$1,600,000.00","$1,600,000.00"
69.5,28.5,41,BASE,"ASHLAND, CITY OF2",4759-25,Replace WMs on Stunz Ave and St. Clair St,NO,Ashland,Sweeney,Andruczyk,"7,769","$47,239.00",33%,"$871,495.00","$629,782.00",190,55%,$                     -,"$241,713.00","$241,713.00"
