Municipality,Project #,LSL PERF Score,Project Manager,Census Tract or Municipal?,Requested Costs,Private Side Costs,Private Side PF %,Private Side PF Allocation,Private Side Loan $s,Remaining Costs,Remaining Cost PF %,Remaining Cost PF Allocation,Remaining Cost Loan $s,Total PF Allocated,Total Loan Allocated,Total Funding Allocated
"WATERTOWN, CITY OF",5439‐09,307,Kate Leja‐Brennan,CT,"$3,334,100.00","$3,334,100.00",100%,"$3,334,100.00",$0.00,$0.00,10%,$0.00,$0.00,"$3,334,100.00",$0.00,"$3,334,100.00"
"MANITOWOC, CITY OF",5191‐19,294,Blythe Cassidy,CT,"$5,574,800.00","$5,474,800.00",100%,"$5,474,800.00",$0.00,"$100,000.00",20%,"$20,000.00","$80,000.00","$5,494,800.00","$80,000.00","$5,574,800.00"
"GREEN BAY, CITY OF4",5331‐32,285,Kate Leja‐Brennan,CT,"$990,000.00","$470,000.00",75%,"$352,500.00","$117,500.00",$0.00,20%,$0.00,$0.00,"$352,500.00","$117,500.00","$470,000.00"
"TWO RIVERS, CITY OF",4920‐51,281,Ben Aerts,CT,"$1,977,536.00","$679,214.00",100%,"$679,214.00",$0.00,"$1,298,322.00",20%,"$259,664.00","$1,038,657.00","$938,879.00","$1,038,657.00","$1,977,536.00"
"KENOSHA, CITY OF",4825‐09,280,Kate Leja‐Brennan,CT,"$7,700,000.00","$4,235,000.00",100%,"$4,235,000.00",$0.00,"$3,465,000.00",20%,"$693,000.00","$2,772,000.00","$4,928,000.00","$2,772,000.00","$7,700,000.00"
"WATERTOWN, CITY OF",5439‐07,276,Kate Leja‐Brennan,CT,"$1,771,000.00","$1,771,000.00",75%,"$1,328,250.00","$442,750.00",$0.00,10%,$0.00,$0.00,"$1,328,250.00","$442,750.00","$1,771,000.00"
"ASHLAND, CITY OF",4759‐29,275,Casey Sweeney,Municipal,"$843,680.00","$625,808.00",100%,"$625,808.00",$0.00,"$217,872.00",55%,"$119,830.00","$98,043.00","$745,637.00","$98,043.00","$843,680.00"
"FOND DU LAC, CITY OF",5142‐17,275,Erika Mills,CT,"$1,155,000.00","$1,155,000.00",75%,"$866,250.00","$288,750.00",$0.00,20%,$0.00,$0.00,"$866,250.00","$288,750.00","$1,155,000.00"
"WATERTOWN, CITY OF",5439‐08,274,Kate Leja‐Brennan,Municipal,"$8,915,700.00","$3,415,698.00",50%,"$1,707,849.00","$1,707,849.00","$5,500,002.00",10%,"$550,000.00","$4,950,002.00","$2,257,849.00","$6,657,851.00","$8,915,700.00"
"WAUSAU, CITY OF",4930‐22,268,Kate Leja‐Brennan,CT,"$14,959,156.00","$7,768,218.00",100%,"$7,768,218.00",$0.00,"$7,190,938.00",15%,"$1,078,641.00","$6,112,297.00","$8,846,859.00","$6,112,297.00","$14,959,156.00"
"RACINE, CITY OF",4887‐22,267,Sarah Bolitho,Municipal,"$3,275,000.00","$1,512,500.00",100%,"$1,512,500.00",$0.00,"$1,762,500.00",45%,"$793,125.00","$969,375.00","$2,305,625.00","$969,375.00","$3,275,000.00"
"MILWAUKEE, CITY OF1",4851‐47,263,Ryan Atkinson,Municipal,"$34,220,000.00","$12,320,000.00",100%,"$12,320,000.00",$0.00,"$21,900,000.00",55%,"$10,643,059.00","$11,256,941.00","$22,963,059.00","$11,256,941.00","$34,220,000.00"
"OSHKOSH, CITY OF",4874‐19,261,Erika Mills,CT,"$2,000,000.00","$1,760,000.00",100%,"$1,760,000.00",$0.00,"$240,000.00",15%,$0.00,"$240,000.00","$1,760,000.00","$240,000.00","$2,000,000.00"
"FOND DU LAC, CITY OF",5142‐18,260,Erika Mills,CT,"$1,332,100.00","$1,332,100.00",100%,"$1,332,100.00",$0.00,$0.00,20%,$0.00,$0.00,"$1,332,100.00",$0.00,"$1,332,100.00"
"THORP, CITY OF",4922‐19,258,Blythe Cassidy,Municipal,"$254,425.00","$194,425.00",50%,"$97,213.00","$97,213.00","$60,000.00",40%,$0.00,"$60,000.00","$97,213.00","$157,213.00","$254,425.00"
"WEST ALLIS, CITY OF",5404‐10,258,Dan Noreika,CT,"$1,692,350.00","$1,692,350.00",100%,"$1,692,350.00",$0.00,$0.00,15%,$0.00,$0.00,"$1,692,350.00",$0.00,"$1,692,350.00"
"WEST ALLIS, CITY OF",5404‐11,256,Dan Noreika,CT,"$1,277,650.00","$1,277,650.00",50%,"$638,825.00","$638,825.00",$0.00,15%,$0.00,$0.00,"$638,825.00","$638,825.00","$1,277,650.00"
"WHITEWATER, CITY OF",5650‐02,252,Brian Boelkow,Municipal,"$3,606,400.00","$1,171,940.00",100%,"$1,171,940.00",$0.00,"$2,434,460.00",40%,$0.00,"$2,434,460.00","$1,171,940.00","$2,434,460.00","$3,606,400.00"
"SOUTH MILWAUKEE, CITY OF4",4907‐12,251,Ben Aerts,CT,"$10,232,230.00","$1,762,436.00",75%,"$1,321,827.00","$440,609.00",$0.00,10%,$0.00,$0.00,"$1,321,827.00","$440,609.00","$1,762,436.00"
"APPLETON, CITY OF",4755‐06,250,Blythe Cassidy,CT,"$618,975.00","$618,975.00",100%,"$618,975.00",$0.00,$0.00,0%,$0.00,$0.00,"$618,975.00",$0.00,"$618,975.00"
"ELKHORN, CITY OF",5525‐11,241,Erika Mills,Municipal,"$1,605,000.00","$631,620.00",25%,"$157,905.00","$473,715.00","$973,380.00",0%,$0.00,"$973,380.00","$157,905.00","$1,447,095.00","$1,605,000.00"
"FOND DU LAC, CITY OF",5142‐16,240,Erika Mills,Municipal,"$457,500.00","$385,000.00",50%,"$192,500.00","$192,500.00","$72,500.00",20%,$0.00,"$72,500.00","$192,500.00","$265,000.00","$457,500.00"
"SHEBOYGAN, CITY OF",4901‐14,234,Sarah Bolitho,CT,"$4,465,000.00","$4,400,000.00",100%,"$4,400,000.00",$0.00,"$65,000.00",20%,$0.00,"$65,000.00","$4,400,000.00","$65,000.00","$4,465,000.00"
"OSHKOSH, CITY OF",4874‐18,232,Erika Mills,Municipal,"$2,320,000.00","$2,320,000.00",50%,"$1,160,000.00","$1,160,000.00",$0.00,15%,$0.00,$0.00,"$1,160,000.00","$1,160,000.00","$2,320,000.00"
"WALWORTH, VILLAGE OF4",5652‐04,229,Ryan Atkinson,Municipal,"$348,134.00","$135,286.00",50%,"$67,643.00","$67,643.00","$199,080.00",35%,$0.00,"$199,080.00","$67,643.00","$266,723.00","$334,366.00"
"RICHLAND CENTER, CITY OF",4893‐08,228,Kate Leja‐Brennan,Municipal,"$594,000.00","$264,000.00",75%,"$198,000.00","$66,000.00","$330,000.00",40%,$0.00,"$330,000.00","$198,000.00","$396,000.00","$594,000.00"
"NORTH FOND DU LAC, VILLAGE OF",4863‐16,228,Erika Mills,Municipal,"$307,846.00","$181,398.00",50%,"$90,699.00","$90,699.00","$126,448.00",25%,$0.00,"$126,448.00","$90,699.00","$217,147.00","$307,846.00"
"WEYAUWEGA, CITY OF",4936‐04,220,Ashley Jimenez,Municipal,"$734,173.00","$372,657.00",50%,"$186,328.00","$186,328.00","$361,516.00",40%,$0.00,"$361,516.00","$186,328.00","$547,844.00","$734,173.00"
"SHOREWOOD, VILLAGE OF",5630‐03,220,Kate Leja‐Brennan,CT,"$8,160,000.00","$2,372,787.00",75%,"$1,779,590.00","$593,197.00","$5,787,214.00",0%,$0.00,"$5,787,214.00","$1,779,590.00","$6,380,411.00","$8,160,001.00"
"SHEBOYGAN, CITY OF",4901‐13,214,Sarah Bolitho,Municipal,"$500,000.00","$495,000.00",50%,"$247,500.00","$247,500.00","$5,000.00",20%,$0.00,"$5,000.00","$247,500.00","$252,500.00","$500,000.00"
