Project #,Applicant Name,Project Description,Attachment Project Name,Attachment  Project Description,City/Town,County,Population,Disadvantaged Score,"Priority Ranking
Points",DW SRF % PF,Applied for Project Amount,Interest Rate
FS010169-02,Ariton Water and Sewer Board,Water Well Supply,Water Supply Well,The Town of Ariton proposes to replace two water supply wells that have exceeded their useful life with an new water supply well. The two wells to be replaced are 77 and 68 years old with capacities of 90 gallons per minute each. The old wells have deteriorated casings and are subject to failure. The new well will allow the Town of Ariton to continue to provide safe reliable water to its citizens.,Ariton,Dale,660,1.72,90,1,1430000,NA
FS010476-05,"Attalla Water Works Board, City
of",Lake Rhea Clearwell No 2,Lake Rhea Clearwell No. 2,"The Attalla Water Works Board proposes a project to construct a new 250,000 gallon ground level clearwell adjacent to the existing clearwell and interconnect the piping such that both tanks will be utilized to store treated water. In addition, the existing clearwell can be finally taken out of service for maintenance for the first time in 20 years and the plant can continue to operate using the new clearwell.",Attalla,Etowah,5872,2.65,60,0.7,1000000,0.0275
FS010476-04,"Attalla Water Works Board, City
of",AMR Meter Replacement,AMR Meter Replacement,The Attalla Water Works Board proposes a project to replace all existing water meters in the Attalla Water System with remote-read type meters and upgrade the billing software to be compatible with the new meters. The customers will benefit from the project because it will increase the efficiency of the meter reading process.,Attalla,Etowah,5872,2.65,60,,1389700,0.0199
FS010562-01,"Black, Town of",Water Meter Replacement,Water Meter Replacement,"The City of Black proposes implementing the new radio read meters, meter boxes, curb stops, and backflow preventers, which will allow the Town to more accurately assess each water bill and isolate problems as they occur, including helping keep the system's water losses to a minimum.",Black,Geneva,395,1.8,80,1,319753,NA
FS010263-03,"Calera, Water Works Board of the
City of","2022 Water Treatment Plant
Improvements",Water Supply Tanks and Mains (SUPP),The City of Calera proposes to continue an ARPA funded project to install new water storage tanks and to loop water mains to supply adequate water pressures to areas that have been served by dead end water mains. Completion of this project will provide safe reliable water supplies to the customers of Calera.,Calera,Shelby,16126,0.53,SUPP,,2250000,0.022
FS010064-05,"Cullman, City of","Primary Water Transmission Pipeline
Replacement",Primary Water Transmission Replacement,"The City of Cullman proposes to replace the transmission water main from the water treatment plant to the distribution system. Over 50 percent of water purchased from Cullman Utilities is conveyed through the current transmission water main, which has exceeded its operating life. Completion of this project will ensure compliance with drinking water regulations. reduce leaks, unaccounted water loss, and continued provision of adequate safe drinking water to all service areas.",Cullman,Cullman,17892,0,SUPP,,5075000,0.022
FS010141-05,Dale County Water Authority,Water System Improvements,Water Supply Well & Tank,Dale County Water Authority proposes to continue an ARPA (50% funded) project to install a new water supply well and elevated water storage tank which will provide adequate water pressures to its customers. This is the continuation of a project which was partially funded with an ARPA Grant.,Ozark,Dale,14396,1.41,SUPP,,381000,0.0199
FS010561-03,Daleville Water and Sewer Board,Well and Tank Improvements,Water Supply Well & Tank,The Daleville Water & Sewer Board proposes to continue an ARPA (50% funded) project to install a new water supply well and elevated water storage tank which will provide adequate water pressures to its customers. This is the continuation of a project which was partially funded with an ARPA Grant,Daleville,Dale,4912,1.65,SUPP,,375000,0.0199
FS010444-02,"Eutaw, Water Resiliency Project",Water System Improvements SUPP,Water System Improvements SUPP,"The City of Eutaw proposes improvements to the water service system, which will reduce unaccounted-for water loss, reduce the risk of cross-contamination, and maintain compliance with the ADEM PWSID permit. This improvement included backflow devices, tank.",Eutaw,Greene,2890,2.17,SUPP,1,1299217,NA
FS010021-03,Five Star Water Supply District,Phase I (Interim) PFAS Treatment,Phase I (Interim) PFAS Treatment,Five Star Water Supply District proposes to provide testing and analysis of different PFAS treatment methods at the Five Star water treatment facility. This includes demonstration testing for short term treatment of PFAS contamination as well as a Reverse Osmosis pilot treatment study to help expedite future long-term treatment of PFAS contamination. The purpose of the project is to enable the Water District to comply with the maximum contaminant limits (MCLs) for PFAS analytes and provide safe drinking water for all the municipalities supplied by the Five Star Water District.,Prattville,Elmore,37977,0,180,,4135000,0.0199
