Project #,Applicant Name,Project Description,Attachment Project Name,Attachment Project Description,City/Town,County,Population,Disadvantaged Rank,"Priority
Ranking Points",DW SRF Amount Granted,DW SRF PF,DW SRF PF%,Applied for Project Amount,Interest Rate,source
FS010096-15,Mobile Areas Water & Sewer System (MAWSS) **,Drinking Water Phase 2 Master Plan,Master Plan SRF Wastewater Projects Phase II – Years 2024 -2027 (SUPP),"The Mobile Board of Water and Sewer Commissioners (MAWSS) proposes implementation of Mobile’s DWSRF Master Plan Phase II to address the following projects: Big Creek Lake Boom and Storage for Hazardous Spill Containment, Big Creek Lake Dam Toe of Berm Modification, E.M. Stickney WTP Settling Basin Structural Rehab, Big Creek Lake Early Contaminant Warning System, E.M. Stickney Filter Rehabilitation, Big Creek Lake Emergency By-Pass Connections, Stickney On-Site Hypochlorite Generation, Meyers WTP Filter Rehabilitation, Replace Gaillard Pump Station Pumps, Valves, and Fittings, Stickney WTP Liquid Lime Facility Installation, Stickney WTP Redundant Solids Clarifier, Various Critical Valve Replacement in Distribution System, Various Water Main Replacements, Water Treatment Plant Security Upgrades, Secondary Raw Water Source Treatment and Conveyance Systems, and Water Treatment Plant Paving.",Mobile,Mobile,195457,3,80,18500000,0,0,18500000,0.0199,Attachment 1 A
FS010387-09,Prichard Water Works and Sewer Board,PWW&SB Lovejoy Loop Water Main Rehabilitation (Phase I),PWW&SB Lovejoy Loop Water Main Rehabilitation (Phase I),The Prichard Water Works and Sewer Board proposes to begin a three phase construction project to replace a large portion of 4-inch through 12-inch waterlines due to the reported frequency of repairs and leaks. Waterlines in this area are 80 years old and deteriorated to a point where they need to be replaced in order to provide adequate service without continual water loss issues. This project will be.in two main stages with the first being design and the second consisting of three (3) construction phases of similar cost of which this is Phase I.,Prichard,Mobile,19645,2.51,205,400000,400000,1,4408738,NA,Attachment 1 A
FS010387-10,Prichard Water Works and Sewer Board,PWW&SB Technical Assistance,Technical Assistance,The Prichard Water Works and Sewer Board proposes to conduct an Engineering and Operations study to determine the most effective and efficient approach to address the drinking water and sewer issues. Prichard has requested and is receiving expertise of the Mobile Area Water Works and Sewer System professionals as they perform this study.,Prichard,Mobile,19645,2.51,205,600000,600000,1,600000,NA,Attachment 1 A
FS010403-01,"Cedar Bluff, The Utilities Board of the Town of",Water System Improvements,Water System Improvements,The Utilities Board of the Town of Cedar Bluff proposes to construct a new elevated water storage tank and install a new booster pump station. The proposed project is planned to provide system-wide pressure stability and uninterrupted fire protection capabilities.,Cedar Bluff,Cherokee,1700,2.02,200,3200000,1280000,0.4,3200000,0.0275,Attachment 1 A
FS010358-02,Perry County Water and Sewer Authority,Water Well Replacement,Water Well Replacement,The Perry County Water and Sewer Authority proposes to address the emergency replacement of Drinking Water Well Number 3 which is located in the southwest portion of the system on County Road 23. This well has suffered a catastrophic failure and is in dire need of repair.,Marion,Perry,2500,1,180,2500000,2500000,1,2500000,NA,Attachment 1 A
FS010455-03,"Camden, City of",Water System Improvements,Water System Improvements,"The City of Camden proposes to add SCADA controls, a Water Booster Station, and a Generator to Well # 5 that is being constructed now, the city will conduct rehabilitation activities at Well #3 and Well #4 to include new pumps and piping and electrical controls.",Camden,Wilcox,2128,1,SUPP,990400,990400,1,990400,NA,Attachment 1 A
FS010248-05,"Marion, City of",Water System Improvements,Water System Improvements,"The City of Marion proposed a Phase I upgrade to its Water Treatment Plant to address critical needs. This project funding is for additional funds required to complete the on-going project addressing the chemical feed system at the plant; flash mixer; flocculators; filter monitoring equipment; partial SCADA upgrades; install sludge collection system, install fluoridation equipment and partial emphasis on well (source) rehabilitation work. Completion of this work will help the City to achieve compliance with its permit.",Marion,Perry,4155,2.68,SUPP,160000,160000,1,160000,NA,Attachment 1 A
FS010456-02,Calhoun County Water Authority,Choccolocco Area Water System Improvements,Choccolocco Area Water System Improvements,The Calhoun County Water Authority proposes to make improvements to drinking water storage and transmission mains. The proposed project includes the construction of a new ground storage tank and construction of new transmission mains. The new transmission mains will create looping in the system and create connections to a recently constructed well and the proposed ground storage tank. These improvements will allow for improved hydraulics in the system and provide resiliency in the operation of the system.,Alexandria,Calhoun,4092,1.72,140,3685000,0,0,3685000,0.0275,Attachment 1 A
FS010240-03,Mt. Andrew Water Authority,Water System Improvements/Tank Rehab,Water System Improvements/Tank Rehab,The Mt. Andrew Water Authority proposes replace aging water mains that have exceed their design life and are routinely resulting in leaks and inadequate water pressures.,Midway,Barbour,650,2.7,95,389000,389000,1,389000,NA,Attachment 1 A
FS010016-03,"Demopolis, City of**",Water System Improvements,Water System Improvements,"The City of Demopolis proposes to rehabilitate Elevated Water Storage Tank #2 located on Highway 80 and rehabilitating the aged portions of the potable water distribution system to include valves that are failing, replacement of existing cast iron, ductile iron, and polyvinyl chloride (PVC) water mains that are failing. Also, installation of flush hydrants at strategic locations in the system to ensure the distribution system is able to be properly flushed.",Demopolis,Marengo,7520,3,95,4000000,4000000,1,4000000,NA,Attachment 1 A
FS010235-03,"Dadeville, City of (for Camp Hill)**",Water System Improvements,Water System Improvements,"The City of Dadeville proposes a project to upgrade water distribution and storage in the Town of Camp Hill. The proposed scope of work includes multiple tank rehabilitations, water meter replacement, transmission main replacement, multiple booster pump station rehabilitations, and backup power. The proposed project will reduce water loss, improve accuracy of water usage for billing purposes, increase system reliability and efficiency, and maintain drinking water compliance.",Dadeville,Tallapoosa,5700,2.65,100,10000000,10000000,1,10000000,NA,Attachment 1 A
FS010311-02,Rockford Utilities Board,Water System Improvements,Water System Improvements,"The Rockford Utility Board proposes a project to improve the water distribution. The proposed scope of work includes replacement of existing water lines in the downtown area of t he s ystem w ith 6 ” C 900 P VC w ater l ines, fl ushing hydrants, and new water valves including booster pump rehabilitations and installation of emergency backup generators in case of system outage. The proposed project will reduce water loss, improve system reliability and efficiency.",Rockford,Coosa,3759,2.89,60,1222470,1222470,1,1222470,NA,Attachment 1 A
FS010369-01,Sumter County Water Authority,Water System Improvements,Water System Improvements,The Sumter County Water Authority proposes address areas within the SCWA water system which either have inadequate water supply volumes or have water pressure issues which are due primarily to undersized water mains or existing water main materials. Portions of the proposed project will resolve the issues in these areas by replacing undersized and older portions of the system’s water mains with appropriately sized water mains constructed of modern materials which will be designed to meet customer needs and enhance system sustainability. Proposed new water mains will also be constructed for the purpose of connecting portions of the system together to better utilize source water well capabilities to provide redundancy and supply the system more efficiently.,Livingston,Sumter,3227,2.39,85,1296569,0,0,2610500,0.0199,Attachment 1 A
FS010108-03,Greenpond Water System,Water System Improvements,Water System Improvements,The Greenpond Water System proposes a project to upgrade the distribution system. The proposed project includes upgrading deteriorating water mains through the distribution system. The proposed project will reduce water loss due to leaks and provide reliable water service.,Greenpond,Bibb,7640,2.38,135,1565044,0,0,1565044,0.0275,Attachment 1 A
