"Project #","Applicant Name","Project Description","City/Town","County","Population","Disadvantaged Rank","Priority Ranking
Points","DW SRF Amount Granted","DW SRF PF","DW SRF PF%","Applied for Project Amount","Interest Rate"
"FS010435-03","Butler County Water Supply District","County Road 50 Production Wells","Greenville","Butler",231,1.00,"SUPP",2479323,0,0.000000,2479323,0.027500
"FS010133-07","Warrior River Water Authority","WTP Improvements - Supp","Bessemer","Jefferson",26171,1.00,"SUPP",2875000,0,0.000000,2875000,0.019900
"FS010227-06","Gilbertown, The Utilities Board of the Town of","Melvin Well Rehabilitation","Gilberton","Choctaw",666,2.10,"SUPP",1200000,0,0.000000,1200000,0.027500
"FS010511-04","City of Weaver","New Tank & Pump Station","Weaver","Calhoun",3364,1.00,"SUPP",452800,0,0.000000,452800,0.027500
"FS010531-02","Coffeeville, The Utilities Board of the Town of","Water Tank Upgrades","Coffeville","Clarke",2500,1.80,55,603400,603400,1.000000,603400,"NA"
"FS010239-04","Anniston Water Works and Sewer Board","Paul B. Krebs WTP Improvements","Anniston","Calhoun",21455,1.61,"SUPP",3789331,0,0.000000,15468490,0.027500
"FS010384-03","Wilcox County Water and Sewer District","Water Well Improvements","Camden","Wilcox",8423,1.00,"SUPP",2033413,2033413,1.000000,2083413,"NA"
"FS010360-03","Randolph County Water, Sewer & Fire Protection
Authority","Water Storage Tank","Wedowee","Randolph",863,2.78,35,1500000,0,0.000000,1500000,0.025000
"FS010202-06","East Central Baldwin County Water, Sewer, and FPA","Replacement Water Supply Well","Robertsdale","Baldwin",6603,1.00,120,1600000,0,0.000000,1600000,0.027500
"FS010286-02","Forkland, Town of","New Water Well","Forkland","Greene",905,1.00,"SUPP",1124000,1124000,1.000000,1124000,"NA"
"FS010382-02","St. Stephens Water System","New Water Well","St. Stephens","Washington",,1.00,170,810000,0,0.000000,810000,0.022000
"FS010387-09","Prichard Water Works and Sewer Board","PWW&SB Lovejoy Loop Pipe Water Main
Rehabilitation(Phase I)","Prichard","Mobile",19645,2.51,205,2004369,2004369,1.000000,4408738,"NA"
"FS010369-01","Sumter County Water Authority","Water System Improvements","Livingston","Sumter",3227,2.39,85,1222592,0,0.000000,2610500,0.019900
"FS010295-02","Union Springs Utilities Board","Water System Improvements","Union Springs","Bullock",3358,1.02,"SUPP",1737702,0,0.000000,1737702,0.027500
"FS010372-02","Aliceville Water Works and Sewer Board","Aliceville Snoddy Well #2 Project","Aliceville","Tuscaloosa",2244,1.00,15,122993,122993,1.000000,122993,"NA"
"FS010259-02","Arab Water Works Board**","Water System Improvements","Arab","Cullman",8462,1.71,70,11500000,0,0,23087500,0.027500
