Loan Applicant,Project Description,L17#,Facility No.,Population,"Estimated
Construction Start Date",Projected Loan Amount,"Loan
Priority Score"
Central Lake County Joint Action Water Agency,"Lake Zurich Expansion - Bid Package 1, intermediate booster pump station and reservoir.",7258,IL0971070,304759,2026-03-31 0:00:00,19000000,325
Central Lake County Joint Action Water Agency,"Lake Zurich Expansion - Bid Package 3, transmission main from delivery structure at Vernon Hills to delivery structure at Oakwood
Park.",7300,IL0971070,304759,2026-03-31 0:00:00,34000000,325
Crest Hill,Construct a ground level storage tank,7610,IL1970250,21169,2025-11-06 0:00:00,7500000,325
Geneva,Replace watermains,6747,IL0890350,21595,2025-08-25 0:00:00,5100000,325
Kingston,"Construct 5,550' of 8"" watermain to connect River
Oaks Subdivision",7363,IL0370250,1094,2026-02-16 0:00:00,2570137,320
Middletown,"Demo & construction of a water treatment plant,
installation of pipe and appurtenances.",6539,IL1070500,329,2025-03-15 0:00:00,940000,330
Norris City,"Watermain replacement Phase V. Replacement of approx. 9,500 LF of watermain along with valves,
hydrants, and appurtenances.",7015,1930350,1145,2025-12-31 0:00:00,1800000,320
Mount Morris,Replace watermain along Sunset Lane.,7407,IL0030031,2825,2025-09-01 0:00:00,1117500,315
Shannon,"Watermain replacement, as well as removal & replacement of existing water services and fire
hydrants.",6913,IL0150330,848,2025-10-01 0:00:00,1000000,315
Glen Carbon,"Construction of 3 new wells, a 3.0 MGD water treatment plant, water transmission lines, and
SCADA controls.",6220,IL1190300,13868,2026-01-05 0:00:00,27000000,310
Montgomery,Replace watermain,7066,IL0894690,30534,2026-03-01 0:00:00,3550000,310
Richmond,"Replace 2,700 LF of watermain, valves, hydrants
and service lines",6814,IL1110750,2089,2026-03-16 0:00:00,1650000,310
Sheldon,"Replacement of undersized water main; and water
tower & hydrant rehabilitation.",7378,IL0750800,950,2026-03-02 0:00:00,4300000,310
Stonington,Treatment and distribution system improvements,7060,IL0210550,758,2025-10-06 0:00:00,2500000,310
