Loan Applicant,L17#,Project Description,Estimated Construction Start Date,Projected Loan Amount,Facility No
Alsip,7400,Year 2 - watermain replacement,2027-03-01 0:00:00,3422334,IL0310030
Alsip,7401,Year 3 - watermain replacement,2028-03-01 0:00:00,4441756,IL0310030
Alsip,7402,Year 4 - watermain replacement,2029-03-01 0:00:00,4007235,IL0310030
Argenta,6363,"Phase 2: Construction of a new raw water well and new water main connection to the water
treatment plant.",2026-04-01 0:00:00,400000,IL50050
Broughton,5820,"Phase 4 Water System Rehabilitation: Replace watermains and associated appurtenances; extend
watermain to new residences.",2027-02-01 0:00:00,1575000,IL0650100
Carmi,6799,"Phase 3: Construction of two new ground water
wells, associated valves, electrical, and site facilities.",2027-02-01 0:00:00,2700000,IL1930100
Central Lake County Joint Action Water Agency,7301,"Lake Zurich Expansion - Bid Package 4, transmission main from delivery structure at Vernon Hills to delivery structure at Oakwood
Park.",2027-03-31 0:00:00,34000000,IL0971070
Channahon,7123,Construction of a 1 MG above ground reservoir.,2026-09-01 0:00:00,6930100,1970200
Channahon,7138,"Construction of a Primary Delivery Site Receiving Station and Pumping Station; and a
Secondary Delivery Site Receiving Station.",2028-09-01 0:00:00,10534800,1970200
Clinton,7367,"Replace 2,100' of 16"" watermain.",2026-07-01 0:00:00,5110000,IL0390050
Crest Hill,6385,"Phase 2-install 4,000' of cured in place pipe",2026-04-15 0:00:00,4000000,IL1970250
Crest Hill,6386,"Phase-install 4,000' of cured in place pipe",2027-04-15 0:00:00,4000000,IL1970250
Crest Hill,7147,"Phase 4-install 4,000' of cured in place pipe",2028-04-15 0:00:00,4000000,IL1970250
Dixon,5649,"Phase 5 - Replace 9,400 LF of watermain",2026-11-02 0:00:00,3785000,1030200
Dixon,5650,"Phase 6 - Replace 7,600 LF of 12"" watermain",2027-11-01 0:00:00,2188000,1030200
Downers Grove,6104,"Install 6,700 LF of 8"" to 12"" watermain, replace
well house No. 14",2026-06-01 0:00:00,5500000,IL0430300
Downers Grove,6105,"Rehab 1 MG elevated storage tank and install
7,040 LF of 8"" to 12"" watermain",2027-06-01 0:00:00,5500000,IL0430300
East Dundee,7330,Rehab Route 68 water tower,2027-03-31 0:00:00,1170000,IL0890250
East Dundee,7331,Rehab Well No. 6,2027-01-01 0:00:00,660000,IL0890250
East Dundee,7332,"Replace 2,000 LF of 6"", and 800 LF of 12""
watermain, valves and hydrants",2027-04-01 0:00:00,1770000,IL0890250
Flossmoor,7316,Sterling Avenue Pump station rehab,2026-10-01 0:00:00,632000,IL0310870
Flossmoor,7559,Sterling Avenue elevated storage tank demolition,2026-10-01 0:00:00,358000,IL0310870
Flossmoor,7560,Vollmer Road reservoir & pump station rehab,2026-10-01 0:00:00,2995000,IL0310870
Freeburg,6278,"Phase 2 Water Main Upgrades: 10"" feed line and
FSH Connection, Ground Storage Tank and Booster Pump Station.",2026-10-15 0:00:00,3147750,IL1630600
Freeburg,6279,"Phase 3 Water Main Upgrades: Approximately 17,000 LF of water main replacements.
Demolition of East Tower.",2027-10-15 0:00:00,3058020,IL1630600
Freeburg,6280,"Phase 4 Water Main Upgrades: Approximately
14,000 LF of water main replacement.",2028-10-15 0:00:00,4196475,IL1630600
Geneva,7578,Replace watermain,2026-04-15 0:00:00,2840000,IL0890350
Grand Prairie Water Commission,7038,"Segment A:Alternative Water Source-construct
4.5 miles of 66"" transmission main",2026-05-08 0:00:00,109400000,IL1970470
Grand Prairie Water Commission,7039,"Segment B:Alternative Water Source-construct 5
miles of 66"" transmission main",2027-05-05 0:00:00,94800000,IL1970470
Grand Prairie Water Commission,7040,"Segment D:Alternative Water Source-construct 7
miles of 66"" transmission main",2026-11-30 0:00:00,116700000,IL1970470
Grand Prairie Water Commission,7041,"Segment D:Alternative Water Source-construct 5
miles of 24"", 30"" and 48"" transmission main",2027-04-05 0:00:00,50500000,IL1970470
Grand Prairie Water Commission,7042,"Segment E:Alternative Water Source-construct
7.8 miles of 16"", 20"" and 24"" transmission main",2027-07-27 0:00:00,58400000,IL1970470
Hanover Park,6355,"Phase 3 Water Main Replacement of
approximately 7,370 LF of water main.",2026-04-13 0:00:00,5334000,
Homer,7506,New water treatment facility,2027-10-15 0:00:00,5000000,IL0190300
Itasca,6244,"Phase 4 North Side Infrastructure Improvements -
Water main replacement",2027-03-01 0:00:00,4000000,IL0430500
Joliet,6078,"Replace 21 miles of watermain, hydrants, valves,
and water services",2027-02-28 0:00:00,77760000,IL1970450
Joliet,6087,"Replace 21 miles of watermain, hydrants, valves
and water services",2028-02-29 0:00:00,98760000,IL1970450
Joliet,6088,"Replace 21 miles of watermain, hydrants, valves
and water services",2029-02-28 0:00:00,89280000,IL1970450
Joliet,6089,"Replace 4 miles of watermain, hydrants, valves
and water services",2030-02-28 0:00:00,21120000,IL1970450
Kampsville,7314,Construct a new gravel pack well,2026-07-05 0:00:00,730000,IL0130250
Kincaid,6061,Replace watermain,2026-11-16 0:00:00,2200000,IL0210250
Kincaid,6062,"New 100,000-gal elevated tower, loop
watermains, repair existing tower",2027-11-15 0:00:00,2400000,IL0210250
"Lake County Public Water
District",7230,Phase 1 - Replace generators and roof,2026-04-01 0:00:00,1593000,IL0975790
Lake Zurich,7299,"Bid Package 5 of the CLCJAWA Lake Zurich Expansion, install 8,500 LF of distribution
watermain",2027-03-31 0:00:00,8000000,IL0970850
Loves Park,7605,Construct elevated storage tower No. 4,2026-05-01 0:00:00,3586000,IL2010150
Markham,6343,Phase 3 - Replace watermains,2027-08-02 0:00:00,2648130,IL0311770
Markham,6344,Phase 4 - Replace watermains,2028-08-01 0:00:00,2722053,IL0311770
Markham,6345,Phase 5 - Replace watermains,2029-08-01 0:00:00,2722053,IL0311770
Markham,6346,Phase 6 - Replace watermains,2030-08-01 0:00:00,3503648,IL0311770
Millstone Water District,7249,"Phase 2 - New well, water treatment plant process
improvements, and Gannstown water tower restoration.",2026-11-03 0:00:00,2972000,IL1515050
Millstone Water District,7250,"Phase 3: Provide second clarifier, flow splitter,
meters and water tower rehab.",2027-11-03 0:00:00,3372000,IL1515050
New Lenox,7013,"Replacement of approx. 4,000ft of watermain including the installation of new fire hydrants,
valves, and water services.",2026-07-07 0:00:00,2400000,1970700
New Lenox,7014,"Replacement of approx. 4,700ft of watermain
including the installation of new fire hydrants, valves, and water services.",2027-07-07 0:00:00,3000000,1970700
Oswego,7347,Demolition of High Zone Water Treatment Plant,2029-04-02 0:00:00,790000,IL0930150
Palos Heights,6286,"Replace 3,200 feet of water main.",2027-07-01 0:00:00,1698800,
Palos Heights,6287,"Replace approximately 4,000 feet of water mains.",2028-07-01 0:00:00,2137500,
Palos Heights,6288,"Lining of approximately 900 feet of water main and addition of 1,000 feet of water main to
provide dedundancy.",2026-07-01 0:00:00,1360700,
Palos Heights,6289,"Replace approximately 6,000 feet or water main.",2029-07-01 0:00:00,3356400,
Park Forest,6977,"Phase 3 Water Main Replacement: Replace
approx. 10,140 LF of water main.",2027-03-01 0:00:00,4483000,IL0314740
Rockdale,3587,"Replace 3,650 LF of 6"" and 3,050 LF of 8"" with
8"" watermains",2028-07-17 0:00:00,5937700,IL1970850
Rockdale,6777,"Replace 3,100 LF of 6"", 8"" and 10"" watermain
with 10"" main",2027-07-19 0:00:00,1691100,IL1970850
Rockdale,6780,"Replace 14,875 LF of 6"" and 8"" watermain with
8"" main",2028-07-17 0:00:00,3647500,IL1970850
Rockdale,7319,"New 1.0 MGD water treatment plant and 3.0
MGD pump station",2026-10-01 0:00:00,6693000,IL1970850
Rockdale,7320,"Install 2,100 LF of raw watermain and 700 LF of
transmission main",2026-10-01 0:00:00,1558000,IL1970850
Romeoville,6782,Year 3 - Replace watermains,2027-03-01 0:00:00,7201821,IL1970900
Romeoville,6783,Year 4 - Replace watermain,2028-03-01 0:00:00,7764112,IL1970900
Romeoville,6784,Year 5 - Replace watermain,2029-03-01 0:00:00,10115856,IL1970900
Romeoville,7372,"Construct primary 14.4 MGD receiving and pump
station",2028-07-03 0:00:00,7773000,IL1970900
Sandwich,7490,"Water main replacement Year 2: Replace over
11,000ft of watermain",2027-03-31 0:00:00,2286000,IL034850
Sandwich,7491,"Water main replacement Year 3: Replace over
11,000ft of water main.",2028-03-31 0:00:00,2300000,IL034850
Sandwich,7492,"Water main replacement Year 4: Replace over
9,000ft of water main.",2029-03-31 0:00:00,1700000,IL034850
Sandwich,7493,"Water main replacement Year 5: Replace over
11,000ft of water main.",2030-03-31 0:00:00,2200000,IL034850
Sparta,5881,"Replace 7.5 miles of 16"" raw watermain",2027-02-01 0:00:00,4200000,IL1570600
Table Grove,6122,"Install new mixer, vent blower and larger vent in
elevated storage tank",2026-04-01 0:00:00,160000,IL0570900
Tovey,6378,"Phase 1 - Replace meters and 12,500 LF of
watermain",2026-04-01 0:00:00,2495000,IL0210650
Tovey,6379,"Phase 2 - Replace 12,500 LF of watermain",2027-05-01 0:00:00,2381000,IL0210650
Westmont,6958,"Extension of 13,200 feet of water main to extend water service to west portion of Liberty Park
subdivision.",2027-03-01 0:00:00,6058000,
Westmont,6960,"Construct 8,000 feet of water main to extend
service to east portion of Liberty Park subdivision.",2027-03-01 0:00:00,4199000,
