Loan Applicant,L17#,Project Description,"Planning
Approval Date","Estimated
Construction Start Date",Projected Loan Amount,Project Manager,"Loan
Priority Score",Facility No
Bloomington,7500,Replacement of approximately 600 lead service lines,2025-03-27 0:00:00,2027-03-31 0:00:00,8000000,"VanPelt, Kim",0,
Bloomington,7501,Replacement of approximately 600 lead service lines.,2025-03-27 0:00:00,2028-03-31 0:00:00,8000000,"VanPelt, Kim",0,
Bloomington,7502,Replacement of approximately 600 lead service lines.,2025-03-27 0:00:00,2029-03-31 0:00:00,8000000,"VanPelt, Kim",0,
Bloomington,7503,Replacement of approximately 600 lead service lines.,2025-03-27 0:00:00,2030-03-31 0:00:00,8000000,"VanPelt, Kim",0,
Cicero,7612,Replacement of approximately 294 lead service lines.,2024-03-31 0:00:00,2026-04-28 0:00:00,5000000,"Heaton, Rachael",0,IL0310510
Decatur,7056,Replacement of approximately 380 galvanized water service lines downstream of lead goosenecks.,2025-02-27 0:00:00,2027-02-01 0:00:00,4029413,"VanPelt, Kim",0,
Decatur,7057,Replacement of approximately 380 galvanized water service lines downstream of lead goosenecks.,2025-02-27 0:00:00,2028-02-01 0:00:00,4029413,"VanPelt, Kim",0,
Decatur,7058,Replacement of approximately 380 galvanized water service lines downstream of lead goosenecks.,2025-02-27 0:00:00,2029-02-01 0:00:00,4029413,"VanPelt, Kim",0,
Decatur,7059,Replacement of approximately 379 galvanized water service lines downstream of lead goosenecks.,2025-02-27 0:00:00,2030-02-01 0:00:00,4018811,"VanPelt, Kim",0,
DePue,7226,Replacement of lead service lines.,2025-03-31 0:00:00,2026-04-01 0:00:00,2500000,"Blanford, Frederick",0,IL0110300
Downers Grove,7423,Replacement of approximately 250 lead service lines.,2025-03-31 0:00:00,2027-03-31 0:00:00,4920000,"Smith, Bryan",0,IL0430300
Downers Grove,7424,Replacement of approximately 250 lead service lines.,2025-03-31 0:00:00,2028-03-31 0:00:00,5070000,"Smith, Bryan",0,IL0430300
Downers Grove,7425,Replacement of approximately 250 lead service lines.,2025-03-31 0:00:00,2029-03-31 0:00:00,5220000,"Smith, Bryan",0,IL0430300
Downers Grove,7426,Replacement of approximately 250 lead service lines.,2025-03-31 0:00:00,2030-03-31 0:00:00,5375000,"Smith, Bryan",0,IL0430300
East Dundee,7333,Replacement of approximately 100 lead service lines.,2025-03-31 0:00:00,2027-04-04 0:00:00,2060000,"Smith, Bryan",0,IL0890250
East Dundee,7334,Replacement of approximately 100 lead service lines.,2025-03-31 0:00:00,2028-04-04 0:00:00,2160000,"Smith, Bryan",0,IL0890250
East Dundee,7335,Replacement of approximately 100 lead service lines.,2025-03-31 0:00:00,2029-04-04 0:00:00,2260000,"Smith, Bryan",0,IL0890250
Elmhurst,6945,Replacement of lead service lines.,2025-03-26 0:00:00,2026-06-05 0:00:00,2000000,"Covert, Chris",,IL0430350
Elmhurst,6946,Replacement of lead service lines.,2025-03-26 0:00:00,2027-06-05 0:00:00,2000000,"Covert, Chris",,IL0430350
Elmhurst,6947,Replacement of lead service lines.,2025-03-26 0:00:00,2028-06-05 0:00:00,2000000,"Covert, Chris",,IL0430350
Elmhurst,6948,Replacement of lead service lines.,2025-03-26 0:00:00,2029-06-05 0:00:00,2000000,"Covert, Chris",,IL0430350
Elmwood Park,7582,Replacement of approximately 400 lead service lines.,2024-02-06 0:00:00,2027-04-01 0:00:00,4000000,"Rice, Chad",0,IL0310780
Elmwood Park,7583,Replacement of approximately 400 lead service lines.,2024-02-06 0:00:00,2028-04-01 0:00:00,4000000,"Rice, Chad",0,IL0310780
Elmwood Park,7584,Replacement of approximately 400 lead service lines.,2024-02-06 0:00:00,2029-04-01 0:00:00,4000000,"Rice, Chad",0,IL0310780
Evanston,6322,Replacement of approximately 500 lead service lines.,2023-03-31 0:00:00,2027-03-30 0:00:00,5000000,"Clark, Lanina",0,IL0310810
Evanston,6323,Replacement of approximately 500 lead service lines.,2023-03-31 0:00:00,2028-03-28 0:00:00,5000000,"Clark, Lanina",0,IL0310810
Evanston,6324,Replacement of approximately 500 lead service lines.,2023-03-31 0:00:00,2029-03-27 0:00:00,5000000,"Clark, Lanina",0,IL0310810
Forest Park,7607,Phase 4 - Replacement of lead service lines.,2023-03-31 0:00:00,2026-09-01 0:00:00,4000000,"Rice, Chad",0,IL0310900
Forest Park,7608,Phase 5 - Replacement of lead service lines.,2023-03-31 0:00:00,2027-09-01 0:00:00,4000000,"Rice, Chad",0,IL0310900
Fox Lake,7594,Phase 3 - Replacement of lead service lines.,2023-03-31 0:00:00,2026-04-01 0:00:00,3300000,"Blanford, Frederick",0,IL0970200
Geneva,7579,Phase 3 - Replacement of lead service lines.,2024-03-15 0:00:00,2026-04-15 0:00:00,340000,"Huffman, Brandon",0,IL0890350
Jacksonville,7167,"Phase 2 - Replacement of approximately 254 lead
service lines.",2025-03-03 0:00:00,2027-03-01 0:00:00,3854633,"Otto, David",0,IL1370200
Jacksonville,7168,"Phase 3 - Replacement of approximately 234 lead
service lines.",2025-03-03 0:00:00,2028-03-01 0:00:00,3491900,"Otto, David",0,IL1370200
Jacksonville,7169,"Phase 4 - Replacement of approximately 258 lead
service lines.",2025-03-03 0:00:00,2029-03-01 0:00:00,3827850,"Otto, David",0,IL1370200
Jacksonville,7170,"Phase 5 - Replacement of approximately 224 lead
service lines.",2025-03-03 0:00:00,2030-03-01 0:00:00,3357883,"Otto, David",0,IL1370200
Joliet,6081,Replacement of approximately 560 lead service lines.,2022-03-24 0:00:00,2027-02-28 0:00:00,4000000,"Mallory, Jasmine",0,IL1970450
Joliet,6084,Replacement of approximately 560 lead service lines.,2022-03-24 0:00:00,2028-02-29 0:00:00,4000000,"Mallory, Jasmine",0,IL1970450
Joliet,6085,Replacement of approximately 560 lead service lines.,2022-03-24 0:00:00,2029-02-28 0:00:00,4000000,"Mallory, Jasmine",0,IL1970450
Joliet,6086,Replacement of approximately 560 lead service lines.,2022-03-24 0:00:00,2030-02-28 0:00:00,4000000,"Mallory, Jasmine",0,IL1970450
LaGrange,6548,"Phase 2 - Replacement of approximately 246 lead
service lines.",2023-05-25 0:00:00,2027-03-08 0:00:00,3986000,"Smith, Bryan",0,IL0311530
LaGrange,6549,"Phase 3 - Replacement of approximately 246 lead
service lines.",2023-05-25 0:00:00,2028-03-07 0:00:00,3986000,"Smith, Bryan",0,IL0311530
LaGrange,6550,"Phase 4 - Replacement of approximately 246 lead
service lines.",2023-05-25 0:00:00,2029-03-05 0:00:00,3986000,"Smith, Bryan",0,IL0311530
Markham,6348,Replacement of approximately 368 lead service lines.,2024-03-27 0:00:00,2026-08-03 0:00:00,2000000,"Covert, Chris",0,IL0311770
Markham,6349,Replacement of 250 lead service lines.,2024-03-27 0:00:00,2027-08-02 0:00:00,1436400,"Covert, Chris",0,IL0311770
Markham,6350,Replacement of approximately 236 lead service lines.,2024-03-27 0:00:00,2028-08-01 0:00:00,1456403,"Covert, Chris",0,IL0311770
Markham,6351,Replacement of approximately 128 lead service lines.,2024-03-27 0:00:00,2029-08-01 0:00:00,850000,"Covert, Chris",0,IL0311770
Markham,6352,Replacement of approximately 87 lead service lines.,2024-03-27 0:00:00,2030-08-01 0:00:00,650000,"Covert, Chris",0,IL0311770
Marshall,3485,Replacement of approximately 300 lead service lines.,2021-03-30 0:00:00,2026-06-01 0:00:00,2800000,"Mallory, Jasmine",0,IL0230100
Maywood,7275,Replacement of approximately 294 lead service lines.,2025-03-25 0:00:00,2026-10-13 0:00:00,5000000,"Smith, Bryan",0,IL0311830
