"PPL
Rank","PPL
Score",Participant,MHI,"Population
Served","PWSID
No","SRF
Project No.",Project Description,"Lead Service Line
Replacement Cost","Emerging
Contaminants?","Disadvantaged
Community?","Green
Project
Reserve
Category","Current
User Rate
(per 4,000
gallons)","Post-Project
User Rate
(per 4,000
gallons)","Requested
Funds","Cumulative
Requested
Funds","Green
Project","Current
User Rate","Estimated
Post-Project","Estimated Total
Project Cost",Cumulative Total
1,137,Jackson County Water Utility,"$83,228","13,667","5236003/
5236008",DW 25 05 36 00,"Source, Storage, Treatment, and Distribution System
Improvements",$0,"Yes - PFAS, Mn",No,N/A,$50.40,TBD,"$29,289,000","$29,289,000",,,,,
2,119,Evansville,"$52,251","173,000",5282002,DW 22 49 82 00,New Water Treatment Plant,$0,Yes - PFAS,Yes,"WE, EE",$33.74,$45.86,"$249,000,000","$278,289,000",,,,,
3,114,Milford,"$52,014","1,556",5243017,DW 24 22 43 00,"Storage, Treatment, and Distribution Improvements + Lead
Service Line Replacement","$1,011,000",Yes - Mn,Yes,WE,$32.41,$96.09,"$6,910,000","$285,199,000",,,,,
4,113,South Bend,"$52,512","115,000",2571014,DW 25 47 71 00,"Treatment Improvments (North WTP) + Lead Service Line
Replacement","$5,000,000",Yes- PFAS,Yes,EE,$17.99,$17.99,"$20,428,000","$305,627,000",,,,,
5,111,Goshen,"$55,436","32,267",5220009,DW 25 50 20 00,"New Source and Treatment, and Distribution
Improvements",$0,Yes- PFAS,Yes,"GI, WE, EE, EI,
CR",$29.87,$50.82,"$68,000,000","$373,627,000",,,,,
6,109,Huntington / Andrews,"$47,000","1,049",5235001,DW 16 09 35 00,"Regionalization with Andrews, Distribution Improvements +
Lead Service Line Replacements","$1,669,000",No,Yes,N/A,$37.95,TBD,"$28,454,000","$402,081,000",,,,,
7,108,Huntington,"$55,943","17,022",5235001,DW 24 40 35 00,Source Improvements and New Water Treatment Plant,$0,No,Yes,"WE, EE",$40.40,TBD,"$36,601,000","$438,682,000",,,,,
8,107,Peru,"$46,180","11,417",5252016,DW 24 58 52 00,"Treatment Improvements + Lead Service Line
Replacement Phase I","$23,656,000",Yes - Mn,Yes,N/A,$32.73,TBD,"$29,216,000","$467,898,000",,,,,
9,98,Oxford,"$48,500","1,165",5204005,DW 22 34 04 00,"Source, Storage, and Distribution Improvements + Lead
Service Line Replacement","$3,630,000",No,Yes,WE,$46.38,$105.00,"$10,227,000","$478,125,000",,,,,
10,97,Indiana American Water - Terre Haute,"$41,960","61,378",5284012,DW 24 51 84 00,Treatment Improvements,$0,Yes - PFAS,Yes,N/A,$54.60,$54.60,"$50,000,000","$528,125,000",,,,,
11,97,Decatur,"$58,867","9,900",5201002,DW 25 29 01 00,"Distribution Improvements + Lead Service Line
Replacement","$9,584,000",No,No,WE,$59.30,TBD,"$20,899,000","$549,024,000",,,,,
12,96,Indiana American Water - Wabash Mullins,"$54,199","11,223",5285003,DW 24 52 85 00,Treatment Improvements,$0,Yes - PFAS,Yes,N/A,$54.60,$54.60,"$12,000,000","$561,024,000",,,,,
13,94,Milton,"$51,906",650,5289011,DW 22 41 89 00,Distribution Improvements (Phase 2),"$920,000",No,Yes,WE,$58.76,TBD,"$5,889,000","$566,913,000",,,,,
14,91,Morgantown,"$50,809","1,125",5255011,DW 24 60 55 00,"Regionalization with Brown County Water Utility and
Distribution System Improvements",$0,Yes - Mn,Yes,EE,$53.16,$86.56,"$3,204,000","$570,117,000",,,,,
15,88,Brazil,"$52,168","12,000",5211001,DW 24 33 11 00,Source and Distribution System Improvements,$0,Yes - Mn,Yes,"WE, CR",$33.40,$47.04,"$12,658,000","$582,775,000",,,,,
