Water System Name,"DWRLF Project Number (for ALL IIJA projects add either a '-GS', '-EC', '-LSLI', or 'LSLR' to the end)",System Population,Est. Loan Amount,Potential Funding Source (s),Amount of Principal Forgivenes,Expected Loan Term,Priority Points,Est. Date to Close Loan,Project Description,Type of Principal Forgiveness (PF) Received,Readiness to Proceed,Compliance Correction List,Meets Affordability Criteria (DAC),Meets Filtration Requirements,ARPA-WSP Match Project,IIJA Project,Preliminary Water System Grade
"Tullos, Town of Water System",1059010-01-EC,792,"$1,400,000.00","IIJA-EC / LITACorp ($714,000)","$686,000.00",10-Yr,73,Nov-2026,"IIJA-EC. The Town of Tullos Water System (TTWS) Water Treatment Plant will be upgraded with a coagulation/flocculation/clarification/filtration system to remove TTHMs and HAA5s prior to chlorination. LITACorp has committed to and will be providing the match (or loan) portion ($714,000 of the proposed $1,400,000 request). Loan Term = 10 Years IIJA-EC (100% PF)",IIJA-EC,NONE,,Yes,NO,,IIJA-EC,D
Plaquemines Parish Government,1075001-01-EC,19644 + 9222,"$4,000,000.00",IIJA-EC,"$4,000,000.00",10-Yr,71,Jul-2026,"IIJA-EC. The purpose of applying for the DWRLF Loan is to construct (3) waterline projects that will assist with water pressure and meet capacity demands on an annual basis, especially during saltwater intrusion events that affect the Mississippi River. Cites correspondence with EPA Region 6 regarding eligibility of regionalization of small and disadvantaged PWSs with saltwater intrusion/sodium concerns. Loan Term = 10 Years IIJA-EC (100% PF)",IIJA-EC,PLANNING,,Yes (+4 Add'l Priority Points),,,IIJA-EC,F
Patterson Water System,1101006-01-GS,8456,"$5,519,500.00",IIJA-GS,"$2,704,555.00",,51,Nov-2026,"Install an ACTIFLO Clarifier inside the newly constructed water plant for redundancy requirements by LDH, adding chemicals and cover for the chemical building, and replacement of the existing filters.",IIJA-GS,NONE,,Yes (+4 Add'l Priority Points),NO,,IIJA-GS,B
"Opelousas, City of (Loan 2)",1097010-01-EC,19764,"$10,500,000.00",IIJA-EC,"$10,500,000.00",10-Yr,50,Aug-2026,Upgrade of existing 3.0 MGD water treatment facility to improve water quality by removing iron and manganese. 10 YEAR LOAN TERM - 100%PF,IIJA-EC,DESIGN,AO: C-22-097-021-ETT,Yes (+4 Add'l Priority Points),NO,,IIJA-EC,F (projected grade of D)
TRI-Water System,1111020-01,1245,"$3,330,000.00",BASE / IIJA-GS,"$1,631,700.00",20-Yr,50,Nov-2026,"Address AO for TTHM, Engineer considering switching to chloramine. Engineer thought consolidation may be an option. WS has discussed consolidation option, but felt it wasn't good for customers. 20 YEAR LOAN TERM","Disadvantaged System Addressing AO (30% PF up to $200,000)",NONE,AO: C-17-111-031--ETT,Yes,NO,NO,,F
Grand Coteau Water System,1097001-01-EC,1650,"$6,800,000.00",IIJA-EC,"$6,800,000.00",,50,Nov-2026,"The proposed improvements include the construction of a new water treatment plant consisting of: a new building, filters, service pumps, a ground storage tank, a separate chlorine building, an emergency generator, and piping all on property currently owned by the Town of Grand Coteau",IIJA-EC,NONE,,Yes (+4 Add'l Priority Points),NO,,IIJA-EC,A
"West Winn Water System, Inc.",1127011-01-GS,2064,"$2,600,000.00",IIJA-GS,"$1,274,000.00",30-Yr,49,Dec-2026,"New water well, treatment facility, booster station, GST, and related items. Loan Terms = 30 Years",IIJA-GS,NONE,,Yes (+4 Add'l Priority Points),NO,,IIJA-GS,F
"Many, Town of (Loan 4)",1085016-04-EC,4575,"$5,400,000.00",IIJA-EC,"$5,400,000.00",10-Yr,48,Dec-2026,"Construction of new surface water intake where Bayou La Nana connects to Toledo Bend, close to the river channel, new raw water pumping station and raw water transmission main from the intake to current WTP. 10 Year Loan Term (100%PF)",IIJA-EC,NONE,,Yes (+4 Add'l Priority Points),NO,,IIJA-EC,C
Calcasieu Parish WDN5 of Wards 3 & 8 (Loan 2),1019084-02-GS,5388,"$10,000,000.00",IIJA-GS / Base,"$3,000,000.00",20-Yr,47,Jul-2026,"Construction of a new 0.65 MG ground storage tank, installation of automated meter reading technology, rehabilitation of two (2) elevated storage tanks, and necessary waterline connection from improved transmission/distribution in the water system.",IIJA-GS,ENVIRONMENTAL,,Yes,NO,,IIJA-GS,C
Prairie Road Water District (Loan 1),1073040-01-GS,2678,"$3,750,000.00",IIJA-GS,"$1,837,500.00",20-Yr,47,Dec-2026,"Contract A shall provide for the distribution system upgrades, Cleo Well #2 site work/piping/electrical and miscellaneous rehabilitation within existing sites. Contract B shall provide for the replacement of all water meters within the system. Contract C shall provide for the rehabilitation of the Elevated Tank; interior and exterior coating systems shall be replaced. Contract D shall provide for the installation of the Cleo Well #2.",IIJA-GS,NONE,,Yes,NO,,IIJA-GS,F
