Rank,Points,Project Title,Project Number,"Beneficiary
Population",PWSID,Applicant / System Name,County,"Leg.
District","Cong.
District",W/S,PFA,"Public /
Private","System
Size",Disadvantaged,PFAS/EC,LSL,"Construction
Start","Construction
End",Design Date,Milestone / Project Type,Project Description,Total Cost ($),Green Cost ($),"MDE Requested
Funding ($)"
1,140,COLONIAL MILLS MHP PFAS EXPOSURE REDUCTION,DW0015,85,MD0220001,JEFF FLEETWOOD / TOWN OF DELMAR,Wicomico,38B,01,Y,Y,PUBLIC,Small,Y,Y,N,09/01/2025,12/31/2025,09/01/2024,"Construction, Design, Transmission/Distribution, Compliance","PROBLEM: Colonial Mills MHP has high PFAS in unconfined aquifer. PROJECT: D/C - Delete & abandon MHP public water source; install 8"" meter vault to 4"" MHP water pipes & valves along Stage Road.","$135,300",,"$134,200"
2,140,GATEWAY MHP PFAS EXPOSURE REDUCTION,DW0016,6588,MD0220001,JEFF FLEETWOOD / TOWN OF DELMAR,Wicomico,38B,01,Y,3,PUBLIC,Small,Y,Y,N,05/01/2027,08/31/2027,07/31/2025,"Construction, Design, Transmission/Distribution, Compliance",PROBLEM: Gateway MHP water system has high PFAS levels; approx. 336 homes in the Gateway MHP area with vulnerable wells. PROJECT: D/C - Delete & abandon small privately owned public water system of Gateway MHP; connect current users to Town of Delmar WS.,"$1,827,316",,"$1,813,679"
3,130,WEST NOTTINGHAM ACADEMY WATER EXTENSION,DW0057,355,MD0070021,CALVIN BONENBERGER JR / TOWN OF RISING SUN,Cecil,35B,1,Y,5,PUBLIC,Small,Y,Y,N,08/01/2026,07/31/2027,06/01/2025,"Construction, Design, Transmission/Distribution, Compliance","PROBLEM: Private water supply wells serving the school have traces of PFAS; samples exceed EPA's Health Advisory Level. PROJECT: P/D/C - Connect West Nottingham Academy to Rising Sun's public water system with approx. 24,900 LF of water mains.","$6,708,345",,"$6,708,345"
4,130,PLUMPTON PARK ZOO WATER EXTENSION,DW0058,3500,MD0070021,CALVIN BONENBERGER JR / TOWN OF RISING SUN,Cecil,35B,1,N,Y,PUBLIC,Small,Y,N,N,07/01/2026,06/30/2027,07/01/2025,"Construction, Design, Transmission/Distribution, Compliance","PROBLEM: High nitrates above MCL in DW wells serving the Zoo (nonprofit noncommunity water system). PROJECT: D/C - 14,180 LF 8"" water mains to connect the Zoo to public water (Town of Rising Sun); project restores T/M compliance.","$3,595,258",,"$3,595,258"
5,110,POOLESVILLE PFAS TREATMENT,DW0053,6500,MD0150002,WADE YOST / TOWN OF POOLESVILLE,Montgomery,15,6,Y,Y,PUBLIC,Small,N,Y,N,01/01/2027,08/30/2027,01/01/2026,"Construction, Design, Treatment",PROBLEM: PFAS treatment needed for six wells that have tested above the 4 ppt rule to protect public health. PROJECT: P/D/C - Granular activated charcoal filtration needed; modify well houses to accommodate equipment.,"$5,000,000",,"$5,000,000"
6,110,PFAS REMEDIATION CONSTRUCTION AT PALEO WTP,DW0013,39233,MD0220004,CORI CAMERON / CITY OF SALISBURY,Wicomico,38B,01,Y,2,PUBLIC,Large,Y,Y,N,05/01/2026,11/30/2027,11/30/2021,"Construction, Design, Treatment, Compliance","PROBLEM: Wells 1, 2 & 3 are noncompliant with PFOA & PFOS MCLs; Wells 1&2 PFOA & PFOS levels = 5.9 & 20 ppt resp; Well 3 = 45 & 2.7 ppt. PROJECT: Construct remediation strategy for PFAS at WTP to assist plant meeting future requirements.","$17,716,000",,"$17,284,000"
7,105,HAMPSTEAD PFAS TREATMENT/CENTRALIZATION PROJECT,DW0023,7375,MD0060003,JIM ROARK / TOWN OF HAMPSTEAD,Carroll,42C,2,Y,Y,PUBLIC,Small,N,Y,N,06/01/2025,09/30/2027,06/01/2023,"Construction, Design, Treatment","PROBLEM: Wells serving Hampstead are contaminated with PFOA/PFAS; not in compliance with MCLs. PROJECT: Construct 4 WTPs with GAC treatment for PFAS; install 4"" piping to deliver water from wells to WTPs.","$30,843,917",,"$8,157,146"
8,100,LESLIE WATER TREATMENT EQUIPMENT REHABILITATION PROJECT,DW0056,10738,MD0070016,MELISSA MACKENZIE / TOWN OF NORTH EAST,Cecil,35B,1,Y,2,PUBLIC,Small,Y,N,N,01/01/2025,06/30/2025,04/01/2025,"Construction, Design, Treatment","PROBLEM: Aged steel structures needing rehabilitation; original fixed & stationary components are at the end of useful life. PROJECT: P/D/C - Replacement of sand filters, flocculators, water holding tank parts, etc.; rehab structural steel components.","$1,379,000",,"$1,379,000"
9,95,GREENRIDGE WATER SYSTEMS WTP UPGRADES FOR PFAS REMOVAL,DW0037,855,MD0120011,AMBER CAPWEN / MARYLAND WATER SERVICES INC.,Harford,35A,1,Y,Y,PRIVATE,Small,N,Y,N,10/01/2025,10/31/2026,01/01/2025,"Construction, Design, Treatment, Compliance",PROBLEM: PFAS/PFOA detected at levels beyond hazard index in wells; treatment required. PROJECT: D/C - Treatment system to comply with EPA's maximum contaminant levels for PFAS/PFOA.,"$2,242,000",,"$2,242,000"
10,95,TOWN OF HEBRON DRINKING WATER STORAGE AND REDUNDANCY PROJECT,DW0010,1113,MD0220002,ROBIN BAILEY-WALLS / COMMISSIONERS OF HEBRON,Wicomico,37A,01,N,Y,PUBLIC,Small,Y,N,N,12/01/2026,06/30/2027,05/01/2026,"Construction, Design, Storage","PROBLEM: Inconsistent DW quality; lack of reserve/storage; no redundancy. PROJECT: P/D/C - 300,000 gal water tower; water treatment facility w/disinfection sys; two 200 GPM wells; 8"" water main to existing sys.","$7,448,100",,"$7,448,100"
11,95,DELMAR ELEVATED STORAGE TANK,DW0014,6588,MD0220001,JEFF FLEETWOOD / TOWN OF DELMAR,Wicomico,38B,01,Y,3,PUBLIC,Small,Y,N,N,11/01/2026,11/30/2027,09/30/2025,"Construction, Design, Storage",PROBLEM: Significant risk of pressure drop and/or contamination during fire events or water main breaks. PROJECT: D/C - New elevated storage tank.,"$2,814,000",,"$2,793,000"
12,90,PARKER DRIVE WATER SYSTEM CONNECTION,DW0094,25,MD0020004,VICTOR KIBEC / ANNE ARUNDEL COUNTY,Anne Arundel,3,30A,Y,Y,PUBLIC,Small,N,N,N,10/01/2026,12/31/2026,09/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Failing private wells in Parker Drive community. PROJECT: D/C - 450 LF of 8"" PVC water main to connect community to AA Co public water system; includes 10 water meters and fire hydrant.","$465,000",,"$465,000"
13,90,WHITE HOUSE ROAD WATER EXTENSION,DW0095,45,MD0020004,VICTOR KIBEC / ANNE ARUNDEL COUNTY,Anne Arundel,5,33B,Y,Y,PUBLIC,Small,N,N,N,08/01/2027,12/31/2027,08/01/2024,"Construction, Design, Transmission/Distribution","PROBLEM: Failing private wells in White House Road community. PROJECT: D/C - 960 LF of 8"" PVC & 410 LF of 2"" HDPE water mains, 18 water meters & two hydrants to connect to AA Co public water system.","$1,617,000",,"$1,617,000"
14,90,CHESTNUT HILL PUBLIC WATER CONNECTION,DW0091,63,MD0020004,VICTOR KIBEC / ANNE ARUNDEL COUNTY,Anne Arundel,30B,05,Y,5,PUBLIC,Small,N,N,N,11/01/2027,01/31/2029,04/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Private wells have been impacted by septic systems & are within the Edgewater Beach onsite WW management area. PROJECT: D/C - 2,100 LF of 8"" WM, 4 hydrants & 28 connections to connect Chestnut Hill neighborhood to AA Co public water system.","$2,911,000",,"$2,911,000"
15,90,LAKESIDE VISTA WATER SYSTEMS WTP UPGRADES FOR PFAS REMOVAL,DW0036,83,MD0120014,AMBER CAPWEN / MARYLAND WATER SERVICES INC.,Harford,7B,1,Y,2,PRIVATE,Small,N,Y,N,10/01/2025,10/31/2026,01/01/2025,"Construction, Design, Treatment, Compliance",PROBLEM: All three wells exceed PFAS/PFOA maximum contamination levels set by EPA; WTP tank exceeded useful life. PROJECT: D/C - Treatment systems to upgrade WTP and bring them into compliance with PFAS/PFOA limits.,"$1,063,000",,"$1,063,000"
16,90,INDEPENDENCE VILLAGE WATER SYSTEM UPGRADE,DW0005,88,MD0080019,JULIA YOUNG / INDEPENDENCE WATER COMPANY INCORPORATED,Charles,2805,,Y,2,PRIVATE,Small,N,N,N,06/01/2026,12/31/2026,10/01/2025,"Construction, Design, Storage","PROBLEM: System is aging and lacks redundancy; emergency repairs are increasingly difficult for the community to afford. PROJECT: D/C - Install backup well, replace storage tank w/larger, install backup generator; replace well pump.","$2,638,600",,"$2,638,600"
17,90,ANDORICK ACRES WATER MAIN EXTENSION,DW0090,135,MD0020017,VICTOR KIBEC / ANNE ARUNDEL COUNTY,Anne Arundel,3103,,Y,Y,PUBLIC,Small,N,N,N,07/01/2027,03/31/2029,03/01/2024,"Construction, Design, Transmission/Distribution","PROBLEM: With regard to MDE's 2017 Andorick Acres Groundwater Impacts Report, the community has petitioned to eliminate well reliance. PROJECT: P/D/C - Approx. 4,100 LF of 8"" PVC WM, 11 fire hydrants & associated laterals, 54 water meters & associated laterals.","$5,576,000",,"$5,576,000"
