Rank,Points,Project Number,Project Title,Applicant Name,County,Beneficial Population,Ownership,System Size,Disadvantaged,Project Type,Funding Category,Green Cost ($),Construction Start,Construction End,Design Start,Water/Sewer,PFA Code,CD Code,Audit,Plan,Compliance,Notes,PWSID,PFAS/EC,LSL,Total Cost ($),MDE Requested Funding ($),matching_id,Project Description
1,140,DW0015,Colonial Mills MHP PFAS Exposure Reduction,Town of Delmar,Wicomico,85,PUBLIC,Small,Y,Transmission & Distribution,PFAS/EC,,09/01/2025,12/31/2025,09/01/2024,Y,Y,1,Y,N,N,,MD0220001,Y,,"135,300","134,200",DW0015,"PROBLEM: COLONIAL MILLS MHP HAS HIGH PFAS IN UNCONFINED AQUAFIER PROJECT: D/C-DELETE & ABANDON MHP PUBLIC WATER SOURCE; INSTALL 8"" METER VAULT TO 4"" MHP WATER PIPES & VALVES ALONG STAGE ROAD"
2,140,DW0016,Gateway MHP PFAS Exposure Reduction,Town of Delmar,Wicomico,6588,PUBLIC,Small,Y,Transmission & Distribution,PFAS/EC,,05/01/2027,08/31/2027,07/31/2025,Y,Y,1,N,N,N,,MD0220001,Y,,"1,827,316","1,813,679",DW0016,PROBLEM: GATEWAY MHP HAS HIGH WATER SYSTEM HAS HIGH PFAS LEVELS; APPROX. 336 HOMES IN THE GATEWAY MHP AREA WITH VULNERABLE WELLS PROJECT: D/C-DELETE & ABANDON SMALL PRIVATELY OWNED PUBLIC WATER SYSTEM OF GATEWAY MHP; CONNECT CURRENT USERS TO TOWN OF DELMAR WS
3,130,DW0057,West Nottingham Academy Water Extension,Town of Rising Sun,Cecil,355,PUBLIC,Small,Y,Transmission & Distribution,PFAS/EC,,08/01/2026,07/31/2027,06/01/2025,Y,5,1,N,N,Y,,MD0070021,Y,,"6,708,345","6,708,345",DW0057,"PROBLEM: PRIVATE WATER SUPPLY WELLS SERVING THE SCHOOL HAS TRACES OF PFA; SAMPLES EXCEED EPA'S HEALTH ADVISORY LEVEL PROJECT: P/D/C-CONNECT WEST NOTTINGHAM ACADEMY TO RISING SUN'S PUBLIC WATER SYSTEM WITH APPROX 24,900 LF OF WATER MAINS"
4,130,DW0058,Plumpton Park Zoo Water Extension,Town of Rising Sun,Cecil,3500,PUBLIC,Small,Y,Transmission & Distribution,,,07/01/2026,06/30/2027,07/01/2025,N,Y,2,N,N,Y,,MD0070021,,,"3,595,258","3,595,258",DW0058,"PROBLEM: HIGH NITRATES ABOVE MCL IN DW WELLS SERVING THE ZOO (NONPROFIT NONCOMMMUNITY WATER SYSTEM) PROJECT: D/C-14,180 LF 8"" WATER MAINS TO CONNECT THE ZOO TO PUBLIC WATER (TOWN OF RISING SUN), PROJ RESTORES T/M COMPLIANCE"
5,110,DW0053,Poolesville PFAS Treatment,Town of Poolesville,Montgomery,6500,PUBLIC,Small,N,Treatment,PFAS/EC,,01/01/2027,08/30/2027,01/01/2026,Y,Y,2,Y,Y,N,,MD0150002,Y,,"5,000,000","5,000,000",DW0053,PROBLEM: PFAS NEEDED FOR TREATMENT FOR SIX WELLS THAT HAVE TESTED ABOVE THE 4 PPT RULE TO PROTECT PUBLIC HEALTH PROJECT: P/D/C-GRANULAR ACTIVATED CHARCOAL FILTRATION NEEDED; MODIFY WELL HOUSES TO ACCCOMMODATE EQUIPMENT
6,110,DW0013,PFAS Remediation Construction at Paleo WTP,City of Salisbury,Wicomico,39233,PUBLIC,Large,Y,Treatment,PFAS/EC,,05/01/2026,11/30/2027,11/30/2021,Y,2,1,Y,Y,Y,,MD0220004,Y,,"17,716,000","17,284,000",DW0013,"PROBLEM: WELLS 1, 2 & 3 ARE NONCOMPLIANT WITH PFOA & PFOS MCLS; WELLS 1&2 PFOA & PFOS LEVELS=5.9 & 20PPT RESP; WELL3 = 45 & 2.7PPT PROJECT: CONSTRUCT REMEDIATION STRATEGY FOR PFAS AT WTP TO ASSIST PLANT MEETING FUTURE REQUIREMENTS"
7,105,DW0023,Hampstead PFAS Treatment/Centralization Project,Town of Hampstead,Carroll,7375,PUBLIC,Small,N,Treatment,PFAS/EC,,06/01/2025,09/30/2027,06/01/2023,Y,Y,1,Y,Y,N,,MD0060003,Y,,"30,843,917","8,157,146",DW0023,"PROBLEM: WELLS SERVING HAMPSTEAD ARE CONTAMINATED WITH PFOA/PFAS; NOT IN COMPLIANCE WITH MCLS PROJECT: CONSTRUCT 4 WTPS WITH GAC TREATMENT FOR PFAS; INSTALL 4"" PIPING TO DELIVER WATER FROM WELLS TO WTPS"
8,100,DW0056,Leslie Water Treatment Equipment Rehabilitation Project,Town of North East,Cecil,10738,PUBLIC,Small,Y,Treatment,,,01/01/2025,06/30/2025,04/01/2025,Y,2,1,N,N,N,,MD0070016,,,"1,379,000","1,379,000",DW0056,"PROBLEM: AGED STEEL STRUCTURES NEEDING REHABILITATION; ORIGINAL FIXED & STATIONARY COMPONENTS ARE AT THE END OF USEFUL LIFE PROJECT: P/D/C-REPLACEMENT OF SAND FILTERS, FLOCCULATORS, WATER HOLDING TANK PARTS, ETC; REHAB STRUCTURAL STEEL COMPONENTS"
9,95,DW0037,Greenridge Water Systems WTP Upgrades for PFAS Removal,Maryland Water Services Inc.,Harford,855,PRIVATE,Small,N,Treatment,PFAS/EC,,10/01/2025,10/31/2026,01/01/2025,Y,Y,1,N,N,Y,,MD0120011,Y,,"2,242,000","2,242,000",DW0037,PROBLEM: PFAS/PFOA DETECTED AT LEVELS BEYOND HAZARD INDEX IN WELLS; TREATMENT REQUIRED PROJECT: D/C-TREATMENT SYSTEM TO COMPLY WITH EPA'S MAXIMUM CONTAMINANT LEVELS FOR PFAS/PFOA
10,95,DW0010,Town of Hebron Drinking Water Storage and Redundancy Project,Commissioners of Hebron,Wicomico,1113,PUBLIC,Small,Y,Storage,,,12/01/2026,06/30/2027,05/01/2026,N,Y,1,Y,Y,N,,MD0220002,,,"7,448,100","7,448,100",DW0010,"PROBLEM: INCONSISTENT DW QUALITY; LACK OF RESERVE/STORAGE; NO REDUNDANCY PROJECT: P/D/C-300,000 GAL WATER TOWER; WATER TREATMENT FACILITY W/DISINFECTION SYS; TWO 200 GPM WELLS; 8"" WATER MAIN TO EXISTING SYS"
11,95,DW0014,Delmar Elevated Storage Tank,Town of Delmar,Wicomico,6588,PUBLIC,Small,Y,Storage,,,11/01/2026,11/30/2027,09/30/2025,Y,3,1,Y,Y,N,,MD0220001,,,"2,814,000","2,793,000",DW0014,PROBLEM: SIGNIFICANT RISK OF PRESSURE DROP AND/OR CONTAMINATION DURING FIRE EVENTS OR WATERMAIN BREAKS PROJECT: D/C-NEW ELEVATED STORAGE TANK
12,90,DW0094,Parker Drive Water System Connection,Anne Arundel County,Anne Arundel,25,PUBLIC,Small,N,Transmission & Distribution,,,10/01/2026,12/31/2026,09/01/2025,Y,Y,1,Y,N,N,,MD0020004,,,"465,000","465,000",DW0094,"PROBLEM: FAILING PRIVATE WELLS IN PARKER DRIVE COMMUNITY PROJECT: D/C-450 LF OF 8"" PVC WATER MAIN TO CONNECT COMMUNITY TO AA CO PUBLIC WATER SYSTEM, INCLUDES 10 WATER METERS AND FIRE HYDRANT"
13,90,DW0095,White House Road Water Extension,Anne Arundel County,Anne Arundel,45,PUBLIC,Small,N,Transmission & Distribution,,,08/01/2027,12/31/2027,08/01/2024,Y,Y,1,Y,N,N,,MD0020004,,,"1,617,000","1,617,000",DW0095,"PROBLEM: FAILING PRIVATE WELLS IN WHITE HOUSE ROAD COMMUNITY PROJECT: D/C-960 LF OF 8"" PVC & 410 LF OF 2"" HDPE WATER MAINS, 18 WATER METERS & TWO HYDRANTS TO CONNECT TO AA CO PUBLIC WATER SYSTEM"
14,90,DW0091,Chestnut Hill Public Water Connection,Anne Arundel County,Anne Arundel,63,PUBLIC,Small,N,Transmission & Distribution,,,11/01/2027,01/31/2029,04/01/2025,Y,5,1,Y,Y,N,,MD0020004,,,"2,911,000","2,911,000",DW0091,"PROBLEM: PRIVATE WELLS HAVE BEEN IMPACTED BY SEPTIC SYSTEMS & ARE WITHIN THE EDGEWATER BEACH ONSITE WW MANAGEMENT AREA PROJECT: D/C-2,100 LF OF 8"" WM, 4 HYDRANTS & 28 CONNECTIONS TO CONNECT CHESTNUT HILL NEIGHBORHOOD TO AA CO PUBLIC WATER SYSTEM"
15,90,DW0036,Lakeside Vista Water Systems WTP Upgrades for PFAS Removal,Maryland Water Services Inc.,Harford,83,PRIVATE,Small,N,Treatment,PFAS/EC,,10/01/2025,10/31/2026,01/01/2025,Y,2,1,N,N,Y,,MD0120014,Y,,"1,063,000","1,063,000",DW0036,PROBLEM: ALL THREE WELLS EXCEED PFAS/PFOA MAXIMUM CONTAMINATION LEVELS SET BY EPA; WTP TANK EXCEEDED USEFUL LIFE PROJECT: D/C-TREATMENT SYSTEMS TO UPGRADE WTP AND BRING THEM INTO COMPLIANCE WITH PFAS/PFOA LIMITS
16,90,DW0005,Independence Village Water System Upgrade,Independence Water Company Incorporated,Charles,88,PRIVATE,Small,N,Storage,,,06/01/2026,12/31/2026,10/01/2025,Y,2,1,N,N,N,,MD0080019,,,"2,638,600","2,638,600",DW0005,"PROBLEM: SYSTEM IS AGING AND LACKS REDUNDANCY; EMERGENCY REPAIRS ARE INCREASING DIFFICULT FOR THE COMMUNITY TO AFFORD PROJECT: D/C-INSTALL BACKUP WELL, REPLACE STORAGE TANK W/LARGER, INSTALL BACKUP GENERATOR; REPLACE WELL PUMP"
17,90,DW0090,Andorick Acres Water Main Extension,Anne Arundel County,Anne Arundel,135,PUBLIC,Small,N,Transmission & Distribution,,,07/01/2027,03/31/2029,03/01/2024,Y,Y,1,Y,N,N,,MD0020017,,,"5,576,000","5,576,000",DW0090,"PROBLEM: WITH REGARD TO MDE'S 2017 ANDORICK ACRES GROUNDWATER IMPACTS REPORT, THE COMMUNITY HAS PETITIONED TO ELIMINATE WELL RELIANCE PROJECT: P/D/C-APROX 4100 LF OF 8"" PVC WM, 11 FIRE HYDRANTS & ASSOCIATED LATERALS, 54 WATER METERS & ASSOCIATED LATERALS"
