"IUP Part",Project Entity,Project ID,"PPLrank","PPL points","System Population Served",Project Description,"Binding Commitment Date","EC Amount","Total Project Costs",Equivalency,
Part A-1,Elysian,1400003-02,6,30,703,Treatment - Radium Treatment with RO,,,"4,100,000",Tbd,
Part A-1 EC,Avoca,1510001-01,13,23,142,Other - Manganese Connect to Red Rock,11/01/25,Tbd,"306,795",No,
Part A-1 EC,Atwater,1340001-09,113,20,"1,141",Treatment - Manganese Treatment & Well,07/14/25,"2,930,190","5,860,370",Yes,
Part A-1 EC,Wabasso,1640013-03,120,20,671,Treatment - Manganese Plant & Well,08/15/25,"830,675","1,661,350",Yes,
Part A-1 EC,Howard Lake,1860010-08,199,20,"1,897",Treatment - Manganese Treatment Plant,,Tbd,"11,610,000",Yes,
Part A-1 EC,Fridley,1020031-03,263,20,"29,422",Treatment - PFAS Treatment Locke Park TP,10/30/25,"2,938,350","5,876,700",Yes,
Part A-1 EC,Hastings,1190012-02,292,20,"22,250",Treatment - PFAS Treatment Phase 2,09/12/25,"5,000,000","9,947,593",Yes,
Part A-1 EC,Beaver Creek,1670001-01,301,18,266,Other - Manganese Connect to Rock County,09/15/25,Tbd,"127,151",Tbd,
Part A-1 EC,Stillwater,1820024-03,382,15,"19,316",Treatment - PFAS W10 Treatment Plant,10/01/25,"1,526,925","3,053,850",Yes,
Part A-1 EC,Otsego,1860026-03,386,15,"19,565",Treatment - Manganese Pumphouse 4,12/02/25,"4,245,954","5,091,909",Yes,
Part A-1,Dawson,1370003-06,427,12,"1,540",Treatment - Plant Rehab,,,"1,232,500",Tbd,
Part A-1,International Falls,1360002-01,451,12,"5,816",Treatment - Plant Rehab,,,"11,660,000",Tbd,
Part A-1,Gilbert,1690020-08,473,12,"1,829",Treatment - New Treatment Plant,,,"19,322,925",Tbd,
Part A-1,Underwood,1560026-06,482,12,389,Treatment - Replace Plant,08/20/25,,"5,543,398",Yes,
Part A-1,Franklin,1650006-06,484,12,508,Watermain - Looping,,,"195,880",Tbd,
Part A-1,Silver Bay,1380003-11,485,12,"1,610",Treatment - Plant Improvements,,,"16,400,000",Tbd,
Part A-1,Le Sueur,1400010-09,503,12,"4,174",Watermain - New Booster and Wtrmn,,,"2,500,000",Tbd,
Part A-1,Ghent,1420004-05,505,12,497,Watermain - Replacement Phase 1,,,"3,321,300",Tbd,
Part A-1,Aurora,1690002-07,558,10,"1,709",Watermain - W 1st Ave. N. Reconstruction,,,"2,611,000",Tbd,
Part A-1,Aurora,1690002-09,559,10,"1,709",Watermain - W3rd Ave/Main St Replacement,,,"2,431,000",Tbd,
Part A-1,Henning,1560016-09,629,10,806,Watermain - Replace Cast Iron Main,,,"8,325,000",Tbd,
Part A-1,Aurora,1690002-11,641,10,"1,764",Watermain - 2nd Ave E Replacement,,,"3,000,000",Tbd,
Part A-1,Ely,1690014-04,665,10,"3,280",Watermain - Raw Water Intake/WM Repl,,,"4,641,000",Tbd,
Part A-1,Madison,1370004-06,672,10,"1,483",Treatment - Plant Rehab,09/11/25,,"7,315,065",Yes,
Part A-1,International Falls,1360002-03,691,10,"5,816",Watermain - Replace 9th Street,,,"1,625,950",Tbd,
Part A-1,Hibbing-PUC,1690022-14,715,10,"16,224",Watermain - Capital Imp Phase 2,in-process,,"6,772,673",Yes,
Part A-1,Randall,1490005-02,722,10,581,Watermain - Water System Improvements,in-process,,"3,510,194",Tbd,
Part A-1,Olivia,1650011-06,747,10,"2,397",Treatment - RO addition,,,"5,200,000",Tbd,
Part A-1,Fairmont,1460003-02,759,10,"10,465",Storage - New 2.0 MG Reservoir,07/24/25,,"4,476,290",Tbd,
Part A-1,Ortonville,1060008-08,772,10,"2,081",Watermain - Phase 3,,,"14,130,000",Tbd,
Part A-1,Franklin,1650006-07,822,10,508,Watermain - Reconstruction,,,"563,581",Tbd,
Part A-1,Saint Paul RWS,1620026-22y,872,10,"385,796",Treatment - Process Imp.(McCarrons),09/18/25,,"28,000,000",Tbd,
Part A-1,Red Wing,1250013-09,885,10,"16,596",Other - Booster Station Rehab,10/22/25,,"2,218,319",Tbd,
Part A-1,Adrian,1530001-02,911,10,"1,127",Treatment - System Improvements,,,"804,000",Tbd,
Part A-1,Darwin,1470002-04,"1,022",7,302,Watermain - 1st St & Loop,,,"1,067,730",Tbd,
Part A-1,Stewart,1430009-07 and -08,"460,713","12,10",610,Watermain - Looping and Distribution,08/15/25,,"4,495,000",Tbd,
Part B-1 EC,Hastings,1190012-01,1,33,"22,250",Treatment - PFAS Treatment Phase 1,,Tbd,"20,600,000",Yes,
Part B-1,Clitherall,1560033-02,2,30,25,New System - NO3 Connect to Battle Lake,,,"12,974,000",Tbd,
Part B-1,Hayward,1240012-01,3,30,227,Treatment - Radium Treatment & New Well,,,"3,881,000",Tbd,
Part B-1,Rolling Green Township,1660022-01,7,25,110,Treatment - Radchem Removal,,,"250,000",Tbd,
Part B-1,Amboy,1070001-05,9,25,535,Treatment - TP Improvements,,,"1,831,000",Tbd,
Part B-1 EC,Kilkenny,1400007-02,10,23,134,Treatment - Manganese TP & Well,,Tbd,"4,035,000",Yes,
Part B-1 EC,Dunnell,1460002-01,11,23,270,Other - Manganese Connect to Sherburn,,Tbd,"4,480,000",Yes,
Part B-1 EC,Browns Valley,1780001-03,12,23,595,Treatment - Manganese Treatment Plant,,Tbd,"12,546,500",Yes,
Part B-1 EC,Pease,1480017-05,14,23,242,Other - PFAS Connect to Neighbor,,Tbd,"4,409,200",Yes,
Part B-1,Newport,1820014-02,16,23,"4,000",Source - New Well,,,"2,181,000",Tbd,
Part B-1 EC,Palisade,1010013-02,29,20,165,Treatment - Manganese New Plant,,Tbd,"4,584,000",Yes,
Part B-1 EC,Granada,1460004-01,74,20,247,Treatment - Manganese & Radium Plant,,Tbd,"6,885,000",Yes,
Part B-1 EC,Cromwell,1090007-08,83,20,250,Treatment - Manganese Treatment Plant,,Tbd,"6,500,000",Yes,
Part B-1 EC,Marble,1310023-07,93,20,699,Treatment - Manganese Plant,,Tbd,"6,500,000",Yes,
Part B-1 EC,Battle Lake,1560001-06,99,20,857,Treatment - PFAS Removal,,Tbd,"7,525,250",Yes,
Part B-1,Chisholm,1690007-08,116,20,"4,940",Watermain - 5th St SW,,,"249,792",Tbd,
Part B-1,Blue Earth,1220001-10,166,20,"3,174",Watermain - South Linton Area,,,"3,284,922",Tbd,
Part B-1,Lamberton,1640003-15,169,20,828,Watermain - Phase 2 2nd Ave & Main,,,"2,568,000",Tbd,
Part B-1 EC,Sauk Rapids,1050004-07,179,20,"13,830",Treatment - PFAS TP Upgrade & New Wells,,Tbd,"6,182,000",Yes,
Part B-1 EC,Monticello,1860012-01,274,20,"13,583",Treatment - Manganese Treatment Plant,,Tbd,"45,000,000",Yes,
Part B-1 EC,Montrose,1860016-05,282,20,"3,505",Treatment - Manganese Plant,,Tbd,"13,850,000",Yes,
Part B-1 EC,Hastings,1190012-03,293,20,"22,250",Treatment - PFAS Treatment Phase 3,,Tbd,"21,600,000",Yes,
Part B-1 EC,Eagle Lake,1070002-03,304,18,"3,064",Treatment - Manganese TP & New Well,,Tbd,"14,135,000",Yes,
Part B-1,Cuyuna,1180011-04,309,15,231,Source - Repl with Wells #2 & #3/Treat,,,"459,300",Tbd,
Part B-1,New York Mills,1560017-09,313,15,"1,166",Treatment - New TP/Well,,,"10,150,000",Tbd,
Part B-1,Granada,1460004-04,314,15,247,Source - Replacement Well,,,"325,000",Tbd,
Part B-1,Brooten,1730005-05,317,15,550,Source - Replace Wells #1 & #2,,,"740,000",Tbd,
