"IUPPart",Project Entity,Project ID,"PPLrank","PPLpoints","SystemPopulationServed",Project Description,"BindingCommitmentDate","ECAmount","TotalProjectCosts",Equivalency
Part C-1,Campbell,1840003-04,"1,085",5,159,Conservation - New Meters,,,"100,200",n/a
Part C-1,Barnesville,1140001-04,"1,101",5,"2,600",Watermain - Replacement - Phase 1,,,"3,500,000",n/a
Part C-1,Lowry,1610007-09,"1,137",5,345,Other - Meter Replacement,,,"250,300",n/a
Part C-1,Cottonwood,1420002-01,"1,142",5,"1,160",Watermain - Phase 1 Improvements,,,"1,586,570",n/a
Part C-1,Cottonwood,1420002-06,"1,159",5,"1,150",Watermain - Main St. Replacement,,,"1,634,000",n/a
Part C-1,Cohasset,1310035-01,"1,167",5,"1,000",Storage - Tower Rehab,,,"600,000",n/a
Part C-1,Chatfield,1230002-03,"1,170",5,"2,997",Storage - New GSR,,,"3,000,000",n/a
Part C-1,Rosemount,1190019-03,"1,176",5,"22,445",Watermain - Akron Ave Ext.,,,"218,000",n/a
Part C-1,Empire,1190009-02,"1,177",5,"1,300","Treatment - New Plant, Remove Ra, Fe, Mn",,,"7,500,000",Tbd
Part C-1,Waconia,1100010-04,"1,186",5,"13,277","Treatment - New 1,000 GPM TP",,,"23,725,000",n/a
Part C-1,Biscay,1430001-02,"1,192",5,113,Watermain - WM Replacement,,,"1,000,000",n/a
Part C-1,Biscay,1430001-03,"1,193",5,113,Storage - New Tower,,,"1,400,000",n/a
Part C-1,Greenfield,1270074-01,"1,194",5,313,Source - Well Rehab,,,"345,000",n/a
Part C-1,Greenfield,1270074-03,"1,196",5,313,Storage - Tower Rehab,,,"630,000",n/a
