"",,,MPFA,,,
RANK SYSTEM,,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
1 Hastings,,Treatment - PFAS Eastern WTP,1190012-01,33,"22,250","$20,600,000"
2 Clitherall,,New System - NO3 Connect to Battle Lake,1560033-02,30,25,"$12,974,000"
3 Hayward,,Treatment - Radium Treatment & New Well,1240012-01,30,227,"$3,881,000"
4 Rush City,,Treatment - Radium Plant Upgrade,1130013-07,30,"3,175","$287,503"
5 Lexington,,Treatment - Radium TP & Booster Station,1020032-02,30,"2,071","$5,000,000"
6 Elysian,,Treatment - Radium Treatment with RO,1400003-02,30,703,"$4,100,000"
7 Rolling Green First Addition,,Treatment - Radchem Removal,1660022-01,25,110,"$250,000"
8 Amboy,,Other - LSL Replacement,1070001-04,25,535,"$187,000"
9 Amboy,,Treatment - TP Improvements,1070001-05,25,535,"$1,831,000"
10 Kilkenny,,Treatment - Manganese TP & Well,1400007-02,23,134,"$4,035,000"
11 Dunnell,,Other - Manganese Connect to Sherburn,1460002-01,23,270,"$4,480,000"
12 Browns Valley,,Treatment - Manganese Treatment Plant,1780001-03,23,595,"$12,546,500"
13 Avoca,,Other - Manganese Connect to Red Rock,1510001-01,23,142,"$795,000"
14 Pease,,Other - PFAS Connect to Neighbor,1480017-05,23,242,"$4,409,200"
15 Rose Creek,,Source - New Well,1500014-01,23,454,"$2,370,000"
16 Newport,,Source - New Well,1820014-02,23,"4,000","$2,181,000"
17 Glenville,,Other - 2026 LSLR,1240010-02,20,566,"$455,000"
18 Bemidji,,Other - LSLR Phase 1,1040002-02,20,"15,147","$2,700,000"
19 Brainerd,,Other - LSL Replacement TH 210,1180002-10,20,"13,590","$225,000"
20 Brainerd,,Other - LSL Replacement NE,1180002-08,20,"13,590","$4,500,000"
21 Brainerd,,Other - LSL Replacement Southside Phs 1,1180002-09,20,"13,590","$2,025,000"
22 Clinton,,Treatment - Manganese Plant,1060003-02,20,450,"$1,690,000"
23 Aurora,,Other - LSL Replacement (W 3rd Ave/Main),1690002-10,20,"1,709","$300,000"
24 Aurora,,Other - LSL Replacement (W 1st Ave N),1690002-08,20,"1,709","$396,000"
25 Belview,,Treatment - Manganese Plant,1640001-02,20,360,"$3,017,000"
26 Blackduck,,Other - LSL Replacement,1040014-05,20,826,"$1,140,625"
27 Crosby,,Other - LSL Replacement,1180008-12,20,"2,677","$250,000"
28 Marble,,Other - LSL Replacement,1310023-05,20,550,"$991,875"
29 Palisade,,Treatment - Manganese New Plant,1010013-02,20,165,"$4,584,000"
"",,,MPFA,,,
RANK,SYSTEM,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
30 Sebeka,,Other - LSL Replacement,1800002-15,20,777,"$49,800"
31 Evansville,,Other - LSL Replacement,1210013-12,20,603,"$45,000"
32 Staples,,Other - LSL Replacement (2024 Phase),1770011-10,20,"1,859","$283,500"
33 Staples,,Other - LSL Replacement (4th St. NE),1770011-11,20,"1,859","$126,000"
34 Ruthton,,Other - LSL Replacement,1590007-04,20,220,"$150,000"
35 Appleton,,Other - LSL Replacement,1760001-05,20,"1,412","$990,000"
36 Westbrook,,Other - LSL Replacement,1170005-04,20,785,"$825,000"
37 Kiester,,Other - LSL Replacement,1220008-06,20,589,"$203,000"
38 Bigfork,,Other - LSL Replacement,1310001-11,20,397,"$375,000"
39 Henning,,Other - LSL Replacement,1560016-10,20,806,"$967,509"
40 Floodwood,,Other - LSL Replacement,1690048-05,20,501,"$1,875,000"
41 Hinckley,,Other - LSL Replacement,1580005-04,20,"1,964","$12,500"
42 Currie,,Treatment - Manganese TP Rehab,1510003-06,20,200,"$822,000"
43 Park Rapids,,Other - LSL Replacement Central Ave,1290003-08,20,"4,163","$421,642"
44 Walker,,Other - LSL Replacement,1110013-09,20,890,"$33,000"
45 Crosby,,Other - LSL Phase 3B Improvement,1180008-15,20,"2,377","$206,250"
46 Crosby,,Other - LSL 1st St SW Area,1180008-16,20,"2,377","$1,181,250"
47 Crosby,,Other - LSL 2015/2016 Improvements Area,1180008-17,20,"2,377","$937,500"
48 Little Falls,,Other - LSL Replacement-4th Street,1490002-10,20,"9,049","$472,500"
49 Little Falls,,Other - LSL Replacement-1st St. NE,1490002-11,20,"9,049","$900,000"
50 Little Falls,,Watermain - 1st Street Improvements,1490002-09,20,"9,049","$3,030,900"
51 Riverton,,Treatment - Manganese - Treatment Expans,1180025-06,20,152,"$729,000"
52 Princeton,,Other - LSL Replacement,1480008-08,20,"4,753","$600,000"
53 Ely,,Other - LSL Replacement,1690014-06,20,"3,280","$360,750"
54 Houston,,Other - LSL Replacement Spruce St,1280005-05,20,892,"$41,000"
55 Madison,,Other - LSL Replacement,1370004-07,20,"1,483","$72,150"
56 Glenwood,,Other - LSL Replacement,1610003-14,20,"2,705","$625,000"
57 Park Rapids,,Other - LSL Replacement,1290003-09,20,"4,298","$1,574,500"
58 Wadena,,Other - LSL NE,1800004-07,20,"4,311","$347,600"
"",,,MPFA,,,
RANK SYSTEM,,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
59 Cloquet,,Treatment - W11 Manganese Plant,1090005-03,20,"12,156","$3,063,428"
60 Grey Eagle,,Other - LSL Replacement,1770005-01,20,330,"$12,500"
61 Browerville,,Other - LSL Replacement,1770002-08,20,920,"$275,000"
62 Morgan,,Treatment - Manganese Plant,1640006-03,20,896,"$4,775,000"
63 Hoffman,,Other - LSL Replacement,1260006-07,20,703,"$12,500"
64 Perham,,Other - LSL Phase 1,1560023-12,20,"3,421","$472,500"
65 Perham,,Other - LSL Phase 2,1560023-13,20,"3,421","$517,500"
66 Perham,,Other - LSL Phase 3,1560023-14,20,"3,421","$292,500"
67 Perham,,Other - LSL Phase 4,1560023-15,20,"3,421","$810,000"
68 Jasper,,Other - LSL Phase 1,1590004-01,20,623,"$956,250"
69 Wells,,Other - LSL Replacement,1220010-05,20,"2,283","$50,000"
70 Brooten,,Other  - LSL Replacement,1730005-09,20,646,"$1,706,250"
71 Chisholm,,Other - LSL 2025 Replacement,1690007-06,20,"4,759","$297,700"
72 Lucan,,Other - LSL Replacement,1640004-04,20,210,"$125,000"
73 Pipestone,,Other - LSL Replacement Main St. Area,1590005-13,20,"4,185","$62,500"
74 Granada,,Treatment - Manganese & Radium Plant,1460004-01,20,247,"$6,885,000"
75 Granada,,Other - LSL Replacement,1460004-03,20,247,"$55,000"
76 Fergus Falls,,Other - LSL Replacement Phase 1,1560014-02,20,"14,108","$581,250"
77 Fergus Falls,,Other - LSL Replacement Phase 2,1560014-03,20,"14,108","$1,556,250"
78 Fergus Falls,,Other - LSL Replacement Phase 3,1560014-04,20,"14,108","$1,500,000"
79 Fergus Falls,,Other - LSL Replacement Phase 4,1560014-05,20,"14,108","$1,700,000"
80 Fergus Falls,,Other - LSL Replacement Phase 5,1560014-06,20,"14,108","$1,925,000"
81 Fergus Falls,,Other - LSL Replacement Phase 6,1560014-07,20,"14,108","$1,462,500"
82 Milaca,,Other - LSL Replacement,1480002-05,20,"3,063","$1,715,000"
83 Cromwell,,Treatment - Manganese Treatment Plant,1090007-08,20,250,"$6,500,000"
84 Red Lake Falls,,Other - LSL Replacement,1630003-05,20,"1,372","$1,190,696"
85 Hibbing,,Other - LSL Replacement Phase 2,1690022-13,20,"16,224","$1,512,000"
86 Hibbing,,Other - LSL Replacement  Phase 1,1690022-09,20,"16,224","$399,300"
87 Canton,,Other - LSL Replacement,1230001-01,20,310,"$737,500"
"",,,MPFA,,,
RANK SYSTEM,,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
88 Chokio,,Other - LSL Replacement,1750002-03,20,400,"$375,000"
89 Milan,,Other - LSL Replacement,1120003-06,20,418,"$187,500"
90 Houston,,Other - LSL Replacement Phase 2,1280005-06,20,997,"$725,000"
91 Albert Lea,,Other - LSL Replacement - 2024,1240001-04,20,"18,433","$1,500,000"
92 Albert Lea,,Other - LSL Replacement - 2026,1240001-05,20,"18,433","$1,500,000"
