Rank,Project Sponsor2,Project Number,Project Name,Populatio,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Poin,Actual/ Anticipated Funding Status,BIL Eligibility
237,Jersey City Municipal Utilities Authority,0906001-023,Phase 5A Water Project,262000,"$ 7,750,000",,"$ 9,300,000",75,0,20,5,5,0,0,2.62,167.62,2026,BIL (GEN)
237,Jersey City Municipal Utilities Authority,0906001-032,Van Horne Street Water Improvements,265549,"$ 3,500,000","$ 226,400","$ 4,200,000",75,0,20,5,5,0,0,2.62,167.62,2026,BIL (GEN)
237,Jersey City Municipal Utilities Authority,0906001-033,Pine Street Area Water Improvements,5000,"$ 14,412,000","$ 671,200","$ 19,023,840",75,0,20,5,5,0,0,2.62,167.62,2026,BIL (EC)
195,Hawthorne Borough,1604001-006,Hawthorne Lead Service Line Replacement - Phase 4,19496,"$ 2,700,000","$ 666,100","$ 3,270,000",175,0,0,0,0,0,0,0.19,175.19458,2026,BIL (LSLR)
810,Ocean Gate Borough,1521001-003,Well Water Construction/Drilling a new well,2800,"$ 522,700","$ 145,910","$ 668,610",15,0,0,0,0,0,0,0.03,15.032,2026,BIL (GEN)
802,Mantua Township MUA,0810004-005,Well 3 Rehabilitation,0,"$ 1,400,000","$ 800,000","$ 2,100,000",15,0,0,0,0,0,0,0.13,15.126,2026,BIL (GEN)
796,Marlboro Township,1328002-004,New Stand-by Well 5A (Tennent Rd Treatment Plant & Booster Pu,27000,"$ 933,000","$ 419,850","$ 1,352,850",15,0,0,0,0,0,0,0.29,15.2948,2026,BIL (GEN)
780,Clinton Town,1005001-007,Replace Water Meters,12500,"$ 699,465","$ 314,759","$ 1,014,224",25,0,0,0,0,0,0,0.13,25.125,2026,BIL (GEN)
709,Brigantine City,0103001-501,Installation of Generators at well,11117,"$ 677,100","$ 304,695","$ 981,795",45,0,0,0,0,0,0,0.09,45.0945,2026,BIL (GEN)
630,Marlboro Township,1328002-010,Nolan Road Tank Rehabilitation,27668,"$ 1,500,000","$ 230,769","$ 1,869,798",60,0,0,0,0,0,0,0.29,60.2948,2026,BIL (GEN)
627,Evesham Municipal Utilities Authority,0313001-004,Lincoln Drive Water Tower Rehabilitation,31217,"$ 3,000,000","$ 604,000","$ 3,700,000",60,0,0,0,0,0,0,0.46,60.45538,2026,BIL (GEN)
561,Glen Ridge Borough,0708001-010,Glen Ridge - Water Main Replacement Project - Carteret/Forest,7681,"$ 750,000","$ 3,817,318","$ 1,000,000",75,0,0,0,0,0,0,0.08,75.07681,2026,BIL (GEN)
545,Clinton Town,1005001-006,Lebanon Borough Water Main Replacements - Phase 2-5,12500,"$ 2,684,475","$ 989,032","$ 3,673,507",75,0,0,0,0,0,0,0.13,75.125,2026,BIL (GEN)
