Rank,Project Sponsor,Project Number,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,"Actual/ Anticipated
Funding Status",BIL Eligibility
1,Newark City,0714001-012,Construction of a cover for the Cedar Grove Reservoir,285000,50000000,12730000,62730000,500,50,20,0,0,0,80,2.85,652.85,Beyond 2026,BIL(GEN)
2,Passaic Valley Water Commission,1605002-024,Installation of a 2.0 MG storage tank next to existing Verona storage tank,347052,2970000,1566800,4536800,500,0,20,0,0,0,80,3.47,603.47052,Beyond 2026,BIL(GEN)
4,Passaic Valley Water Commission,1605002-014,Levine Reservoir Water Storage Improvements - Phase 1,314900,17142000,5186920,22328920,500,80,0,0,0,0,0,3.15,583.149,Funded,BIL (GEN)
5,Trenton City,1111001-014,TWW Phase 5 LSL Replacement Project,89620,16500000,600000,21800000,500,0,15,0,0,0,0,2.17,567.17,2026,IL (GEN)/ BIL (LSLR)
5,Trenton City,1111001-015,"Water Filtration Plant Roofing, HVAC, and Security Improvements",225000,10000000,900000,12500000,500,0,15,0,0,0,0,2.17,567.17,Beyond 2026,BIL(GEN)
5,Trenton City,1111001-016,New Central Pumping Station,225000,30000000,,36500000,500,0,15,0,0,0,0,2.17,567.17,Beyond 2026,BIL(GEN)
5,Trenton City,1111001-017,Water Filtration Plant Electrical Improvements,225000,4500000,6040000,5400000,500,0,15,0,0,0,0,2.17,567.17,Beyond 2026,BIL(GEN)
5,Trenton City,1111001-018,Prospect Street Ground Level Elevated Concrete Tanks,217000,4500000,,5400000,500,0,15,0,0,0,0,2.17,567.17,Beyond 2026,BIL(GEN)
5,Trenton City,1111001-019,Off-Site Distribution Piping System & PRV Chambers,217000,33000000,,39600000,500,0,15,0,0,0,0,2.17,567.17,Beyond 2026,BIL(GEN)
5,Trenton City,1111001-020,Ludlow Drive Ground Level Elevated Steel Tank,217000,27700000,,33740000,500,0,15,0,0,0,0,2.17,567.17,Beyond 2026,BIL(GEN)
5,Trenton City,1111001-021,Kuser Road Ground Level Elevated Steel Tanks,217000,30000000,,36800000,500,0,15,0,0,0,0,2.17,567.17,Beyond 2026,BIL(GEN)
5,Trenton City,1111001-022,Kulp Street Ground Level Elevated Steel Tanks Improvement,89620,2500000,,3000000,500,0,15,0,0,0,0,2.17,567.17,Beyond 2026,BIL(GEN)
6,Trenton City,1111001-012,Pennington Reservoir Replacement,225000,85000000,466641,107500000,500,0,15,0,5,0,0,2.17,527.17,2026,BIL (GEN)
