PWSID,Water System1,Population,Project MHI2,Project Unemp,Project Pop Trend,Adjustment,MHI Percent,OBC Percent,AC Score,2019 Score,Difference
NJ0102001,ATLANTIC CITY MUA,152415,35188,0.067,-0.0209,-2,36.23,61.38,34.23,32.29,1.94
NJ0103001,BRIGANTINE WATER DEPARTMENT,14450,91307,0.038,-0.1844,-1,94.01,19.48,93.01,82.9,10.11
NJ0104003,BOROUGH OF BUENA MUA,4880,85759,0.065,-0.0399,-2,88.3,9.91,86.3,60.68,25.62
NJ0105001,BUENA FAMILY MANOR MOBILE H P,64,76327,0.066,-0.0629,-2,78.59,22.62,76.59,71.9,4.69
NJ0105002,GARDEN HOMES MANAGEMENT CORPORATION,70,76327,0.066,-0.0629,-2,78.59,22.62,76.59,71.9,4.69
NJ0107001,NJAW EGG HARBOR CITY,4900,53109,0.0595,0.031,-2,54.68,17.1,52.68,49.13,3.55
NJ0108002,ENGLISH CREEK MANOR M H PARK,250,92509,0.05,0.0963,-1,95.25,24.2,94.25,94.33,-0.08
NJ0108003,TILTON TERRACE MHP,456,92509,0.05,0.0963,-1,95.25,24.2,94.25,94.33,-0.08
NJ0108004,NORMS DALE MOBILE HOME PARK,250,92509,0.05,0.0963,-1,95.25,24.2,94.25,94.33,-0.08
NJ0108005,AQUA NJ - SEAVIEW HARBOR,300,92509,0.05,0.0963,-1,95.25,24.2,94.25,94.33,-0.08
NJ0108006,TOWER MOBILE HOMES,245,92509,0.05,0.0963,-1,95.25,24.2,94.25,94.33,-0.08
NJ0108009,STONEY FIELD MOBILE HOME PARK,200,92509,0.05,0.0963,-1,95.25,24.2,94.25,94.33,-0.08
NJ0108013,TOWER 1999 MOBILE HOME PARK,100,92509,0.05,0.0963,-1,95.25,24.2,94.25,94.33,-0.08
NJ0108014,TOWER EAST MOBILE HOME PARK,70,92509,0.05,0.0963,-1,95.25,24.2,94.25,94.33,-0.08
NJ0108019,OAK FOREST MOBILE HOME PARK,300,92509,0.05,0.0963,-1,95.25,24.2,94.25,94.33,-0.08
NJ0108303,BAY BREEZE VILLAGE,105,92509,0.05,0.0963,-1,95.25,24.2,94.25,94.33,-0.08
NJ0111004,POMONA MOBILE HOME PARK,98,86799,0.048,0.0197,-2,89.37,20.27,87.37,85.04,2.33
NJ0111007,SWAN LAKE RESORT,70,86799,0.048,0.0197,-2,89.37,20.27,87.37,85.04,2.33
NJ0112001,HAMILTON TOWNSHIP MUA,21720,85623,0.054,0.015,-2,88.16,9.42,86.16,84.71,1.45
NJ0112002,BLACK HORSE MANOR,74,92509,0.05,0.0963,-1,95.25,24.2,94.25,94.33,-0.08
NJ0113001,HAMMONTON WATER DEPT,12153,79747,0.056,0.011,-2,82.11,23.79,80.11,83.69,-3.58
NJ0115001,LONGPORT WATER DEPARTMENT,10777,101250,0.034,-0.0056,-1,104.25,14.43,103.25,134.66,-31.41
NJ0116001,MARGATE CITY WATER DEPARTMENT,23500,112661,0.036,-0.174,-1,115.99,12.21,114.99,95.42,19.57
NJ0117001,MULLICA WOODS MOBILE HOME PARK,150,87679,0.072,-0.054,-2,90.27,17.32,88.27,94.97,-6.7
NJ0119001,DELILAH TERRACE MHP,210,92509,0.05,0.0963,-1,95.25,24.2,94.25,94.33,-0.08
NJ0119002,NJ AMERICAN WATER - ATLANTIC COUNTY,120146,84059,0.0504,0.0234,-2,86.55,3.88,84.55,83.86,0.69
NJ0122001,VENTNOR CITY WATER & SEWER UTILITY,22150,71321,0.042,-0.127,-2,73.43,25.4,71.43,67.47,3.96
NJ0123001,WEYMOUTH TWP MUA,720,65799,0.054,-0.021,-2,67.75,22.2,65.75,71.58,-5.83
NJ0123002,THE OAKS OF WEYMOUTH WATER CO.,750,65799,0.054,-0.021,-2,67.75,22.2,65.75,71.58,-5.83
NJ0201001,VEOLIA WATER NEW JERSEY ALLENDALE,6702,163868,0.031,-0.0038,-1,168.72,1.77,167.72,200.55,-32.83
NJ0211001,ELMWOOD PARK WATER DEPT,20374,84578,0.049,0.0787,-1,87.08,25.42,86.08,90.72,-4.64
NJ0217001,FAIR LAWN WATER DEPT,31000,141540,0.033,0.0771,0,145.73,11.88,145.73,144.48,1.25
NJ0220001,VEOLIA WATER NEW JERSEY FRANKLIN LAKES,5038,204917,0.032,0.0225,-1,210.98,4.29,209.98,202.67,7.31
NJ0221001,GARFIELD WATER DEPARTMENT,30487,72110,0.0495,0.0434,-2,74.24,15.44,72.24,73.92,-1.68
NJ0228001,HO HO KUS WATER DEPT,4060,249855,0.0283,0.0357,-1,257.25,0.51,256.25,254.34,1.91
NJ0231001,PASSAIC VALLEY WATER LODI WD,24136,80060,0.045,0.0382,-2,82.43,6.8,80.43,78.14,2.29
NJ0232001,LYNDHURST WATER DEPARTMENT,20500,104338,0.042,0.073,-1,107.43,12.63,106.43,93.83,12.6
