Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,CODES,List
18717,Chenango,SOUTH OTSELIC WATER DISTRICT / Otselic (T),"Improvements to Source, treatment, storage, distribution, and meters. , Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",820,"$6,359,000",205,"$6,359,000",,IIJA Gen Supp
18915,Onondaga,CARDIFF WATER DISTRICT / LaFayette (T),"Cardiff Water District Improvements and Consolidation Project, New Storage, New Inter-Connection",170,"$5,734,000",205,"$12,093,000",,IIJA Gen Supp
19986,Chautauqua,FREWSBURG WATER DISTRICT / Carroll (T),"Expand GW Source Capacity to address source capacity and replace well with PFAS, Replace Aging & Asbestos Main & Looping, Replace Storage Tank, Upgrade Ground Water Source, New Storage, Upgrade Distribution System","2,500","$14,420,000",150,"$26,513,000",,IIJA Gen Supp
19814,Albany,RENSSELAERVILLE WATER DISTRICT / Rensselaerville (T),"Replacement of the WTP due to DBP violations and poor water quality., Upgrade Water Treatment Plant",200,"$3,080,100",145,"$29,593,100",,IIJA Gen Supp
19933,Washington,WHITEHALL (V) / Whitehall (V),"Replace Transmission main, SCADA, Dam Repairs, Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Transmission, Upgrade Storage","2,693","$9,908,147",135,"$39,501,247",,IIJA Gen Supp
19824,Chautauqua,FREDONIA (V) / Fredonia (V),"Decomissioning of WTP and Connection to NCCWD, New Inter-Connection","9,585","$17,500,000",120,"$57,001,247",,IIJA Gen Supp
19541,Onondaga,ROUTE 11A WATER DISTRICT / Tully (T),"Route 11A WD Improvements and Consolidation Project, Upgrade Water District",164,"$3,581,000",120,"$60,582,247",,IIJA Gen Supp
18406,Wyoming,WARSAW (V) / Warsaw (V),"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System","3,990","$12,100,000",115,"$72,682,247",,IIJA Gen Supp
19973,Chautauqua,RIPLEY (T) / Ripley (T),"Water treatment plant and distribution system upgrades., Upgrade Water Treatment Plant, Upgrade Distribution System","1,600","$5,493,000",115,"$78,175,247",,IIJA Gen Supp
18670,Nassau,HEMPSTEAD (V) / Hempstead (V),"1,4-dioxane and PFAS removal at Clinton Street Plant , Upgrade Water Treatment Plant, Upgrade Storage","56,000","$53,266,504",90,"$131,441,751",,IIJA Gen Supp
19951,Seneca,SENECA FALLS / Seneca Falls (T),"Phase 2 of DWSRF 19196., Upgrade Water Treatment Plant, Upgrade Distribution System","9,000","$16,995,000",90,"$148,436,751",,IIJA Gen Supp
19976,Saratoga,MECHANICVILLE (C) / Mechanicville (C),"Storage upgrades, water treatment plant upgrades, DBP mitigation, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","5,000","$18,106,000",90,"$166,542,751",,IIJA Gen Supp
19571,Seneca,OVID (V) / Ovid (V),"New UF and RO systems, tank mixing and ventilation systems, replacement of water main. , New Other Expenses, New Water Treatment Plant, Upgrade Distribution System, New Other (OT)","1,056","$5,478,982",90,"$172,021,733",,IIJA Gen Supp
19972,Essex,ST. ARMAND (T) / St. Armand (T),"New WTP to treat PFAS, new wells, watermain replacement, SCADA upgrade, New Water Treatment Plant, New Ground Water Source, Upgrade Distribution System","1,000","$10,258,455",90,"$182,280,188",,IIJA Gen Supp
19101,Montgomery,FORT PLAIN (V) / Fort Plain (V),"PFOS removal at Lincoln Street Wells, Upgrade Water Treatment Plant","2,250","$4,609,829",85,"$186,890,017",,IIJA Gen Supp
19954,Chautauqua,CHAUTAUQUA (T) / Chautauqua (T),"WD No. 1 Wooglin Sandalwood Areas Extension and WTP Improvement, Extend Water District",650,"$11,823,370",85,"$198,713,387",,IIJA Gen Supp
19945,Schoharie,VILLAGE OF SHARON SPRINGS / Sharon Springs (V),"Source water, WTP and distribution system improvements to address DBPs., Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Distribution System",558,"$5,000,000",85,"$203,713,387",,IIJA Gen Supp
19937,Sullivan,MONTICELLO (V) / Monticello (V),"WTP upgrades (Trident, GAC, chemical), new looping mains, PS replacement, and tank replacement., Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","7,173","$20,724,000",80,"$224,437,387",,IIJA Gen Supp
18128,Cayuga,WATER DISTRICT #2 / Sterling (T),"Proposed Water District #2., Extend Distribution System, New Water District",500,"$12,121,187",80,"$236,558,574",,IIJA Gen Supp
18430,Hamilton,BLUE MOUNTAIN LAKE WD / Indian Lake (T),"Upgrade Water Filtration Plant., Upgrade Surface Water Source",475,"$7,144,200",80,"$243,702,774",,IIJA Gen Supp
19527,Jefferson,BLACK RIVER (V) / Black River (V),"Distribution, Route 3 WTP, & New Source Improvements, New Ground Water Source, Upgrade Distribution System","4,170","$9,800,000",75,"$253,502,774",,IIJA Gen Supp
19780,Chautauqua,CASSADAGA (V) / Cassadaga (V),"New Well, Replace WM, Upgrade Telemetry, New Ground Water Source, Upgrade Distribution System","1,500","$8,836,370",75,"$262,339,144",,IIJA Gen Supp
19539,Wyoming,SHELDON-VARYSBURG WD / Sheldon (T),"Replacement of WM, Storage Tank, and New Wellhouse, Upgrade Storage, Upgrade Distribution System",350,"$2,697,570",75,"$265,036,714",,IIJA Gen Supp
