Single Audit Required,Equivalency Project,Categorical Green or Business Case Green,Loan #,Project Name,Total Assistance Amount,Loan,Principal Forgiveness,Green,Est. Binding Commitment
Yes,Equivalency,,80299,Pennsylvania American - Coatsville LSLR Phase 1,4200000,2939158,1260842,0,2026-01-13T00:00:00.000
Yes,Equivalency,,planned,Pennsylvania American - Mechanicsburg LSLR Phase 1,7199220,3671602,3527618,0,2027-04-01T00:00:00.000
Yes,Equivalency,,planned,Pennsylvania American - Mechanicsburg LSLR Phase 2,5211776,2658006,2553770,0,2027-04-01T00:00:00.000
Yes,Equivalency,,planned,Pennsylvania American - Mechanicsburg LSLR Phase 3,5931132,3024877,2906255,0,2027-04-01T00:00:00.000
Yes,Equivalency,,planned,Pennsylvania American - Milton LSLR Phase 1,548704,279839,268865,0,2027-04-01T00:00:00.000
Yes,Equivalency,,planned,Pennsylvania American - Nazareth LSLR Phase 1,2228850,1136714,1092137,0,2027-04-01T00:00:00.000
Yes,Equivalency,,planned,Pennsylvania American - Nazareth LSLR Phase 2,960176,489690,470486,0,2027-04-01T00:00:00.000
Yes,Equivalency,,Started,Pennsylvania American - New Castle LSLR - Phase 2,8950000,4644500,4305500,0,2027-04-01T00:00:00.000
Yes,Equivalency,,planned,Pennsylvania American - New Castle LSLR - Phase 3,754028,384554,369474,0,2027-04-01T00:00:00.000
Yes,Equivalency,,planned,Pennsylvania American - New Castle LSLR - Phase 4,1405316,716711,688605,0,2027-04-01T00:00:00.000
Yes,Equivalency,,planned,Pennsylvania American - New Castle LSLR - Phase 5,8432388,4300518,4131870,0,2027-04-01T00:00:00.000
Yes,Equivalency,,planned,Pennsylvania American - Pittsburgh LSLR - Phase 5,2815880,1436099,1379781,0,2027-04-01T00:00:00.000
Yes,Equivalency,,planned,Pennsylvania American - Pittsburgh LSLR - Phase 6,5556276,2833701,2722575,0,2027-04-01T00:00:00.000
Yes,Equivalency,,planned,Pennsylvania American - Pittsburgh LSLR - Phase 7,9604000,4898040,4705960,0,2027-04-01T00:00:00.000
Yes,Equivalency,,planned,Pennsylvania American - Pittsburgh LSLR - Phase 8,1989748,1014771,974977,0,2027-04-01T00:00:00.000
Yes,Equivalency,,80298,Erie City Water Authority - Customer Side Galvanized Line Replacement Phase 3,6500000,3032351,3467649,0,2026-07-16T00:00:00.000
Yes,Equivalency,,80308,Erie City Water Authority - Customer Side Galvanized Line Replacement Phase 4,10000000,370884,9629116,0,2026-10-15T00:00:00.000
Yes,Equivalency,,Started,"Erie City Water Authority - Customer Side Galvanized Line
Replacement Phase 5",10000000,5100000,4900000,0,2027-04-01T00:00:00.000
Yes,Equivalency,,planned,"Erie City Water Authority - Customer Side Galvanized Line
Replacement Phase 6",10000000,5100000,4900000,0,2027-04-01T00:00:00.000
Yes,Equivalency,,Started,Gratz Borough Municipal Authority,1916050,1916050,$      -,0,2026-04-01T00:00:00.000
Yes,Equivalency,,80300,Pittsburgh Water and Sewer Authority 2025B LSLR,25490000,11275597,14214403,0,2026-07-16T00:00:00.000
Yes,Equivalency,,planned,City of Philadelphia 2025 Part 2,9975000,5087250,4887750,0,2027-04-01T00:00:00.000
Yes,Equivalency,,planned,City of Philadelphia 2026 Part 1,9975000,5087250,4887750,0,2027-04-01T00:00:00.000
Yes,Equivalency,,planned,City of Philadelphia 2026 Part 2,9975000,8959762,1015238,0,2027-04-01T00:00:00.000
Yes,Equivalency,,80309,Pittsburgh Water and Sewer Authority 2023 - 2024 A2 Small Diameter Water Main Replacement (LSLR),"7,390,224","111,901","7,278,323",0,10/15/2026
Yes,Equivalency,,80320,Pittsburgh Water and Sewer Authority 2026A LSLR,"31,510,340","15,606,464","15,903,876",0,1/21/2027
Yes,Equivalency,,80297,City of Lancaster - Lead Service Line Replacements 2025,1709338,"756,132","953,206",0,7/16/2026
Yes,Equivalency,,80310,Pennsylvania American Water Company - Uniontown LSLR Phase 1,5400000,2411339,2988661,0,2026-10-15T00:00:00.000
Yes,Equivalency,,80318,Wilkinsburg-Penn Joint Water Authority - Lead Service Line Replacement Phase 4,10000000,6130039,3869961,0,2027-01-21T00:00:00.000
Yes,Equivalency,,80319,Pennsylvania American Water Company - New Cumberland LSLR Phase 1,3750000,3627737,122263,0,2027-01-21T00:00:00.000
Yes,Equivalency,,planned,Aqua Pennsylvania - Upper Darby,4880554,4880554,0,0,2027-04-01T00:00:00.000
