call_label,severity,field,issue,suggestion
1_col_names,WARNING,Requested Amount,Column defined in data dictionary but not found in any data file,Confirm if this column should be populated or if it should be removed from the data dictionary
1_col_names,WARNING,Disadvantaged,Column defined in data dictionary as required but marked 'No Information' and not found in any data file,Clarify whether this column should be included or if 'No Information' status should be documented differently
1_col_names,INFO,Geographic Reference,"Data dictionary specifies 'CITY and COUNTY' as separate components; files contain CITY and COUNTY as separate columns, which is correct",NA
1_col_names,INFO,Project ID,Data dictionary maps to 'Loan #' from Fundable Lists; all fundable files contain 'Loan #' column,NA
1_col_names,WARNING,Loan,Unexpected column 'Loan' appears in all fundable files but is not defined in the data dictionary standardization rules,Clarify the purpose of 'Loan' column and whether it differs from 'Loan #' or if it is a duplicate/related field
1_col_names,WARNING,REGION,Column appears in PA_Y4_SFY25_Comprehensive.csv but is not defined in the data dictionary,Add REGION to data dictionary with definition or confirm if it should be removed
1_col_names,WARNING,DEP PROJECT RATING,Column appears in PA_Y4_SFY25_Comprehensive.csv but is not mapped in the data dictionary standardization section,Clarify relationship to 'PV RATING' or 'PROJRANK' or add to data dictionary
1_col_names,WARNING,STREET ADDRESS,Column appears in PA_Y4_SFY25_Comprehensive.csv but is not defined in the data dictionary,Add STREET ADDRESS to data dictionary with definition or confirm if it should be removed
1_col_names,WARNING,MTGDATE,Column appears in PA_Y4_SFY25_Comprehensive.csv but is not defined in the data dictionary,Add MTGDATE to data dictionary with definition or confirm if it should be removed
1_col_names,WARNING,FUND SOURCE,Column appears in PA_Y4_SFY25_Comprehensive.csv but is not defined in the data dictionary,Add FUND SOURCE to data dictionary with definition or confirm if it should be removed
1_col_names,WARNING,Green,Column appears in all fundable files but is not defined in the data dictionary,Add 'Green' to data dictionary with definition and standardization rules
1_col_names,WARNING,GREEN PROJECT,Column appears in PA_Y4_SFY25_Comprehensive.csv but is not defined in the data dictionary,Add GREEN PROJECT to data dictionary or clarify relationship to 'Green' column in fundable files
1_col_names,WARNING,GREEN CATEGORY,Column appears in PA_Y4_SFY25_Comprehensive.csv but is not defined in the data dictionary,Add GREEN CATEGORY to data dictionary with definition or confirm if it should be removed
1_col_names,WARNING,BUSINESS CASE,Column appears in PA_Y4_SFY25_Comprehensive.csv but is not defined in the data dictionary,Add BUSINESS CASE to data dictionary with definition or confirm if it should be removed
1_col_names,WARNING,GREEN AMOUNT,Column appears in PA_Y4_SFY25_Comprehensive.csv but is not defined in the data dictionary,Add GREEN AMOUNT to data dictionary with definition or confirm if it should be removed
1_col_names,WARNING,Single Audit Required,Column appears in all fundable files but is not defined in the data dictionary,Add 'Single Audit Required' to data dictionary with definition and standardization rules
1_col_names,WARNING,Equivalency Project,Column appears in all fundable files but is not defined in the data dictionary,Add 'Equivalency Project' to data dictionary with definition and standardization rules
1_col_names,WARNING,Categorical Green or Business Case Green,"Column appears in Base, IIJA Gen Supp, and LSLR fundable files but is not defined in the data dictionary",Add to data dictionary with definition or clarify relationship to Green-related columns
1_col_names,WARNING,Est. Binding Commitment,Column appears in all fundable files but is not defined in the data dictionary,Add 'Est. Binding Commitment' to data dictionary with definition and standardization rules
1_col_names,WARNING,Small System,Column appears in PA_Y4_SFY25_EC_Fundable_List.csv but not in other fundable files; not defined in data dictionary,Add 'Small System' to data dictionary or clarify if it is EC-specific
1_col_names,WARNING,Loan(1),Column in PA_Y4_SFY25_EC_Fundable_List.csv appears to be 'Loan' with notation suffix; inconsistent naming across fundable files,Standardize column name across all fundable files to 'Loan' without notation suffix
2_types_nulls,ERROR,PA_Y4_SFY25_Comprehensive.csv:PROJECT_COST,Column is stored as character but dictionary expects numeric type for cost values,"Convert PROJECT_COST from character to numeric by removing '$' and ',' characters"
2_types_nulls,ERROR,PA_Y4_SFY25_Comprehensive.csv:GREEN_AMOUNT,Column is stored as character but dictionary expects numeric type for amount values,"Convert GREEN_AMOUNT from character to numeric by removing '$' and ',' characters"
2_types_nulls,ERROR,PA_Y4_SFY25_LSLR_Fundable_List.csv:Loan #,"Column is stored as character but should be numeric; contains non-numeric values ('planned', 'Started') alongside loan numbers",Clarify data entry standards; separate status indicators from loan number field or create separate status column
2_types_nulls,ERROR,PA_Y4_SFY25_LSLR_Fundable_List.csv:Principal Forgiveness,Column is stored as character but should be numeric based on dictionary definition,Convert Principal Forgiveness to numeric type
2_types_nulls,ERROR,PA_Y4_SFY25_LSLR_Fundable_List.csv:Est. Binding Commitment,Column is stored as character with ISO 8601 format but should be POSIXct date type for consistency with other fundable lists,Convert Est. Binding Commitment to POSIXct date type
2_types_nulls,ERROR,PA_Y4_SFY25_LSLR_Fundable_List.csv:Categorical Green or Business Case Green,Column is logical with 100% NA values; inconsistent with other fundable lists which have character values,Populate with appropriate categorical values or align format with other fundable lists
2_types_nulls,WARNING,PA_Y4_SFY25_Comprehensive.csv:PV RATING,"23.4% missing values (22 out of 94 rows); dictionary states this is Project Score and maps from PV RATING, a critical scoring field","Investigate source data for missing PV RATING values and fill where available, or document why this field is incomplete"
2_types_nulls,WARNING,PA_Y4_SFY25_Comprehensive.csv:MTGDATE,23.4% missing values (22 out of 94 rows); no dictionary guidance on whether this field is required,Determine if MTGDATE is required; fill missing values from source documents or document rationale for missing data
2_types_nulls,WARNING,PA_Y4_SFY25_Base_Fundable.csv:Categorical Green or Business Case Green,40% missing values (2 out of 5 rows); inconsistent completeness compared to other fundable lists,Verify if green category information is unavailable for these projects or if data entry is incomplete
2_types_nulls,WARNING,PA_Y4_SFY25_EC_Fundable_List.csv:Single Audit Required,Value is lowercase 'yes' while other fundable lists use capitalized 'Yes'; inconsistent data entry format,Standardize to 'Yes' or 'No' capitalization across all fundable list files
2_types_nulls,WARNING,PA_Y4_SFY25_EC_Fundable_List.csv:Equivalency Project,Contains line breaks ('\n') in values; formatting inconsistency in data entry,Remove line breaks and standardize to clean values like 'Equivalency Project'
2_types_nulls,WARNING,PA_Y4_SFY25_EC_Fundable_List.csv:Principal Forgiveness,All values equal Total Assistance Amount (100% forgiveness); unusual pattern that should be validated,Verify with source documents that all EC projects have 100% principal forgiveness
2_types_nulls,WARNING,PA_Y4_SFY25_IIJA_Gen_Supp_Fundable_List.csv:Loan,Row 2 has $0 loan amount despite non-zero Total Assistance Amount and Principal Forgiveness; may indicate data anomaly,Verify Hazleton City Authority record (Loan # 80262) to confirm $0 loan is correct
2_types_nulls,INFO,PA_Y4_SFY25_Comprehensive.csv,Dictionary states 'Requested Amount' and 'Disadvantaged' fields map to 'No Information' but are not present in data file,Confirm if these fields should be added to the dataset or if they remain unavailable from source documents
2_types_nulls,INFO,Fundable Lists (all),Dictionary specifies that final 'project' with reserved assistance amount should be excluded; no mechanism in data files to identify these,Add a flag column or document which row(s) represent reserved funds for future projects to enable proper exclusion
3_script_logic,ERROR,pwsid,"In the full_join result, pwsid is assigned only from pwsid.x (the comprehensive list). For projects that appear only in the fundable lists (no match in comprehensive list), pwsid.x will be NA, losing PWSID data extracted from the fundable list (pwsid.y). The dictionary requires PWSID for all records where available.","Use coalesce(pwsid.x, pwsid.y) to fall back to the fundable list PWSID when the comprehensive list PWSID is absent."
3_script_logic,ERROR,project_type,"The project_type logic checks 'lead|lsl' against project_description (from comprehensive list columns proj_description/prob_description) but the dictionary also requires checking Project Name from fundable lists for lead keywords. The condition for fundable Base/Gen Supp lists checks project_name, but project_name has already been derived from applicant splitting at this point and may not reflect the original fundable list Project Name column.","Retain the raw project_name column from the fundable lists separately before transformation, and apply the lead/EC keyword checks against that original value as described in the dictionary."
3_script_logic,ERROR,project_type,The dictionary notes four instances of 'non-lead' in Project Name that may incorrectly be captured as lead projects due to the 'lead' keyword match. The script does not implement any exclusion or special handling for 'non-lead' occurrences.,"Add a condition to exclude matches where the keyword appears as part of 'non-lead', e.g., use a negative lookbehind or check grepl('non-lead', ...) separately and assign General type."
3_script_logic,ERROR,project_type,"The dictionary specifies that projects on the EC Fundable List should be classified as Emerging Contaminants, but when project_type.y is NA for EC fundable rows (the pa_fundable_ec mutate correctly sets project_type='Emerging Contaminants'), the join may lose this if the EC project does not match any comprehensive list row via applicant_name and project_type.y ends up NA. However, the case_when checks project_type.y first, so this appears partially handled. The real risk is that if an EC fundable project has no comprehensive list match, project_type.y carries through correctly — but verify the full_join preserves project_type.y for unmatched fundable rows.","Verify that for fundable-only rows (no comprehensive list match), project_type.y is correctly preserved and not overwritten. Add a test or explicit coalesce."
3_script_logic,WARNING,project_name,"project_name is extracted as text after the first '-' in applicant (str_extract '(?<=-).*'). This approach may fail for borrower names containing hyphens unrelated to the project name delimiter, or may capture only a portion of the project name. The dictionary indicates project name can come from APPLICANT NAME or Project Name in Fundable Lists.",Cross-check project_name against the raw project_name column from the fundable lists (before overwriting) and prefer the fundable list value when available.
3_script_logic,WARNING,project_id,"project_id is mapped from loan_number (from fundable lists). For projects only on the comprehensive list (expecting_funding = 'No'), loan_number will be NA, resulting in NA project_id. The dictionary states Project ID should be a unique identifier from the source document(s).",Check whether the comprehensive list contains an alternative project ID column and use it as a fallback for projects not on the fundable lists.
3_script_logic,WARNING,expecting_funding,"The dictionary notes that PA may include a final placeholder 'project' in Fundable Lists with assistance amount reserved for future projects, which should be excluded. The script does not filter out this placeholder row.","Add a filter step to remove rows from the fundable lists where the project appears to be a placeholder (e.g., applicant_name or project_name matches the known placeholder pattern, or where loan_number is blank/NA and total_assistance_amount is non-zero on a fundable list)."
3_script_logic,WARNING,project_description,"project_description is constructed by concatenating proj_description and prob_description with literal 'NA' strings when those columns are NA, producing values like 'Project Description: NA; Problem Description: NA' for fundable-only rows.","Use na_if or conditional logic to produce a cleaner output, e.g., only include non-NA components, or set project_description to NA when both source columns are absent."
3_script_logic,WARNING,community_served,"community_served is constructed from city and county columns using str_to_title. For fundable-only rows (no comprehensive list match), city and county will be NA, producing 'NA, NA County'.",Add a conditional to set community_served to NA or 'No Information' when city and county are both absent.
3_script_logic,WARNING,list,"list is assigned as ifelse(is.na(list.y), list.x, list.y), meaning fundable list values take precedence. For a project appearing on both comprehensive and fundable lists, list.y overwrites list.x. This may discard the 'SFY25 comprehensive' designation, potentially complicating downstream filtering or auditing.","Consider concatenating or storing both list values, or documenting that list.y takes precedence by design."
