call_label,severity,field,issue,suggestion
1_col_names,WARNING,Requested Amount,Column defined in data dictionary but not found in any data file. Dictionary states 'No Information' for this field.,Confirm whether this column should be included or remove from dictionary if not applicable to Pennsylvania data.
1_col_names,WARNING,Disadvantaged,Column defined in data dictionary but not found in any data file. Dictionary states 'No Information' for this field.,Confirm whether this column should be included or remove from dictionary if not applicable to Pennsylvania data.
1_col_names,INFO,"GREEN PROJECT, GREEN CATEGORY, BUSINESS CASE, GREEN AMOUNT",Extra columns found in PA_Y4_SFY25_Comprehensive.csv not defined in the standardized data dictionary categories.,Add definitions to data dictionary or clarify if these are supplementary/state-specific fields outside the standardized schema.
1_col_names,INFO,"Single Audit Required, Equivalency Project, Categorical Green or Business Case Green, Small System",Extra columns found in Fundable List files not defined in the standardized data dictionary categories.,Add definitions to data dictionary or clarify if these are supplementary/state-specific fields outside the standardized schema.
1_col_names,WARNING,Loan vs Loan(1),"Column name inconsistency across fundable list files: 'Loan' in Base, IIJA Gen Supp, and LSLR files, but 'Loan(1)' in EC Fundable List file.",Standardize column naming convention across all fundable list files to ensure consistency.
1_col_names,INFO,"DEP PROJECT RATING, REGION, STREET ADDRESS, MTGDATE, FUND SOURCE",Extra columns found in PA_Y4_SFY25_Comprehensive.csv not referenced in the data standardization section of the dictionary.,Document these supplementary columns or clarify their relationship to standardized categories.
1_col_names,INFO,Est. Binding Commitment,Column present in all fundable list files but not explicitly defined in standardized categories or data standardization section.,Add definition to data dictionary to clarify what this field represents.
2_types_nulls,ERROR,PA_Y4_SFY25_Base_Fundable.csv - Loan,Loan values exceed Total Assistance Amount in row 5 (Loan: 62775000 vs Total Assistance Amount: 20523429). This violates the logical constraint that loan amount should not exceed total assistance.,Verify source data; loan amount should be <= total assistance amount
2_types_nulls,ERROR,PA_Y4_SFY25_Comprehensive.csv - PV RATING,PV RATING has 23.4% NA rate (22 missing values out of 94 rows). Dictionary indicates this field maps to 'Project Score' which should be required for ranking/scoring purposes.,Investigate source documents to populate missing PV RATING values or clarify if nulls are acceptable for certain project types
2_types_nulls,ERROR,PA_Y4_SFY25_Comprehensive.csv - MTGDATE,MTGDATE has 23.4% NA rate (22 missing values). No guidance in dictionary on whether this field is required.,Confirm whether MTGDATE nulls are acceptable or if source documents should provide these dates
2_types_nulls,ERROR,PA_Y4_SFY25_Comprehensive.csv - PROJECT COST,PROJECT COST is stored as character type with currency formatting ($). Dictionary expects numeric type for financial data to enable calculations.,"Convert to numeric by removing '$' and ',' characters"
2_types_nulls,ERROR,PA_Y4_SFY25_Comprehensive.csv - GREEN AMOUNT,GREEN AMOUNT is stored as character type with currency formatting. Dictionary expects numeric type for financial amounts.,"Convert to numeric by removing '$' and ',' characters"
2_types_nulls,ERROR,PA_Y4_SFY25_EC_Fundable_List.csv - Principal Forgiveness,"Principal Forgiveness equals Total Assistance Amount for all 9 rows. This means 100% forgiveness with no repayment required, which is unusual and should be validated.",Verify with source documents that principal forgiveness amounts are correct and represent actual policy
2_types_nulls,ERROR,PA_Y4_SFY25_LSLR_Fundable_List.csv - Loan #,"Loan # is character type and contains non-numeric values ('planned', 'Started') instead of numeric loan identifiers. Dictionary expects numeric type and unique identifiers.",Replace text values with actual loan numbers or handle planned/started status in separate column
2_types_nulls,ERROR,PA_Y4_SFY25_LSLR_Fundable_List.csv - Principal Forgiveness,Principal Forgiveness is character type but dictionary expects numeric. Contains values that should be numeric.,Convert to numeric type
2_types_nulls,ERROR,PA_Y4_SFY25_LSLR_Fundable_List.csv - Est. Binding Commitment,Est. Binding Commitment is character type with ISO 8601 datetime format instead of POSIXct type. Inconsistent with other fundable lists which use POSIXct.,Convert to POSIXct date type for consistency across all fundable list files
2_types_nulls,WARNING,PA_Y4_SFY25_Base_Fundable.csv - Categorical Green or Business Case Green,40% NA rate (2 out of 5 rows) for Green category field. Dictionary does not specify whether this field is required.,Clarify whether null values are acceptable or if missing rows should be populated from source documents
2_types_nulls,WARNING,PA_Y4_SFY25_LSLR_Fundable_List.csv - Categorical Green or Business Case Green,100% NA rate (all 31 rows are null). This field is completely missing for all LSLR projects.,Determine if LSLR projects should have Green categorization or if field is not applicable for this funding type
2_types_nulls,WARNING,PA_Y4_SFY25_EC_Fundable_List.csv - Equivalency Project,Contains both 'Equivalency\nProject' and 'Equivalency Project' values with inconsistent formatting (line break vs space). Data quality issue in source.,Standardize to single format: 'Equivalency Project'
2_types_nulls,WARNING,PA_Y4_SFY25_EC_Fundable_List.csv - Project Name,"Contains embedded line breaks (\n characters) in project names, making data harder to parse and inconsistent with other fundable lists.",Remove or replace line breaks with spaces for consistency
2_types_nulls,WARNING,PA_Y4_SFY25_LSLR_Fundable_List.csv - Project Name,Contains embedded line breaks (\n characters) in project names.,Remove or replace line breaks with spaces for consistency across all files
2_types_nulls,INFO,PA_Y4_SFY25_Comprehensive.csv - PWSID,"PWSID is numeric type but dictionary specifies it should have 'PA' prepended, suggesting string type is appropriate.",Consider converting PWSID to character type with 'PA' prefix as per data standardization rules in dictionary
3_script_logic,ERROR,project_type,"The case_when condition for Base/Gen Supp fundable list EC projects uses a malformed regex-style string literal 'SFY25 fundable Base | SFY25 fundable Gen Supp' (with spaces around |) to match the 'list' column, and the condition itself checks for 'lead|lsl' in project_name rather than EC keywords, meaning EC projects on fundable Base/Gen Supp lists that are identified by project_name keywords will never be correctly classified as Emerging Contaminants.","Fix the duplicated/incorrect condition: replace the last Lead/EC fundable list condition with one that uses %in% c('SFY25 fundable Base','SFY25 fundable Gen Supp') and checks grepl(ec_str, project_name, ignore.case=TRUE) to correctly classify EC projects from those lists."
3_script_logic,ERROR,project_type,"The condition for Lead classification on fundable Base/Gen Supp lists uses 'SFY25 fundable Base|SFY25 fundable Gen Supp' as a plain string comparison (==) with the list column via grepl pattern, but the pipe character | inside the string literal is not treated as an OR operator in a string equality context; it will never match the actual list values 'SFY25 fundable Base' or 'SFY25 fundable Gen Supp'.","Replace with list %in% c('SFY25 fundable Base', 'SFY25 fundable Gen Supp') in the case_when condition."
3_script_logic,ERROR,pwsid,"In pa_clean, pwsid is assigned from pwsid.x (the comprehensive list), ignoring pwsid.y from fundable lists. Projects that appear only on fundable lists (no match in comprehensive list) will have NA for pwsid since pwsid.x will be NA for unmatched rows in the full_join.","Use pwsid = dplyr::coalesce(pwsid.x, pwsid.y) to fall back to the fundable list PWSID when the comprehensive list value is absent."
