call_label,severity,field,issue,suggestion
1_col_names,ERROR,Requested Amount,Column defined in data dictionary but not found in any data file,Verify if this column should be populated or remove from dictionary
1_col_names,ERROR,Disadvantaged,Column defined in data dictionary but not found in any data file,Verify if this column should be populated or remove from dictionary
1_col_names,WARNING,LOAN #,Data dictionary references 'Loan #' but Comprehensive files use 'LOAN #' (all caps),Standardize capitalization across all files and documentation
1_col_names,WARNING,Loan,Column 'Loan' appears in Fundable Lists but is not defined in the data dictionary,Add definition for 'Loan' column or verify if it is a duplicate/variant of another field
1_col_names,WARNING,Loan(1),Column 'Loan(1)' in EC_Fundable_List appears to be same as 'Loan' in other Fundable Lists with inconsistent naming,Standardize column name across all Fundable List files
1_col_names,INFO,"Single Audit Required, Equivalency Project, Categorical Green or Business Case Green, Green, Est. Binding Commitment, Small System",These columns appear in data files but are not defined in the data dictionary,Add definitions for these columns to the data dictionary or confirm they are not needed
1_col_names,WARNING,"GREEN PROJECT, GREEN CATEGORY, BUSINESS CASE, GREEN AMOUNT",These columns appear in Comprehensive files but are not referenced in data standardization section of dictionary,Document how these columns map to standardized categories or clarify their purpose
1_col_names,INFO,MTGDATE,Column appears in Comprehensive files but is not defined or explained in data dictionary,Add definition for MTGDATE or document its purpose and use
1_col_names,WARNING,"DEP PROJECT RATING, REGION, STREET ADDRESS",These columns appear in Comprehensive files but are not mentioned in data dictionary definitions,Document these columns or confirm they are supporting data not part of standardized schema
1_col_names,WARNING,FUND SOURCE,Column appears in Comprehensive files but is not defined in data dictionary standardization section,Add definition explaining how FUND SOURCE maps to standardized categories
2_types_nulls,ERROR,PROJECT COST (Comprehensive files),Data type mismatch: Column stored as character but should be numeric. Values contain currency formatting ($) which prevents proper numeric operations.,"Convert to numeric by removing '$' and ',' characters. Example: '$7,390,224.00' → 7390224"
2_types_nulls,ERROR,GREEN AMOUNT (Comprehensive files),Data type mismatch: Column stored as character but should be numeric. Values contain currency formatting ($) which prevents proper numeric operations.,"Convert to numeric by removing '$' and ',' characters. Example: '$75,000' → 75000"
2_types_nulls,ERROR,Principal Forgiveness (LSLR_Fundable_List.csv),Data type inconsistency: Column stored as character instead of numeric. Values like '1260842' should be numeric for calculations.,Convert all values in Principal Forgiveness column to numeric type
2_types_nulls,ERROR,Loan # (LSLR_Fundable_List.csv),"Data type and value inconsistency: Column stored as character with mixed types (numeric IDs like '80299', text values like 'planned' and 'Started'). Should be numeric per data dictionary specification.",Separate into numeric loan IDs and status indicators. Create separate 'Loan Status' column for 'planned' and 'Started' values
2_types_nulls,ERROR,Est. Binding Commitment (LSLR_Fundable_List.csv),Data type mismatch: Column stored as character containing ISO 8601 datetime strings instead of POSIXct date type. Format '2026-01-13T00:00:00.000' cannot be used for date comparisons.,Convert to POSIXct/Date type by parsing ISO 8601 format strings
2_types_nulls,ERROR,Categorical Green or Business Case Green (LSLR_Fundable_List.csv),Data type mismatch: Column stored as logical (all NA) when it should be character. Cannot represent expected categorical values.,Convert to character type and populate with appropriate values from source documents or mark as 'No Information' per data dictionary
2_types_nulls,WARNING,PV RATING (Comprehensive files),High null rate: 23.4% NA values. Data dictionary does not specify 'No Information' as acceptable for this field. Unclear if missing values represent 'No Information' status.,"Verify whether 23.4% NA rate is expected. If not, investigate source documents for missing project scores. Document reason for missingness in metadata."
2_types_nulls,WARNING,MTGDATE (Comprehensive files),High null rate: 23.4% NA values. Data dictionary does not specify whether 'No Information' is acceptable. Dates stored as character string instead of date type.,Convert to date type (MM/DD/YYYY format). Clarify whether missing dates are expected and document status of projects without meeting dates.
2_types_nulls,WARNING,LOAN # (Comprehensive_Final.csv and Comprehensive.csv),"Null rate: 23.4% NA values matches MTGDATE and PV RATING null patterns. Data dictionary notes 'Loan #s were added in amended and final drafts', explaining partial missingness.",Document that missing Loan # values correspond to projects not on Fundable Lists (projects not expecting funding). This is expected per data dictionary.
2_types_nulls,INFO,"Categorical Green or Business Case Green (Base_Fundable.csv, IIJA_Gen_Supp_Fundable_List.csv)","Column name inconsistency: 'Categorical Green or Business Case Green' in some files, but related columns 'GREEN CATEGORY', 'BUSINESS CASE', 'GREEN AMOUNT' exist in Comprehensive files. Unclear mapping between file structures.",Standardize column naming across all files. Create data dictionary for Fundable List files with explicit column mappings to Comprehensive file equivalents.
2_types_nulls,WARNING,Equivalency Project (LSLR_Fundable_List.csv),Value inconsistency: Some rows contain 'Equivalency' while others contain 'Equivalency Project'. Inconsistent formatting for the same categorical value.,Standardize to single value. Recommend 'Equivalency Project' to match other files. Replace 'Equivalency' with 'Equivalency Project'.
2_types_nulls,WARNING,Equivalency Project (EC_Fundable_List.csv),Value inconsistency: Some rows contain 'Equivalency\nProject' (with escaped newline) while others contain 'Equivalency Project'. Suggests encoding or parsing error in source data.,Remove all newline characters and standardize to 'Equivalency Project'. Check if newlines exist in other text fields.
2_types_nulls,INFO,PROJECT TYPE (Comprehensive files),"Data type is character with 24 distinct values (codes like 'LSL', 'TREAT', 'WS', 'PS'). Data dictionary defines only three Project Type categories: 'Lead', 'Emerging Contaminants', 'General'. Current values appear to be abbreviations requiring classification logic.",Clarify relationship between PROJECT TYPE codes and standardized dashboard categories. Verify that abbreviations map correctly to Lead/EC/General classification rules specified in dictionary.
2_types_nulls,WARNING,PWSID (Comprehensive files),"Data type is numeric but data dictionary specifies PWSID should have 'PA' prepended (e.g., 'PA5020038'). Current values are numeric only.",Convert PWSID to character and prepend 'PA' to all values per data dictionary specification. Example: 5020038 → 'PA5020038'
2_types_nulls,INFO,Loan (Fundable lists) vs Loan # (Comprehensive files),"Different column names in different files ('Loan' vs 'LOAN #', 'Loan(1)') may cause confusion during integration. Unclear if 'Loan' and 'Loan #' represent same concept.",Standardize column naming. Clarify whether 'Loan' represents loan amount or loan ID. Create unified column naming convention across all files.
2_types_nulls,WARNING,PROJECT COST (PA_Y4_SFY25_Comprehensive.csv vs PA_Y4_SFY25_Comprehensive_Final.csv),"Format inconsistency between versions: Comprehensive.csv has '.00' decimals ('$7,390,224.00') while Final version also has '.00' but samples shown without decimals. Minor formatting variation.",Ensure consistent formatting of currency across all versions. Document whether decimal places are significant.
