Rank,Points,PIF #,Entity,PWS ID,Population,Project Description,"Eligible
Phase(s)",Eligible Project Cost,"Disadv
%","Green
Type",GPR,"Related
PIF #'s"
1,606,17079,Millersview-Doole WSC,TX0480015,"4,000","Water line replacements, pump station improvements, SCADA system
improvements, WTP improvements, AMR/AMI Meter replacement,
distribution system improvements, tank rehabilitations, emergency
generators and development of an asset management plant.",PADC,"$50,000,000.00",,Yes-BC,"$2,000,000.00",
2,305,17108,South Plains WSC,"TX1520062
TX1520094
TX1520106
TX1520152",704,"The project includes treatment, supply, and other infrastructure to
correct TCEQ violations and other deficiencies.",PADC,"$11,200,000.00",,Yes-CE,"$263,500.00",
3,195,16618,Clyde,TX0300002,"3,899","The City of Clyde has acquired rights to surface water from Lake Fort
Phantom Hill Reservoir in Jones County.  Infrastructure is needed to be
able to transport water from the Reservoir to the City's water treatment
plant for use.",PDC,"$24,000,000.00",,,,
4,156,16798,Bitter Creek WSC,TX1770007,"2,874","The project includes the construction of new wells, replacement and
upsizing of water distribution lines, construction of new water storage
facilities, and development of an asset management plan.",PADC,"$14,636,400.00",,,,
5,139,16994,Zavalla,TX0030030,950,"The City has several TCEQ Enforcement Actions on their water system.
The City has two (2) existing ground storage tanks and one elevated
storage tank that are dilapidated beyond repair and must be replaced.
The tanks are in such disrepair that the City cannot perform required
annual inspections on two of the tanks since they are unsafe to climb
and inaccessible to inspectors. The City is not meeting the minimum
water production capacity and service pump capacities.The City also
has existing asbestos-cement distribution lines within their water syste
that must be replaced with new PVC pipe.",PDC,"$5,000,000.00",70%,Yes-BC,"$5,000,000.00",
6,130,16591,Granbury,TX1110001,"10,080","In order to support increasing demands, the City of Granbury (City)
intends to construct a second WTP in its water system",PDC,"$50,000,000.00",,Yes-BC,"$5,000,000.00",
7,124,17001,East Rio Hondo WSC,TX0310096,"34,536","The North Cameron Reverse Osmosis Treatment Plant, built in 2006,
provides high-quality potable water by desalinating brackish
groundwater. It has been a reliable water source without needing
additional rights from the Rio Grande River and was designed for future
expansion to a 10 MGD capacity. ERHWSC is seeking funding to
address current deficiencies and complete the final expansion to reach
the plant's ultimate capacity.",PADC,"$14,527,296.00",70%,,,
8,110,16937,Marlin,TX0730002,"5,967",Marlin Water System Improvements,PDC,"$43,446,974.00",70%,,,
9,109,16872,Dublin,TX0720001,"4,000","The proposed project includes replacing water meters with radio read
meters, replacing cast iron water lines under railroad rights of way with
cased plastic lines, installing aeration in the City elevated tank and
replacing/installing isolation gates valves.",PDC,"$1,645,000.00",70%,"Yes-
Comb.","$1,645,000.00",
10,105,16880,Eola WSC,TX0480011,165,"The proposed project includes replacement of sections of the aging and
inefficient water treatment system with a new Reverse Osmosis (RO)
System and construction a new RO reject and backwash disposal
system. An asset management plan will also be prepared.",PDC,"$4,326,000.00",,Yes-BC,"$556,200.00",
12,100,16784,Coke County WSC,TX0410017,410,"Coke County WSC seeks to replace the entirety of their water line
system. The existing lines are deteriorating and need to be replaced.
They also seek to rehabilitate one of the two pump stations. The
development of an Asset Management Plan will also be included as par
of the proposed project.",PDC,"$36,168,600.00",70%,Yes-BC,"$36,168,600.00",
