PIF #,Entity,Project Cost,Reason for Ineligibility
16788,Alvarado,14000000,AMHI
16803,Ames-Minglewood WSC,4045000,AMHI
16802,Ames-Minglewood WSC,4965000,AMHI
16640,Athens,14500000,AMHI
16993,Atlanta,6503787,AMHI
16959,Bartlett,5510000,AMHI
16810,Benton City WSC,11485000,AMHI
16798,Bitter Creek WSC,14636400,AMHI
16952,Brownsboro,1666250,AMHI
16820,Bruceville-Eddy,6506244,AMHI
16561,Carl's Corner,3279410,AMHI
16821,Coahoma,13812000,AMHI
16829,Colorado Co WCID # 2,750000,HCF
17033,Crawford,1968883,AMHI
16832,Crescent Heights WSC,4256175,AMHI
16833,Cumby,9760000,AMHI
16869,Dayton,9312300,AMHI
16870,Del Rio,45279830,AMHI
16964,Duncanville,4939333,AMHI
16963,Duncanville,8365006,AMHI
16961,Duncanville,24606230,AMHI
17038,Duncanville,31778230,AMHI
16971,El Paso Water,20279770,AMHI
16880,Eola WSC,4326000,AMHI
16946,Fort Griffin SUD,4950000,AMHI
16794,Gordon,7121000,AMHI
16907,Graford,1045000,AMHI
16785,Greater Texoma UA,2168925,AMHI
16929,"Hidalgo Co DD #  1 (Hidalgo County
MUD 1)",72091750,AMHI
16983,Hondo,13355000,AMHI
16651,Hughes Springs,3363945,HCF
16619,Italy,21017050,AMHI
16975,Itasca,2443725,AMHI
16977,Itasca,5881693,AMHI
17034,Josephine,6153000,AMHI
17053,"Lake Livingston WSSSC (Lake
Livingston Pineshadows East)",20985420,AMHI
17051,"Lake Livingston WSSSC (Putnams
Landing)",6059080,AMHI
16713,Laredo,26800000,DNS
16717,Laredo,37231050,DNS
17068,Lone Pine WSC,5300000,AMHI
16973,Luling,5880000,AMHI
16825,McCoy WSC,12645000,AMHI
16958,Merkel,7533000,AMHI
17079,Millersview-Doole WSC,67510000,AMHI
16926,Millsap WSC,1310000,AMHI
17006,Morgan Mill WSC,10459000,AMHI
16605,Navarro Mills WSC,2500000,AMHI
16920,North Alamo WSC,5420000,AMHI
16938,Palo Pinto WSC,2415000,AMHI
16922,Pleasant Grove WSC,4114780,AMHI
16793,Raywood WSC,10360000,AMHI
17108,South Plains WSC,11200000,AMHI
16792,Sturdivant-Progress WSC,3416500,AMHI
16916,Tehuacana,300000,AMHI
16579,Terrell,14550000,AMHI
16838,Trent,8205000,AMHI
