Rank,Points,PIF #,Entity,"Owner
Type",PWS ID,Population,Project Description,"Requested
Phase(s)",Total Project Cost,"Disadv
%","Green
Type",GPR,"Related PIF
#'s"
1,606.3,17079,Millersview-Doole WSC,W,TX0480015,"4,000","Water line replacements, pump station improvements, SCADA
system improvements, WTP improvements, AMR/AMI Meter
replacement, distribution system improvements, tank
rehabilitations, emergency generators and development of an
asset management plant.",PADC,"$67,510,000.00",,Yes-BC,"$2,000,000.00",
2,304.72,17108,South Plains WSC,W,"TX1520062
TX1520094
TX1520106
TX1520152",704,"The project includes treatment, supply, and other infrastructure to
correct TCEQ violations and other deficiencies.",PADC,"$11,200,000.00",,Yes-CE,"$263,500.00",
3,195.23,16618,Clyde,M,TX0300002,"3,899","The City of Clyde has acquired rights to surface water from Lake
Fort Phantom Hill Reservoir in Jones County.  Infrastructure is
needed to be able to transport water from the Reservoir to the
City's water treatment plant for use.",PDC,"$24,000,000.00",,,,
4,155.5,16798,Bitter Creek WSC,W,TX1770007,"2,874","The project includes the construction of new wells, replacement
and upsizing of water distribution lines, construction of new water
storage facilities, and development of an asset management plan.",PADC,"$14,636,400.00",,,,
5,138.56,16994,Zavalla,M,TX0030030,950,"The City has several TCEQ Enforcement Actions on their water
system. The City has two (2) existing ground storage tanks and
one elevated storage tank that are dilapidated beyond repair and
must be replaced. The tanks are in such disrepair that the City
cannot perform required annual inspections on two of the tanks
since they are unsafe to climb and inaccessible to inspectors. The
City is not meeting the minimum water production capacity and
service pump capacities.The City also has existing asbestos-
cement distribution lines within their water system that must be
replaced with new PVC pipe.",PDC,"$5,000,000.00",70%,Yes-BC,"$5,000,000.00",
6,129.63,16591,Granbury,M,TX1110001,"10,080","In order to support increasing demands, the City of Granbury
(City) intends to construct a second WTP in its water system",PDC,"$100,000,000.00",,Yes-BC,"$5,000,000.00",
7,124.38,17001,East Rio Hondo WSC,W,TX0310096,"34,536","The North Cameron Reverse Osmosis Treatment Plant, built in
2006, provides high-quality potable water by desalinating brackis
groundwater. It has been a reliable water source without needing
additional rights from the Rio Grande River and was designed for
future expansion to a 10 MGD capacity. ERHWSC is seeking
funding to address current deficiencies and complete the final
expansion to reach the plant's ultimate capacity.",PADC,"$14,527,296.00",70%,,,
8,110,16937,Marlin,M,TX0730002,"5,967",Marlin Water System Improvements,PDC,"$43,446,974.00",70%,,,
9,108.88,16872,Dublin,M,TX0720001,"4,000","The proposed project includes replacing water meters with radio
read meters, replacing cast iron water lines under railroad rights o
way with cased plastic lines, installing aeration in the City elevate
tank and replacing/installing isolation gates valves.",PDC,"$1,645,000.00",70%,"Yes-
Comb.","$1,645,000.00",
10,105.1,16880,Eola WSC,W,TX0480011,165,"The proposed project includes replacement of sections of the
aging and inefficient water treatment system with a new Reverse
Osmosis (RO) System and construction a new RO reject and
backwash disposal system. An asset management plan will also
be prepared.",PDC,"$4,326,000.00",,Yes-BC,"$556,200.00",
11,100.9,16608,Smyer,M,TX1100010,474,"The proposed project includes improvements at the water
treatment plant and distribution system to bring the system into
compliance with TCEQ requirements. An asset management plan
will be prepared as part of this project.",PDC,"$4,894,000.00",70%,Yes-BC,"$978,800.00",
12,100,16784,Coke County WSC,W,TX0410017,410,"Coke County WSC seeks to replace the entirety of their water line
system. The existing lines are deteriorating and need to be
replaced. They also seek to rehabilitate one of the two pump
stations. The development of an Asset Management Plan will als
be included as part of the proposed project.",PDC,"$36,168,600.00",70%,Yes-BC,"$36,168,600.00",
13,99.38,16656,South Texas WA,D,TX1370035,"49,534","South Texas Water Authority (STWA) will make investments in th
its infrastructure to include 42"" transmission line and the supply
and distribution system to ensure reliable service to the more that
49,000 residents it serves. Additional improvements need to be
made in the Ricardo WSC service area and the Nueces WSC
service area including pump stations, lines, and storage tanks.
STWA is consistently fixing leaks and service interruptions in both
systems. Both entities are served by STWA, which acts as a
wholesale water supplier, administrative support and operations
support. Many of the pump stations must be replaced to stop
leaks and ensure reliable service. Additionally, lines, valves, pum
stations, storage tanks, security, rehabilitation of existing
infrastructure need to take place. STWA is also improving its
supply capacity with brackish groundwater treatment and a new
well.",PDC,"$88,529,163.00",70%,,,
