"SelfScore1",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME,"FederalEquivalency2"
619,"PEWAUKEE, CITY OF",5250-09,Treat Well #8 for PFAS (EC1),"1,800,000",SE,BINDEB,Yes
520,"MOSINEE, CITY OF",5536-10,Construct New Well (East) (EC2),"25,000,000",WC,ANDRUD,Yes
520,"MOSINEE, CITY OF",5536-11,Construct PFAS Treatment Facility (EC1),"25,000,000",WC,ANDRUD,Yes
456,"RHINELANDER, CITY OF",5288-21,Construct Well No. 9 (EC2),"2,811,000",NO,ANDRUD,Yes
452,"RHINELANDER, CITY OF",5288-15,Add Treatment at Well #7 for PFAS (EC1),"5,500,000",NO,ANDRUD,Yes
271,"TOMAHAWK, CITY OF",5342-08,Construct New Well #6 due to PFAS (EC2),"4,000,000",NO,ANDRUD,Yes
236,"LA CROSSE, CITY OF",5406-13,Highway 16 Water Transmission Main for PFAS Mitigation – North (EC2),"3,100,000",WC,CAMERC,Yes
236,"LA CROSSE, CITY OF",5406-14,Highway 16 Water Transmission Main for PFAS Mitigation – South (EC2),"3,100,000",WC,CAMERC,Yes
236,"LA CROSSE, CITY OF",5406-15,Highway 16 Water Transmission Main for PFAS Mitigation (EC2),"6,100,000",WC,CAMERC,Yes
196,"CAMPBELL, TOWN OF",4778-03,Construct New Water System Concept 3: Joint Sys with Onalaska (EC2),"71,100,000",WC,CAMERC,Yes
188,"PRAIRIE DU CHIEN, CITY OF",5163-14,Construct Well #5 due to PFAS (EC2),"2,189,800",WC,ZETTLT,Yes
160,"CAMPBELL, TOWN OF",4778-04,Construct Well 1 (Phase 1 of New Water System) (EC2),"873,000",WC,CAMERC,Yes
154,"CAMPBELL, TOWN OF",4778-02,"New Water System, Concept 2: Joint Water System with LaX (EC2)","65,000,000",WC,CAMERC,Yes
148,"CAMPBELL, TOWN OF",4778-01,"Construct New Water System, Concept 1: Independent System (EC2)","70,000,000",WC,CAMERC,Yes
147,"WALWORTH, VILLAGE OF",5652-08,Treat Well #4 for PFAS (EC1),"3,750,000",SE,BINDEB,Yes
132,"PALMYRA, VILLAGE OF",4998-05,Construct New Well #4 due to PFAS (EC2),"2,000,000",SC,ZETTLT,Yes
132,"PALMYRA, VILLAGE OF",4998-03,Construct Permanent PFAS Treatment at Well #1 (EC1),"5,000,000",SC,ZETTLT,Yes
132,"PALMYRA, VILLAGE OF",4998-04,Construct Temporary PFAS Treatment at Well 1 (EC1),"1,200,000",SC,ZETTLT,Yes
112,"GREEN LAKE, CITY OF",5460-05,Construct Well No. 3 and Wellhouse (EC2),"3,700,000",NE,HANNER,Yes
108,"GREEN LAKE, CITY OF",5460-06,Construct Temporary PFAS Treatment at Well #2 (EC1),"3,700,000",NE,HANNER,Yes
98,"MEDFORD, CITY OF",4844-03,Construct Well #14 (EC2),"2,000,000",NO,ANDRUD,Yes
96,"WESTON, VILLAGE OF",4935-05,Treat Well #3 for PFAs (EC1),"4,640,000",WC,ANDRUD,Yes
84,"SHEBOYGAN, TOWN OF",5687-01,Treat Well #2 for PFAS (EC1),"3,500,000",SE,ANDRUD,Yes
80,"SHEBOYGAN, TOWN OF",5687-04,Construct New Well at New Well Site (EC2),"1,000,000",SE,ANDRUD,Yes
80,"SHEBOYGAN, TOWN OF",5687-03,Construct New Well at Well #2 Site (EC2),"1,000,000",SE,ANDRUD,Yes
60,"HALES CORNERS, VILLAGE OF",5690-01,Connect to MWW Water System due to PFAS (EC2),"4,672,175",SE,BINDEB,Yes
57,BROCKWAY SD #1,5465-03,Construct New Well #4; Abandon Well #2 (EC2),"2,091,897",WC,CAMERC,Yes
47,"HARTFORD, CITY OF",4814-06,Treat Well 15 for PFOS (EC1),"8,000,000",SE,BINDEB,Yes
47,"HARTFORD, CITY OF",4814-07,Treat Well 16 for PFOA (EC1),"7,000,000",SE,BINDEB,Yes
33,BROCKWAY SD #1,5645-02,Treat Well 2 for PFAS (EC1),"2,495,286",WC,CAMERC,Yes
