"SelfScore1",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME,"FederalEquivalency2"
619,"PEWAUKEE, CITY OF",5250-09,Treat Well #8 for PFAS (EC1),"1,800,000",SE,BINDEB,Yes
520,"MOSINEE, CITY OF",5536-10,Construct New Well (East) (EC2),"25,000,000",WC,ANDRUD,Yes
520,"MOSINEE, CITY OF",5536-11,Construct PFAS Treatment Facility (EC1),"25,000,000",WC,ANDRUD,Yes
516,GOODMAN SD #1,4811-02,Install GAC Treatment System at WTP,"2,700,000",NE,HANNER,
508,"MOSINEE, CITY OF",5536-08,Construct New Well (West) & Treatment,"42,000,000",WC,ANDRUD,Yes
456,"RHINELANDER, CITY OF",5288-21,Construct Well No. 9 (EC2),"2,811,000",NO,ANDRUD,Yes
452,"RHINELANDER, CITY OF",5288-15,Add Treatment at Well #7 for PFAS (EC1),"5,500,000",NO,ANDRUD,Yes
388,"STANLEY, CITY OF",4913-08,Rehab Well #3,"325,500",WC,CAMERC,
383,"OSHKOSH, CITY OF",4874-16,Replace and Improve Underground Storage Tank & Pumping Stations,"45,461,600",NE,HANNER,Yes
380,"MAIDEN ROCK, VILLAGE OF",5606-04,Relocate Well #2,"570,000",WC,CAMERC,
376,"FAIRCHILD, VILLAGE OF",5053-03,Construct Well #3,"1,300,000",WC,CAMERC,
374,"KAUKAUNA, CITY OF",5120-20,Improve Water Treatment Plant #1,"18,600,000",NE,HANNER,
374,"KAUKAUNA, CITY OF",5120-21,Improve Water Treatment Plant #2,"18,600,000",NE,HANNER,
374,"KAUKAUNA, CITY OF",5120-22,Well #4 Building Reconstruction,"18,600,000",NE,HANNER,
374,"KAUKAUNA, CITY OF",5120-23,"Install Engine Generators at Wells 4, 5, 8, and 10","18,600,000",NE,HANNER,
367,DOWNSVILLE SD,5193-03,Construct Well #2,"225,000",WC,CAMERC,
342,"NEW AUBURN, VILLAGE OF",5202-11,"Upgrade Well #1, SCADA","410,000",WC,CAMERC,
340,"BANGOR, VILLAGE OF",5145-06,"Construct Well /House 3, Con.Main, Treatment; Abandon Well 1","2,650,000",WC,CAMERC,
340,"CUMBERLAND, CITY OF",4791-10,Construct Well #6,"1,591,000",NO,ANDRUD,
324,"GRANTSBURG, VILLAGE OF",5377-11,Rehab South Water Tower,"521,700",NO,CAMERC,
316,"DANE, VILLAGE OF",5332-03,Rehab/Upgrade Well #2,"1,250,000",SC,ZETTLT,
274,"DALLAS, VILLAGE OF",5504-09,Creation of a central manganese  treatment plant,"4,000,000",NO,CAMERC,
274,"DALLAS, VILLAGE OF",5504-07,Installation of manganese treatment at Well No. 1,"4,000,000",NO,CAMERC,
274,"DALLAS, VILLAGE OF",5504-08,Installation of manganese treatment at Well No. 2,"4,000,000",NO,CAMERC,
271,"TOMAHAWK, CITY OF",5342-08,Construct New Well #6 due to PFAS (EC2),"4,000,000",NO,ANDRUD,Yes
271,"TOMAHAWK, CITY OF",5342-09,Construct Redundant River Crossing Transmission Main,"4,000,000",NO,ANDRUD,
258,"DALLAS, VILLAGE OF",5504-04,Replace Well No. 2 with New Well,"3,600,000",NO,CAMERC,
254,"RANDOLPH, VILLAGE OF",4888-13,Construct New Well to Replace Well 4,"400,000",SC,ZETTLT,
254,"RANDOLPH, VILLAGE OF",4888-14,Treat Well #4 for Radium,"400,000",SC,ZETTLT,
246,"OAK CREEK, CITY OF",4869-08,Construct New CL contact tank/UV disinfection/lift pumps/piping,"50,000,000",SE,BINDEB,Yes
236,"LA CROSSE, CITY OF",5406-13,Highway 16 Water Transmission Main for PFAS Mitigation – North (EC2),"3,100,000",WC,CAMERC,Yes
236,"LA CROSSE, CITY OF",5406-14,Highway 16 Water Transmission Main for PFAS Mitigation – South (EC2),"3,100,000",WC,CAMERC,Yes
236,"LA CROSSE, CITY OF",5406-15,Highway 16 Water Transmission Main for PFAS Mitigation (EC2),"6,100,000",WC,CAMERC,Yes
196,"CAMPBELL, TOWN OF",4778-03,Construct New Water System Concept 3: Joint Sys with Onalaska (EC2),"71,100,000",WC,CAMERC,Yes
192,"ELKHORN, CITY OF",5525-14,Centralia St. Water Improvements - Phase 3,"3,455,000",SE,BINDEB,
188,"PRAIRIE DU CHIEN, CITY OF",5163-14,Construct Well #5 due to PFAS (EC2),"2,189,800",WC,ZETTLT,Yes
171,"BAY CITY, VILLAGE OF",5686-01,Construct Well #2,"1,400,000",WC,CAMERC,
160,"CAMPBELL, TOWN OF",4778-04,Construct Well 1 (Phase 1 of New Water System) (EC2),"873,000",WC,CAMERC,Yes
154,"CAMPBELL, TOWN OF",4778-02,"New Water System, Concept 2: Joint Water System with LaX (EC2)","65,000,000",WC,CAMERC,Yes
148,"CAMPBELL, TOWN OF",4778-01,"Construct New Water System, Concept 1: Independent System (EC2)","70,000,000",WC,CAMERC,Yes
147,"WALWORTH, VILLAGE OF",5652-08,Treat Well #4 for PFAS (EC1),"3,750,000",SE,BINDEB,Yes
142,"JOHNSON CREEK, VILLAGE OF",4823-05,Construct Well #4,"3,250,000",SC,ZETTLT,
132,"PALMYRA, VILLAGE OF",4998-05,Construct New Well #4 due to PFAS (EC2),"2,000,000",SC,ZETTLT,Yes
132,"PALMYRA, VILLAGE OF",4998-03,Construct Permanent PFAS Treatment at Well #1 (EC1),"5,000,000",SC,ZETTLT,Yes
132,"PALMYRA, VILLAGE OF",4998-04,Construct Temporary PFAS Treatment at Well 1 (EC1),"1,200,000",SC,ZETTLT,Yes
132,"PULASKI, VILLAGE OF",5373-08,Construct Connection to Green Bay Water Utility,"18,500,000",NE,HANNER,
128,"MADISON, CITY OF (SDW)",4837-17,Construct Zone 7/8 PRV Interconnection,"8,000,000",SC,ZETTLT,Yes
128,"MADISON, CITY OF (SDW)",4837-15,Rehab Well #12,"8,000,000",SC,ZETTLT,Yes
118,"DARLINGTON, CITY OF",5387-04,Construct Well #4,"3,070,000",SC,ZETTLT,
114,"MAYVILLE, CITY OF",5443-16,Well #3 Treatment Upgrades,"1,300,000",SC,ZETTLT,
114,"MAYVILLE, CITY OF",5443-17,Well #5 Treatment Upgrades,"1,300,000",SC,ZETTLT,
112,"GREEN LAKE, CITY OF",5460-05,Construct Well No. 3 and Wellhouse (EC2),"3,700,000",NE,HANNER,Yes
110,"AVOCA, VILLAGE OF",4761-04,"Construct Well/House 3, Piping, Chem Addition, Standby Power","2,000,000",SC,ZETTLT,
108,"GREEN LAKE, CITY OF",5460-06,Construct Temporary PFAS Treatment at Well #2 (EC1),"3,700,000",NE,HANNER,Yes
108,"GREEN LAKE, CITY OF",5460-07,Replace Pump at Well #2,"3,700,000",NE,HANNER,
106,"BLOOMINGTON, VILLAGE OF",5065-04,Construct Well 2 and Appurtenances,"2,000,000",SC,ZETTLT,
106,FREEDOM SD #1,5194-04,Construct Well No. 3,"3,940,000",NE,HANNER,
106,"GRATIOT, VILLAGE OF",5197-06,Construct Well #3,"2,000,000",SC,ZETTLT,
106,LAONA SD #1,5529-06,Construct Well No. 2,"2,500,000",NO,ANDRUD,
106,SEXTONVILLE SD,4898-02,"Construct Well, Transmission Main & Generator","2,500,000",SC,ZETTLT,
102,"NIAGARA, CITY OF",4862-15,Replace 100k Elevated Storage Tank,"1,762,500",NE,HANNER,
100,"SUAMICO, VILLAGE OF",5392-05,Construct New Well #5,"9,490,000",NE,HANNER,
98,"MEDFORD, CITY OF",4844-03,Construct Well #14 (EC2),"2,000,000",NO,ANDRUD,Yes
97,"PORT EDWARDS, VILLAGE OF",5588-03,"Construct New Well, Well House, Transmission Main, SCADA","735,625",WC,CAMERC,
