"PriorityScore","FinancialNeedPoints3","ProjectPoints4",Program,Municipality,"ProjectNumber",Project Description,Region,County,"ProjectManager",CME,Population,"MHI(<$60,536)","SubsidizedLoan Rate","RequestedProject Costs","EstimatedLoan Amount",PF Points,"EligiblePF %","BIL-EC PFEstimate5","General PFEstimate","TotalEstimated PF"
369.5,37.5,332,BASE,"FAIRCHILD, VILLAGE OF",5053-03,Construct Well #3,WC,Eau Claire,Batchelor,Cameron,443,"$47,083",33%,"$1,944,670","$680,635",250,65%,$0,"$1,264,036","$1,264,036"
360.75,24.75,336,EC,"1RHINELANDER, CITY OF",5288-21,Construct Well No. 9 (EC2),NO,Oneida,Olson,Andruczyk,"8,263","$53,561",33%,"$7,131,000","$3,572,050",165,45%,"$3,500,000","$58,950","$3,558,950"
335.25,23.25,312,EC,"1PRAIRIE DU CHIEN, CITY OF",5163-14,Construct Well #5 due to PFAS (EC2),SC,Crawford,Leizinger,Zettl,"5,521","$52,670",33%,"$2,189,597","$1,094,799",155,45%,"$1,094,799",$0,"$1,094,799"
332,6,326,EC,"1WESTON, VILLAGE OF",4935-05,,NO,Marathon,Olson,Andruczyk,"15,868","$75,565",55%,"$6,801,998","$3,400,999",40,0%,"$3,400,999",$0,"$3,400,999"
329.5,25.5,304,EC,"1GREEN LAKE, CITY OF",5460-06,Construct Temporary PFAS Treatment at Well #2 (EC1),NE,Green Lake,Hasheider,Hannes,"1,006","$53,841",33%,"$574,964","$287,482",170,50%,"$287,482",$0,"$287,482"
329,12,317,EC,"1PALMYRA, VILLAGE OF",4998-03,Construct Permanent PFAS Treatment at Well #1 (EC1),SC,Jefferson,Burk,Zettl,"1,713","$80,709",55%,"$8,426,001","$4,640,801",80,20%,"$3,500,000","$285,200","$3,785,200"
322.75,18.75,304,EC,"1,2,7LA CROSSE, CITY OF",5406-13,Hwy 16 Water Trans. Main for PFAS Mitigation–North (EC2),WC,La Crosse,Batchelor,Cameron,"52,115","$53,803",55%,"$4,561,300","$2,961,300",125,45%,$0,"$1,600,000","$1,600,000"
322.75,18.75,304,EC,"1,2,7LA CROSSE, CITY OF",5406-14,Hwy 16 Water Trans. Main for PFAS Mitigation–South (EC2),WC,La Crosse,Batchelor,Cameron,"52,115","$53,803",55%,"$8,143,180","$4,643,180",125,45%,"$3,500,000",$0,"$3,500,000"
315.5,7.5,308,EC,"1HALES CORNERS, VILLAGE OF",5690-01,Connect to MWW Water System due to PFAS (EC2),SE,Milwaukee,Atkinson,Binder,"7,764","$88,068",55%,"$4,991,028","$2,495,514",50,0%,"$2,495,514",$0,"$2,495,514"
229,3,226,BASE,"1OAK CREEK, CITY OF",4869-08,Construct New CL contact tank/UV disinfect/pumps,SE,Milwaukee,Atkinson,Binder,"38,860","$93,120",55%,"$52,298,056","$52,298,056",20,0%,$0,$0,$0
194.25,26.25,168,BASE,"2STANLEY, CITY OF",4913-08,Rehab Well #3,WC,Chippewa,Patek,Cameron,"3,912","$47,857",33%,"$819,081","$409,541",175,50%,$0,"$409,541","$409,541"
194.25,26.25,168,BASE,"2STANLEY, CITY OF",4913-07,Rehab Central WTP,WC,Chippewa,Patek,Cameron,"3,912","$47,857",33%,"$9,536,069","$8,345,610",175,50%,$0,"$1,190,459","$1,190,459"
91.75,27.75,64,BASE,"BIRON, VILLAGE OF",5395-06,CTH U Loop Extension,WC,Wood,Patek,Cameron,855,"$58,000",33%,"$1,185,502","$533,476",185,55%,$0,"$652,026","$652,026"
90.5,34.5,56,BASE,"SURING, VILLAGE OF",5213-11,Construct redundant WM River Crossing,NE,Oconto,Mills,Hannes,499,"$50,909",33%,"$1,299,829","$519,932",230,60%,$0,"$779,897","$779,897"
87.75,6.75,81,BASE,"ALTOONA, CITY OF",5209-09,Water System Consolidation: Concept 2,WC,Eau Claire,Noreika,Cameron,"9,627","$80,126",55%,"$3,787,966","$3,787,966",45,0%,$0,$0,$0
85.75,39.75,46,BASE,"PRENTICE, VILLAGE OF",5205-02,Replace WMs on Railroad Ave,NO,Price,Leja-Brennan,Andruczyk,556,"$42,188",33%,"$832,500","$291,375",265,65%,$0,"$541,125","$541,125"
84.25,44.25,40,BASE,"LA FARGE, VILLAGE OF",4827-06,Replace WMs on Penn/Highland/Oak/Pine/Adams,WC,Vernon,Noreika,Cameron,712,"$39,200",33%,"$886,585","$310,305",295,65%,$0,"$576,280","$576,280"
72.75,36.75,36,BASE,"BAGLEY, VILLAGE OF",5058-03,"Replace WM on Walnut, Chicago Streets",SC,Grant,Jimenez,Zettl,351,"$50,139",33%,"$1,370,040","$548,016",245,60%,$0,"$822,024","$822,024"
69,33,36,BASE,"SHULLSBURG, CITY OF",5493-08,Replace WMs on Henry/S Lafayette/Ringold,SC,Lafayette,Pope,Zettl,"1,183","$58,500",33%,"$1,336,430","$534,572",220,60%,$0,"$801,858","$801,858"
68,27,41,BASE,"MARKESAN, CITY OF",5122-13,Replace WMs on Grand/Caroline/Charles/Millard/Bridge,NE,Green Lake,Boelkow,Hannes,"1,350","$61,250",55%,"$1,947,300","$973,650",180,50%,$0,"$973,650","$973,650"
67.5,40.5,27,BASE,"SIREN, VILLAGE OF",4905-07,Upgrades and Treatment for Well #1,NO,Burnett,Olson,Andruczyk,846,"$39,688",33%,"$514,458","$180,060",270,65%,$0,"$334,398","$334,398"
67.5,40.5,27,BASE,"SIREN, VILLAGE OF",4905-08,Upgrades and Treatment for Well #2,NO,Burnett,Olson,Andruczyk,846,"$39,688",33%,"$508,958","$178,135",270,65%,$0,"$330,823","$330,823"
66.5,34.5,32,BASE,"SURING, VILLAGE OF",5213-10,Upgrade Water Treatment Plant,NE,Oconto,Mills,Hannes,499,"$50,909",33%,"$437,187","$174,875",230,60%,$0,"$262,312","$262,312"
64.5,37.5,27,BASE,"BLUE RIVER, VILLAGE OF",4770-07,"Replace WMs on Jay, Main, and Lake Streets",SC,Grant,Jimenez,Zettl,449,"$56,830",33%,"$737,660","$258,181",250,65%,$0,"$479,479","$479,479"
63.25,41.25,22,BASE,"7PHILLIPS, CITY OF",4878-05,Construct Looping Main on CTH F,NO,Price,Leja-Brennan,Andruczyk,"1,476","$46,250",33%,"$602,500","$180,750",275,70%,$0,"$421,750","$421,750"
62.5,40.5,22,BASE,"SPOONER, CITY OF",4911-11,Replace WM on Harmon St,NO,Washburn,Martorano,Andruczyk,"2,434","$44,474",33%,"$668,718","$234,051",270,65%,$0,"$434,667","$434,667"
62,30,32,BASE,"1,2MILWAUKEE, CITY OF",4851-51,"Replace WMs, System-Wide",SE,Milwaukee,Atkinson,Binder,"577,385","$51,888",55%,"$8,263,618","$6,663,618",200,60%,$0,"$1,600,000","$1,600,000"
61.5,25.5,36,BASE,"BOSCOBEL, CITY OF",4771-04,"Replace WMs on WI Ave, Parker St, and Brindley St",SC,Grant,Jimenez,Zettl,"3,223","$52,457",33%,"$2,245,800","$1,122,900",170,50%,$0,"$1,122,900","$1,122,900"
60.75,24.75,36,BASE,"WAUZEKA, VILLAGE OF",4932-05,Replace WMs on Dousman Street,SC,Crawford,Pope,Zettl,617,"$65,469",55%,"$719,500","$395,725",165,45%,$0,"$323,775","$323,775"
59,3,56,BASE,FREEDOM SD #1,5194-04,Construct Well #3,NE,Outagamie,Cassidy,Hannes,"6,264","$125,938",55%,"$4,589,220","$4,589,220",20,0%,$0,$0,$0
58.5,31.5,27,BASE,BROCKWAY SD #1,5645-01,Construct Well #3; Abandon Well #1,WC,Jackson,Batchelor,Cameron,"3,034","$50,600",33%,"$1,154,032","$461,613",210,60%,$0,"$692,419","$692,419"
58.5,22.5,36,BASE,"WHITEHALL, CITY OF",4937-07,"Treat Wells #1, #2 and #3 for Fe",WC,Trempealeau,Noreika,Cameron,"1,588","$59,321",33%,"$2,998,150","$1,798,890",150,40%,$0,"$1,199,260","$1,199,260"
56,12,44,BASE,"KEWAUNEE, CITY OF",5508-09,Replace WM on Dodge St,NE,Kewaunee,Hasheider,Hannes,"2,807","$79,565",55%,"$1,582,879","$1,266,303",80,20%,$0,"$316,576","$316,576"
56,12,44,BASE,"KEWAUNEE, CITY OF",5508-10,Replace WM on Main St,NE,Kewaunee,Hasheider,Hannes,"2,807","$79,565",55%,"$391,835","$313,468",80,20%,$0,"$78,367","$78,367"
53.75,27.75,26,BASE,"CASSVILLE, VILLAGE OF",5469-08,Replace WM Bluff St,SC,Grant,Pope,Zettl,761,"$57,708",33%,"$1,295,903","$583,156",185,55%,$0,"$712,747","$712,747"
53.25,20.25,43,BASE,"DARLINGTON, CITY OF",5387-04,Construct Well #4,SC,Lafayette,Pope,Zettl,"2,415","$62,695",55%,"4,365,265","$2,837,422",135,35%,$0,"$1,527,843","$1,527,843"
53,27,26,BASE,"BOYD, VILLAGE OF",4772-02,Replace WM on Patten St,WC,Chippewa,Noreika,Cameron,619,"$60,096",33%,"$1,566,500","$783,250",180,50%,$0,"$783,250","$783,250"
51.25,44.25,7,BASE,"2MINONG, VILLAGE OF",5447-10,Rehab Wellhouse #1,NO,Washburn,Sweeney,Andruczyk,546,"$29,427",33%,"$1,689,603","$591,361",295,65%,$0,"$1,098,242","$1,098,242"
51.25,44.25,7,BASE,"2MINONG, VILLAGE OF",5447-11,Rehab Wellhouse #2,NO,Washburn,Sweeney,Andruczyk,546,"$29,427",33%,"$657,603","$230,161",295,65%,$0,"$427,442","$427,442"
50,18,32,BASE,"RICE LAKE, CITY OF",5513-10,Replace WM on Phipps Ave,NO,Barron,Olson,Andruczyk,"9,032","$55,040",33%,"$796,684","$557,679",120,30%,$0,"$239,005","$239,005"
49.5,28.5,21,BASE,"7ASHLAND, CITY OF",4759-34,Replace WM on Chapple Ave,NO,Ashland,Martorano,Andruczyk,"7,775","$49,258",33%,"$530,443","$185,655",190,65%,$0,"$344,788","$344,788"
47.5,40.5,7,BASE,"SIREN, VILLAGE OF",4905-05,Looping WM on 3rd Ave and Rasmussen St,NO,Burnett,Olson,Andruczyk,846,"$39,688",33%,"$195,110","$68,289",270,65%,$0,"$126,822","$126,822"
47.25,17.25,30,BASE,"DICKEYVILLE, VILLAGE OF",4974-09,Construct Well #3,SC,Grant,Pope,Zettl,"1,076","$64,750",55%,"$2,732,000","$1,912,400",115,30%,$0,"$819,600","$819,600"
47.25,11.25,36,BASE,"MINERAL POINT, CITY OF",5446-12,Replace WMs on Commerce and South Streets,SC,Iowa,Pope,Zettl,"2,571","$78,958",55%,"$1,965,700","$1,670,845",75,15%,$0,"$294,855","$294,855"
45,18,27,BASE,"RICE LAKE, CITY OF",5513-09,Replace WM on Wisconsin Ave,NO,Barron,Olson,Andruczyk,"9,032","$55,040",33%,"$567,813","$397,469",120,30%,$0,"$170,344","$170,344"
44.75,21.75,23,BASE,"2VESPER, VILLAGE OF",5549-09,Construction Watermain Loop for Southwest,WC,Wood,Balgooyen,Cameron,515,"$58,448",33%,"$2,584,748","$1,550,849",145,40%,$0,"$1,033,899","$1,033,899"
44.75,21.75,23,BASE,"2VESPER, VILLAGE OF",5549-07,Replace Raw Watermain from Wells to Treatment Plant,WC,Wood,Balgooyen,Cameron,515,"$58,448",33%,"$2,584,748","$2,018,647",145,40%,$0,"$566,101","$566,101"
44.5,22.5,22,BASE,"MATTOON, VILLAGE OF",4842-06,Construct Looping Main,NE,Shawano,Mills,Hannes,353,"$70,500",55%,"$566,995","$340,197",150,40%,$0,"$226,798","$226,798"
43.5,28.5,15,BASE,"7ASHLAND, CITY OF",4759-32,"Replace WM on Prentice Ave, Phase 2",NO,Ashland,Martorano,Andruczyk,"7,775","$49,258",33%,"$703,818","$246,336",190,65%,$0,"$457,482","$457,482"
43.5,40.5,3,BASE,"SIREN, VILLAGE OF",4905-06,Rehab Water Tower,NO,Burnett,Olson,Andruczyk,846,"$39,688",33%,"$707,925","$247,774",270,65%,$0,"$460,151","$460,151"
42.25,26.25,16,BASE,"BRODHEAD, CITY OF",5671-01,Replace WM on W 3rd Ave,SC,Green,Pope,Zettl,"3,241","$49,531",33%,"$2,693,031","$1,346,516",175,50%,$0,"$1,346,516","$1,346,516"
40,0,40,BASE,"SUAMICO, VILLAGE OF",5392-05,Construct New Well #5,NE,Brown,Boelkow,Hannes,"13,271","$113,614",55%,"$9,812,328","$9,812,328",0,0%,$0,$0,$0
39.5,19.5,20,BASE,"MENOMONIE, CITY OF",4846-09,Construct New Well #9,WC,Dunn,Batchelor,Cameron,"16,591","$54,587",55%,"$7,943,586","$6,343,586",130,35%,$0,"$1,600,000","$1,600,000"
38,21,17,BASE,"THORP, CITY OF",4922-22,"Replace WM on Main, Thorp, and Clark Streets",WC,Clark,Patek,Cameron,"1,779","$56,800",33%,"$1,030,892","$618,535",140,40%,$0,"$412,357","$412,357"
37.25,29.25,8,BASE,"PRINCETON, CITY OF",5427-05,"Replace WM on S Clinton, S Howard, Harvard, & Wisconsin",NE,Green Lake,Hasheider,Hannes,"1,247","$54,167",33%,"$1,182,478","$532,115",195,55%,$0,"$650,363","$650,363"
35.25,23.25,12,BASE,"1,7RACINE, CITY OF",4887-25,"Replace WMs, System-Wide",SE,Racine,Bolitho,Binder,"77,293","$55,705",55%,"$9,500,000","$7,900,000",155,55%,$0,"$1,600,000","$1,600,000"
35,3,32,BASE,"MCFARLAND, VILLAGE OF",4990-10,Construct New Well #5,SC,Dane,Jimenez,Zettl,"9,676","$93,810",55%,"$4,230,800","$4,230,800",20,0%,$0,$0,$0
34.25,26.25,8,BASE,"STANLEY, CITY OF",4913-09,Replace WMs on W Maple and S McKnight,WC,Chippewa,Patek,Cameron,"3,912","$47,857",33%,"$1,774,604","$1,774,604",175,50%,$0,$0,$0
32.75,30.75,2,BASE,"OCONTO FALLS, CITY OF",4870-08,Replace Watermains on Columbia St,NE,Oconto,Mills,Hannes,"2,983","$47,786",33%,"$810,784","$324,314",205,60%,$0,"$486,470","$486,470"
32,30,2,BASE,"JUNCTION CITY, VILLAGE OF",4989-12,Construct Looping Main between Case and 3rd Streets,NO,Portage,Sweeney,Andruczyk,415,"$62,500",55%,"$608,870","$243,548",200,60%,$0,"$365,322","$365,322"
32,24,8,BASE,"OSCEOLA, VILLAGE OF",5203-09,Replace Bluff Watermain,NO,Polk,Martorano,Andruczyk,"2,863","$61,029",55%,"$2,050,370","$1,127,704",160,45%,$0,"$922,667","$922,667"
31.75,3.75,28,BASE,"1MADISON, CITY OF",4837-15,Rehab Well #12,SC,Dane,Leizinger,Zettl,"291,037","$76,983",55%,"$5,450,000","$5,450,000",25,0%,$0,$0,$0
31.25,23.25,8,BASE,"PRAIRIE DU CHIEN, CITY OF",5163-13,Replace WM on Illinois St,SC,Crawford,Leizinger,Zettl,"5,521","$52,670",33%,"$687,582","$378,170",155,45%,$0,"$309,412","$309,412"
29.25,8.25,21,BASE,"BEAVER DAM, CITY OF",4764-10,Replace WMs on Front and Beaver Streets,SC,Dodge,Pope,Zettl,"16,587","$68,757",55%,"$873,322","$873,322",55,0%,$0,$0,$0
29.25,29.25,0,BASE,"NORWALK, VILLAGE OF",4868-05,Replace WMs on McGary/North/Wisconsin/Roosevelt/South,WC,Monroe,Batchelor,Cameron,609,"$58,750",33%,"$499,919","$224,964",195,55%,$0,"$274,955","$274,955"
27.25,20.25,7,BASE,"DURAND, CITY OF",4797-03,Rehab Well Treatment System,WC,Pepin,Noreika,Cameron,"1,840","$57,885",33%,"$1,133,300","$736,645",135,35%,$0,"$396,655","$396,655"
27.25,23.25,4,BASE,"POUND, VILLAGE OF",5674-01,Replace WM on Colburn St,NE,Marinette,Boelkow,Hannes,349,"$66,023",55%,"$468,233","$257,528",155,45%,$0,"$210,705","$210,705"
25.75,21.75,4,BASE,"FLORENCE, TOWN OF",5456-13,Rehab Water Tower,NO,Florence,Leja-Brennan,Andruczyk,"2,094","$58,393",33%,"$697,847","$418,708",145,40%,$0,"$279,139","$279,139"
25.5,22.5,3,BASE,"WEST BARABOO, VILLAGE OF",4933-08,Rehab Water Tower,SC,Sauk,Burk,Zettl,"1,612","$58,889",33%,"$573,500","$344,100",150,40%,$0,"$229,400","$229,400"
25,15,10,BASE,"RIPON, CITY OF",5289-17,Replace Watermains on Hamburg St,NE,Fond du Lac,Mills,Hannes,"7,678","$59,063",33%,"$1,058,923","$794,192",100,25%,$0,"$264,731","$264,731"
24.75,21.75,3,BASE,"TURTLE LAKE, VILLAGE OF",5164-15,Reconstruct Well #2,NO,Barron,Sweeney,Andruczyk,"1,043","$57,854",fg,"$1,852,130","$1,111,278",145,40%,$0,"$740,852","$740,852"
24.25,8.25,16,BASE,"BEAVER DAM, CITY OF",4764-14,Replace WM on Madison St,SC,Dodge,Pope,Zettl,"16,587","$68,757",55%,"$3,218,622","$3,218,622",55,0%,$0,$0,$0
24,30,-6,BASE,"JUNCTION CITY, VILLAGE OF",4989-11,Recoat Water Tank,NO,Portage,Sweeney,Andruczyk,415,"$62,500",55%,"$642,849","$257,139",200,60%,$0,"$385,710","$385,710"
24,9,15,BASE,"SPRING GREEN, VILLAGE OF",5675-01,Construct Well #3,SC,Sauk,Jimenez,Zettl,"1,593","$89,375",55%,"$3,423,990","$3,081,591",60,10%,$0,"$342,399","$342,399"
23.75,3.75,20,BASE,"1MADISON, CITY OF",4837-16,Construct Well #12 Reservoir,SC,Dane,Leizinger,Zettl,"291,037","$76,983",55%,"$1,275,000","$1,275,000",25,0%,$0,$0,$0
23.75,3.75,20,BASE,"1MADISON, CITY OF",4837-17,Construct Zone 7/8 PRV Interconnection,SC,Dane,Leizinger,Zettl,"291,037","$76,983",55%,"$1,275,000","$1,275,000",25,0%,$0,$0,$0
22.75,15.75,7,BASE,"GALESVILLE, CITY OF",4809-03,"Replace WMs on McKinley, Clark, Gales, 5th, 6th, 7th",WC,Trempealeau,Batchelor,Cameron,"1,677","$69,007",55%,"$1,374,134","$1,030,600",105,25%,$0,"$343,534","$343,534"
21.75,18.75,3,BASE,"1,2,7LA CROSSE, CITY OF",5406-09,Replace Watermain on South Ave,WC,La Crosse,Batchelor,Cameron,"52,115","$53,803",55%,"$1,504,398","$1,504,398",125,45%,$0,$0,$0
21.25,17.25,4,BASE,"6IRON RIDGE, VILLAGE OF",5608-02,Replace WMs in the North Main Street Area,SC,Dodge,Bushby,Zettl,913,"$74,609",55%,"$494,700","$428,765",115,30%,$0,"$65,935","$65,935"
21.25,14.25,7,BASE,"MAYVILLE, CITY OF",5443-11,Replace Watermains on Muzzy St and Allen St,SC,Dodge,Leizinger,Zettl,"5,241","$66,453",55%,"$576,942","$576,942",95,25%,$0,$0,$0
21,3,18,BASE,FREEDOM SD #1,5194-03,Rehab Water Treatment System,NE,Outagamie,Cassidy,Hannes,"6,264","$125,938",55%,"$1,722,150","$1,722,150",20,0%,$0,$0,$0
18.25,14.25,4,BASE,"TWO RIVERS, CITY OF",4920-56,Replace WM on Lincoln Ave and Woodlawn Dr,NE,Manitowoc,Boelkow,Hannes,"11,128","$58,716",55%,"$1,105,540","$1,105,540",95,25%,$0,$0,$0
18,24,-6,BASE,"CLYMAN, VILLAGE OF",5609-06,Install System-Wide SCADA,SC,Dodge,Bushby,Zettl,392,"$71,696",55%,"$1,709,000","$1,709,000",160,45%,$0,$0,$0
17.5,19.5,-2,BASE,"OSSEO, CITY OF",4875-08,Replace WM on Elevator St,WC,Trempealeau,Patek,Cameron,"1,823","$64,886",55%,"$534,366","$534,366",130,35%,$0,$0,$0
17.25,14.25,3,BASE,"MAYVILLE, CITY OF",5443-14,Replace WM on Grove St,SC,Dodge,Leizinger,Zettl,"5,241","$66,453",55%,"$319,701","$319,701",95,25%,$0,$0,$0
16.25,17.25,-1,BASE,"BLANCHARDVILLE, VILLAGE OF",4767-06,Replace Watermain on STH 78,SC,Lafayette,Burk,Zettl,807,"$66,161",55%,"$740,820","$740,820",115,30%,$0,$0,$0
16,12,4,BASE,"SPARTA, CITY OF",4909-09,Extend WM on Idol Ave,WC,Monroe,Batchelor,Cameron,"10,045","$60,517",55%,"$3,809,001","$3,809,001",80,20%,$0,$0,$0
13.75,6.75,7,BASE,"EDGERTON, CITY OF",4800-11,"Replace WM on Albion Street, Phase 1",SC,Rock,Burk,Zettl,"6,071","$84,185",55%,"$339,995","$339,995",45,0%,$0,$0,$0
12.5,10.5,2,BASE,"ARLINGTON, VILLAGE OF",4758-14,Replace WMs on Reagles St,SC,Columbia,Burk,Zettl,838,"$97,031",55%,"$689,254","$689,254",70,15%,$0,$0,$0
11.25,11.25,0,BASE,"1,7SHEBOYGAN, CITY OF",4901-12,Reconstruct WTP Filter/Building Improvements,SE,Sheboygan,Bolitho,Binder,"49,886","$62,953",55%,"$4,225,630","$4,225,630",75,25%,$0,$0,$0
11,12,-1,BASE,"BLACK EARTH, VILLAGE OF",5484-02,Replace WMs on Park/Ray/Hillside/Webb/East,SC,Dane,Burk,Zettl,"1,556","$72,667",55%,"$1,499,400","$1,499,400",80,20%,$0,$0,$0
