Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME,"FederalEquivalency"
"ANTIGO, CITY OF",4754-17,BIL SFY26 LSL Program,"500,000",NO,ANDRUD,Yes
"APPLETON, CITY OF",4755-07,BIL SFY26 LSL Program,"820,000",NE,HANNER,Yes
"ARGYLE, VILLAGE OF",5658-03,BIL SFY26 LSL Program,"300,000",SC,ZETTLT,Yes
"ASHLAND, CITY OF",4759-33,BIL SFY26 LSL Program,"245,000",NO,ANDRUD,Yes
"BEAVER DAM, CITY OF",4764-15,BIL SFY26 LSL Program,"700,000",SC,ZETTLT,Yes
"CEDARBURG, CITY OF",5628-04,BIL SFY26 LSL Program,"440,000",SE,BINDEB,Yes
"CHIPPEWA FALLS, CITY OF",4783-06,BIL SFY26 LSL Program,"1,980,000",WC,CAMERC,Yes
"CUDAHY, CITY OF",4790-07,BIL SFY26 LSL Program: CT 1801,"144,000",SE,BINDEB,Yes
"CUDAHY, CITY OF",4790-06,BIL SFY26 LSL Program: CT 1802,"352,000",SE,BINDEB,Yes
"CUDAHY, CITY OF",4790-08,BIL SFY26 LSL Program: CT 1803,"994,000",SE,BINDEB,Yes
"DARLINGTON, CITY OF",5387-08,BIL SFY26 LSL Program,"150,000",SC,ZETTLT,Yes
"ELKHORN, CITY OF",5525-15,BIL SFY26 LSL Program,"900,000",SE,BINDEB,Yes
"EVANSVILLE, CITY OF",4803-09,BIL SFY26 LSL Program,"700,000",SC,ZETTLT,Yes
"FOND DU LAC, CITY OF",5142-19,BIL SFY26 LSL Program,"2,660,000",NE,HANNER,Yes
"FREDERIC, VILLAGE OF",5541-05,BIL SFY26 LSL Program,"248,000",NO,ANDRUD,Yes
"GENOA CITY, VILLAGE OF",5688-01,BIL SFY26 LSL Program,"1,372,000",SE,BINDEB,Yes
"GLENDALE, CITY OF",5626-04,BIL SFY26 LSL Program,"300,000",SE,BINDEB,Yes
"GREEN BAY, CITY OF",5331-33,BIL SFY26 LSL Program: Census Tracts,"227,273",NE,HANNER,Yes
"HARTFORD, CITY OF",4814-05,BIL SFY26 LSL Program,"2,000,000",SE,BINDEB,Yes
"HURLEY, CITY OF",5340-10,BIL SFY26 LSL Program,"170,000",NO,ANDRUD,Yes
"JUNEAU, CITY OF",4824-12,BIL SFY26 LSL Program,"725,000",SC,ZETTLT,Yes
"KENOSHA, CITY OF",4825-10,"BIL SFY26 LSL Program: CTs 3, 4, 8, 9, 10, 11, 12, 16, and 18","3,850,000",SE,BINDEB,Yes
"KEWAUNEE, CITY OF",5508-08,BIL SFY26 LSL Program,"275,000",NE,HANNER,Yes
"LAKE GENEVA, CITY OF",5607-07,BIL SFY26 LSL Program,"750,000",SE,BINDEB,Yes
"LAKE MILLS, CITY OF",4828-12,BIL SFY26 LSL Program,"950,000",SC,ZETTLT,Yes
"LODI, CITY OF",4835-09,BIL SFY26 LSL Program,"3,885,000",SC,ZETTLT,Yes
"LUCK, VILLAGE OF",5486-11,BIL SFY26 LSL Program,"150,000",NO,CAMERC,Yes
"MANITOWOC, CITY OF",5191-20,BIL SFY26 LSL Program: CT 1 and CT 2,"2,625,210",NE,HANNER,Yes
"MANITOWOC, CITY OF",5191-21,BIL SFY26 LSL Program: CT 4,"8,194,725",NE,HANNER,Yes
"MANITOWOC, CITY OF",5191-22,BIL SFY26 LSL Program: CT 6 and CT 8,"3,405,675",NE,HANNER,Yes
"MANITOWOC, CITY OF",5191-23,BIL SFY26 LSL Program: CT 7,"2,609,250",NE,HANNER,Yes
"MARKESAN, CITY OF",5122-12,BIL SFY26 LSL Program,"200,000",NE,HANNER,Yes
"MARSHFIELD, CITY OF",5364-21,BIL SFY26 LSL Program: CT 102,"14,000",WC,CAMERC,Yes
"MARSHFIELD, CITY OF",5364-20,BIL SFY26 LSL Program: CT 103,"336,000",WC,CAMERC,Yes
"MARSHFIELD, CITY OF",5364-19,BIL SFY26 LSL Program: CT 104,"56,000",WC,CAMERC,Yes
"MARSHFIELD, CITY OF",5364-17,BIL SFY26 LSL Program: CT 105,"70,000",WC,CAMERC,Yes
"MARSHFIELD, CITY OF",5364-18,BIL SFY26 LSL Program: CT 106,"182,000",WC,CAMERC,Yes
"MARSHFIELD, CITY OF",5364-16,BIL SFY26 LSL Program: Municipal,"4,865,000",WC,CAMERC,Yes
"MENOMONIE, CITY OF",4846-07,BIL SFY26 LSL Program,"497,960",WC,CAMERC,Yes
"MILWAUKEE, CITY OF",4851-49,BIL SFY26 LSL Program: Municipal (private-side),"4,800,000",SE,BINDEB,Yes
"MILWAUKEE, CITY OF",4851-50,BIL SFY26 LSL Program: Municipal (public side),"4,800,000",SE,BINDEB,Yes
"MILWAUKEE, CITY OF",4851-52,BIL SFY26 LSL Program: Census Tracts (private side),"15,200,000",SE,BINDEB,Yes
"MILWAUKEE, CITY OF",4851-53,BIL SFY26 LSL Program: Census Tracts (public-side),"22,800,000",SE,BINDEB,Yes
"MINERAL POINT, CITY OF",5446-11,BIL SFY26 LSL Program,"400,000",SC,ZETTLT,Yes
"MONROE, CITY OF",4852-22,BIL SFY26 LSL Program,"1,500,000",SC,ZETTLT,Yes
"MONTREAL, CITY OF",5621-12,BIL SFY26 LSL Program,"300,000",NO,ANDRUD,Yes
"NORTH FOND DU LAC, VILLAGE OF",4863-18,BIL SFY26 LSL Program,"308,000",NE,HANNER,Yes
"OSHKOSH, CITY OF",4874-22,BIL SFY26 LSL Program: Census Tracts,"3,622,500",NE,HANNER,Yes
"OSHKOSH, CITY OF",4874-21,BIL SFY26 LSL Program: Municipal,"2,100,000",NE,HANNER,Yes
"PORT WASHINGTON, CITY OF",4883-05,BIL SFY26 LSL Program: CT 6302.02,"210,000",SE,BINDEB,Yes
"PORT WASHINGTON, CITY OF",4883-07,BIL SFY26 LSL Program: CTs 6301 and 6302.01,"630,000",SE,BINDEB,Yes
"RACINE, CITY OF",4887-23,BIL SFY26 LSL Program,"40,000,000",SE,BINDEB,Yes
"RANDOLPH, VILLAGE OF",4888-11,BIL SFY26 LSL Program,"420,000",SC,ZETTLT,Yes
"REESEVILLE, VILLAGE OF",4891-07,BIL SFY26 LSL Program,"16,500",SC,ZETTLT,Yes
"RICE LAKE, CITY OF",5513-08,BIL SFY26 LSL Program,"650,000",NO,CAMERC,Yes
"RICHLAND CENTER, CITY OF",4893-10,BIL SFY26 LSL Program,"594,000",SC,ZETTLT,Yes
"RIDGEWAY, VILLAGE OF",5206-11,BIL SFY26 LSL Program,"150,000",SC,ZETTLT,Yes
"RIO, VILLAGE OF",5368-04,BIL SFY26 LSL Program,"500,000",SC,ZETTLT,Yes
"RIPON, CITY OF",5289-25,BIL SFY26 LSL Program,"600,000",NE,HANNER,Yes
"SAUK CITY, VILLAGE OF",5629-04,BIL SFY26 LSL Program,"100,000",SC,ZETTLT,Yes
"SHEBOYGAN, CITY OF",4901-16,"BIL SFY26 LSL Program: CTs 2.01, 8, & 114","4,450,000",SE,ANDRUD,Yes
"SHEBOYGAN, CITY OF",4901-17,BIL SFY26 LSL Program: Municipal,"450,000",SE,ANDRUD,Yes
"SHEBOYGAN, CITY OF",4901-18,BIL SFY26 LSL Program: CT 5,"752,000",SE,ANDRUD,Yes
"SHELL LAKE, CITY OF",5522-05,BIL SFY26 LSL Program,"300,000",NO,ANDRUD,Yes
"SHOREWOOD, VILLAGE OF",5630-04,BIL SFY26 LSL Program,"200,000",SE,BINDEB,Yes
"SOUTH MILWAUKEE, CITY OF",4907-18,BIL SFY26 LSL Program: CTs 1705 & 1706,"5,200,000",SE,BINDEB,Yes
"SOUTH MILWAUKEE, CITY OF",4907-17,BIL SFY26 LSL Program: CT 1701,"3,250,000",SE,BINDEB,Yes
"SOUTH MILWAUKEE, CITY OF",4907-16,BIL SFY26 LSL Program: CT 1703,"2,500,000",SE,BINDEB,Yes
"SOUTH MILWAUKEE, CITY OF",4907-14,BIL SFY26 LSL Program: CT 1704,"270,000",SE,BINDEB,Yes
"SOUTH MILWAUKEE, CITY OF",4907-15,BIL SFY26 LSL Program: CT 1707,"3,000,000",SE,BINDEB,Yes
"SPOONER, CITY OF",4911-12,BIL SFY26 LSL Program,"150,000",NO,ANDRUD,Yes
"SUN PRAIRIE, CITY OF",5576-08,BIL SFY26 LSL Program,"1,000,000",SC,ZETTLT,Yes
SUPERIOR WATER LIGHT & POWER,5660-03,BIL SFY26 LSL Program,"1,855,000",NO,ANDRUD,Yes
"SUPERIOR, CITY OF",5659-02,BIL SFY26 LSL Program,"38,412,000",NO,ANDRUD,Yes
"THORP, CITY OF",4922-20,BIL SFY26 LSL Program,"660,000",WC,CAMERC,Yes
"TWO RIVERS, CITY OF",4920-58,BIL SFY26 LSL Program: Census Tract,"1,500,000",NE,HANNER,Yes
"VIROQUA, CITY OF",5168-17,BIL SFY26 LSL Program,"320,000",WC,CAMERC,Yes
"WALWORTH, VILLAGE OF",5652-07,BIL SFY26 LSL Program,"1,225,000",SE,BINDEB,Yes
"WAUSAU, CITY OF",4930-26,BIL SFY26 LSL Program,"16,000,000",WC,ANDRUD,Yes
"WEST ALLIS, CITY OF",5404-13,BIL SFY26 LSL Program: Census Tracts,"2,450,000",SE,BINDEB,Yes
"WEST ALLIS, CITY OF",5404-12,BIL SFY26 LSL Program: Municipal,"5,900,000",SE,BINDEB,Yes
"WEYAUWEGA, CITY OF",4936-05,BIL SFY26 LSL Program,"1,693,400",NE,HANNER,Yes
"WHITEFISH BAY, VILLAGE OF",5214-15,BIL SFY26 LSL Program,"880,000",SE,BINDEB,Yes
"WISCONSIN DELLS, CITY OF",4996-10,BIL SFY26 LSL Program,"200,000",SC,ZETTLT,Yes
