Municipality,Project #,LSL PERF Score,Project Manager,Census Tract or Municipal?,Requested Costs,Private Side Costs,Private Side PF %,Private Side PF Allocation,Private Side Loan $s,Remaining Costs,Remaining Costs PF %,Remaining Cost PF Allocation,Remaining Costs Loan $s,Total PF Allocated,Total Loan Allocated,Total Funding Allocated
"MILWAUKEE, CITY OF",4851-52,181,Atkinson,CT,"$13,794,000.00","$13,794,000.00",100%,"$13,794,000.00",$0.00,$0.00,60%,$0.00,$0.00,"$13,794,000.00",$0.00,"$13,794,000.00"
"MILWAUKEE, CITY OF2",4851-53,181,Atkinson,CT,"$24,054,000.00",$0.00,100%,$0.00,$0.00,"$24,054,000.00",60%,$0.00,"$24,054,000.00",$0.00,"$24,054,000.00","$24,054,000.00"
"MILWAUKEE, CITY OF",4851-49,152,Atkinson,Municipal,"$5,544,000.00","$5,544,000.00",100%,"$5,544,000.00",$0.00,$0.00,60%,$0.00,$0.00,"$5,544,000.00",$0.00,"$5,544,000.00"
"MILWAUKEE, CITY OF",4851-50,152,Atkinson,Municipal,"$7,140,000.00",$0.00,100%,$0.00,$0.00,"$7,140,000.00",60%,$0.00,"$7,140,000.00",$0.00,"$7,140,000.00","$7,140,000.00"
"CUDAHY, CITY OF",4790-08,146,Atkinson,CT,"$842,771.00","$731,726.00",100%,"$731,726.00",$0.00,"$111,045.00",20%,$0.00,"$111,045.00","$731,726.00","$111,045.00","$842,771.00"
"MANITOWOC, CITY OF",5191-23,144,Cassidy,CT,"$549,375.00","$523,335.00",100%,"$523,335.00",$0.00,"$26,040.00",20%,$0.00,"$26,040.00","$523,335.00","$26,040.00","$549,375.00"
"MARSHFIELD, CITY OF",5364-20,139,Noreika,CT,"$73,500.00","$73,500.00",100%,"$73,500.00",$0.00,$0.00,25%,$0.00,$0.00,"$73,500.00",$0.00,"$73,500.00"
"OSHKOSH, CITY OF",4874-22,139,Mills,CT,"$3,937,500.00","$1,680,000.00",100%,"$1,680,000.00",$0.00,"$2,257,500.00",15%,$0.00,"$2,257,500.00","$1,680,000.00","$2,257,500.00","$3,937,500.00"
"SHEBOYGAN, CITY OF",4901-18,130,Bolitho,CT,"$838,200.00","$827,200.00",100%,"$827,200.00",$0.00,"$11,000.00",15%,$0.00,"$11,000.00","$827,200.00","$11,000.00","$838,200.00"
"WEST ALLIS, CITY OF",5404-13,130,Aerts,CT,"$612,977.00","$525,800.00",100%,"$525,800.00",$0.00,"$87,177.00",15%,$0.00,"$87,177.00","$525,800.00","$87,177.00","$612,977.00"
"RACINE, CITY OF1",4887-23,130,Bolitho,Municipal,"$40,000,000.00","$26,098,400.00",100%,"$20,648,958.00","$5,449,442.00","$13,901,600.00",45%,$0.00,"$13,901,600.00","$20,648,958.00","$19,351,042.00","$40,000,000.00"
"WAUSAU, CITY OF3",4930-26,128,Leja-Brennan,CT,"$18,979,908.00","$11,332,910.00",100%,"$11,332,910.00",$0.00,"$7,646,998.00",20%,$0.00,"$4,829,127.00","$11,332,910.00","$4,829,127.00","$16,162,037.00"
"MANITOWOC, CITY OF",5191-21,127,Cassidy,CT,"$8,194,725.00","$7,818,750.00",50%,"$3,909,375.00","$3,909,375.00","$375,975.00",20%,$0.00,$0.00,"$3,909,375.00","$3,909,375.00","$7,818,750.00"
"MARSHFIELD, CITY OF",5364-16,125,Noreika,Municipal,"$4,409,979.00",$0.00,50%,$0.00,$0.00,"$4,409,979.00",25%,$0.00,$0.00,$0.00,$0.00,$0.00
"SOUTH MILWAUKEE, CITY OF",4907-15,123,Aerts,CT,"$196,600.00",$0.00,50%,$0.00,$0.00,"$196,600.00",15%,$0.00,$0.00,$0.00,$0.00,$0.00
"GREEN BAY, CITY OF",5331-33,122,Boelkow,CT,"$470,000.00","$470,000.00",100%,"$470,000.00",$0.00,$0.00,20%,$0.00,$0.00,"$470,000.00",$0.00,"$470,000.00"
"ARGYLE, VILLAGE OF",5658-03,119,Jimenez,Municipal,"$295,630.00","$131,815.00",50%,"$65,908.00","$65,908.00","$163,815.00",55%,$0.00,$0.00,"$65,908.00","$65,908.00","$131,815.00"
"SOUTH MILWAUKEE, CITY OF",4907-18,119,Aerts,CT,"$306,600.00","$302,500.00",75%,"$226,875.00","$75,625.00","$4,100.00",15%,$0.00,$0.00,"$226,875.00","$75,625.00","$302,500.00"
"KENOSHA, CITY OF",4825-10,119,Bolitho,CT,"$4,235,000.00","$4,235,000.00",100%,"$4,235,000.00",$0.00,$0.00,20%,$0.00,$0.00,"$4,235,000.00",$0.00,"$4,235,000.00"
"TWO RIVERS, CITY OF",4920-58,117,Boelkow,CT,"$2,919,625.00","$571,588.00",100%,"$571,588.00",$0.00,"$2,348,037.00",25%,$0.00,$0.00,"$571,588.00",$0.00,"$571,588.00"
"MANITOWOC, CITY OF",5191-20,114,Cassidy,CT,"$2,625,210.00","$2,502,000.00",50%,"$1,251,000.00","$1,251,000.00","$123,210.00",20%,$0.00,$0.00,"$1,251,000.00","$1,251,000.00","$2,502,000.00"
"MANITOWOC, CITY OF",5191-22,113,Cassidy,CT,"$3,405,675.00","$3,231,750.00",50%,"$1,615,875.00","$1,615,875.00","$173,925.00",20%,$0.00,$0.00,"$1,615,875.00","$1,615,875.00","$3,231,750.00"
"OSHKOSH, CITY OF",4874-21,113,Mills,Municipal,"$2,089,000.00","$2,089,000.00",50%,"$1,044,500.00","$1,044,500.00",$0.00,15%,$0.00,$0.00,"$1,044,500.00","$1,044,500.00","$2,089,000.00"
"SOUTH MILWAUKEE, CITY OF",4907-17,111,Aerts,CT,"$3,731,900.00","$1,317,918.00",50%,"$658,959.00","$658,959.00","$2,413,982.00",15%,$0.00,$0.00,"$658,959.00","$658,959.00","$1,317,918.00"
