Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME
"BONDUEL, VILLAGE OF",5057U04,UNDETERMINED: Construct Well No. 6 at Tomahawk City,"500,000",NE,HANNER
"BUFFALO CITY, CITY OF",4775U01,UNDETERMINED: Create New Water System,"12,500,000",WC,CAMERC
"CURTISS, VILLAGE OF",4792U15,UNDETERMINED: Construct Well #15,"5,681,000",WC,CAMERC
"CURTISS, VILLAGE OF",4792U16,UNDETERMINED: Construct Well #16,"5,681,000",WC,CAMERC
"CURTISS, VILLAGE OF",4792U17,UNDETERMINED: Construct Well #17,"5,681,000",WC,CAMERC
"CURTISS, VILLAGE OF",4792U18,UNDETERMINED: Construct Well #18,"5,681,000",WC,CAMERC
FREEDOM SD #1,5194U03,UNDETERMINED: Rehab Water Treatment System,"2,140,000",NE,HANNER
"HILBERT, VILLAGE OF",4987U04,UNDETERMINED: Construct Well No. 5,"8,000,000",NE,HANNER
"HILLSBORO, CITY OF",5492U04,UNDETERMINED Construct Well/House #4; Demo Existing Building,"950,000",WC,CAMERC
"HOBART, VILLAGE OF",5461U02,UNDETERMINED: Construct Booster Station No. 2 and Reservoir,"7,000,000",NE,HANNER
"LA CROSSE, CITY OF",5406U12,UNDETERMINED: Construct Bulk Fill Station,"125,000",WC,CAMERC
"LA VALLE, VILLAGE OF",4831U04,"UNDETERMINED: Rehab Well #1, Treatment, SCADA","640,000",SC,ZETTLT
"LAKE HALLIE, VILLAGE OF",5267U14,UNDETERMINED: Construct Facilities for Well #1,"3,800,000",WC,CAMERC
"LAKE HALLIE, VILLAGE OF",5267U15,UNDETERMINED: Construct Facilities for Well #3,"3,800,000",WC,CAMERC
"LUXEMBURG, VILLAGE OF",5200U03,UNDETERMINED: Transmission main to connect to Green Bay,"16,240,000",NE,HANNER
"LUXEMBURG, VILLAGE OF",5200U05,UNDETERMINED: Upgrade Well #3,"16,240,000",NE,HANNER
"LUXEMBURG, VILLAGE OF",5200U06,UNDETERMINED: Upgrade Well #4,"16,240,000",NE,HANNER
"MADISON, CITY OF (SDW)",4837U14,UNDETERMINED: Consolidate Lake Forest Water System,"4,300,000",SC,ZETTLT
"MADISON, CITY OF (SDW)",4837U16,UNDETERMINED: Construct Well #12 Reservoir,"8,000,000",SC,ZETTLT
"MATTOON, VILLAGE OF",4842U04,UNDETERMINED: Backup Generator for Well #4,"400,000",NE,HANNER
"MAYVILLE, CITY OF",5443U15,UNDETERMINED: Well 2 Treatment/Well 3 Storage,"1,300,000",SC,ZETTLT
"MONTELLO, CITY OF",5528U09,UNDETERMINED: Construct Well No. 3,"1,725,000",NE,HANNER
"NEW AUBURN, VILLAGE OF",5202U13,UNDETERMINED: Replace Well #2 Chemical Pump,"410,000",WC,CAMERC
"NEW GLARUS, VILLAGE OF",5623U07,UNDETERMINED: Construct New Booster Station & Connecting Main,"200,000",SC,ZETTLT
"NEW GLARUS, VILLAGE OF",5623U06,UNDETERMINED: Rehab/Upgrade Booster Station,"1,600,000",SC,ZETTLT
"NEW RICHMOND, CITY OF",4861U12,UNDETERMINED: Construct Elevated Tank/Booster tank/WM,"4,000,000",WC,CAMERC
"OREGON, VILLAGE OF",4873U07,UNDETERMINED: Construct New booster station,"3,516,814",SC,ZETTLT
"PEWAUKEE, CITY OF",5250U08,UNDETERMINED: Construct New Well #13,"2,700,000",SE,BINDEB
"POTOSI, VILLAGE OF",5604U07,UNDETERMINED: Abandon Water Tower,"150,000",SC,ZETTLT
"POTOSI, VILLAGE OF",5604U05,UNDETERMINED: Construct Potosi-Tennyson Connecting Main,"350,000",SC,ZETTLT
"REWEY, VILLAGE OF",5287U04,UNDETERMINED: Install New Valves/Hydrant,"72,750",SC,ZETTLT
"RIDGEWAY, VILLAGE OF",5206U13,UNDETERMINED: Replace WM on Main St,"1,600,000",SC,ZETTLT
"RIDGEWAY, VILLAGE OF",5206U12,UNDETERMINED: Replace WMs on Farwell and Meudt,"765,850",SC,ZETTLT
"STANLEY, CITY OF",4913U07,UNDETERMINED: Rehab Central WTP,"6,082,879",WC,CAMERC
"TENNYSON, VILLAGE OF",5509U05,UNDETERMINED: Extend WM on Stage Rd,"350,000",SC,ZETTLT
"TWO RIVERS, CITY OF",4920U56,UNDETERMINED: Replace WM on Lincoln Ave and Woodlawn Dr,"2,000,000",NE,HANNER
"WATERLOO, CITY OF",4962U14,UNDETERMINED: East Side WM Loop,"400,000",SC,ZETTLT
"WATERLOO, CITY OF",4962U15,UNDETERMINED: Maple Dr WM Loop,"550,000",SC,ZETTLT
"WAUNAKEE, VILLAGE OF",4995U04,UNDETERMINED: Construct Elevated Storage Tank,"3,250,000",SC,ZETTLT
"WESTBY, CITY OF",5440U10,UNDETERMINED: Construct New Water Tower,"2,541,000",WC,CAMERC
"WISCONSIN DELLS, CITY OF",4996U09,UNDETERMINED: Construct New Water Dept Building,"4,325,000",SC,ZETTLT
